#{"t_start": 1764197108.700215, "env_id": "ALE/Breakout-v5"}
r,l,t
18.0,578,0.989745
21.0,444,1.784707
34.0,566,2.725473
24.0,398,3.386823
3.0,26998,47.71131
19.0,382,48.349913
17.0,499,49.24335
8.0,423,49.998749
6.0,351,50.650353
8.0,295,51.181692
4.0,242,51.617872
5.0,311,52.168356
9.0,485,52.983214
19.0,365,53.625808
26.0,445,54.4043
37.0,473,55.208869
29.0,398,55.884783
18.0,476,56.709345
17.0,498,57.542825
4.0,272,58.019854
17.0,461,58.789143
17.0,478,59.560399
18.0,534,60.473372
17.0,459,61.307228
4.0,256,61.810853
27.0,458,62.597845
20.0,446,63.338661
16.0,474,64.104985
6.0,317,64.660837
22.0,496,65.478972
20.0,379,66.16734
24.0,485,66.963716
19.0,416,67.672243
30.0,520,68.569251
13.0,465,69.370384
21.0,395,70.03361
18.0,477,70.881707
24.0,523,71.760028
4.0,245,72.20265
7.0,328,72.768632
9.0,299,73.286516
4.0,257,73.744931
24.0,406,74.431242
15.0,343,75.044595
38.0,480,75.867093
10.0,360,76.579462
20.0,452,77.405068
15.0,540,78.344392
19.0,378,78.969745
23.0,450,79.719213
20.0,471,80.47732
20.0,378,81.107685
15.0,432,81.835675
2.0,178,82.15764
15.0,516,83.076754
15.0,344,83.663574
4.0,26998,128.302305
12.0,453,129.042902
21.0,378,129.667514
18.0,375,130.24131
11.0,397,130.885249
14.0,380,131.542527
15.0,359,132.130024
13.0,314,132.647407
16.0,367,133.267371
7.0,366,133.86563
6.0,354,134.435835
22.0,375,135.047597
14.0,380,135.662655
18.0,546,136.542803
23.0,391,137.198414
21.0,492,138.021376
5.0,26998,180.335424
5.0,290,180.810838
27.0,544,181.66799
30.0,446,182.414346
8.0,392,183.060609
20.0,563,183.969512
25.0,437,184.672827
19.0,411,185.339996
7.0,376,185.956648
12.0,417,186.604649
20.0,379,187.210131
12.0,26998,230.236543
9.0,345,230.80282
30.0,451,231.564767
26.0,452,232.331458
11.0,445,233.062651
17.0,527,233.911799
18.0,495,234.671657
23.0,460,235.446949
22.0,505,236.260931
31.0,463,237.014066
34.0,557,237.935179
38.0,491,238.709721
24.0,489,239.51317
8.0,400,240.165684
30.0,410,240.833685
28.0,419,241.539611
26.0,442,242.268205
