#{"t_start": 1764257890.876847, "env_id": "ALE/Breakout-v5"}
r,l,t
5.0,26998,44.380335
4.0,590,45.709421
3.0,434,46.668401
1.0,777,48.345202
1.0,502,49.306621
2.0,277,49.844585
3.0,26998,97.765275
2.0,802,99.235996
4.0,26998,148.023519
1.0,1133,150.149724
2.0,669,151.375152
1.0,224,151.823738
1.0,402,152.662433
3.0,26998,197.32673
3.0,714,198.533072
2.0,12634,219.274263
1.0,237,219.673975
1.0,751,221.016894
1.0,227,221.425514
1.0,1573,223.867431
2.0,384,224.462492
2.0,1548,227.123334
2.0,1696,229.765979
3.0,26998,271.16952
2.0,568,272.134766
1.0,1207,274.141352
4.0,2544,278.241416
4.0,605,279.174729
1.0,270,279.599765
2.0,26998,330.111634
2.0,26998,378.939349
1.0,350,379.484208
2.0,26998,421.113979
3.0,26998,462.629683
4.0,4069,468.943894
2.0,232,469.314126
3.0,630,470.277687
2.0,1514,472.689208
3.0,26998,514.219666
4.0,26998,555.970781
2.0,489,556.754612
1.0,1082,558.425364
7.0,6444,568.5457
2.0,3070,573.905158
1.0,2897,579.184027
1.0,763,580.652526
7.0,26998,629.272665
3.0,307,629.847459
10.0,26998,677.222565
4.0,26998,725.795365
4.0,455,726.629687
4.0,958,728.449367
2.0,6583,740.435709
3.0,26998,789.116631
1.0,845,790.705677
1.0,847,792.487235
4.0,26998,850.203013
5.0,1747,854.014447
2.0,26998,900.802097
1.0,808,902.049849
1.0,320,902.700003
2.0,10580,922.640946
2.0,26998,974.534595
6.0,26998,1019.445655
2.0,238,1019.892034
1.0,464,1020.740039
5.0,26998,1068.995798
1.0,243,1069.447464
1.0,633,1070.589596
5.0,26998,1118.630757
1.0,1938,1122.133546
3.0,26998,1170.157304
1.0,776,1171.579196
4.0,26998,1219.639546
1.0,2251,1223.698343
1.0,2874,1228.859965
2.0,26998,1276.861738
2.0,1011,1278.755544
3.0,273,1279.264174
1.0,1808,1282.514915
1.0,1040,1284.441565
3.0,26998,1332.652225
1.0,1582,1335.520065
1.0,404,1336.272946
0.0,375,1336.956734
3.0,26998,1385.156336
2.0,926,1386.93357
1.0,2156,1391.122342
8.0,26998,1439.912994
1.0,1984,1443.556919
2.0,1076,1445.531946
2.0,26998,1494.201798
3.0,26998,1542.649922
3.0,414,1543.424878
2.0,26998,1598.169019
3.0,2342,1602.442871
1.0,223,1602.910254
2.0,26998,1651.527959
1.0,1099,1653.594788
1.0,506,1654.523494
