#{"t_start": 1764193296.5070224, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,26998,66.348115
2.0,26998,130.053129
0.0,26998,200.638006
2.0,215,201.238353
2.0,26998,270.3478
2.0,26998,340.096045
1.0,26998,406.579961
2.0,26998,479.379743
0.0,26998,539.250025
1.0,26998,596.376219
2.0,26998,651.521965
2.0,26998,708.015797
2.0,215,708.461267
1.0,26998,763.966663
2.0,26998,822.098628
2.0,215,822.543589
3.0,225,823.009545
2.0,26998,878.842221
2.0,26998,935.858803
1.0,26998,990.92826
2.0,197,991.333981
1.0,26998,1046.816465
1.0,26998,1103.172135
1.0,26998,1160.283207
4.0,315,1161.063632
2.0,26998,1219.431876
2.0,26998,1281.070645
1.0,26998,1349.342993
1.0,26998,1422.319493
2.0,26998,1484.178909
3.0,225,1484.75963
1.0,26998,1552.173523
1.0,26998,1619.772356
2.0,26998,1685.38172
1.0,26998,1747.879117
0.0,26998,1810.698946
1.0,26998,1877.942978
2.0,215,1878.39749
1.0,26998,1942.097271
1.0,26998,2009.878896
3.0,225,2010.386521
1.0,26998,2079.072913
2.0,26998,2145.173799
0.0,26998,2206.325568
1.0,26998,2271.046342
1.0,26998,2339.762174
2.0,26998,2405.123329
1.0,26998,2460.824089
2.0,26998,2518.573115
2.0,26998,2574.51078
2.0,26998,2629.810138
0.0,26998,2686.11583
2.0,26998,2742.411715
1.0,26998,2797.8405
0.0,26998,2855.237444
0.0,26998,2911.057892
3.0,246,2911.558882
1.0,26998,2970.122993
1.0,26998,3026.9884
1.0,26998,3083.442755
2.0,215,3083.872128
3.0,225,3084.33011
2.0,26998,3141.323585
2.0,26998,3199.324056
0.0,26998,3254.635241
0.0,26998,3311.867044
2.0,215,3312.447832
1.0,26998,3371.331885
3.0,225,3371.796037
2.0,26998,3429.368443
2.0,26998,3486.472878
3.0,225,3486.926922
3.0,225,3487.381445
2.0,26998,3544.767505
2.0,26998,3601.670327
3.0,225,3602.136925
2.0,26998,3659.330914
2.0,26998,3714.354751
3.0,246,3714.874337
3.0,225,3715.350465
3.0,246,3715.8578
1.0,150,3716.168401
3.0,26998,3772.585589
2.0,26998,3828.994614
0.0,26998,3885.921145
1.0,26998,3943.477294
0.0,26998,3998.633198
2.0,26998,4053.884341
2.0,26998,4108.810952
2.0,26998,4164.96869
1.0,26998,4219.717573
2.0,26998,4275.296866
2.0,26998,4331.623546
2.0,26998,4388.404083
2.0,26998,4446.808692
1.0,26998,4504.95945
3.0,225,4505.422395
1.0,26998,4560.397155
1.0,26998,4617.091258
2.0,26998,4671.653368
