#{"t_start": 1763941200.5917356, "env_id": "ALE/Breakout-v5"}
r,l,t
3.0,244,1.799212
2.0,220,1.933079
1.0,178,2.046122
1.0,172,2.161918
1.0,155,2.266214
1.0,162,2.374874
1.0,173,2.482958
2.0,203,2.613134
2.0,208,2.746293
0.0,133,2.830869
2.0,221,2.978426
0.0,143,3.06278
2.0,217,3.212847
1.0,181,3.330446
0.0,127,3.396495
2.0,193,3.534002
0.0,145,3.632739
2.0,207,3.764784
1.0,172,3.879408
3.0,252,4.029434
0.0,158,4.146098
3.0,252,4.312729
2.0,201,4.429422
0.0,131,4.529725
0.0,136,4.615935
0.0,135,4.712722
1.0,167,4.829387
1.0,177,4.947073
1.0,173,5.060387
1.0,165,5.170447
1.0,165,5.277424
1.0,169,5.382527
5.0,328,5.598809
0.0,133,5.67937
1.0,167,5.797558
1.0,161,5.897778
0.0,137,5.996046
3.0,256,6.165699
0.0,124,6.248755
0.0,129,6.329377
1.0,169,6.44807
0.0,124,6.531104
3.0,254,6.699985
2.0,204,6.831791
0.0,125,6.915236
0.0,129,7.002173
0.0,138,7.099463
3.0,253,7.259612
3.0,234,7.411376
2.0,196,7.529331
1.0,198,7.660568
3.0,257,7.812657
4.0,303,8.012672
1.0,181,8.129783
0.0,125,8.797549
5.0,308,10.746968
4.0,279,12.513967
2.0,208,13.871226
4.0,318,15.896308
3.0,250,17.479209
2.0,196,18.698208
1.0,169,19.776886
1.0,160,20.828402
5.0,361,23.135485
0.0,120,23.917933
1.0,194,25.146139
4.0,255,26.762986
8.0,447,29.596576
1.0,196,30.846057
1.0,195,32.084251
1.0,167,33.20576
4.0,264,34.86427
3.0,246,36.43028
3.0,251,37.995543
0.0,144,38.914865
1.0,161,39.954127
2.0,222,41.361202
6.0,410,43.984903
1.0,186,45.168092
0.0,201,46.446123
2.0,210,47.830787
2.0,201,49.112595
3.0,289,50.961793
1.0,221,52.394667
0.0,121,53.160556
1.0,212,54.526107
1.0,255,56.141902
2.0,253,57.74735
2.0,259,59.472257
2.0,306,61.407856
2.0,199,62.705686
0.0,127,63.550434
1.0,217,64.950717
1.0,311,66.953378
4.0,293,68.859165
1.0,270,70.628813
1.0,253,72.351714
0.0,185,73.535578
3.0,278,75.348429
