#{"t_start": 1763942445.5533233, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,127,0.14296
3.0,233,0.320812
3.0,255,0.493242
4.0,271,0.670677
3.0,243,0.833815
1.0,172,0.964945
0.0,123,1.051393
5.0,313,1.258461
6.0,374,1.505023
1.0,174,1.623736
0.0,126,1.70971
0.0,125,1.794199
2.0,224,1.946089
1.0,165,2.055627
2.0,200,2.187325
1.0,165,2.299944
0.0,132,2.412546
0.0,128,2.498999
1.0,151,2.59951
0.0,128,2.684978
0.0,130,2.775566
0.0,132,2.867005
1.0,174,2.983683
0.0,132,3.074066
3.0,266,3.248014
0.0,123,3.331407
4.0,298,3.526292
0.0,129,3.614726
3.0,239,3.772611
0.0,132,3.860105
0.0,130,3.948516
2.0,189,4.07318
1.0,157,4.179277
0.0,125,4.265175
0.0,137,4.357597
0.0,133,4.452768
2.0,200,4.585545
3.0,255,4.753306
0.0,129,4.8418
3.0,251,5.00609
3.0,233,5.162852
1.0,157,5.275732
3.0,275,5.457692
3.0,235,5.613777
1.0,167,5.726361
0.0,129,5.812816
3.0,288,6.001889
1.0,153,6.10549
2.0,208,6.245816
0.0,131,6.334277
0.0,123,6.416917
2.0,236,6.574692
1.0,175,6.692409
1.0,148,6.795374
0.0,131,7.397256
4.0,277,9.371517
3.0,257,11.038389
6.0,385,13.487541
2.0,185,14.666634
2.0,183,15.840451
2.0,196,17.113657
2.0,221,18.551639
0.0,166,19.621874
1.0,211,20.977059
2.0,208,22.338231
2.0,195,23.599918
2.0,220,25.060976
3.0,231,26.588826
2.0,241,28.261024
0.0,131,29.218748
3.0,226,30.683972
2.0,204,32.018798
2.0,219,33.452695
0.0,120,34.243898
3.0,294,36.167686
3.0,289,38.048297
1.0,160,39.094517
2.0,213,40.473469
0.0,232,41.979368
1.0,167,43.076461
4.0,297,45.03145
3.0,276,46.8771
2.0,196,48.183048
4.0,314,50.255283
3.0,262,52.116898
5.0,375,54.620464
2.0,232,56.174145
5.0,426,59.233963
3.0,263,61.094256
2.0,293,63.089064
2.0,428,66.533356
5.0,470,70.535532
0.0,231,72.235263
3.0,543,76.249891
1.0,609,80.762475
7.0,592,85.689718
2.0,243,87.604382
1.0,148,88.670976
2.0,195,90.103496
0.0,120,91.024822
0.0,120,92.025071
3.0,225,93.909963
3.0,408,97.058185
2.0,179,98.416261
2.0,196,100.068101
1.0,228,101.720132
1.0,227,103.42333
3.0,454,106.712768
11.0,596,111.09772
2.0,195,112.495397
3.0,250,114.281606
0.0,120,115.157778
1.0,148,116.298419
11.0,689,121.163186
1.0,152,122.258212
2.0,195,123.665818
2.0,208,125.211795
0.0,381,127.903352
0.0,271,129.835666
4.0,311,132.262849
1.0,192,133.71105
2.0,178,135.053191
6.0,381,137.800594
1.0,148,138.895517
2.0,288,140.983979
2.0,238,142.704461
3.0,475,146.024651
3.0,215,147.71422
4.0,319,150.231998
0.0,151,151.505323
1.0,200,153.026934
2.0,288,155.140113
0.0,120,155.995104
1.0,201,157.429403
3.0,470,160.8057
0.0,120,161.670242
2.0,205,163.333864
3.0,250,165.256852
2.0,282,167.26109
1.0,160,168.475559
3.0,222,170.289855
2.0,187,171.674961
2.0,437,174.81907
1.0,197,176.225908
3.0,279,178.476875
3.0,328,180.864791
3.0,375,183.604567
5.0,487,187.394614
3.0,508,191.028381
3.0,272,193.2544
4.0,325,195.673081
1.0,225,197.261148
6.0,436,200.37596
2.0,306,202.636651
2.0,208,204.107175
1.0,206,205.674716
2.0,534,209.876182
0.0,256,211.95343
1.0,388,214.846868
0.0,179,216.163085
2.0,278,218.262923
1.0,159,219.571674
2.0,262,221.683643
1.0,148,222.900969
1.0,318,225.267595
3.0,291,227.526764
0.0,151,228.707396
2.0,216,230.335461
3.0,317,232.753633
3.0,299,235.253733
0.0,258,237.206231
1.0,148,238.275385
1.0,228,239.912241
1.0,400,242.711452
2.0,279,244.704821
0.0,120,245.618499
4.0,390,248.668183
3.0,260,250.476714
0.0,141,251.480552
1.0,211,252.953102
4.0,327,255.284661
2.0,207,256.86024
3.0,392,259.883173
4.0,328,262.253408
2.0,217,263.998095
2.0,335,266.624224
3.0,372,269.437429
2.0,453,273.188968
3.0,431,276.414517
2.0,306,278.650307
2.0,320,281.123219
3.0,430,284.268133
0.0,162,285.553448
2.0,399,288.493163
3.0,302,291.154401
2.0,229,293.148658
2.0,334,295.626604
2.0,488,299.069876
2.0,247,300.842866
3.0,446,304.379356
1.0,318,306.695273
1.0,176,307.966358
4.0,739,313.739731
0.0,221,315.483155
2.0,421,318.667655
7.0,507,322.517185
1.0,148,323.613722
4.0,406,326.752214
3.0,248,328.786668
3.0,597,333.536896
2.0,443,336.822866
4.0,432,339.868416
3.0,292,342.058072
3.0,299,344.52676
4.0,386,347.358613
3.0,413,350.337207
1.0,231,352.122294
1.0,237,353.935905
4.0,557,357.82697
4.0,449,361.015159
1.0,418,363.966148
4.0,462,367.241254
2.0,514,370.936858
3.0,234,372.585238
4.0,281,374.54944
3.0,394,377.300581
3.0,501,380.811178
0.0,176,382.061445
2.0,254,383.869691
6.0,545,387.649502
1.0,149,388.695893
4.0,431,391.721949
2.0,268,393.577913
2.0,210,395.070708
0.0,215,396.57388
5.0,443,399.691554
3.0,226,401.268717
1.0,222,402.819498
4.0,329,405.114127
1.0,291,407.157161
3.0,317,409.360746
4.0,391,412.145476
3.0,353,414.593202
2.0,324,416.862789
3.0,544,420.661999
5.0,475,424.087644
0.0,147,425.15157
1.0,256,426.981788
4.0,883,433.166156
4.0,332,435.520111
0.0,265,437.393106
3.0,290,439.389764
1.0,170,440.601959
2.0,355,443.048073
1.0,232,444.682279
2.0,258,446.508017
2.0,235,448.169904
4.0,422,451.142942
4.0,682,455.911473
2.0,537,459.641027
3.0,366,462.19113
2.0,222,463.776098
0.0,170,464.95919
2.0,352,467.4476
2.0,344,469.911655
2.0,305,472.076778
1.0,149,473.106136
0.0,120,473.949645
0.0,120,474.787851
2.0,260,476.610832
2.0,205,478.037316
3.0,351,480.518385
1.0,307,482.661145
2.0,296,484.708512
1.0,169,485.877742
3.0,379,488.532057
2.0,283,490.490346
2.0,370,493.058467
1.0,485,496.433295
1.0,339,498.829248
5.0,668,503.471206
0.0,191,504.79896
2.0,377,507.420615
1.0,288,509.444005
3.0,271,511.349937
1.0,453,514.479563
0.0,315,516.667575
2.0,360,519.178499
0.0,296,521.235003
2.0,307,523.358773
0.0,246,525.084912
0.0,175,526.356726
1.0,202,527.753569
2.0,276,529.673829
1.0,299,531.788791
1.0,174,533.024471
2.0,220,534.577548
2.0,195,535.936111
1.0,186,537.240277
3.0,453,540.358916
2.0,215,541.867475
1.0,167,543.03148
2.0,449,546.170753
0.0,212,547.665371
0.0,454,550.794568
0.0,141,551.760112
0.0,215,553.262098
1.0,207,554.721732
1.0,197,556.109632
0.0,166,557.290164
2.0,235,558.939262
3.0,364,561.469135
1.0,238,563.132271
3.0,592,567.385784
1.0,182,568.683675
4.0,307,570.880769
10.0,464,574.11507
1.0,254,575.924633
3.0,366,578.455825
2.0,232,580.06183
2.0,200,581.456931
