#{"t_start": 1763964268.2080102, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,216,0.59498
2.0,202,0.735013
0.0,141,0.828121
1.0,164,0.936482
0.0,131,1.023704
2.0,201,1.158445
2.0,201,1.299729
4.0,293,1.487949
1.0,183,1.616814
1.0,172,1.743028
0.0,136,1.852516
1.0,152,1.986358
1.0,187,2.129666
0.0,128,2.221707
0.0,130,2.315306
0.0,136,2.415266
0.0,130,2.513131
1.0,161,2.637768
0.0,135,2.751847
0.0,133,2.853205
2.0,200,2.999207
0.0,136,3.100587
3.0,233,3.261934
3.0,266,3.474111
0.0,131,3.570601
0.0,137,3.660232
0.0,139,3.755038
2.0,222,3.894988
0.0,132,3.984941
2.0,219,4.137542
1.0,177,4.265855
0.0,127,4.348554
1.0,182,4.472384
3.0,250,4.634857
1.0,156,4.744384
1.0,155,4.860424
2.0,207,5.006545
0.0,120,5.089738
0.0,138,5.183791
3.0,268,5.403407
1.0,174,5.563068
1.0,172,5.701546
0.0,126,5.787833
0.0,129,5.871346
0.0,123,5.954911
0.0,138,6.045882
0.0,120,6.127176
1.0,181,6.254682
1.0,191,6.409525
1.0,158,6.515545
7.0,347,6.732137
2.0,222,6.872593
1.0,169,7.002626
0.0,145,7.108166
1.0,174,7.220159
2.0,224,7.361691
1.0,166,7.471562
0.0,122,7.552843
4.0,307,7.769955
1.0,187,7.88811
2.0,205,8.020982
2.0,211,8.153932
1.0,173,8.269933
2.0,202,8.413724
0.0,129,8.500418
0.0,133,8.587407
1.0,182,8.704673
3.0,292,8.911336
2.0,211,9.062735
1.0,178,9.176879
3.0,226,9.320714
1.0,164,9.425616
1.0,157,9.526957
2.0,188,9.656103
0.0,132,9.748035
2.0,218,9.887659
1.0,157,9.989043
1.0,171,10.09814
2.0,206,10.232224
2.0,235,10.410981
2.0,211,10.54591
1.0,170,10.654613
2.0,199,10.780801
0.0,123,10.860515
0.0,133,10.954068
0.0,127,11.043703
1.0,177,11.156744
1.0,175,11.266942
1.0,155,11.367515
0.0,131,11.451241
1.0,172,11.562267
3.0,232,11.722391
0.0,140,11.814257
1.0,174,11.925905
0.0,142,12.017353
1.0,176,12.12836
1.0,151,12.236183
1.0,185,12.386951
0.0,127,12.501193
0.0,121,12.649438
0.0,124,12.754667
5.0,329,12.981442
2.0,204,13.138282
3.0,241,13.314024
0.0,125,13.399872
6.0,402,13.680609
0.0,131,13.780787
2.0,204,13.934074
0.0,122,14.015609
1.0,164,14.120959
2.0,195,14.244433
5.0,339,14.460073
2.0,180,14.598469
2.0,204,14.729255
4.0,282,14.903833
0.0,134,14.990075
1.0,157,15.093703
0.0,133,15.194664
2.0,215,15.340909
3.0,270,15.511065
3.0,248,15.671356
1.0,158,15.783959
1.0,175,15.911415
0.0,154,16.011331
2.0,199,16.144625
1.0,159,16.247716
3.0,252,16.410276
0.0,125,16.500121
0.0,137,16.606301
1.0,154,16.708161
0.0,122,16.788338
0.0,136,16.875396
2.0,210,17.008983
1.0,168,17.11896
2.0,218,17.280777
1.0,164,17.388388
0.0,154,17.488079
1.0,175,17.598312
2.0,220,17.736177
2.0,218,17.879062
1.0,175,18.003259
1.0,188,18.120936
2.0,201,18.248478
0.0,154,18.348808
1.0,160,18.469975
1.0,156,18.585148
1.0,165,18.690306
3.0,245,18.843571
1.0,186,18.962669
3.0,245,19.12254
5.0,339,19.352915
0.0,136,19.442268
2.0,222,19.583278
1.0,172,19.694319
1.0,156,19.807956
1.0,179,19.936211
4.0,280,20.120289
3.0,232,20.273451
4.0,299,20.47965
7.0,392,20.745935
0.0,130,20.838736
0.0,121,20.924926
1.0,176,21.036235
2.0,204,21.167709
1.0,164,21.291552
3.0,263,21.459884
0.0,137,21.555304
1.0,176,21.667368
0.0,129,21.758798
1.0,189,21.897678
0.0,129,22.002067
2.0,197,22.128253
0.0,147,22.237215
1.0,166,22.353381
1.0,162,22.462692
1.0,182,22.592928
1.0,172,22.716149
1.0,194,22.838746
4.0,308,23.029691
2.0,234,23.181368
0.0,127,23.2753
2.0,202,23.407243
2.0,202,23.53712
2.0,227,23.681228
0.0,130,23.767177
2.0,183,23.888054
1.0,154,24.00142
0.0,122,24.082061
2.0,225,24.224308
1.0,173,24.334902
0.0,138,24.424354
6.0,337,24.655089
7.0,406,24.908201
0.0,124,24.989644
1.0,181,25.106234
3.0,250,25.275082
0.0,127,25.366289
2.0,223,25.508346
0.0,133,25.595412
2.0,230,25.738907
1.0,170,25.863885
0.0,142,25.988024
2.0,218,26.140333
0.0,133,26.233859
2.0,201,26.364835
0.0,139,26.472249
0.0,121,26.567195
1.0,153,26.694691
3.0,266,26.873175
2.0,195,27.004421
1.0,174,27.118614
1.0,157,27.229772
0.0,122,27.333269
2.0,222,27.521252
2.0,203,27.687441
1.0,182,27.827029
1.0,150,27.942868
2.0,222,28.121719
2.0,231,28.30316
0.0,143,28.424041
3.0,246,28.587411
2.0,213,28.732132
2.0,210,28.900411
8.0,435,29.180449
0.0,132,29.267032
0.0,132,29.352218
2.0,196,29.482864
2.0,187,29.618957
0.0,136,29.712134
4.0,319,29.913804
3.0,238,30.064363
2.0,245,30.256388
3.0,228,30.40772
0.0,130,30.5001
1.0,175,30.620509
0.0,133,30.716609
1.0,176,30.834651
1.0,174,30.968496
0.0,126,31.060516
0.0,127,31.147364
1.0,179,31.281683
0.0,125,31.366483
1.0,168,31.477937
0.0,129,31.568597
0.0,128,31.661228
