#{"t_start": 1763949027.928056, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,180,1.099534
0.0,125,1.182855
0.0,131,1.266158
3.0,250,1.433363
1.0,179,1.566174
0.0,143,1.64951
0.0,128,1.733176
0.0,130,1.816154
1.0,176,1.932816
2.0,206,2.066169
0.0,138,2.149474
1.0,172,2.288143
2.0,212,2.428162
1.0,159,2.536956
1.0,179,2.650044
1.0,183,2.766183
1.0,177,2.883459
3.0,240,3.033107
2.0,217,3.166157
1.0,156,3.266121
3.0,265,3.432773
1.0,168,3.545442
2.0,205,3.666118
3.0,254,3.844217
1.0,158,3.948459
0.0,131,4.032767
0.0,142,4.116135
3.0,225,4.266127
0.0,131,4.349419
4.0,293,4.532741
2.0,206,4.666439
3.0,249,4.816419
0.0,126,4.899417
1.0,170,4.99941
0.0,129,5.082769
1.0,173,5.199439
0.0,136,5.299416
1.0,165,5.416063
2.0,207,5.566556
2.0,206,5.715334
1.0,167,5.832722
0.0,125,5.916066
0.0,125,6.016177
2.0,221,6.166116
3.0,267,6.333202
2.0,202,6.466078
0.0,135,6.54941
0.0,135,6.632694
0.0,140,6.732705
2.0,203,6.84937
2.0,200,6.983041
0.0,129,7.066019
3.0,227,7.216015
2.0,211,7.349768
2.0,207,7.482685
0.0,133,7.783287
0.0,130,8.546949
2.0,206,9.776853
0.0,132,10.556161
1.0,164,11.476847
2.0,229,12.750086
0.0,121,13.448496
0.0,129,14.16695
0.0,129,14.888016
3.0,242,16.267206
5.0,291,17.864297
0.0,129,18.583084
2.0,196,19.683108
1.0,149,20.527761
2.0,236,21.882456
1.0,176,22.88291
1.0,170,23.855336
2.0,178,24.866821
6.0,348,26.82911
0.0,127,27.569083
0.0,129,28.28319
3.0,267,29.799395
1.0,173,30.766063
0.0,135,31.549759
3.0,252,33.001522
0.0,140,33.809789
0.0,135,34.58271
0.0,129,35.354126
3.0,257,36.772209
6.0,360,38.808357
0.0,124,39.518989
0.0,129,40.249547
0.0,127,40.992219
0.0,137,41.786697
3.0,270,43.337784
1.0,173,44.315986
1.0,174,45.282634
1.0,152,46.149633
1.0,168,47.115779
0.0,131,47.900934
1.0,181,48.932559
1.0,183,50.048742
3.0,231,51.352693
2.0,190,52.440764
0.0,138,53.227864
2.0,186,54.282312
2.0,206,55.482888
0.0,142,56.297714
0.0,143,57.113431
1.0,166,58.078296
0.0,130,58.813629
3.0,236,60.183042
0.0,140,60.963207
2.0,201,62.132151
1.0,180,63.144489
0.0,142,63.948985
1.0,177,64.959183
1.0,170,65.957191
0.0,134,66.715337
2.0,207,67.913997
3.0,237,69.399172
1.0,158,70.369337
1.0,191,71.467428
1.0,156,72.348869
2.0,207,73.531716
4.0,297,75.215397
0.0,124,75.948397
4.0,307,77.686626
2.0,208,78.883844
0.0,131,79.637937
2.0,242,81.00686
2.0,195,82.136393
1.0,174,83.164461
1.0,158,84.069921
0.0,135,84.848256
1.0,167,85.948721
0.0,131,86.71469
0.0,144,87.598069
3.0,222,88.864884
2.0,211,90.081937
3.0,251,91.4814
0.0,135,92.265306
2.0,209,93.481247
1.0,180,94.531644
0.0,123,95.242082
1.0,174,96.258236
3.0,242,97.654808
1.0,173,98.645944
0.0,136,99.422819
1.0,152,100.323257
1.0,170,101.348319
1.0,178,102.371548
2.0,200,103.51827
1.0,153,104.397706
1.0,169,105.38731
0.0,137,106.179481
0.0,132,106.914473
0.0,138,107.748143
1.0,179,108.769607
0.0,137,109.610361
3.0,263,111.155285
3.0,250,112.647711
0.0,138,113.43824
1.0,156,114.366483
1.0,161,115.342193
1.0,170,116.319773
1.0,180,117.369741
0.0,132,118.139471
2.0,187,119.231114
2.0,200,120.378747
1.0,158,121.288186
0.0,121,122.010195
2.0,201,123.163907
4.0,306,124.969139
2.0,214,126.213915
1.0,166,127.210868
2.0,217,128.614388
2.0,203,129.901956
4.0,306,131.692023
1.0,153,132.594912
3.0,259,134.123814
0.0,128,134.880283
4.0,309,136.713467
0.0,128,137.447109
1.0,172,138.480021
0.0,129,139.2469
3.0,264,140.797316
0.0,131,141.563432
0.0,156,142.530543
0.0,145,143.380697
0.0,126,144.134765
2.0,207,145.37479
1.0,161,146.4301
1.0,180,147.506064
3.0,256,149.090434
2.0,198,150.247312
0.0,128,151.020028
1.0,188,152.123362
1.0,181,153.213341
2.0,200,154.379921
1.0,151,155.26301
0.0,134,156.063271
0.0,126,156.78011
5.0,318,158.661672
4.0,273,160.229655
2.0,244,161.629829
0.0,127,162.396313
0.0,130,163.157112
0.0,137,163.946375
2.0,219,165.265466
1.0,162,166.229598
1.0,174,167.248493
0.0,143,168.096689
3.0,262,169.647828
1.0,181,170.728244
0.0,124,171.471588
4.0,291,173.204889
1.0,176,174.295993
2.0,212,175.546039
3.0,211,176.779233
2.0,204,177.960697
0.0,128,178.725107
0.0,122,179.462562
3.0,230,180.812472
1.0,164,181.787177
1.0,149,182.712897
1.0,174,183.811804
2.0,220,185.11918
2.0,226,186.495592
1.0,170,187.492145
1.0,153,188.404405
2.0,237,189.998328
4.0,293,191.758065
3.0,285,193.523084
3.0,279,195.195565
2.0,232,196.578839
1.0,166,197.579518
3.0,257,199.16276
4.0,286,200.854317
1.0,156,201.81284
3.0,224,203.15608
2.0,220,204.509867
1.0,176,205.551527
0.0,125,206.279011
2.0,225,207.628655
2.0,204,208.874645
2.0,234,210.268705
5.0,327,212.212535
1.0,171,213.262151
1.0,154,214.162429
1.0,170,215.199233
2.0,202,216.37825
1.0,171,217.378889
1.0,174,218.378208
0.0,160,219.34256
2.0,218,220.712368
2.0,209,221.962413
0.0,130,222.811461
2.0,231,224.163612
3.0,218,225.468915
2.0,205,226.718838
2.0,216,228.150985
2.0,219,229.503003
4.0,267,231.133588
0.0,125,231.934667
3.0,221,233.344949
3.0,264,234.961017
1.0,186,236.111073
4.0,312,237.973876
0.0,130,238.727544
0.0,153,239.69228
1.0,157,240.643493
1.0,174,241.673144
1.0,154,242.600388
4.0,303,244.395467
1.0,173,245.478004
3.0,250,246.944209
2.0,222,248.294635
2.0,211,249.710769
1.0,192,250.894232
1.0,183,252.002656
0.0,159,252.99246
1.0,160,253.980083
0.0,138,254.815405
2.0,199,256.017546
0.0,120,256.744231
0.0,123,257.500086
2.0,201,258.683986
2.0,218,260.013853
3.0,272,261.639632
2.0,239,263.105226
1.0,166,264.21036
0.0,143,265.104474
1.0,165,266.106281
2.0,211,267.39468
2.0,218,268.710863
1.0,184,269.827009
3.0,215,271.130721
1.0,176,272.199388
2.0,229,273.575238
3.0,267,275.208894
1.0,156,276.164398
2.0,210,277.415994
0.0,134,278.249923
3.0,259,279.943285
1.0,195,281.193825
0.0,155,282.126613
0.0,127,282.894929
1.0,162,283.895637
2.0,233,285.293217
4.0,326,287.275904
3.0,254,288.899271
2.0,202,290.109623
0.0,131,290.910544
2.0,247,292.413201
1.0,197,293.609954
3.0,288,295.359469
0.0,184,296.48236
2.0,236,297.905688
7.0,261,299.476192
2.0,199,300.659998
3.0,266,302.292667
1.0,191,303.459332
2.0,220,304.788973
0.0,148,305.69286
0.0,176,306.776013
1.0,180,307.862372
3.0,245,309.463629
2.0,225,310.914761
2.0,224,312.286642
1.0,181,313.404471
0.0,139,314.276265
2.0,217,315.598804
2.0,195,316.815454
0.0,174,317.850803
3.0,289,319.592427
2.0,233,321.012342
2.0,197,322.246755
0.0,136,323.115134
4.0,300,324.913248
2.0,233,326.33296
2.0,208,327.600873
3.0,241,329.058799
1.0,169,330.092164
2.0,201,331.332524
2.0,227,332.715323
0.0,138,333.563744
2.0,196,334.791918
1.0,209,336.065534
2.0,214,337.466003
0.0,122,338.225313
0.0,159,339.23228
2.0,187,340.391969
1.0,174,341.425287
0.0,152,342.366661
4.0,330,344.375056
2.0,196,345.601825
4.0,268,347.225227
0.0,165,348.225691
0.0,144,349.124984
2.0,224,350.546759
2.0,265,352.202074
0.0,120,352.927294
1.0,170,353.994856
0.0,122,354.741476
3.0,294,356.574857
2.0,259,358.179303
1.0,189,359.322845
0.0,124,360.077989
2.0,195,361.285501
1.0,168,362.391866
0.0,148,363.29171
2.0,218,364.613837
1.0,181,365.74162
2.0,217,367.106248
0.0,144,368.007876
4.0,330,370.193828
2.0,257,371.774368
1.0,204,373.008104
0.0,139,373.869918
2.0,195,375.081187
0.0,158,376.022766
4.0,290,377.815498
3.0,271,379.477611
4.0,240,380.953005
7.0,278,382.674366
1.0,201,383.878848
3.0,246,385.430969
0.0,153,386.374117
3.0,226,387.808178
2.0,273,389.499472
3.0,235,390.95452
3.0,222,392.311173
2.0,200,393.560523
1.0,175,394.640497
2.0,236,396.104248
2.0,215,397.415441
0.0,122,398.165816
2.0,199,399.411027
2.0,239,400.860453
2.0,236,402.33331
2.0,198,403.527184
3.0,255,405.111661
3.0,247,406.67717
1.0,215,408.003047
7.0,295,409.850183
1.0,171,410.936286
2.0,224,412.335274
1.0,168,413.373286
2.0,223,414.756598
2.0,228,416.156862
0.0,159,417.109225
1.0,235,418.543537
2.0,215,419.886087
2.0,280,421.626731
2.0,251,423.299306
8.0,333,425.404124
3.0,256,426.993613
3.0,255,428.626148
1.0,287,430.496995
