#{"t_start": 1764004165.5816932, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,175,0.22217
0.0,132,0.323119
3.0,235,0.493563
2.0,208,0.631758
0.0,125,0.716405
2.0,219,0.883379
0.0,126,0.998147
1.0,153,1.109752
0.0,124,1.195668
2.0,195,1.32881
2.0,229,1.479997
0.0,137,1.588423
1.0,178,1.745744
1.0,175,1.863703
2.0,203,1.9968
1.0,177,2.112703
3.0,284,2.318517
2.0,198,2.481741
1.0,158,2.58757
1.0,176,2.705514
0.0,129,2.796178
2.0,211,2.936304
1.0,177,3.080468
2.0,213,3.220515
1.0,182,3.341543
1.0,177,3.460438
0.0,123,3.54706
2.0,201,3.685944
0.0,149,3.800106
1.0,168,3.929035
4.0,274,4.105592
1.0,173,4.219419
1.0,183,4.341335
0.0,144,4.463592
4.0,299,4.713746
0.0,129,4.842557
0.0,130,4.963217
0.0,138,5.089305
3.0,254,5.334408
2.0,237,5.57102
2.0,202,5.706111
1.0,170,5.819957
1.0,154,5.921754
0.0,126,6.005471
1.0,186,6.160187
0.0,131,6.270952
1.0,156,6.375028
2.0,201,6.505017
1.0,182,6.625897
3.0,227,6.78144
1.0,177,6.936803
0.0,125,7.026506
2.0,202,7.15845
1.0,171,7.271268
0.0,124,7.353913
4.0,262,7.538331
0.0,130,7.658306
0.0,149,7.759033
2.0,203,7.893077
2.0,199,8.025139
2.0,201,8.156374
2.0,225,8.347405
3.0,247,8.515717
2.0,199,8.644924
1.0,176,8.764018
3.0,236,8.935812
6.0,382,9.218105
2.0,217,9.360445
2.0,209,9.496538
1.0,172,9.613627
2.0,209,9.769997
0.0,132,9.865683
0.0,139,9.961457
1.0,170,10.076341
1.0,176,10.194203
2.0,202,10.344895
2.0,216,10.523279
4.0,260,10.690479
1.0,185,10.810321
0.0,127,10.896929
3.0,234,11.073781
0.0,156,11.197783
1.0,174,11.313744
1.0,157,11.417483
2.0,212,11.556527
0.0,127,11.641148
2.0,224,11.818456
0.0,131,11.929316
0.0,136,12.023106
1.0,181,12.143995
0.0,129,12.232624
0.0,158,12.339492
1.0,183,12.477743
1.0,176,12.634974
3.0,247,12.79716
0.0,129,12.885791
3.0,253,13.048069
2.0,217,13.2077
1.0,170,13.354914
0.0,124,13.437442
0.0,130,13.525155
1.0,170,13.636874
2.0,215,13.777879
2.0,199,13.910865
2.0,184,14.04589
0.0,124,14.131547
3.0,228,14.27759
2.0,200,14.406564
2.0,187,14.534548
3.0,250,14.745189
