#{"t_start": 1763997400.2974622, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,133,0.105576
2.0,206,0.261637
1.0,157,0.355582
4.0,280,0.542752
4.0,291,0.733552
0.0,138,0.822663
4.0,278,1.008079
2.0,198,1.138887
0.0,123,1.239197
0.0,127,1.323251
1.0,180,1.455564
2.0,209,1.588888
2.0,204,1.72143
1.0,174,1.837875
3.0,281,2.021066
1.0,175,2.149079
2.0,205,2.290978
1.0,151,2.389982
1.0,168,2.498852
1.0,168,2.622273
1.0,150,2.74205
1.0,150,2.891018
4.0,301,3.12986
1.0,178,3.272253
3.0,259,3.455013
0.0,144,3.553236
3.0,255,3.756902
1.0,160,3.870771
2.0,223,4.02222
3.0,261,4.187819
0.0,134,4.310623
1.0,177,4.438909
2.0,222,4.582808
1.0,176,4.694951
2.0,212,4.838668
0.0,136,4.933637
3.0,234,5.109432
1.0,186,5.237417
3.0,230,5.378256
2.0,195,5.510449
0.0,146,5.6076
4.0,300,5.833479
1.0,161,5.92277
1.0,164,6.039426
2.0,199,6.153901
0.0,138,6.254857
0.0,122,6.341207
2.0,202,6.473962
0.0,131,6.571562
2.0,202,6.687849
0.0,143,6.788576
1.0,156,6.888542
2.0,202,7.030285
0.0,129,7.124424
0.0,138,7.220834
1.0,178,7.320808
0.0,142,7.421475
2.0,213,7.558905
2.0,209,7.704462
0.0,131,7.788866
0.0,124,7.874716
2.0,198,8.007663
0.0,141,8.092236
0.0,128,8.170384
3.0,217,8.326524
1.0,171,8.440243
2.0,207,8.571978
0.0,131,8.65546
1.0,158,8.756685
1.0,153,8.856907
3.0,274,9.039538
7.0,247,9.190326
1.0,175,9.304306
0.0,138,9.390283
1.0,158,9.490141
4.0,281,9.675787
2.0,208,9.823648
2.0,216,9.955137
1.0,176,10.071331
1.0,165,10.171751
3.0,255,10.341869
0.0,140,10.440402
1.0,152,10.541874
2.0,193,10.656857
5.0,297,10.857394
2.0,220,11.006533
0.0,134,11.105323
0.0,128,11.190423
1.0,148,11.288206
2.0,203,11.40559
0.0,130,11.490204
0.0,127,11.576558
0.0,143,11.674895
1.0,174,11.806707
2.0,225,11.954331
0.0,143,12.054103
0.0,128,12.138794
0.0,133,12.222989
1.0,195,12.365139
1.0,169,12.470815
2.0,220,12.624237
1.0,148,12.723994
0.0,123,12.803139
0.0,135,12.904598
2.0,219,13.061425
3.0,251,13.218685
1.0,165,13.320403
1.0,183,13.441752
2.0,197,13.573261
0.0,125,13.673172
0.0,132,13.758493
1.0,161,13.869337
1.0,176,13.974887
0.0,123,14.06995
1.0,162,14.17095
3.0,258,14.356751
1.0,154,14.457157
1.0,173,14.571246
3.0,251,14.740927
2.0,225,14.889471
1.0,175,15.00254
0.0,128,15.103247
0.0,132,15.190245
1.0,182,15.320697
0.0,131,15.40481
3.0,252,15.574255
2.0,207,15.722262
2.0,208,15.875556
2.0,199,15.990845
0.0,133,16.092563
0.0,124,16.172211
2.0,219,16.325482
1.0,177,16.439329
1.0,183,16.572602
0.0,133,16.656219
4.0,304,16.841594
1.0,155,16.957564
1.0,169,17.073584
1.0,166,17.190055
0.0,130,17.273729
2.0,224,17.419158
0.0,127,17.506253
0.0,127,17.590042
4.0,324,17.806628
1.0,176,17.939308
4.0,285,18.107824
1.0,156,18.224947
0.0,144,18.309023
4.0,308,18.526109
1.0,152,18.641567
0.0,124,18.720337
5.0,320,18.921155
0.0,136,19.00743
1.0,175,19.144935
1.0,169,19.253999
1.0,170,19.369473
0.0,128,19.455374
4.0,309,19.65555
2.0,212,19.813627
3.0,251,19.972443
2.0,203,20.117806
1.0,164,20.220492
2.0,195,20.357366
2.0,198,20.491066
1.0,190,20.620231
0.0,131,20.705459
2.0,216,20.858328
0.0,151,20.958188
1.0,164,21.05923
1.0,187,21.208287
1.0,158,21.306857
1.0,177,21.42372
0.0,131,21.52101
0.0,126,21.607862
2.0,210,21.757397
0.0,124,21.850652
0.0,135,21.938109
0.0,133,22.024888
0.0,127,22.108971
0.0,133,22.208326
0.0,125,22.288651
0.0,131,22.387736
1.0,174,22.512344
0.0,142,22.614158
3.0,245,22.773187
4.0,258,22.941798
1.0,154,23.036806
2.0,251,23.215579
1.0,194,23.353951
0.0,122,23.43802
0.0,139,23.539457
1.0,173,23.654717
1.0,179,23.772232
2.0,205,23.908862
1.0,152,24.024148
0.0,140,24.108202
4.0,288,24.304012
2.0,221,24.441001
1.0,177,24.568796
1.0,153,24.674459
2.0,229,24.818877
6.0,377,25.042314
2.0,199,25.189865
2.0,205,25.322684
0.0,130,25.421268
0.0,132,25.506424
3.0,244,25.654104
0.0,139,25.738766
0.0,127,25.843812
4.0,282,26.023124
1.0,174,26.14071
1.0,164,26.255398
0.0,124,26.340819
0.0,130,26.425455
1.0,157,26.537086
4.0,321,26.735878
3.0,230,26.890192
4.0,306,27.075461
4.0,299,27.292557
2.0,208,27.439138
0.0,124,27.524279
2.0,200,27.655416
1.0,176,27.756948
1.0,189,27.906655
1.0,178,28.020668
2.0,181,28.141448
0.0,124,28.221151
1.0,157,28.32205
1.0,174,28.436933
0.0,121,28.532973
1.0,172,28.64858
1.0,171,28.75552
0.0,131,28.837295
0.0,127,28.924207
5.0,361,29.164152
2.0,221,29.319269
1.0,152,29.404635
1.0,177,29.520064
2.0,198,29.657781
3.0,270,29.833897
1.0,174,29.956314
1.0,170,30.058343
1.0,156,30.152879
2.0,209,30.29146
1.0,166,30.406714
2.0,210,30.56614
0.0,143,30.655235
2.0,210,30.792031
3.0,240,30.95467
0.0,130,31.040254
2.0,225,31.207263
3.0,232,31.372119
2.0,218,31.520084
3.0,248,31.67282
1.0,153,31.791066
0.0,129,31.875708
1.0,164,32.011287
2.0,199,32.138099
2.0,224,32.290758
0.0,141,32.392473
4.0,307,32.606656
1.0,160,32.723015
1.0,163,32.838808
2.0,199,32.970356
2.0,203,33.108085
3.0,273,33.313214
2.0,232,33.471955
0.0,124,33.55737
0.0,130,33.641313
0.0,131,33.73621
1.0,165,33.837516
1.0,176,34.514543
1.0,204,35.790211
0.0,147,36.677449
3.0,219,37.956326
1.0,150,38.853504
4.0,300,40.674164
2.0,210,41.910752
1.0,180,42.981249
2.0,213,44.258564
2.0,205,45.52446
1.0,186,46.660737
2.0,220,47.977294
0.0,126,48.732001
0.0,144,49.630976
3.0,269,51.282783
2.0,232,52.674644
1.0,173,53.691311
3.0,262,55.278072
4.0,324,57.222917
2.0,205,58.476922
0.0,143,59.30677
2.0,207,60.591198
3.0,250,62.091216
1.0,199,63.285366
0.0,142,64.160877
5.0,343,66.292377
5.0,309,68.149337
1.0,157,69.110847
2.0,205,70.367496
1.0,159,71.342443
2.0,217,72.714068
1.0,185,73.839889
1.0,180,74.917523
4.0,307,76.786732
2.0,181,77.891652
4.0,268,79.505099
1.0,166,80.494088
1.0,168,81.508894
1.0,190,82.739348
1.0,186,83.856887
2.0,221,85.178142
2.0,235,86.638986
1.0,177,87.741198
3.0,244,89.189163
2.0,194,90.377188
2.0,218,91.775596
0.0,120,92.510754
1.0,179,93.605039
2.0,237,95.041656
4.0,256,96.652816
2.0,216,97.964051
3.0,231,99.368104
2.0,219,100.695822
2.0,231,102.13987
0.0,151,103.043148
3.0,240,104.472915
2.0,177,105.624808
2.0,195,106.882729
4.0,277,108.601381
2.0,220,109.952406
3.0,252,111.48853
4.0,297,113.389804
4.0,284,115.110509
2.0,205,116.368469
2.0,199,117.631012
3.0,243,119.194901
0.0,134,120.007883
1.0,182,121.108983
2.0,213,122.389635
2.0,243,123.928301
1.0,169,124.955843
2.0,209,126.248206
3.0,255,127.788839
0.0,137,128.641289
1.0,160,129.694863
1.0,194,130.873401
2.0,210,132.179765
3.0,269,133.883003
2.0,236,135.36357
4.0,286,137.125939
3.0,251,138.70422
11.0,440,141.471713
0.0,157,142.424239
2.0,230,143.806525
2.0,228,145.228631
0.0,184,146.414924
0.0,141,147.350825
5.0,402,149.787108
2.0,237,151.275104
1.0,175,152.409491
1.0,185,153.594467
3.0,252,155.126297
1.0,216,156.474791
0.0,168,157.517469
0.0,202,158.820374
2.0,241,160.310644
3.0,294,162.143214
2.0,228,163.605753
1.0,234,165.026493
2.0,216,166.387038
0.0,206,167.706279
1.0,199,168.990447
2.0,235,170.484917
2.0,226,171.871845
3.0,257,173.454995
4.0,294,175.339592
3.0,278,177.092766
3.0,245,178.652668
1.0,167,179.700556
0.0,152,180.605794
0.0,168,181.706882
1.0,163,182.704637
3.0,274,184.40891
1.0,240,185.956056
2.0,263,187.591831
0.0,202,188.855928
2.0,246,190.44672
0.0,138,191.357563
0.0,120,192.209768
1.0,181,193.372291
1.0,256,194.971299
3.0,309,196.90791
1.0,222,198.274012
2.0,204,199.552624
1.0,149,200.518229
2.0,225,201.977846
3.0,228,203.360291
1.0,227,204.780446
1.0,189,205.957152
0.0,122,206.689318
3.0,329,208.821502
6.0,472,211.787653
3.0,230,213.214265
1.0,272,214.926042
4.0,268,216.607331
3.0,276,218.357152
1.0,162,219.372886
0.0,142,220.25083
1.0,269,221.959391
7.0,267,223.621753
1.0,203,224.874333
2.0,201,226.187881
7.0,361,228.410586
2.0,220,229.757082
3.0,252,231.343772
7.0,282,233.191933
5.0,419,235.788356
11.0,344,237.988515
5.0,369,240.340211
7.0,346,242.502617
1.0,181,243.654574
1.0,207,244.937931
2.0,283,246.712533
7.0,456,249.871542
3.0,226,251.37626
2.0,253,253.054973
2.0,270,254.836597
0.0,120,255.654867
2.0,272,257.521299
2.0,305,259.605064
1.0,249,261.276179
1.0,198,262.636555
1.0,356,265.003549
1.0,167,266.152954
9.0,390,268.752983
3.0,393,271.403052
3.0,268,273.219398
4.0,331,275.40089
2.0,322,277.552805
3.0,421,280.391749
3.0,381,282.902887
11.0,319,284.998748
0.0,213,286.452764
7.0,272,288.319141
0.0,353,290.625705
4.0,421,293.403122
4.0,349,295.768641
6.0,410,298.558941
3.0,287,300.519884
4.0,290,302.494496
1.0,345,304.78722
4.0,501,308.205864
2.0,214,309.593387
3.0,446,312.762305
4.0,343,315.205135
2.0,268,317.003564
7.0,345,319.307501
4.0,390,321.85487
2.0,318,323.998943
4.0,415,326.785995
0.0,120,327.592682
3.0,780,332.81015
2.0,836,338.324474
8.0,544,341.932921
6.0,531,345.470781
7.0,521,348.908665
4.0,531,352.474332
3.0,210,353.922763
3.0,282,355.788622
2.0,1154,363.372183
3.0,450,366.326552
5.0,360,368.712964
7.0,574,372.546798
1.0,184,373.780879
