#{"t_start": 1763955774.5003254, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,158,0.161832
1.0,157,0.275112
2.0,206,0.433901
0.0,144,0.578833
1.0,176,0.728052
0.0,124,0.84283
1.0,152,0.944655
2.0,203,1.094349
1.0,154,1.210367
1.0,163,1.311056
3.0,236,1.478424
1.0,161,1.594342
1.0,171,1.710995
0.0,140,1.810978
3.0,242,1.979819
1.0,161,2.096958
0.0,141,2.196295
1.0,172,2.328137
1.0,168,2.444316
3.0,255,2.610966
1.0,163,2.729555
1.0,172,2.846312
0.0,138,2.946313
3.0,270,3.127611
1.0,199,3.261304
1.0,176,3.394459
3.0,245,3.560936
2.0,201,3.694284
0.0,137,3.794281
0.0,125,3.877593
0.0,125,3.961053
2.0,183,4.111297
1.0,169,4.227582
1.0,172,4.346285
0.0,145,4.444592
4.0,302,4.644253
1.0,169,4.761234
0.0,122,4.86008
4.0,282,5.044253
1.0,158,5.161203
1.0,160,5.278282
1.0,187,5.410882
0.0,133,5.51013
1.0,170,5.627537
0.0,128,5.710896
0.0,130,5.812159
1.0,149,5.910869
1.0,184,6.027537
1.0,192,6.17956
1.0,178,6.310859
0.0,121,6.396219
1.0,171,6.511066
0.0,128,6.594534
0.0,155,6.711862
0.0,129,6.79421
4.0,304,6.994206
2.0,227,7.177518
0.0,129,7.861541
0.0,134,8.745669
1.0,174,9.795156
2.0,196,10.997245
3.0,274,12.682132
0.0,131,13.479891
2.0,209,14.766174
0.0,129,15.527802
0.0,138,16.412069
0.0,139,17.244057
2.0,182,18.396507
0.0,125,19.17305
0.0,133,19.998345
2.0,217,21.344463
0.0,127,22.116479
2.0,192,23.311154
2.0,220,24.663998
2.0,212,25.963068
1.0,173,27.044446
2.0,205,28.310977
0.0,125,29.077591
1.0,176,30.165856
3.0,273,31.810725
2.0,232,33.211047
4.0,299,35.044179
2.0,218,36.37782
0.0,121,37.127362
2.0,222,38.525884
1.0,184,39.676814
2.0,199,40.892358
2.0,221,42.227252
2.0,208,43.574318
4.0,296,45.393787
3.0,253,46.974378
1.0,154,47.910353
2.0,211,49.210603
0.0,132,50.030356
0.0,125,50.810282
1.0,177,51.893831
0.0,132,52.727218
2.0,224,54.120566
2.0,209,55.410368
2.0,185,56.543034
1.0,163,57.529965
0.0,131,58.359652
0.0,153,59.310244
0.0,130,60.104839
1.0,189,61.299606
1.0,177,62.410547
0.0,127,63.191627
1.0,161,64.196266
2.0,194,65.398287
1.0,177,66.491937
3.0,246,68.024856
0.0,141,68.89551
0.0,130,69.70937
1.0,172,70.761467
3.0,240,72.211689
2.0,226,73.574508
2.0,199,74.810148
1.0,190,75.983144
2.0,200,77.209619
2.0,187,78.376316
1.0,151,79.326607
0.0,126,80.128593
2.0,230,81.563433
1.0,164,82.5766
2.0,204,83.843361
2.0,201,85.079379
2.0,223,86.471295
2.0,205,87.709455
1.0,168,88.747118
0.0,136,89.608846
0.0,148,90.526421
0.0,126,91.325504
0.0,160,92.309672
1.0,178,93.452825
0.0,135,94.29249
1.0,178,95.394587
0.0,133,96.225875
3.0,229,97.645085
0.0,145,98.54249
1.0,160,99.526171
