#{"t_start": 1764082744.140772, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,135,0.557389
0.0,132,0.64766
3.0,242,0.812549
0.0,135,0.904283
3.0,255,1.087126
0.0,126,1.184278
1.0,152,1.322634
2.0,228,1.483607
2.0,207,1.627592
1.0,179,1.747274
0.0,129,1.834878
2.0,214,1.987678
0.0,128,2.099851
4.0,285,2.288417
1.0,157,2.395853
2.0,218,2.540953
0.0,135,2.649753
2.0,201,2.822294
3.0,272,3.001747
1.0,192,3.129873
1.0,181,3.254365
2.0,204,3.416462
0.0,123,3.528612
2.0,215,3.676205
5.0,357,3.911441
0.0,129,4.000233
4.0,276,4.222085
0.0,129,4.318656
2.0,221,4.467805
1.0,177,4.587078
4.0,304,4.795478
0.0,132,4.909729
3.0,230,5.073836
1.0,176,5.192455
1.0,158,5.298619
0.0,129,5.387573
0.0,129,5.482541
0.0,137,5.606105
0.0,130,5.71879
1.0,160,5.833256
3.0,235,6.002472
4.0,285,6.187104
4.0,278,6.419467
1.0,184,6.552921
0.0,135,6.648907
5.0,298,6.842381
2.0,212,6.994155
0.0,127,7.111325
0.0,128,7.21107
3.0,272,7.393216
3.0,224,7.544305
2.0,197,7.675129
3.0,234,7.878561
2.0,201,8.01911
1.0,177,8.14015
0.0,128,8.22956
2.0,202,8.371287
0.0,135,8.481688
0.0,132,8.598364
0.0,132,8.694246
0.0,133,8.79038
2.0,202,8.926525
0.0,122,9.010546
2.0,201,9.143013
1.0,151,9.278714
2.0,204,9.434674
1.0,148,9.535996
2.0,212,9.675998
1.0,185,9.803893
2.0,212,9.967262
1.0,189,10.120673
0.0,134,10.210808
0.0,130,10.304259
1.0,166,10.415606
3.0,229,10.56495
0.0,134,10.675638
3.0,245,10.859565
1.0,151,10.963401
1.0,168,11.077956
1.0,182,11.198837
5.0,358,11.474516
2.0,184,11.610004
2.0,202,11.744456
2.0,199,11.877943
0.0,133,11.971739
2.0,207,12.130737
1.0,177,12.272103
2.0,199,12.403507
2.0,191,12.538789
1.0,186,12.664965
0.0,140,12.764488
1.0,154,12.900629
0.0,130,13.003491
0.0,135,13.095701
2.0,226,13.243116
0.0,121,13.324444
4.0,312,13.550045
0.0,122,13.646297
3.0,277,13.833412
4.0,278,14.018226
1.0,180,14.144477
2.0,229,14.329546
1.0,179,14.464278
2.0,226,14.614535
0.0,132,14.709937
1.0,160,14.816421
3.0,243,15.000319
3.0,262,15.198878
1.0,164,15.309544
0.0,129,15.396172
4.0,281,15.577685
0.0,128,15.683369
1.0,159,15.825617
3.0,275,16.008675
0.0,125,16.094967
2.0,204,16.231539
1.0,157,16.339839
0.0,128,16.45347
0.0,130,16.558661
0.0,142,16.654382
2.0,211,16.798215
2.0,213,16.937261
