#{"t_start": 1764038395.8229399, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,180,0.368864
0.0,121,0.448393
3.0,256,0.622619
1.0,153,0.733321
0.0,124,0.834676
3.0,255,1.02475
1.0,154,1.154116
2.0,211,1.292631
0.0,167,1.416793
1.0,173,1.543681
2.0,202,1.686214
5.0,329,1.954439
0.0,125,2.035468
3.0,255,2.226293
0.0,134,2.320918
0.0,128,2.416353
3.0,210,2.599712
2.0,207,2.754142
0.0,128,2.833261
3.0,238,3.007953
0.0,128,3.101113
0.0,132,3.211121
1.0,174,3.355093
0.0,129,3.450051
3.0,264,3.630052
2.0,196,3.773051
0.0,126,3.868344
3.0,233,4.059238
2.0,220,4.214505
3.0,256,4.387905
0.0,123,4.482852
0.0,142,4.578086
1.0,156,4.707333
1.0,168,4.857774
2.0,223,5.020466
3.0,258,5.190954
1.0,174,5.316514
1.0,194,5.456939
1.0,174,5.603965
0.0,130,5.696754
2.0,203,5.837601
1.0,173,5.959324
0.0,133,6.070696
0.0,137,6.165841
2.0,210,6.330094
0.0,120,6.425494
1.0,177,6.551984
0.0,125,6.630851
4.0,266,6.828958
0.0,138,6.92556
0.0,137,7.05577
1.0,183,7.175332
1.0,156,7.30067
3.0,233,7.459776
2.0,204,7.585996
7.0,395,7.90168
2.0,206,8.048531
1.0,174,8.175469
1.0,171,8.286511
3.0,266,8.496977
2.0,211,8.647774
0.0,128,8.743037
0.0,127,8.822225
2.0,227,8.981769
2.0,195,9.139163
3.0,226,9.321254
2.0,191,9.453672
4.0,305,9.654887
1.0,171,9.767435
1.0,173,9.91017
5.0,303,10.131714
0.0,128,10.22734
0.0,146,10.333876
2.0,216,10.475523
2.0,191,10.622316
0.0,130,10.725339
1.0,168,10.833801
0.0,129,10.937501
6.0,384,11.198394
2.0,218,11.368401
2.0,206,11.515477
1.0,171,11.626697
1.0,174,11.753702
0.0,130,11.848494
7.0,391,12.164376
1.0,182,12.281018
0.0,150,12.392078
0.0,129,12.471246
3.0,263,12.6638
0.0,135,12.77213
3.0,244,12.963281
2.0,209,13.105154
0.0,132,13.200786
2.0,184,13.327383
1.0,162,13.438038
0.0,131,13.548522
0.0,122,13.667024
1.0,164,13.776825
1.0,176,13.903248
1.0,187,14.030212
0.0,129,14.133745
2.0,226,14.313619
2.0,199,14.450438
1.0,171,14.57721
2.0,185,14.699486
0.0,124,14.79452
2.0,212,14.94208
2.0,203,15.100851
1.0,156,15.216119
1.0,172,15.326698
0.0,125,15.421592
2.0,205,15.547776
1.0,175,15.697413
2.0,232,15.870711
2.0,210,16.013452
0.0,124,16.108235
1.0,178,16.232543
0.0,138,16.327955
0.0,134,16.434414
2.0,212,16.611414
2.0,202,16.748803
1.0,185,16.875809
2.0,202,17.017969
1.0,206,17.176984
0.0,140,17.300458
0.0,133,17.394019
0.0,131,17.488886
1.0,172,17.599845
0.0,136,17.699723
1.0,175,17.827668
0.0,139,17.939914
4.0,303,18.159324
1.0,162,18.282704
4.0,310,18.488864
0.0,134,18.587527
2.0,199,18.748084
1.0,170,18.866329
6.0,363,19.120492
3.0,227,19.263672
5.0,352,19.548724
3.0,257,19.729259
2.0,187,19.856498
2.0,198,19.999163
3.0,237,20.188767
2.0,218,20.332475
0.0,126,20.427758
2.0,212,20.570256
4.0,284,20.77224
1.0,170,20.924914
3.0,237,21.089297
0.0,122,21.168266
1.0,162,21.279151
2.0,204,21.43159
2.0,234,21.623634
2.0,199,21.765239
0.0,132,21.860337
0.0,131,21.950886
1.0,188,22.093924
3.0,232,22.268006
3.0,263,22.458366
7.0,381,22.709707
0.0,137,22.805499
2.0,197,22.958349
3.0,229,23.139218
0.0,129,23.234159
2.0,216,23.377186
0.0,125,23.456876
10.0,445,23.788789
2.0,229,23.947623
2.0,228,24.105852
5.0,349,24.34415
0.0,120,24.444801
2.0,210,24.597009
0.0,123,24.676164
2.0,209,24.818335
1.0,153,24.929219
0.0,150,25.049446
0.0,130,25.166007
3.0,232,25.350055
0.0,130,25.445294
1.0,174,25.565775
2.0,200,25.6927
1.0,179,25.818528
1.0,159,25.95985
2.0,199,26.114184
2.0,197,26.25674
0.0,135,26.336032
1.0,165,26.447314
2.0,208,26.617625
0.0,131,26.724386
0.0,123,26.850398
1.0,185,26.993903
3.0,246,27.210765
1.0,167,27.354021
0.0,121,27.45906
1.0,180,27.609398
1.0,179,27.756655
0.0,127,27.850334
1.0,178,27.968016
0.0,135,28.078034
1.0,191,28.318987
0.0,125,28.431767
0.0,126,28.531213
1.0,151,28.634565
2.0,233,28.801075
1.0,159,28.911187
0.0,130,28.999274
7.0,338,29.264164
4.0,264,29.447056
1.0,168,29.559036
1.0,159,29.669029
0.0,127,29.759085
3.0,255,29.964888
2.0,209,30.114089
3.0,228,30.274233
1.0,185,30.398919
3.0,234,30.589346
2.0,218,30.754572
2.0,203,30.889277
3.0,247,31.05927
0.0,128,31.166718
3.0,249,31.356802
3.0,226,31.530934
2.0,199,31.679138
0.0,136,31.783071
3.0,251,31.959238
2.0,238,32.140786
2.0,203,32.288939
2.0,219,32.439171
4.0,312,32.651518
1.0,169,32.790752
0.0,131,32.895026
1.0,180,33.029085
1.0,154,33.142985
4.0,294,33.339126
0.0,141,33.438824
0.0,127,33.532872
2.0,202,33.69247
0.0,127,33.778955
1.0,175,33.898783
4.0,289,34.099004
1.0,183,34.248729
1.0,154,34.384121
0.0,128,34.469138
0.0,136,34.568869
2.0,200,34.698844
1.0,168,34.818677
1.0,175,34.949106
0.0,127,35.052993
1.0,152,35.169016
1.0,182,35.293899
0.0,136,35.398846
1.0,156,35.508898
2.0,202,35.651102
2.0,207,35.829005
0.0,136,35.924819
2.0,216,36.073777
0.0,126,36.163827
2.0,214,36.330335
2.0,240,36.514717
0.0,124,36.614061
0.0,124,36.699021
4.0,300,36.902246
2.0,233,37.061174
3.0,229,38.216217
3.0,283,39.974447
1.0,174,41.058198
0.0,154,42.010981
1.0,155,42.969492
2.0,208,44.297766
2.0,243,45.79758
2.0,203,47.041879
0.0,132,47.877419
3.0,215,49.215401
0.0,149,50.188145
0.0,134,51.118395
2.0,202,52.48515
1.0,152,53.514916
3.0,250,55.18874
1.0,157,56.206644
1.0,183,57.446236
2.0,189,58.596711
0.0,125,59.371192
1.0,152,60.313695
0.0,134,61.153022
0.0,125,61.928411
0.0,133,62.889138
4.0,297,65.122945
2.0,197,66.792766
1.0,151,67.812881
0.0,143,68.760908
3.0,235,70.354754
1.0,171,71.572333
1.0,163,72.6271
0.0,122,73.398164
0.0,145,74.298088
0.0,137,75.18075
4.0,260,76.859993
2.0,214,78.135351
2.0,201,79.327719
2.0,240,80.876069
0.0,143,81.748938
1.0,188,82.873864
3.0,247,84.44198
3.0,269,86.074122
2.0,219,87.416944
0.0,122,88.146273
1.0,171,89.211842
0.0,131,90.016925
0.0,122,90.821878
2.0,194,92.017761
2.0,201,93.255285
2.0,182,94.40952
0.0,133,95.228902
2.0,201,96.44524
2.0,212,97.711013
0.0,136,98.610193
1.0,165,99.658981
2.0,199,100.887739
4.0,269,102.538751
1.0,154,103.497983
2.0,199,104.738556
0.0,139,105.574603
4.0,278,107.316698
3.0,265,108.941695
2.0,245,110.435213
2.0,185,111.596782
0.0,129,112.38693
1.0,158,113.345805
0.0,143,114.218161
1.0,185,115.328772
2.0,208,116.595977
0.0,133,117.444547
0.0,151,118.383535
0.0,148,119.301154
3.0,259,120.963956
3.0,257,122.530309
0.0,131,123.330583
0.0,165,124.327456
1.0,174,125.41974
2.0,198,126.624508
2.0,203,127.889325
0.0,124,128.64283
2.0,222,129.996036
1.0,154,130.92358
1.0,195,132.119026
1.0,171,133.158205
0.0,126,133.922421
3.0,253,135.466212
2.0,206,136.705881
5.0,348,138.841964
0.0,145,139.711139
5.0,340,141.787624
0.0,127,142.568784
