#{"t_start": 1764016624.3232973, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,181,1.797318
2.0,220,1.947313
1.0,164,2.047667
2.0,220,2.197345
0.0,134,2.297328
1.0,176,2.438066
3.0,266,2.61427
2.0,208,2.749275
1.0,160,2.847608
0.0,129,2.931669
0.0,130,3.013976
0.0,131,3.130999
0.0,136,3.238182
1.0,186,3.347268
1.0,173,3.46394
0.0,126,3.563937
0.0,130,3.647729
2.0,182,3.796519
1.0,155,3.906437
2.0,243,4.063921
0.0,122,4.163922
1.0,169,4.280583
3.0,232,4.447247
4.0,277,4.653881
0.0,124,4.747552
1.0,171,4.863902
0.0,128,4.964391
1.0,160,5.086091
0.0,125,5.163935
1.0,167,5.306415
2.0,205,5.447218
2.0,230,5.597534
2.0,232,5.76388
1.0,177,5.897521
1.0,159,6.014181
1.0,153,6.13052
0.0,134,6.230568
2.0,208,6.363873
0.0,147,6.467537
1.0,170,6.582602
1.0,178,6.73403
1.0,177,6.864866
1.0,172,6.982945
0.0,126,7.063869
2.0,233,7.230519
1.0,164,7.330519
3.0,231,7.521265
2.0,198,7.667349
0.0,128,7.747268
3.0,257,7.930532
2.0,222,8.082589
0.0,127,8.164377
4.0,299,8.392262
1.0,153,8.497152
0.0,124,8.583517
1.0,183,8.713934
1.0,164,8.830784
1.0,169,8.962767
0.0,125,9.047262
2.0,202,9.180493
2.0,188,9.313823
3.0,240,9.480483
3.0,249,9.680783
0.0,123,9.768177
3.0,257,9.930434
1.0,196,10.063808
2.0,198,10.203625
0.0,138,10.301361
1.0,181,10.448113
1.0,158,10.547122
2.0,225,10.714756
2.0,231,10.863743
0.0,132,10.980703
1.0,173,11.097436
0.0,129,11.197101
1.0,176,11.313761
0.0,138,11.409759
1.0,183,11.535411
0.0,133,11.631765
0.0,146,11.748119
1.0,176,11.883842
0.0,127,11.96578
0.0,137,12.06575
1.0,156,12.183861
0.0,147,12.282287
1.0,182,12.41575
0.0,136,12.532469
4.0,300,12.738813
1.0,154,12.850848
2.0,181,12.977681
0.0,123,13.064208
1.0,172,13.186398
1.0,166,13.323176
0.0,123,13.409112
1.0,161,13.517751
0.0,137,13.614187
2.0,201,13.752028
0.0,124,13.841678
0.0,122,13.936583
2.0,222,14.086408
0.0,127,14.183376
1.0,182,14.311107
1.0,172,14.431356
4.0,325,14.67056
0.0,120,14.763627
0.0,125,14.848494
0.0,131,14.936416
3.0,249,15.103052
0.0,134,15.201968
0.0,128,15.30301
0.0,131,15.40343
2.0,230,15.563654
1.0,177,15.687634
1.0,151,15.780293
2.0,202,15.930638
0.0,132,16.030676
0.0,120,16.11391
1.0,164,16.230636
0.0,137,16.330278
2.0,228,16.480603
3.0,255,16.656216
3.0,251,16.846956
1.0,174,16.963584
2.0,224,17.113606
3.0,276,17.296943
0.0,135,17.399316
2.0,228,17.564604
0.0,120,17.647223
2.0,221,17.796899
0.0,130,17.880612
1.0,162,17.998909
0.0,134,18.097221
3.0,254,18.296882
3.0,251,18.463574
1.0,160,18.563908
1.0,181,18.696868
2.0,199,18.830185
0.0,126,18.931173
1.0,177,19.047214
0.0,136,19.130547
1.0,149,19.24687
0.0,124,19.330542
0.0,136,19.413534
0.0,129,19.513495
0.0,131,19.613857
0.0,132,19.700536
3.0,269,19.880207
1.0,185,20.013525
0.0,136,20.113533
1.0,152,20.230163
0.0,127,20.337913
2.0,218,20.481178
0.0,124,20.580162
2.0,200,20.713828
2.0,227,20.878436
1.0,160,20.997107
0.0,131,21.107198
2.0,235,21.263973
1.0,174,21.39887
5.0,326,21.633712
1.0,159,21.768894
3.0,258,21.950412
2.0,213,22.097794
1.0,176,22.213771
0.0,129,22.320061
3.0,270,22.513421
0.0,122,22.599727
0.0,138,22.717289
0.0,122,22.799489
0.0,131,22.89773
0.0,123,22.984634
1.0,178,23.111573
1.0,158,23.2413
0.0,132,23.332334
1.0,171,23.447806
0.0,125,23.551818
1.0,179,23.667348
1.0,152,23.783996
1.0,156,23.90825
0.0,130,24.001771
2.0,199,24.1301
2.0,198,24.265853
1.0,172,24.382632
1.0,177,24.517672
1.0,175,24.651814
2.0,200,24.804171
1.0,182,24.931676
2.0,197,25.064087
2.0,195,25.201698
1.0,182,25.345706
0.0,133,25.449724
0.0,134,25.532931
2.0,205,25.682544
1.0,170,25.79758
0.0,134,25.90111
3.0,247,26.078267
1.0,172,26.212596
1.0,160,26.327664
2.0,208,26.468565
3.0,241,26.619782
0.0,123,26.719605
2.0,206,26.884369
4.0,261,27.05278
3.0,271,27.246048
1.0,177,27.362762
1.0,174,27.496685
0.0,123,27.595487
0.0,132,27.679814
0.0,136,27.779363
0.0,141,27.879217
1.0,165,27.997863
0.0,129,28.095262
1.0,160,28.224986
4.0,290,28.43028
3.0,262,28.598097
0.0,130,28.698608
1.0,155,28.797811
3.0,253,28.979295
0.0,135,29.090748
0.0,134,29.183685
1.0,154,29.291688
3.0,248,29.459749
1.0,170,29.563193
2.0,224,29.733606
1.0,149,29.848204
4.0,284,30.032716
2.0,206,30.173716
2.0,222,30.34174
3.0,267,30.531882
0.0,129,30.644172
0.0,144,30.72912
1.0,173,30.860433
2.0,209,31.012358
1.0,160,31.13168
0.0,125,31.212511
2.0,193,31.346445
1.0,173,31.464665
1.0,150,31.579264
0.0,137,31.675454
0.0,130,31.772184
1.0,157,31.89537
0.0,131,31.979576
0.0,128,32.080668
0.0,129,32.164138
0.0,130,32.249186
0.0,121,32.346569
1.0,170,32.46495
3.0,242,32.62923
0.0,135,32.734836
0.0,126,32.814222
2.0,190,32.945596
1.0,174,33.061523
1.0,180,33.210533
0.0,123,33.304138
1.0,169,33.415981
2.0,199,33.547505
1.0,169,33.66175
3.0,271,33.85828
0.0,143,33.964567
0.0,139,34.048399
5.0,326,34.265157
2.0,186,34.39697
2.0,201,34.549884
0.0,127,34.645036
0.0,128,34.743246
2.0,204,34.881867
2.0,203,35.016665
3.0,206,35.147681
1.0,171,35.290716
0.0,130,35.392748
1.0,152,35.502785
2.0,194,35.635615
0.0,129,35.730863
1.0,156,35.837415
0.0,134,35.933852
1.0,166,36.052512
3.0,232,36.211818
0.0,134,36.295693
5.0,312,36.512429
0.0,131,36.613477
0.0,132,36.71233
2.0,238,36.881878
1.0,157,36.983062
0.0,131,37.082511
2.0,234,37.229786
1.0,154,37.682416
0.0,129,38.467319
3.0,250,39.948943
1.0,171,40.964409
4.0,276,42.627933
2.0,198,43.796767
3.0,250,45.231474
2.0,204,46.410193
2.0,222,47.707802
1.0,157,48.63354
2.0,200,49.81441
0.0,131,50.609555
0.0,127,51.365807
0.0,127,52.072195
0.0,123,52.78883
3.0,228,54.151073
2.0,201,55.31373
2.0,209,56.519612
2.0,227,57.826876
1.0,193,59.018275
0.0,139,59.813023
0.0,121,60.54836
2.0,179,61.590032
1.0,173,62.666812
1.0,159,63.583835
0.0,131,64.400084
2.0,202,65.600032
1.0,183,66.702534
2.0,221,68.019319
0.0,130,68.759464
1.0,171,69.796256
0.0,139,70.603117
1.0,172,71.595996
1.0,151,72.487776
1.0,170,73.504614
1.0,186,74.583613
1.0,183,75.695951
2.0,237,77.067544
2.0,202,78.268701
1.0,179,79.32983
1.0,171,80.316879
1.0,175,81.327828
3.0,248,82.779661
2.0,198,84.012832
3.0,246,85.471259
2.0,205,86.689469
0.0,132,87.481156
0.0,158,88.495725
0.0,136,89.312336
0.0,142,90.195704
2.0,203,91.412172
0.0,168,92.422338
2.0,196,93.584104
0.0,126,94.352395
3.0,259,95.90159
2.0,210,97.162006
0.0,140,98.012152
1.0,157,98.952482
0.0,135,99.796083
0.0,129,100.633552
2.0,198,101.912468
0.0,128,102.711924
2.0,201,104.172721
2.0,231,105.67854
3.0,268,107.516127
0.0,120,108.306717
1.0,162,109.315134
3.0,263,111.137434
0.0,139,112.128486
3.0,249,113.711743
2.0,187,114.911598
1.0,175,116.191083
0.0,125,117.083761
0.0,128,117.977138
1.0,160,119.084557
2.0,218,120.659053
0.0,121,121.433894
2.0,252,123.044959
1.0,172,124.174233
0.0,141,125.154682
1.0,152,126.151983
5.0,341,128.467767
1.0,160,129.57478
3.0,282,131.597461
2.0,232,133.163014
1.0,178,134.336261
3.0,251,135.989516
2.0,198,137.285659
0.0,142,138.231103
1.0,172,139.361727
2.0,233,140.8513
1.0,176,141.98085
4.0,259,143.63064
2.0,201,144.933244
2.0,190,146.131872
3.0,307,148.11225
0.0,126,148.942793
1.0,176,150.082103
0.0,133,150.952216
0.0,121,151.732298
1.0,177,152.881299
2.0,198,154.189415
2.0,202,155.50222
0.0,135,156.408578
0.0,123,157.220102
0.0,146,158.15166
0.0,125,158.965822
2.0,201,160.299445
1.0,175,161.463968
1.0,166,162.547285
2.0,203,163.894156
0.0,137,164.803906
2.0,219,166.285434
2.0,201,167.617801
3.0,244,169.304504
1.0,157,170.33338
2.0,205,171.657964
0.0,122,172.425881
2.0,181,173.602088
0.0,133,174.511657
1.0,161,175.55059
2.0,235,177.0786
2.0,213,178.511479
1.0,164,179.699285
1.0,176,180.916899
1.0,171,182.053605
3.0,251,183.667956
0.0,127,184.48988
2.0,200,185.775263
2.0,252,187.402014
1.0,167,188.485859
0.0,120,189.316244
4.0,261,190.988447
1.0,149,191.950583
5.0,314,194.041212
0.0,128,194.908077
0.0,137,195.799104
3.0,231,197.30896
1.0,156,198.326934
1.0,177,199.489905
2.0,216,200.898994
1.0,157,201.925172
1.0,181,203.133341
3.0,269,204.913421
3.0,235,206.463847
2.0,203,207.80147
3.0,229,209.305779
2.0,212,210.676108
0.0,129,211.546467
1.0,178,212.686505
1.0,163,213.758971
1.0,204,215.105289
2.0,214,216.507996
1.0,162,217.546221
0.0,125,218.34041
2.0,211,219.696342
0.0,135,220.556006
1.0,168,221.627826
0.0,135,222.514934
2.0,215,223.931679
2.0,242,225.528617
1.0,185,226.715838
1.0,169,227.800874
1.0,174,228.993432
0.0,129,229.833053
3.0,257,231.485557
0.0,141,232.407378
3.0,231,233.894981
2.0,210,235.273103
1.0,162,236.315199
2.0,219,237.753511
1.0,182,238.946275
1.0,183,240.129481
1.0,162,241.192121
5.0,335,243.37498
3.0,235,244.913107
0.0,127,245.77857
3.0,241,247.339089
4.0,311,249.371502
5.0,366,251.816299
2.0,210,253.182854
3.0,236,254.750879
0.0,126,255.584306
1.0,168,256.686116
5.0,318,258.73467
0.0,132,259.59347
5.0,350,261.90522
0.0,132,262.793611
1.0,154,263.764362
3.0,239,265.307094
3.0,255,266.9567
2.0,208,268.303303
0.0,143,269.198685
1.0,166,270.301975
3.0,216,271.703303
2.0,189,272.944589
2.0,199,274.263471
2.0,203,275.596342
3.0,240,277.163545
6.0,349,279.448284
0.0,131,280.328593
2.0,188,281.545145
0.0,133,282.405794
1.0,161,283.423112
3.0,259,285.115282
1.0,171,286.228666
2.0,207,287.558323
0.0,140,288.490688
1.0,170,289.617162
1.0,167,290.695681
1.0,157,291.723791
5.0,347,294.018558
3.0,240,295.62047
0.0,123,296.433089
2.0,218,297.938998
4.0,283,299.868021
3.0,239,301.441478
2.0,198,302.78019
5.0,312,304.772932
0.0,144,305.740952
1.0,167,306.891585
3.0,216,308.345166
3.0,218,309.8678
3.0,226,311.420857
1.0,157,312.556861
3.0,223,314.138241
4.0,294,316.157034
0.0,123,316.972903
1.0,158,318.003184
2.0,224,319.495503
4.0,279,321.338879
2.0,208,322.697498
4.0,260,324.429185
2.0,199,325.755971
2.0,207,327.164059
2.0,192,328.4432
2.0,203,329.769689
7.0,259,331.522911
4.0,298,333.487951
1.0,154,334.456187
1.0,154,335.497786
2.0,199,336.789015
1.0,155,337.788859
1.0,159,338.811299
2.0,208,340.147893
0.0,144,341.076699
2.0,200,342.398364
4.0,265,344.122584
5.0,337,346.294482
3.0,239,347.891658
4.0,263,349.81093
2.0,190,351.037013
1.0,152,352.154638
1.0,166,353.299321
1.0,152,354.292604
4.0,299,356.501365
0.0,186,357.738397
4.0,306,359.710837
3.0,253,361.449095
6.0,359,363.856507
2.0,193,365.088644
2.0,220,366.525838
4.0,311,368.509239
2.0,199,369.791803
2.0,193,371.179425
4.0,282,373.098012
0.0,133,374.004056
1.0,173,375.20704
2.0,201,376.596051
5.0,333,378.740293
0.0,137,379.635874
4.0,301,381.554388
3.0,238,383.070977
1.0,167,384.15517
0.0,152,385.137574
4.0,277,386.971107
3.0,235,388.603216
2.0,199,389.949452
2.0,211,391.376951
2.0,192,392.692533
1.0,159,393.742184
2.0,208,395.125304
3.0,255,396.842765
2.0,191,398.120596
3.0,251,399.787327
3.0,285,401.735535
3.0,267,403.437168
2.0,224,404.878368
3.0,258,406.805553
4.0,272,408.775808
2.0,206,410.253508
2.0,211,411.840924
4.0,295,413.874505
3.0,228,415.424411
4.0,298,417.692475
2.0,218,419.186186
4.0,271,421.049029
4.0,294,423.153308
3.0,226,424.794503
4.0,303,426.860701
3.0,255,428.640465
2.0,202,430.069918
4.0,280,432.1692
2.0,196,433.619599
6.0,363,436.261891
3.0,247,438.094048
3.0,250,440.023567
3.0,251,441.90269
4.0,296,444.146805
3.0,230,445.88382
3.0,248,447.656699
3.0,224,449.109507
3.0,219,450.511438
3.0,236,452.024452
3.0,222,453.430704
3.0,225,454.838956
0.0,125,455.683657
6.0,353,457.938849
4.0,297,459.817103
2.0,184,460.999504
4.0,276,462.764156
2.0,211,464.109144
3.0,227,465.534116
1.0,154,466.500127
4.0,253,468.07969
4.0,289,469.937822
3.0,245,471.475296
3.0,245,473.055221
6.0,344,475.251969
1.0,161,476.288025
3.0,233,477.782273
0.0,122,478.545572
4.0,273,480.286752
6.0,349,482.498677
1.0,154,483.45508
4.0,260,485.10248
2.0,200,486.381816
6.0,362,488.664785
4.0,288,490.466795
3.0,254,492.040502
5.0,310,493.990864
2.0,181,495.151621
2.0,201,496.44345
2.0,207,497.782183
1.0,150,498.727049
1.0,175,499.857104
4.0,260,501.536564
2.0,192,502.786533
5.0,326,504.922021
3.0,246,506.48483
5.0,306,508.418264
3.0,224,509.844013
3.0,216,511.194592
3.0,232,512.66803
3.0,214,514.030109
5.0,293,515.933363
3.0,212,517.277506
3.0,225,518.717411
1.0,168,519.784446
4.0,298,521.650707
2.0,187,522.834749
2.0,184,524.009991
4.0,258,525.617261
6.0,337,527.900355
3.0,217,529.387093
0.0,123,530.207659
3.0,231,531.783663
3.0,229,533.316395
6.0,345,535.532171
3.0,225,536.933759
5.0,337,539.068642
2.0,187,540.288082
5.0,305,542.220103
5.0,290,544.048265
5.0,313,546.01665
3.0,210,547.37667
2.0,201,548.672653
4.0,257,550.29974
6.0,321,552.332988
6.0,362,554.650027
3.0,245,556.205307
4.0,273,557.934644
5.0,287,559.754511
3.0,223,561.222904
5.0,287,563.032719
3.0,226,564.467933
3.0,210,565.798156
2.0,182,566.93273
10.0,392,569.433381
8.0,416,572.099254
5.0,306,574.049657
6.0,339,576.17031
3.0,230,577.61578
4.0,275,579.363022
1.0,156,580.37028
3.0,226,581.819465
2.0,184,582.99888
6.0,334,585.115672
4.0,259,586.73625
5.0,292,588.615607
7.0,390,591.148794
4.0,257,592.798173
5.0,291,594.648704
5.0,329,596.781944
5.0,289,598.664881
5.0,289,600.544337
3.0,246,602.115378
4.0,273,603.887129
3.0,244,605.448205
6.0,350,607.705935
2.0,180,608.848422
5.0,339,611.048112
4.0,263,612.720323
5.0,291,614.611031
4.0,269,616.348084
4.0,275,618.130288
4.0,274,619.900195
4.0,256,621.529241
4.0,252,623.131725
1.0,150,624.098148
4.0,255,625.731172
5.0,325,627.856002
5.0,336,629.986432
3.0,228,631.447732
3.0,227,632.930914
3.0,212,634.298266
4.0,275,636.081164
4.0,281,637.914165
