#{"t_start": 1764221423.8135707, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,161,1.695212
0.0,129,1.780102
4.0,285,1.980823
2.0,212,2.125563
1.0,159,2.227581
2.0,205,2.354963
1.0,176,2.4814
0.0,124,2.56146
1.0,165,2.674131
1.0,172,2.797837
0.0,130,2.879524
0.0,135,2.989026
0.0,128,3.084772
3.0,248,3.231778
0.0,123,3.323954
8.0,313,3.531188
0.0,131,3.620382
2.0,196,3.749007
1.0,158,3.854307
0.0,123,3.940466
2.0,209,4.065609
0.0,124,4.160128
0.0,122,4.244446
2.0,206,4.361147
0.0,137,4.470557
0.0,132,4.560905
2.0,205,4.69924
0.0,127,4.778569
5.0,348,5.016043
0.0,140,5.111005
0.0,123,5.195753
0.0,125,5.279079
3.0,254,5.431869
1.0,172,5.548166
2.0,216,5.695766
4.0,297,5.889646
1.0,153,5.995608
0.0,136,6.088647
0.0,127,6.174194
1.0,158,6.264598
1.0,163,6.385651
0.0,127,6.470641
0.0,125,6.545755
2.0,222,6.699826
2.0,206,6.834344
0.0,125,6.91849
3.0,262,7.081995
1.0,166,7.196564
0.0,126,7.282304
1.0,178,7.399081
0.0,129,7.478193
1.0,200,7.614756
0.0,126,7.69568
0.0,135,7.780094
1.0,151,7.889413
2.0,198,8.015386
1.0,197,8.149189
0.0,137,8.231969
0.0,153,8.365733
1.0,203,8.506411
1.0,183,8.629017
3.0,247,8.78126
3.0,226,8.928748
0.0,129,9.012661
0.0,125,9.098007
3.0,269,9.284009
1.0,174,9.382686
0.0,128,9.482091
1.0,172,9.598667
5.0,352,9.82071
0.0,142,9.912367
0.0,131,9.994426
2.0,228,10.146993
2.0,210,10.280781
1.0,167,10.391637
1.0,173,10.495009
0.0,132,10.580072
2.0,231,10.736508
3.0,258,10.902632
0.0,123,10.979124
0.0,139,11.065579
2.0,228,11.214148
4.0,272,11.396775
0.0,135,11.482874
2.0,218,11.631086
2.0,210,11.764376
0.0,131,11.847887
1.0,158,11.948565
1.0,155,12.060814
2.0,211,12.197253
1.0,174,12.297397
1.0,178,12.410256
1.0,157,12.527526
3.0,268,12.694952
2.0,198,12.812829
2.0,199,12.948967
0.0,127,13.02942
0.0,132,13.116828
3.0,248,13.281826
1.0,182,13.413574
1.0,152,13.514449
1.0,182,13.631056
4.0,292,13.8637
0.0,133,13.949383
0.0,143,14.048095
1.0,159,14.157172
1.0,170,14.280234
1.0,174,14.379393
1.0,169,14.502065
1.0,168,14.596817
1.0,177,14.734915
1.0,168,14.847716
2.0,226,15.015324
0.0,130,15.134263
0.0,133,15.214188
1.0,174,15.329094
0.0,136,15.442436
1.0,179,15.561973
0.0,122,15.631089
5.0,316,15.833182
3.0,254,16.017606
3.0,250,16.179389
0.0,137,16.272407
3.0,235,16.426611
0.0,130,16.5158
2.0,201,16.650956
0.0,134,16.742403
1.0,158,16.844636
2.0,186,16.976521
0.0,135,17.068146
1.0,175,17.182129
2.0,185,17.305816
0.0,136,17.396596
3.0,239,17.556574
0.0,130,17.631097
1.0,158,17.746489
2.0,209,17.877444
2.0,201,18.016065
4.0,302,18.207681
0.0,126,18.291924
1.0,174,18.394622
0.0,147,18.49733
2.0,203,18.638878
1.0,182,18.756956
0.0,136,18.848859
3.0,276,19.014021
1.0,155,19.129745
0.0,134,19.21431
2.0,199,19.345855
0.0,130,19.431059
0.0,126,19.512055
