#{"t_start": 1764172218.653898, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,219,3.211416
2.0,206,7.123896
1.0,183,9.674634
0.0,126,11.665933
0.0,127,13.776529
0.0,125,15.808588
0.0,130,17.818782
1.0,156,20.072396
1.0,172,23.899929
1.0,169,26.422882
1.0,163,28.811672
1.0,173,32.601672
0.0,138,34.766881
0.0,126,36.852012
2.0,183,39.114379
1.0,169,42.812139
1.0,158,44.96562
1.0,158,47.197433
2.0,190,49.750356
2.0,191,53.744038
4.0,269,57.83966
1.0,165,60.134896
1.0,153,63.601907
3.0,230,66.457039
1.0,167,70.418617
4.0,291,74.890682
4.0,270,79.114195
5.0,303,83.602525
1.0,158,87.125318
3.0,227,89.831285
1.0,151,93.340586
3.0,247,97.570943
1.0,153,99.8172
5.0,338,104.556449
2.0,196,108.609312
2.0,192,111.149326
2.0,192,115.061922
3.0,222,119.345526
1.0,171,121.621421
2.0,195,124.11957
3.0,229,128.078059
7.0,254,132.802704
7.0,268,137.30685
4.0,254,141.582148
7.0,271,145.88179
3.0,222,150.11266
7.0,393,156.568546
7.0,258,160.768566
3.0,216,165.036618
2.0,187,167.471316
3.0,227,171.539196
2.0,186,175.364699
11.0,273,179.454649
3.0,223,183.633361
8.0,279,188.559261
2.0,196,191.099763
3.0,226,195.285909
3.0,214,199.391111
7.0,253,203.589622
7.0,254,207.685418
11.0,284,212.060495
3.0,229,216.220575
2.0,188,218.775971
3.0,221,222.996976
2.0,188,225.36205
2.0,179,229.358207
1.0,168,231.654351
2.0,197,235.491481
7.0,251,239.84503
2.0,193,242.212671
3.0,216,246.290538
11.0,277,250.747643
8.0,281,254.918199
4.0,268,259.37159
1.0,150,261.745885
2.0,190,265.616082
7.0,272,269.890448
2.0,194,272.48281
2.0,194,276.356794
7.0,266,280.669713
7.0,269,285.02663
1.0,168,287.303575
7.0,258,291.537844
1.0,168,295.315959
3.0,211,298.164684
2.0,184,302.237398
2.0,186,304.574259
3.0,213,308.494313
11.0,272,312.662481
2.0,182,316.517135
7.0,260,320.871864
1.0,156,323.04783
2.0,184,325.547429
3.0,218,329.594696
3.0,222,333.650422
3.0,215,336.132642
3.0,220,340.246684
3.0,221,344.371464
7.0,268,348.736891
11.0,269,353.041896
5.0,287,357.351537
3.0,237,361.727936
0.0,126,363.687804
1.0,167,366.032344
3.0,212,369.814692
3.0,220,373.98458
11.0,288,378.375492
7.0,252,382.859356
11.0,276,387.043222
7.0,268,391.331912
2.0,194,395.270892
7.0,249,399.303085
7.0,252,403.739038
7.0,248,407.999546
11.0,270,412.524474
2.0,186,414.806878
7.0,249,419.058829
3.0,225,423.062236
2.0,201,425.523414
3.0,213,429.502951
7.0,258,434.111162
7.0,248,438.460033
7.0,250,443.043128
1.0,183,445.453487
7.0,253,449.765418
7.0,255,453.958933
2.0,183,458.064924
2.0,197,460.70943
2.0,192,464.988447
1.0,156,467.28811
3.0,220,471.338238
3.0,216,473.998247
6.0,354,480.006194
7.0,247,484.218087
7.0,249,489.071584
3.0,212,493.495665
7.0,248,497.624727
0.0,125,499.756178
1.0,154,501.908804
1.0,152,504.134431
2.0,191,507.895842
3.0,211,510.66459
5.0,298,516.779869
3.0,225,519.294868
1.0,150,521.710503
0.0,127,523.906379
7.0,248,528.410659
3.0,217,532.47433
3.0,216,536.333822
3.0,214,538.899028
3.0,217,543.024885
2.0,189,547.006064
3.0,225,6755.889479
2.0,207,6762.598372
7.0,247,6767.588605
11.0,283,6773.165149
7.0,257,6778.719825
7.0,254,6784.502413
3.0,216,6789.28063
7.0,254,6794.735952
3.0,240,6799.692281
2.0,181,6802.641046
2.0,179,6807.361414
3.0,232,6810.323549
7.0,267,6815.577353
7.0,251,6820.838479
7.0,252,6826.331364
7.0,249,6831.223115
11.0,284,6838.414887
2.0,179,6841.383601
2.0,183,6844.641174
7.0,243,6850.419777
7.0,264,6855.725375
2.0,189,6860.409409
7.0,261,6865.189414
2.0,193,6868.292187
3.0,221,6872.892908
7.0,273,6877.62492
2.0,186,6882.35157
1.0,161,6885.134843
7.0,254,6889.918857
2.0,189,6892.642226
7.0,255,6897.39237
3.0,239,6902.251241
7.0,251,6907.308676
7.0,253,6912.569381
1.0,165,6915.185274
3.0,215,6920.088797
2.0,182,6924.724051
7.0,258,6929.651558
11.0,289,6934.631227
4.0,260,6939.296578
11.0,287,6944.166446
2.0,189,6949.012054
7.0,252,6954.054884
3.0,221,6957.086527
3.0,221,6961.867431
11.0,278,6966.813358
3.0,211,6971.654339
7.0,260,6976.481841
7.0,263,6981.691154
7.0,248,6986.694977
3.0,226,6991.504837
7.0,268,6996.760952
2.0,182,6999.726587
3.0,238,7004.623497
7.0,252,7010.054764
3.0,227,7014.580434
3.0,220,7017.876235
4.0,260,7023.250781
3.0,213,7028.074652
7.0,247,7033.56665
2.0,187,7038.182361
2.0,204,7041.252863
3.0,219,7046.069489
3.0,223,7051.221452
7.0,252,7055.91084
4.0,266,7060.82768
3.0,222,7064.003402
7.0,260,7069.123145
3.0,216,7074.249932
3.0,223,7079.414261
7.0,267,7084.248504
1.0,155,7087.40241
11.0,279,7093.117593
11.0,289,7099.812829
7.0,251,7104.864327
3.0,218,7108.044408
7.0,252,7113.074606
11.0,307,7120.534658
2.0,181,7123.452211
4.0,289,7128.844301
7.0,264,7133.806572
2.0,185,7138.30687
11.0,281,7143.583687
3.0,228,7148.495238
2.0,180,7151.294347
3.0,234,7156.434235
3.0,221,7161.641639
11.0,281,7166.846153
4.0,251,7171.76334
2.0,197,7174.810805
3.0,238,7179.908511
7.0,249,7184.829971
11.0,282,7190.103616
8.0,293,7196.671036
3.0,224,7199.589932
1.0,157,7203.673483
2.0,190,7206.718377
2.0,182,7211.181007
7.0,253,7216.330841
2.0,187,7219.138988
2.0,184,7222.093956
7.0,251,7226.656531
3.0,210,7231.208339
7.0,250,7236.199112
4.0,257,7241.494137
3.0,218,7245.938046
8.0,281,7251.024101
7.0,245,7256.165499
7.0,253,7261.171039
7.0,253,7265.763049
7.0,265,7271.154947
2.0,190,7273.937461
5.0,314,7280.735962
2.0,192,7283.599375
5.0,303,7290.53198
3.0,216,7293.775917
7.0,250,7299.277026
8.0,301,7306.445109
7.0,258,7311.547686
5.0,312,7317.092161
3.0,229,7321.808793
1.0,156,7324.330406
11.0,280,7329.666691
8.0,301,7337.374971
7.0,264,7342.311733
7.0,253,7347.319983
5.0,311,7352.565833
7.0,250,7357.699544
7.0,244,7362.648606
4.0,272,7367.561244
10.0,362,7375.362616
5.0,292,7380.257338
7.0,391,7387.525252
3.0,268,7392.137943
8.0,296,7398.393343
8.0,295,7402.891885
5.0,351,7409.237924
8.0,453,7416.071958
9.0,461,7424.316116
9.0,351,7430.579304
4.0,266,7434.740141
4.0,294,7439.217472
8.0,287,7443.745756
7.0,251,7447.877617
6.0,342,7454.49197
3.0,226,7458.586667
12.0,337,7463.328018
5.0,303,7469.354467
9.0,340,7473.998129
3.0,216,7477.902507
9.0,348,7484.002589
5.0,295,7488.346006
6.0,332,7494.197904
8.0,292,7498.947443
8.0,276,7503.30777
9.0,347,7509.334992
4.0,271,7513.742842
4.0,256,7518.286519
3.0,215,7522.150543
14.0,398,7528.563401
11.0,399,7534.80829
4.0,259,7538.992394
6.0,364,7545.697378
3.0,220,7548.52778
3.0,211,7552.442708
11.0,513,7560.911002
4.0,272,7565.052429
8.0,468,7573.182516
14.0,392,7579.728218
4.0,266,7584.236144
