#{"t_start": 1764172218.6821856, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,124,0.914913
1.0,159,4.89332
1.0,176,7.33424
1.0,185,11.161271
0.0,127,13.287997
2.0,203,15.714633
0.0,130,17.727255
1.0,187,21.61926
2.0,200,24.172897
2.0,193,28.344614
2.0,216,30.964474
1.0,151,34.533567
1.0,171,36.871108
2.0,199,39.212615
4.0,258,43.320004
1.0,166,46.994596
6.0,330,51.709785
7.0,251,55.920738
3.0,231,59.874701
0.0,123,61.911673
1.0,160,64.158343
1.0,163,68.003954
1.0,155,70.472099
3.0,230,74.53879
7.0,250,78.732246
3.0,222,81.326592
3.0,223,85.306859
3.0,248,89.48779
8.0,299,93.767724
3.0,246,98.049621
4.0,269,102.316288
3.0,249,106.741293
1.0,158,108.935319
3.0,227,113.075443
2.0,194,117.156356
2.0,189,119.696993
3.0,217,123.726061
1.0,170,125.992828
3.0,223,130.096547
7.0,264,135.030647
7.0,248,139.085423
2.0,197,143.014138
2.0,198,145.571179
7.0,266,150.054012
1.0,156,152.387327
3.0,225,156.429562
5.0,306,162.297439
7.0,248,165.345461
7.0,255,169.647088
3.0,223,173.506988
3.0,219,177.449052
2.0,199,179.934559
2.0,182,183.841325
7.0,252,188.61544
3.0,218,192.796208
7.0,251,197.034214
3.0,223,199.735847
3.0,211,203.802824
2.0,179,206.077508
4.0,250,210.229621
3.0,215,214.064444
3.0,217,218.341038
3.0,219,221.221997
2.0,189,225.032394
2.0,181,227.55381
5.0,294,233.395993
1.0,160,235.632896
7.0,275,240.080275
7.0,255,244.37377
3.0,224,248.390798
11.0,273,252.702072
11.0,291,257.201324
2.0,195,261.117746
3.0,223,263.771801
3.0,215,267.792719
3.0,221,272.011628
4.0,258,276.190482
3.0,222,280.283888
7.0,259,284.492441
7.0,267,288.781313
7.0,251,292.932726
7.0,252,297.420818
3.0,224,300.227784
7.0,244,304.450839
11.0,282,308.700794
2.0,182,312.435617
0.0,121,314.567598
7.0,245,318.656755
3.0,215,321.332999
2.0,190,325.251247
3.0,216,329.267491
3.0,239,331.967551
3.0,222,335.928614
7.0,264,340.305695
7.0,250,344.627986
3.0,230,348.748319
11.0,282,353.108656
2.0,181,356.865563
7.0,266,361.312224
3.0,211,363.789337
2.0,182,367.578221
7.0,283,371.945244
3.0,247,376.044875
7.0,262,380.53587
2.0,207,384.6049
1.0,155,386.735375
2.0,185,389.134897
3.0,224,393.225141
3.0,218,397.161586
4.0,251,401.533269
2.0,190,403.981791
7.0,243,408.244329
3.0,213,412.449129
7.0,247,416.456388
7.0,243,419.272244
0.0,126,421.284715
6.0,357,427.421294
3.0,221,431.572933
2.0,185,434.349453
7.0,245,438.65414
3.0,215,443.015695
11.0,271,447.473806
3.0,215,451.369142
2.0,201,453.904452
11.0,273,459.990432
7.0,252,463.07602
3.0,214,467.297739
2.0,189,471.173064
2.0,182,473.598459
2.0,201,477.537734
5.0,310,482.083653
7.0,257,486.332547
1.0,154,489.119661
11.0,272,493.82629
3.0,216,497.830823
2.0,190,501.628547
3.0,221,504.221854
7.0,259,508.329941
3.0,220,512.80692
2.0,180,515.219049
7.0,246,519.282563
3.0,213,523.471804
3.0,216,527.920596
2.0,190,530.293024
3.0,215,534.290206
7.0,255,538.480813
3.0,218,542.51742
2.0,185,545.148786
3.0,211,6755.322327
7.0,251,6762.052536
1.0,158,6764.974147
3.0,213,6769.767764
3.0,220,6773.191042
4.0,280,6778.932618
2.0,185,6784.135358
3.0,216,6789.045694
11.0,283,6794.64873
5.0,291,6799.936408
3.0,217,6805.009253
3.0,214,6808.078954
3.0,219,6812.547545
3.0,216,6817.680914
7.0,267,6823.30652
3.0,213,6828.009218
1.0,152,6830.655802
7.0,244,6835.964246
3.0,222,6839.087311
4.0,260,6844.682714
3.0,219,6850.26358
3.0,226,6855.384122
7.0,265,6860.516778
7.0,260,6865.304546
2.0,195,6869.884557
7.0,250,6873.198926
7.0,255,6877.795597
11.0,279,6884.932506
3.0,233,6887.855573
7.0,250,6892.651924
3.0,239,6897.304062
3.0,247,6902.205195
7.0,247,6907.226534
3.0,221,6912.291781
2.0,195,6915.100125
11.0,278,6921.938361
2.0,187,6925.022953
3.0,228,6929.795462
7.0,266,6934.645248
7.0,259,6939.308756
11.0,284,6944.167378
7.0,254,6949.411037
7.0,248,6954.385476
3.0,212,6959.086648
2.0,193,6961.994649
11.0,272,6966.974149
7.0,271,6972.12746
3.0,214,6976.660706
3.0,212,6981.554855
11.0,296,6986.873226
7.0,248,6991.939103
3.0,228,6996.820968
3.0,229,7001.938529
7.0,255,7006.979627
11.0,300,7012.416444
2.0,195,7015.156487
3.0,230,7020.163334
3.0,211,7025.311688
3.0,216,7030.260062
7.0,249,7035.665227
7.0,248,7039.120211
2.0,189,7043.741322
7.0,254,7048.876749
3.0,224,7053.540822
3.0,224,7056.637189
3.0,213,7061.265646
3.0,221,7065.945799
3.0,225,7071.201667
11.0,271,7076.467488
3.0,220,7079.777821
11.0,302,7087.041836
7.0,257,7092.681517
2.0,185,7095.343181
7.0,254,7100.288963
1.0,157,7103.121736
3.0,226,7108.003789
4.0,287,7113.315479
3.0,221,7118.513295
2.0,193,7123.194279
1.0,151,7125.923589
4.0,274,7131.076391
3.0,216,7135.504758
3.0,214,7138.835464
11.0,276,7145.631984
2.0,189,7148.649951
11.0,286,7154.011715
7.0,258,7159.249877
3.0,235,7164.41781
3.0,227,7169.176923
8.0,281,7174.538947
2.0,190,7179.365824
3.0,221,7182.151383
8.0,310,7189.574689
11.0,274,7194.380649
7.0,270,7199.138538
7.0,254,7203.853342
2.0,192,7206.912035
1.0,149,7211.164816
3.0,237,7214.396929
2.0,188,7219.012159
2.0,183,7221.978989
3.0,243,7226.491439
8.0,307,7233.514891
4.0,247,7238.383841
6.0,341,7243.92979
3.0,222,7248.619405
3.0,214,7253.287805
0.0,130,7256.006029
11.0,281,7261.173271
7.0,254,7265.785622
10.0,389,7273.591464
3.0,213,7278.228102
7.0,256,7283.00294
2.0,191,7285.592335
8.0,280,7290.891796
7.0,247,7296.195333
7.0,260,7301.620531
3.0,216,7306.561201
3.0,213,7311.412069
12.0,342,7317.149289
11.0,272,7322.077294
3.0,220,7326.486136
7.0,280,7332.124237
6.0,339,7340.066408
12.0,323,7345.420251
8.0,284,7352.186894
11.0,397,7359.657002
7.0,260,7364.858886
7.0,396,7372.407031
5.0,314,7377.950101
3.0,235,7382.469693
11.0,286,7387.577575
11.0,306,7393.901814
8.0,448,7400.885825
6.0,343,7407.102432
15.0,423,7413.738502
8.0,494,7422.374655
9.0,361,7428.603178
10.0,409,7435.005589
11.0,278,7439.386676
5.0,317,7445.548813
4.0,260,7450.171637
4.0,269,7454.501478
11.0,282,7458.927867
4.0,245,7463.107884
8.0,300,7467.71815
4.0,266,7471.950649
8.0,299,7477.757447
6.0,322,7482.12503
2.0,187,7486.141888
6.0,338,7490.683764
9.0,330,7496.731998
10.0,381,7503.232213
11.0,303,7507.648465
5.0,303,7513.572942
2.0,180,7515.983518
11.0,290,7520.659691
6.0,342,7526.737711
9.0,347,7532.751192
4.0,289,7537.086312
6.0,341,7543.343605
4.0,265,7548.078834
6.0,355,7552.850253
6.0,360,7558.975215
4.0,262,7563.146088
5.0,302,7568.811687
3.0,213,7571.493754
6.0,340,7577.762661
7.0,262,7582.14653
4.0,264,7586.520606
4.0,282,7590.823933
4.0,277,7596.692055
7.0,419,7603.298747
11.0,405,7609.655621
14.0,493,7618.151498
7.0,399,7624.464273
8.0,404,7631.048162
3.0,220,7635.76548
11.0,395,7641.991336
10.0,359,7648.040286
9.0,473,7655.158455
9.0,365,7661.446083
7.0,347,7667.530826
10.0,512,7676.161195
8.0,306,7681.051435
8.0,412,7689.494218
4.0,277,7694.150784
17.0,473,7700.900732
7.0,251,7705.081988
12.0,505,7713.261
24.0,477,7721.599396
6.0,364,7727.897189
2.0,196,7730.301652
13.0,476,7738.753592
13.0,338,7744.732465
14.0,346,7749.259548
11.0,496,7757.973438
11.0,526,7766.188851
10.0,477,7774.609005
9.0,492,7782.830429
7.0,264,7786.987559
10.0,375,7793.155803
16.0,441,7799.592458
8.0,418,7807.383906
11.0,422,7814.102004
3.0,216,7818.066311
12.0,299,7822.493001
7.0,363,7828.876068
10.0,471,7837.130745
22.0,459,7843.67004
10.0,527,7852.383789
11.0,405,7859.042777
13.0,457,7867.443068
8.0,395,7874.103648
25.0,692,7884.826121
12.0,609,7895.217419
15.0,527,7903.869998
7.0,372,7910.049632
7.0,383,7916.643564
6.0,337,7922.741894
7.0,245,7927.229829
8.0,410,7934.244249
7.0,249,7938.749544
3.0,212,7942.895341
16.0,509,7951.238472
15.0,577,7959.890645
11.0,414,7967.46553
16.0,537,7977.326961
14.0,409,7983.745471
13.0,322,7988.320744
15.0,707,8000.94084
11.0,529,8009.588429
11.0,409,8015.93315
13.0,439,8023.83168
10.0,340,8028.571399
9.0,328,8034.623794
23.0,616,8045.103154
10.0,383,8051.287181
13.0,464,8058.032224
8.0,450,8066.422989
25.0,682,8077.135628
14.0,366,8083.347707
