#{"t_start": 1764172218.661463, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,125,0.947516
0.0,131,3.390702
0.0,133,6.820753
2.0,216,9.646258
0.0,124,11.627389
1.0,154,13.879246
2.0,189,17.574991
2.0,219,21.640137
4.0,287,26.245367
0.0,126,28.461935
2.0,190,30.943305
3.0,240,34.987091
1.0,165,37.26925
1.0,162,40.84586
3.0,220,43.358308
1.0,159,46.98309
4.0,245,51.25738
0.0,132,53.406268
3.0,241,57.407313
4.0,254,60.237496
2.0,199,63.979475
1.0,157,66.384254
2.0,200,70.573204
7.0,271,74.89917
2.0,194,77.425743
3.0,220,81.300455
3.0,214,85.24765
3.0,223,89.260759
2.0,201,91.691997
2.0,183,95.56989
7.0,253,99.666745
4.0,334,104.393064
5.0,337,110.71108
7.0,259,115.009665
2.0,182,117.639106
9.0,478,125.864682
3.0,215,129.862189
3.0,215,132.893037
3.0,250,137.261316
9.0,335,143.38311
5.0,279,147.903527
7.0,253,152.222168
2.0,196,156.131515
7.0,257,160.286404
3.0,230,163.02419
3.0,227,167.32436
3.0,215,171.322046
7.0,252,175.473243
7.0,259,179.515209
7.0,259,183.875186
3.0,227,188.50878
3.0,220,191.182533
7.0,263,195.539838
2.0,182,199.491441
2.0,182,201.885831
3.0,229,205.948906
3.0,220,209.941635
3.0,220,213.787994
3.0,222,216.569567
2.0,182,220.648835
11.0,279,225.076405
11.0,297,229.643727
11.0,277,233.944294
2.0,192,237.791161
7.0,252,242.045584
3.0,213,244.74107
2.0,192,248.591663
7.0,252,252.814948
3.0,217,256.934124
3.0,223,259.49731
7.0,260,263.829452
3.0,215,267.850919
7.0,250,272.200705
5.0,328,278.120657
1.0,149,280.46432
7.0,246,284.660609
3.0,235,288.723675
7.0,257,292.902138
2.0,182,295.416319
1.0,157,297.926371
3.0,214,302.194231
7.0,254,306.263145
4.0,272,310.490584
3.0,219,314.522054
7.0,251,318.639064
7.0,246,322.871591
7.0,259,327.15051
3.0,230,329.840801
2.0,183,333.739427
3.0,216,336.214798
3.0,240,340.441485
2.0,211,344.544447
7.0,293,348.985679
2.0,199,352.92906
7.0,259,357.105407
7.0,247,361.467474
2.0,200,363.867674
2.0,183,367.667673
7.0,261,371.895901
11.0,281,376.189025
2.0,182,378.646751
2.0,193,382.83165
7.0,259,386.937234
2.0,181,389.317269
3.0,220,393.376038
2.0,188,397.150972
2.0,193,399.551443
3.0,232,403.88644
7.0,253,408.209277
7.0,247,412.589716
7.0,263,416.68245
2.0,179,419.163959
11.0,279,423.459543
3.0,227,427.426612
3.0,217,431.550496
1.0,164,434.175911
11.0,288,438.770189
2.0,206,443.075638
7.0,257,447.452123
3.0,216,451.357768
2.0,183,453.796491
3.0,221,458.124115
2.0,195,460.756685
1.0,158,464.797103
11.0,281,469.317908
7.0,250,473.414711
3.0,218,477.48411
2.0,185,479.805003
2.0,185,482.348923
3.0,219,486.430787
2.0,180,490.991176
7.0,251,493.924178
3.0,212,497.913205
2.0,188,501.721129
3.0,221,504.300482
3.0,242,508.299531
2.0,189,512.619582
3.0,223,515.277776
7.0,246,519.328461
7.0,252,523.766346
11.0,269,528.419455
3.0,218,532.493532
2.0,187,536.176337
1.0,156,538.480702
2.0,180,540.936857
3.0,228,545.188135
3.0,213,6755.375196
2.0,184,6758.893818
7.0,255,6765.215808
3.0,215,6770.023874
3.0,212,6773.429568
1.0,149,6778.065256
2.0,183,6781.244373
1.0,160,6784.602895
3.0,222,6789.41154
7.0,263,6794.894801
11.0,277,6800.140808
7.0,246,6805.330326
3.0,219,6809.993677
3.0,213,6814.728579
7.0,255,6820.088646
1.0,153,6823.181249
7.0,258,6828.177963
1.0,160,6830.94587
2.0,183,6833.982114
3.0,211,6838.849811
3.0,226,6844.172862
7.0,255,6850.022647
7.0,245,6855.302495
11.0,281,6860.518836
7.0,266,6865.354393
11.0,295,6870.694582
1.0,157,6874.878689
1.0,165,6877.361188
7.0,257,6882.52581
7.0,258,6887.362872
11.0,280,6892.409519
7.0,257,6897.168814
2.0,214,6901.883888
7.0,253,6906.899843
3.0,226,6910.055478
2.0,196,6914.843876
3.0,220,6919.797813
2.0,187,6922.640273
5.0,328,6929.771165
3.0,219,6932.424305
3.0,214,6937.166152
3.0,216,6941.701302
1.0,152,6944.076185
7.0,246,6949.312864
11.0,285,6954.483533
7.0,258,6959.421762
7.0,249,6964.28672
3.0,221,6969.131306
1.0,157,6971.833313
3.0,223,6976.436854
3.0,212,6979.400699
2.0,184,6984.355538
7.0,266,6989.45785
7.0,265,6994.37405
7.0,261,6999.682684
3.0,231,7004.545303
3.0,240,7009.908177
3.0,215,7012.792456
3.0,215,7017.65936
3.0,232,7022.807993
3.0,211,7027.6347
7.0,252,7033.030361
3.0,214,7036.27407
11.0,282,7041.481232
3.0,216,7046.268637
7.0,251,7051.562259
7.0,250,7056.328117
7.0,256,7061.219145
3.0,217,7065.883198
2.0,182,7068.897221
7.0,254,7074.292878
2.0,179,7079.193318
7.0,248,7082.313281
3.0,217,7087.453205
7.0,254,7093.003153
7.0,265,7097.90101
7.0,254,7102.982647
11.0,282,7108.206272
1.0,152,7112.553938
7.0,263,7118.150704
2.0,186,7121.003554
2.0,184,7125.698511
11.0,292,7130.923267
7.0,256,7135.625403
3.0,239,7140.99558
1.0,161,7143.562526
8.0,293,7148.851277
11.0,270,7154.14212
7.0,274,7159.504476
8.0,313,7166.882738
3.0,210,7171.484864
3.0,216,7174.711287
2.0,190,7179.542299
2.0,189,7182.138009
5.0,296,7189.491233
11.0,278,7194.296551
7.0,252,7198.901318
3.0,236,7203.551506
7.0,249,7206.978815
3.0,220,7211.703297
2.0,199,7216.46829
8.0,306,7221.845456
3.0,221,7226.257379
11.0,271,7231.125905
7.0,244,7236.093348
9.0,332,7241.794144
11.0,279,7248.427538
1.0,168,7251.064011
3.0,226,7256.092541
3.0,221,7259.021441
3.0,226,7263.67991
4.0,275,7268.889559
4.0,281,7275.813673
3.0,215,7278.723545
7.0,251,7283.533548
4.0,274,7288.584595
11.0,280,7295.796432
6.0,371,7301.833014
2.0,188,7306.619523
8.0,303,7311.956275
5.0,312,7319.069283
11.0,276,7324.146263
7.0,264,7329.37835
7.0,264,7334.738887
6.0,372,7342.436169
11.0,284,7347.623392
5.0,307,7354.622799
7.0,262,7359.568279
9.0,348,7365.308109
1.0,156,7367.985525
5.0,290,7375.219731
3.0,226,7379.807416
4.0,272,7384.616473
3.0,233,7387.674299
7.0,263,7393.774814
5.0,296,7398.512081
8.0,276,7402.90773
7.0,260,7407.192115
11.0,290,7411.667471
5.0,306,7417.811244
8.0,304,7422.360666
8.0,281,7426.769096
8.0,291,7432.614007
10.0,381,7437.504399
3.0,219,7441.442667
7.0,258,7445.861213
7.0,247,7450.516113
4.0,266,7454.729999
6.0,341,7461.012448
5.0,310,7465.4959
3.0,226,7469.637616
14.0,411,7475.984358
4.0,263,7480.186806
11.0,299,7486.108136
5.0,279,7490.401201
11.0,482,7498.751291
7.0,408,7505.241114
8.0,295,7509.622931
4.0,258,7513.966098
