#{"t_start": 1764172218.6587002, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,200,3.082345
1.0,173,5.367181
1.0,175,9.374675
0.0,133,11.412814
2.0,208,13.925592
1.0,187,17.60408
0.0,123,19.705936
4.0,284,24.135536
1.0,151,26.517759
3.0,243,30.85591
4.0,264,35.035652
2.0,196,38.821314
2.0,218,41.300835
3.0,227,45.267662
0.0,139,47.418012
0.0,129,49.608553
7.0,400,56.071327
4.0,255,60.185854
3.0,225,64.110332
3.0,223,68.330563
4.0,254,72.770813
3.0,222,76.901933
4.0,264,80.946113
3.0,228,84.949641
3.0,236,87.638494
3.0,254,91.794403
4.0,284,97.583693
3.0,248,100.386015
9.0,336,106.675893
2.0,184,110.483753
2.0,191,112.976773
3.0,233,117.271198
0.0,138,119.535728
2.0,192,121.92284
11.0,278,127.642576
3.0,231,130.462465
4.0,243,135.257561
3.0,230,139.200392
3.0,223,143.311231
7.0,269,147.807639
3.0,224,151.865513
1.0,172,154.235653
11.0,273,158.624923
1.0,196,162.494857
2.0,205,165.269768
7.0,251,169.558487
3.0,241,173.501527
7.0,247,177.591228
3.0,227,181.815757
7.0,260,185.949452
3.0,226,190.708636
1.0,182,193.147531
7.0,257,197.405678
8.0,295,201.967787
3.0,219,205.976273
2.0,185,209.777381
7.0,260,213.85891
3.0,212,216.560333
7.0,251,221.094148
2.0,189,224.936885
3.0,223,227.736196
7.0,259,231.895616
7.0,262,236.202379
7.0,266,241.903026
7.0,250,246.142812
7.0,255,250.453112
7.0,263,254.578762
3.0,215,257.327312
7.0,253,261.66387
2.0,192,265.536324
3.0,223,268.102849
11.0,283,274.144633
3.0,219,276.591898
3.0,216,280.677739
7.0,259,284.952113
7.0,248,289.089054
11.0,278,293.366693
7.0,259,297.973122
3.0,227,302.29887
1.0,150,304.453632
2.0,181,308.209755
1.0,149,310.36728
3.0,227,314.431631
7.0,247,317.106333
1.0,153,320.921874
7.0,251,325.072968
3.0,220,327.751477
1.0,155,331.458676
7.0,257,335.594421
2.0,186,338.075366
7.0,249,342.363054
5.0,291,346.783413
3.0,218,350.80065
3.0,235,354.979701
3.0,215,357.478491
2.0,190,361.569581
7.0,243,365.637578
11.0,284,369.809954
3.0,253,374.138624
7.0,282,378.506305
11.0,300,384.679025
1.0,160,386.817511
1.0,153,389.05237
3.0,223,393.140671
2.0,184,395.543561
3.0,217,399.417609
2.0,191,402.094666
3.0,225,406.275755
8.0,282,410.580377
11.0,274,415.014498
7.0,244,419.24501
11.0,270,423.495058
4.0,259,429.102944
3.0,244,432.024275
3.0,220,436.464286
5.0,289,441.074393
2.0,179,445.0477
5.0,313,449.658688
3.0,225,453.681414
11.0,273,458.296649
7.0,244,462.823926
2.0,188,466.931253
2.0,194,469.45192
7.0,249,473.549403
7.0,254,477.782195
3.0,216,481.856768
1.0,159,484.029244
7.0,246,488.843177
7.0,248,493.45438
3.0,241,497.527034
7.0,248,501.68095
3.0,220,504.264746
4.0,253,508.328178
3.0,216,512.783855
3.0,224,516.855513
3.0,228,519.402437
2.0,184,523.429351
7.0,246,528.037736
3.0,213,531.984865
7.0,243,534.640618
2.0,189,538.532928
0.0,126,540.63629
7.0,257,545.092682
3.0,217,6755.251929
2.0,195,6758.80843
2.0,200,6764.836983
2.0,183,6767.697142
3.0,215,6772.761076
7.0,260,6778.250523
3.0,220,6783.775851
3.0,224,6787.296275
3.0,222,6792.163864
3.0,216,6797.375087
3.0,212,6800.230104
7.0,261,6805.479985
3.0,213,6810.117386
7.0,260,6815.228767
7.0,273,6820.680655
7.0,248,6826.174705
2.0,196,6830.620661
8.0,299,6836.341565
7.0,258,6841.464991
3.0,213,6846.978498
11.0,278,6852.720325
7.0,252,6857.894537
3.0,221,6862.594259
7.0,244,6865.754762
7.0,257,6870.829355
7.0,252,6875.497492
11.0,283,6882.363725
3.0,227,6885.492769
2.0,190,6889.945855
11.0,301,6895.083903
3.0,232,6899.450516
2.0,187,6904.074983
2.0,205,6907.262512
7.0,277,6912.686387
3.0,221,6917.37029
3.0,234,6922.272666
3.0,223,6927.035606
9.0,345,6932.313102
2.0,188,6936.925113
3.0,213,6939.749039
9.0,324,6947.034667
2.0,201,6951.732008
7.0,250,6954.729948
3.0,218,6959.446009
3.0,233,6964.213291
7.0,259,6969.279888
2.0,187,6972.20006
7.0,261,6978.599622
2.0,181,6981.730381
1.0,159,6984.554989
2.0,183,6989.137503
11.0,282,6994.196184
7.0,256,6999.494718
3.0,244,7004.404768
3.0,223,7007.733354
7.0,257,7012.823107
4.0,271,7019.705395
11.0,275,7025.194386
2.0,186,7028.121761
7.0,246,7033.641157
3.0,227,7038.633639
3.0,213,7043.45561
1.0,162,7046.049984
3.0,216,7051.164747
3.0,219,7053.937796
3.0,220,7058.589684
3.0,215,7063.457989
3.0,226,7066.512479
2.0,196,7071.469863
2.0,189,7074.462636
7.0,260,7079.813544
2.0,191,7084.278567
3.0,239,7090.124234
2.0,184,7093.060692
11.0,282,7098.055609
1.0,155,7102.57897
4.0,253,7107.482766
3.0,214,7110.435137
3.0,224,7115.803635
3.0,220,7120.688798
4.0,272,7125.966663
2.0,191,7128.938997
11.0,288,7135.476869
7.0,255,7140.941489
2.0,226,7143.913651
3.0,235,7148.832884
2.0,197,7153.585872
2.0,203,7156.743542
11.0,270,7162.164589
2.0,191,7166.897862
12.0,332,7174.210528
8.0,305,7179.667239
7.0,269,7184.667232
3.0,227,7189.67575
3.0,223,7194.142766
2.0,202,7196.968355
4.0,269,7201.803945
3.0,232,7206.603904
3.0,239,7211.419216
7.0,259,7216.595763
7.0,253,7221.645735
7.0,249,7226.241502
5.0,312,7231.405072
2.0,184,7235.980742
3.0,229,7239.099372
1.0,154,7243.500382
8.0,279,7248.58953
4.0,277,7253.644853
3.0,226,7258.505463
8.0,304,7263.648396
11.0,285,7268.936174
3.0,264,7274.03472
5.0,288,7280.691073
8.0,279,7285.534318
3.0,219,7290.500617
3.0,234,7293.878589
4.0,279,7301.267869
1.0,161,7304.19031
7.0,251,7308.965565
11.0,291,7314.330169
2.0,193,7318.999707
4.0,252,7323.965154
6.0,358,7329.740206
7.0,244,7335.06466
3.0,217,7340.175816
6.0,320,7345.539376
3.0,222,7350.286361
1.0,155,7352.793591
5.0,299,7359.726235
4.0,278,7365.041964
7.0,248,7370.140375
3.0,248,7375.271609
7.0,249,7379.973498
3.0,216,7382.714042
12.0,316,7389.580368
8.0,291,7394.193745
11.0,409,7400.997239
8.0,304,7406.988748
5.0,299,7411.531685
9.0,445,7419.789128
7.0,276,7424.208499
7.0,258,7428.526618
3.0,256,7432.783634
2.0,188,7435.096102
6.0,334,7441.193006
2.0,202,7443.896028
5.0,343,7450.472502
5.0,330,7456.431594
6.0,363,7461.380443
11.0,276,7467.311745
11.0,437,7473.870374
5.0,288,7478.124938
6.0,372,7484.418833
3.0,219,7488.311479
7.0,407,7494.713207
3.0,231,7498.998638
7.0,249,7503.205481
8.0,308,7507.641913
7.0,250,7511.793423
4.0,256,7516.122654
9.0,334,7522.411949
7.0,260,7526.64185
7.0,262,7530.824901
11.0,453,7537.398499
6.0,339,7543.74061
3.0,214,7548.145997
5.0,317,7552.676507
11.0,272,7556.944525
7.0,246,7561.103777
5.0,307,7566.765945
12.0,445,7573.425048
4.0,244,7577.825359
5.0,358,7584.20317
11.0,425,7590.751932
8.0,416,7597.423345
12.0,427,7605.448048
5.0,313,7609.8581
6.0,327,7615.902116
8.0,415,7622.493711
5.0,312,7626.949067
3.0,213,7631.118394
9.0,438,7639.714425
15.0,430,7646.14812
9.0,451,7653.012495
11.0,411,7661.110183
9.0,469,7667.822881
8.0,313,7673.652373
10.0,528,7682.791433
10.0,509,7692.19263
23.0,688,7702.884329
4.0,270,7707.113525
8.0,297,7712.89168
5.0,328,7717.482899
9.0,345,7723.640794
8.0,293,7728.113438
5.0,320,7734.183755
9.0,358,7739.071871
15.0,546,7748.815182
11.0,425,7755.657633
13.0,523,7764.052913
21.0,531,7772.338283
10.0,473,7780.86902
14.0,408,7787.084281
5.0,297,7792.869983
11.0,399,7799.113467
16.0,480,7805.763897
11.0,504,7814.323441
6.0,315,7820.220581
9.0,326,7824.881232
15.0,416,7832.983657
12.0,473,7839.604056
22.0,682,7851.919725
9.0,472,7858.965075
3.0,237,7863.019043
9.0,458,7871.5995
10.0,475,7878.504997
7.0,396,7886.257207
6.0,367,7891.086635
10.0,507,7899.509316
8.0,410,7907.579426
7.0,423,7914.121069
8.0,280,7918.701491
3.0,216,7922.622306
11.0,278,7927.319533
12.0,315,7932.093106
12.0,470,7940.9508
9.0,450,7949.236378
9.0,351,7953.87395
17.0,490,7962.110257
10.0,485,7971.556739
11.0,400,7977.735664
11.0,418,7984.120453
6.0,348,7990.290545
9.0,345,7996.511014
6.0,361,8002.935242
7.0,389,8009.404399
5.0,294,8013.669274
15.0,529,8022.134277
17.0,503,8030.538038
4.0,263,8034.800564
9.0,326,8040.904967
6.0,340,8045.516997
9.0,449,8053.571649
25.0,536,8062.447735
14.0,665,8072.960205
10.0,402,8079.524467
17.0,362,8085.651428
7.0,408,8092.10968
13.0,569,8102.304264
11.0,535,8111.229776
17.0,653,8121.91473
9.0,442,8128.457551
