#{"t_start": 1764165674.2609892, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,127,1.198962
1.0,174,5.702971
1.0,163,8.406306
1.0,159,10.76686
2.0,180,15.63003
1.0,149,18.110071
0.0,125,20.370199
1.0,149,23.023131
5.0,319,30.423158
2.0,183,33.006073
3.0,218,37.693847
5.0,336,42.910121
2.0,182,46.861066
2.0,181,49.867607
0.0,123,52.17827
6.0,343,59.266979
3.0,273,64.484398
2.0,190,66.952639
2.0,186,71.407604
7.0,258,76.482502
4.0,278,81.8857
3.0,220,86.482031
7.0,275,91.023028
3.0,211,95.306985
3.0,230,98.335044
3.0,213,103.153723
6.0,344,110.490814
2.0,203,113.169731
9.0,333,120.515328
7.0,250,125.079918
5.0,297,130.302852
7.0,259,135.612746
3.0,212,140.312726
3.0,246,144.939084
7.0,254,149.708682
3.0,219,152.656035
1.0,169,157.018728
2.0,204,160.118367
2.0,180,164.262201
7.0,273,169.891126
3.0,237,174.966919
11.0,272,179.883809
7.0,249,184.994856
7.0,269,189.975799
7.0,311,195.204405
3.0,226,199.63099
2.0,191,203.967353
11.0,281,209.169959
2.0,190,212.42205
3.0,217,217.272108
4.0,250,222.244342
1.0,163,225.017048
7.0,245,229.664879
3.0,214,234.051886
7.0,247,238.546634
3.0,226,243.467047
3.0,221,246.667682
3.0,209,251.1305
3.0,227,255.639177
6.0,358,261.209168
3.0,229,266.17736
2.0,195,270.439582
3.0,218,273.219925
2.0,199,277.861723
4.0,266,282.652717
3.0,234,287.138754
1.0,161,289.529978
3.0,231,294.104382
7.0,271,299.106704
11.0,280,303.994405
3.0,229,308.4763
3.0,221,312.881117
2.0,191,315.451071
2.0,188,319.588794
7.0,248,324.489754
3.0,226,327.328819
3.0,223,331.718555
7.0,260,336.418359
7.0,250,341.899298
2.0,183,346.36786
2.0,192,349.36327
7.0,249,354.064444
3.0,230,358.77896
4.0,267,363.925195
3.0,228,369.248753
7.0,253,374.516619
7.0,246,379.791626
3.0,239,384.772076
2.0,189,387.937197
2.0,198,392.905462
3.0,213,396.391713
7.0,270,401.582469
2.0,198,405.931947
7.0,254,410.896734
7.0,256,415.992825
11.0,283,420.778332
2.0,181,423.968457
7.0,252,428.664373
2.0,189,433.96066
3.0,241,438.843138
7.0,259,443.995261
2.0,197,446.820712
7.0,269,451.557228
11.0,279,457.838384
7.0,261,463.206754
3.0,219,466.237393
7.0,248,470.993733
7.0,252,476.026407
1.0,156,480.513423
7.0,254,483.800243
1.0,157,488.157316
3.0,213,491.231141
2.0,195,495.869849
1.0,157,498.307959
3.0,218,502.865092
7.0,255,507.716787
0.0,125,510.281088
7.0,247,514.76701
7.0,255,520.059541
3.0,215,523.174402
7.0,244,527.86551
7.0,250,532.614903
3.0,216,537.242211
11.0,270,542.835875
7.0,253,547.695741
3.0,217,551.995948
11.0,276,557.727317
2.0,189,560.658347
7.0,248,565.507776
2.0,190,570.158877
3.0,221,574.533303
3.0,215,577.601997
3.0,225,582.248141
11.0,290,587.711139
2.0,186,592.289274
4.0,270,597.585697
11.0,278,602.575122
3.0,226,607.616313
7.0,259,612.381341
3.0,227,617.356816
7.0,276,622.219457
1.0,153,625.203318
3.0,214,629.902209
7.0,257,634.52526
11.0,277,640.301719
3.0,241,645.11265
3.0,228,648.296783
7.0,246,653.364858
3.0,233,658.242443
3.0,219,662.85853
7.0,254,667.921219
1.0,165,670.584188
3.0,212,675.244387
7.0,257,680.670261
2.0,183,683.453872
7.0,258,688.609408
7.0,246,693.258692
7.0,251,698.119803
7.0,257,703.211781
1.0,149,705.637076
11.0,285,710.912933
7.0,273,717.054183
2.0,191,719.710464
3.0,241,724.229397
7.0,278,729.22202
7.0,254,734.239574
2.0,183,738.549955
7.0,254,743.506405
4.0,295,748.207665
2.0,199,751.573606
3.0,228,756.593907
7.0,260,761.52
7.0,265,766.442953
3.0,229,770.819293
2.0,184,775.704541
7.0,260,780.637295
3.0,216,783.688138
2.0,181,788.459876
4.0,260,793.264613
3.0,215,796.593498
2.0,183,801.239584
7.0,250,805.773548
7.0,249,810.943837
7.0,249,816.595306
3.0,214,820.163115
