#{"t_start": 1764165674.2178423, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,149,3.228353
3.0,240,7.990702
2.0,185,10.476184
2.0,183,13.414672
0.0,131,16.20928
3.0,232,20.699408
1.0,152,23.383734
4.0,285,30.537918
3.0,216,33.367059
2.0,181,37.785503
2.0,187,40.499339
2.0,200,44.770899
1.0,153,47.157591
1.0,154,49.939183
2.0,205,54.297421
3.0,225,59.095181
2.0,181,62.116274
1.0,161,64.722316
3.0,229,69.005752
1.0,152,71.712488
7.0,384,79.752109
1.0,165,82.284886
7.0,254,87.050069
3.0,239,91.466468
2.0,185,95.543033
2.0,189,98.25554
2.0,214,103.083989
2.0,184,106.307709
7.0,255,111.02103
2.0,196,115.490147
2.0,190,118.29136
4.0,269,123.395208
1.0,157,127.681031
11.0,274,132.847328
3.0,216,137.401402
3.0,219,140.679448
2.0,181,144.865185
2.0,198,147.774435
2.0,185,152.067555
3.0,240,156.780221
7.0,288,162.035713
7.0,250,166.857929
0.0,121,169.669387
3.0,213,172.70204
3.0,244,177.862831
3.0,248,182.66938
2.0,195,187.399612
3.0,214,190.403351
3.0,233,195.068548
2.0,233,199.553814
2.0,192,203.880696
7.0,247,207.077356
6.0,348,215.181874
7.0,249,220.114876
3.0,214,224.637206
7.0,257,229.297864
5.0,323,234.473196
3.0,215,238.780498
2.0,206,243.571601
7.0,253,248.611629
3.0,238,251.698447
7.0,252,256.324022
3.0,226,261.007864
7.0,264,266.204238
11.0,288,270.978716
3.0,215,275.67492
11.0,286,280.473361
5.0,304,287.006398
7.0,255,291.523134
2.0,185,294.327291
4.0,245,299.161027
2.0,201,303.49062
3.0,223,306.466275
2.0,193,310.776663
2.0,184,313.339241
3.0,233,317.783011
3.0,221,322.375282
7.0,248,326.811874
3.0,224,331.286566
3.0,215,334.208025
7.0,259,339.299331
4.0,272,344.564767
3.0,224,349.454282
4.0,254,354.174027
7.0,253,359.027124
3.0,211,363.806273
3.0,231,369.150232
2.0,179,372.175875
3.0,214,377.084599
1.0,156,380.064074
1.0,155,382.895536
11.0,288,388.292201
2.0,184,393.191977
3.0,230,398.328139
7.0,246,403.465082
7.0,245,406.465567
3.0,216,411.150634
11.0,274,416.383462
3.0,233,420.852586
3.0,218,425.886036
1.0,159,428.376766
1.0,154,431.544284
3.0,221,436.550264
3.0,222,441.394321
3.0,229,444.580129
7.0,254,449.299048
3.0,219,453.673248
0.0,122,456.048118
3.0,217,460.777572
7.0,253,465.807635
7.0,256,470.576377
2.0,185,473.747516
3.0,220,478.539732
11.0,281,483.559478
7.0,254,488.617134
3.0,222,493.494804
2.0,181,496.172869
2.0,189,500.502728
3.0,234,504.945705
7.0,251,510.115131
5.0,315,515.041467
1.0,148,517.907416
2.0,184,522.557463
3.0,220,525.564396
3.0,213,530.139596
3.0,212,534.489804
7.0,260,539.829454
3.0,215,543.090395
2.0,187,547.574631
3.0,216,551.785275
7.0,258,557.409223
2.0,180,560.32806
2.0,185,562.987829
2.0,203,567.548669
11.0,277,572.649198
3.0,218,577.324561
7.0,249,582.108079
3.0,216,585.421994
3.0,250,590.621968
3.0,227,595.644724
3.0,221,600.224311
3.0,218,604.815594
2.0,191,607.937288
3.0,236,612.608136
7.0,257,617.745623
8.0,289,622.762254
1.0,158,625.746766
7.0,259,630.637309
3.0,223,635.178965
11.0,282,640.908678
3.0,215,645.57807
1.0,152,648.250308
2.0,184,652.95659
3.0,223,655.776064
3.0,225,660.71816
3.0,219,665.507481
3.0,219,670.238503
2.0,181,672.981202
3.0,214,678.063768
1.0,155,680.879797
3.0,213,685.717382
4.0,271,690.520219
0.0,126,692.954569
1.0,156,695.409652
11.0,418,703.327248
3.0,219,707.849063
3.0,228,712.592874
11.0,276,717.290462
2.0,207,720.092706
11.0,298,726.537151
5.0,323,731.902827
2.0,183,736.396262
7.0,252,740.840567
2.0,189,744.008837
3.0,220,748.274053
3.0,220,753.517886
8.0,315,759.041676
11.0,279,763.935127
7.0,269,768.738253
7.0,248,773.574167
7.0,256,778.968219
2.0,185,783.152307
3.0,225,788.33523
2.0,183,791.259399
2.0,201,795.833477
7.0,257,801.023483
3.0,218,803.925685
3.0,210,808.575932
7.0,254,814.132709
11.0,294,820.02161
7.0,247,825.592011
3.0,228,831.149467
2.0,182,833.847188
11.0,282,839.356374
2.0,187,843.869263
7.0,259,849.125061
7.0,249,854.351525
3.0,233,859.194104
2.0,181,862.366748
2.0,182,866.477181
11.0,269,871.785135
3.0,227,874.75491
3.0,215,879.5974
7.0,285,884.26518
4.0,277,890.530315
11.0,277,895.487961
2.0,185,897.970739
3.0,219,902.344302
3.0,216,907.289416
3.0,221,910.079426
3.0,213,914.51222
4.0,279,919.588665
11.0,281,924.504769
2.0,183,928.973813
3.0,255,933.927918
1.0,187,937.083502
2.0,181,941.718654
3.0,219,944.656426
3.0,214,949.10971
7.0,270,954.518948
7.0,250,959.501138
7.0,278,964.52344
2.0,196,969.430325
7.0,254,974.638322
7.0,262,979.718571
11.0,295,984.698905
2.0,197,989.313237
11.0,281,994.100968
7.0,254,998.845406
3.0,215,1001.676309
2.0,205,1006.053333
11.0,274,1011.007238
3.0,226,1015.399826
11.0,289,1019.948039
3.0,220,1024.7169
3.0,222,1029.192457
7.0,261,1034.672329
3.0,218,1037.5569
7.0,258,1042.239179
3.0,216,1046.703479
2.0,207,1051.389346
1.0,158,1053.777281
3.0,213,1058.245188
3.0,249,1063.41633
11.0,296,1068.50503
3.0,222,1073.048041
2.0,214,1076.371045
2.0,189,1080.877755
7.0,257,1085.69819
7.0,257,1090.593721
1.0,156,1093.108886
11.0,281,1098.401623
2.0,185,1103.193007
3.0,220,1106.468058
7.0,258,1111.541536
11.0,295,1118.120413
3.0,219,1121.235396
2.0,184,1125.786891
3.0,239,1130.606711
3.0,221,1133.850631
1.0,170,1138.236198
1.0,148,1141.100879
3.0,219,1145.872255
7.0,267,1150.788774
7.0,247,1155.340653
4.0,250,1160.145394
0.0,133,1162.532838
2.0,183,1165.549569
3.0,217,1170.323664
2.0,186,1173.242567
1.0,150,1175.632317
7.0,245,1180.133113
2.0,191,1184.789737
11.0,282,1189.673967
7.0,282,1194.666214
2.0,181,1198.777186
7.0,252,1203.896207
3.0,221,1207.415325
3.0,217,1212.166128
3.0,225,1217.225591
5.0,291,1222.37605
3.0,222,1227.836334
3.0,220,1231.25796
7.0,261,1237.999237
11.0,275,1243.163114
7.0,250,1248.250343
3.0,212,1250.996433
2.0,196,1255.440388
3.0,214,1258.327565
3.0,214,1262.759611
2.0,183,1267.156132
7.0,257,1272.136582
3.0,215,1275.334405
2.0,188,1280.040634
11.0,283,1284.991982
11.0,274,1290.094915
3.0,215,1294.793944
7.0,256,1299.806921
11.0,278,1304.847857
3.0,227,1309.396379
2.0,183,1312.053499
3.0,222,1316.879657
2.0,187,1319.737555
7.0,251,1324.596434
3.0,218,1329.334072
7.0,260,1334.898789
7.0,258,1339.783147
7.0,268,1344.495404
3.0,219,1349.064125
2.0,191,1352.242722
7.0,271,1357.271673
3.0,230,1362.290122
11.0,269,1367.140569
2.0,179,1371.617553
