#{"t_start": 1764165674.2620254, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,206,3.518951
1.0,182,7.934372
1.0,181,10.394565
1.0,179,13.316651
1.0,168,17.818019
1.0,153,20.313409
0.0,123,22.734221
2.0,192,25.955028
1.0,149,28.448815
3.0,220,33.205733
0.0,124,35.647281
3.0,224,40.163004
2.0,209,44.516477
2.0,184,47.117393
2.0,183,50.095279
1.0,164,54.145189
2.0,180,56.719257
3.0,223,61.989434
7.0,258,66.535836
2.0,188,69.186885
1.0,161,73.742691
4.0,266,79.146654
3.0,230,82.216545
2.0,187,86.594882
3.0,226,90.790082
3.0,235,95.260844
3.0,236,98.321781
2.0,190,102.948449
3.0,240,107.989322
4.0,274,112.771196
1.0,149,115.545379
5.0,289,120.895764
2.0,195,125.029004
7.0,250,129.936703
11.0,272,135.335506
7.0,251,140.293328
3.0,210,143.088341
5.0,337,150.042752
3.0,218,154.322035
2.0,188,157.433435
7.0,384,164.736273
7.0,271,170.326586
11.0,290,177.395098
11.0,283,182.376608
11.0,281,187.656834
3.0,247,192.372047
11.0,276,197.414274
3.0,218,201.894433
7.0,246,206.395562
1.0,148,209.273105
4.0,245,214.914468
7.0,389,222.191044
7.0,258,226.981723
5.0,304,232.110378
7.0,263,236.818719
3.0,217,241.100237
3.0,229,246.272265
0.0,121,248.776815
2.0,191,251.517714
3.0,219,255.947622
7.0,258,260.803612
2.0,204,265.657142
4.0,254,270.262264
7.0,255,275.075662
3.0,218,278.105586
3.0,248,282.74193
2.0,200,286.962699
7.0,276,291.65924
7.0,263,296.571874
2.0,189,299.42929
3.0,218,303.853308
1.0,154,306.368599
2.0,199,310.70761
11.0,288,315.350322
7.0,258,319.951612
3.0,214,324.610987
5.0,304,329.401916
4.0,275,334.23009
2.0,204,338.927302
2.0,185,342.062191
3.0,263,347.075972
7.0,264,353.638694
7.0,274,358.590874
2.0,187,361.254718
3.0,217,366.614187
3.0,214,371.646956
3.0,221,374.905275
4.0,267,380.322354
7.0,254,385.468304
1.0,159,390.010284
7.0,267,395.769024
7.0,252,400.938727
7.0,249,405.667773
3.0,219,408.774885
3.0,215,413.507372
2.0,190,416.471127
3.0,217,420.853044
3.0,224,425.909513
2.0,191,428.605488
1.0,158,433.694368
3.0,220,436.857463
3.0,223,441.653786
3.0,216,446.351822
3.0,215,449.219927
3.0,232,453.708227
3.0,220,458.104513
3.0,226,463.23997
1.0,172,466.010406
3.0,221,470.517843
3.0,226,475.359566
2.0,195,478.583083
7.0,254,483.399615
3.0,213,488.155806
2.0,180,491.006739
5.0,316,497.838509
1.0,155,500.503736
2.0,191,503.178155
7.0,255,508.10867
3.0,216,512.724808
5.0,307,518.043656
7.0,262,523.195051
3.0,219,527.667357
3.0,212,532.228165
3.0,215,535.242689
3.0,221,540.19944
11.0,282,545.568739
7.0,250,550.103126
2.0,184,554.899789
3.0,220,559.924896
3.0,215,562.815017
7.0,270,567.794708
7.0,260,572.787271
3.0,221,577.481928
3.0,233,582.158399
7.0,258,587.375933
7.0,277,592.662611
3.0,214,597.537873
7.0,261,602.398595
2.0,187,605.266397
2.0,185,610.014558
3.0,245,614.925699
3.0,228,617.982648
11.0,292,624.985826
7.0,257,630.014645
2.0,197,632.718954
1.0,166,635.375199
3.0,232,640.783399
7.0,257,645.719789
7.0,261,651.126274
11.0,274,655.759931
3.0,225,660.700296
7.0,253,665.721189
7.0,256,670.696162
11.0,276,675.747992
7.0,252,681.108666
2.0,201,685.937562
7.0,252,690.669065
2.0,205,693.506646
7.0,245,698.383112
7.0,247,703.408312
7.0,247,708.189257
3.0,224,712.849599
5.0,324,719.167486
0.0,134,721.70029
3.0,216,724.433033
2.0,196,728.922398
3.0,231,733.755365
7.0,244,738.483445
3.0,216,741.2392
1.0,158,744.148531
7.0,247,748.70838
2.0,184,753.647958
7.0,259,758.782038
3.0,228,763.312866
2.0,181,766.16874
2.0,201,770.439251
7.0,254,775.745636
3.0,218,778.911389
3.0,218,783.38769
3.0,223,788.520838
11.0,280,793.530685
3.0,223,798.760599
7.0,249,803.343773
7.0,250,808.29909
1.0,161,811.066119
3.0,226,816.522486
3.0,222,820.146979
3.0,213,825.487797
0.0,129,828.33139
3.0,220,833.31486
1.0,150,836.34842
11.0,281,841.595382
3.0,224,846.432947
2.0,181,849.320942
11.0,269,854.685203
3.0,221,859.433366
3.0,216,864.3968
3.0,221,867.314693
3.0,226,872.297398
2.0,179,876.693868
2.0,196,879.622495
2.0,186,883.737772
1.0,153,886.117096
7.0,257,890.763266
3.0,213,895.278516
11.0,272,899.859537
3.0,234,902.809684
3.0,215,907.777371
3.0,224,912.280086
7.0,257,916.80934
3.0,229,921.472564
7.0,249,926.32288
7.0,259,931.473808
7.0,257,936.594449
1.0,150,939.62665
3.0,221,943.964576
3.0,231,947.038314
7.0,249,952.15678
3.0,235,957.242421
3.0,222,961.920561
1.0,155,964.402775
2.0,195,969.297293
3.0,228,972.589611
3.0,254,977.659083
3.0,243,982.438599
11.0,291,989.223027
2.0,181,991.831249
3.0,229,996.513897
2.0,199,999.177931
3.0,247,1003.769781
3.0,225,1008.099076
7.0,265,1013.078616
3.0,215,1017.384808
2.0,197,1019.951778
2.0,194,1024.520446
2.0,194,1027.354578
3.0,250,1032.632515
7.0,250,1037.320791
3.0,217,1041.783998
7.0,268,1046.548498
3.0,215,1051.307713
3.0,235,1055.775727
11.0,289,1061.165158
7.0,267,1065.886025
11.0,275,1070.813506
7.0,256,1076.091121
11.0,288,1081.241421
