#{"t_start": 1764133606.465829, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,134,2.340317
0.0,134,4.354976
2.0,227,7.28639
0.0,132,9.482094
2.0,204,13.559818
3.0,244,17.759522
2.0,210,21.403982
4.0,277,25.750403
1.0,174,28.080659
0.0,128,30.0241
3.0,253,34.173523
2.0,221,37.868969
2.0,196,40.232081
3.0,257,44.530855
4.0,298,51.067168
2.0,211,53.558241
3.0,257,57.73917
2.0,204,61.70293
2.0,197,64.172323
2.0,196,68.299912
2.0,197,70.880737
2.0,199,75.166261
2.0,195,79.018952
2.0,200,81.673102
2.0,195,85.62185
3.0,245,89.690134
2.0,196,92.074417
4.0,294,96.405417
2.0,196,100.610956
0.0,124,102.847607
2.0,196,105.269926
2.0,202,109.191923
2.0,195,113.019141
3.0,253,117.082154
2.0,197,119.714093
3.0,246,123.844246
4.0,293,128.083375
3.0,246,132.148017
4.0,295,136.348651
3.0,244,140.283503
3.0,246,144.276705
3.0,245,148.24136
2.0,200,151.990113
2.0,203,154.551381
5.0,348,160.409053
3.0,246,164.304306
4.0,278,168.472545
2.0,196,172.193169
3.0,244,176.399957
1.0,168,178.818435
2.0,198,181.079373
2.0,203,184.948514
3.0,231,188.995687
3.0,250,192.924257
3.0,244,197.111005
3.0,245,201.619745
2.0,203,204.008205
2.0,196,207.745957
2.0,201,210.120505
2.0,198,213.828764
2.0,197,216.164024
2.0,196,219.855085
2.0,195,222.162488
4.0,296,227.785584
2.0,197,230.104304
1.0,149,232.323326
3.0,245,236.490167
2.0,197,240.20687
2.0,195,242.881399
3.0,246,246.93368
3.0,244,250.85549
4.0,295,256.636284
3.0,244,260.567374
3.0,245,263.076679
5.0,325,268.810532
2.0,204,272.596265
3.0,249,275.34832
0.0,122,277.373046
3.0,245,281.405817
3.0,246,285.370242
2.0,196,289.122607
3.0,251,293.161912
2.0,205,295.670305
3.0,243,299.614017
4.0,298,305.205651
3.0,244,308.998288
2.0,195,311.428588
2.0,199,315.334895
2.0,197,317.968299
2.0,199,321.822062
3.0,246,325.863212
4.0,293,330.077052
3.0,247,334.095536
3.0,243,338.418567
4.0,296,342.589853
3.0,256,347.31788
3.0,243,351.72859
2.0,200,354.140765
2.0,204,357.835448
3.0,243,361.698994
2.0,195,365.457985
2.0,196,367.812403
3.0,245,371.818003
2.0,197,374.328337
3.0,252,378.154002
3.0,246,382.135092
3.0,244,386.120881
3.0,247,389.926237
3.0,246,393.828432
2.0,199,397.592637
2.0,197,400.216963
3.0,255,404.825768
3.0,244,408.826317
2.0,195,412.493895
3.0,245,416.471619
2.0,197,418.766498
2.0,197,422.445419
3.0,256,426.49584
2.0,197,428.915951
2.0,195,432.619676
2.0,195,435.116605
3.0,246,439.369198
3.0,245,443.315269
3.0,244,447.2797
0.0,121,449.417801
2.0,197,451.663647
3.0,244,455.787381
4.0,293,461.540329
3.0,244,465.456764
3.0,244,468.355115
5.0,344,474.558083
3.0,243,478.443597
2.0,196,482.144695
2.0,196,484.492126
2.0,196,488.156691
2.0,195,490.816626
3.0,246,494.976098
2.0,196,498.771379
3.0,245,502.693068
3.0,244,505.405432
5.0,346,511.26567
4.0,297,515.705681
3.0,245,519.803008
3.0,244,523.863689
4.0,301,529.456794
3.0,244,533.702277
3.0,245,536.355353
2.0,196,540.143651
3.0,244,544.102891
3.0,247,548.202646
3.0,243,552.108651
2.0,196,554.646491
3.0,245,558.779097
4.0,304,564.412428
3.0,251,568.458764
2.0,197,570.950541
2.0,200,574.649149
2.0,196,577.139297
3.0,244,581.130515
2.0,202,584.907885
2.0,195,587.35777
3.0,245,591.587674
3.0,249,595.772637
3.0,245,599.92108
3.0,246,604.075369
3.0,245,607.943833
4.0,296,612.12429
3.0,246,616.146971
3.0,246,619.993242
3.0,250,624.122949
3.0,244,628.529935
3.0,245,632.735158
3.0,252,636.686045
2.0,196,639.094737
3.0,244,642.987724
3.0,246,647.625103
4.0,297,652.032358
3.0,247,656.100633
2.0,198,659.856923
4.0,301,664.082016
3.0,245,668.084755
4.0,299,672.439623
4.0,298,678.21217
3.0,245,682.533664
3.0,246,686.473413
2.0,196,688.772497
3.0,248,692.745556
3.0,243,696.731973
3.0,245,701.230178
1.0,151,703.689095
4.0,298,708.011225
2.0,196,711.596473
3.0,245,715.583169
2.0,195,717.871792
4.0,294,723.468534
3.0,245,727.763886
3.0,245,730.314664
3.0,246,734.534974
3.0,246,738.614447
4.0,273,742.864451
3.0,253,746.707201
2.0,195,750.454929
2.0,195,752.891922
3.0,248,756.82972
2.0,216,760.593006
2.0,195,764.310311
5.0,325,768.899877
5.0,324,774.538332
3.0,244,778.516194
2.0,197,780.860054
3.0,227,784.852861
4.0,275,789.016978
3.0,275,793.044274
3.0,247,797.240014
2.0,207,800.976335
3.0,247,804.862457
2.0,203,807.201368
6.0,397,813.19747
4.0,306,818.870979
2.0,195,821.178105
4.0,294,827.012863
4.0,276,831.144709
5.0,329,835.620408
2.0,199,839.466578
2.0,200,842.162355
2.0,195,845.909957
4.0,296,850.195099
3.0,244,854.108495
3.0,248,858.156779
2.0,195,862.061441
3.0,246,866.028485
3.0,251,869.958848
3.0,244,872.499237
3.0,252,876.463362
4.0,301,882.062391
5.0,327,886.414343
4.0,281,890.452768
2.0,205,894.254511
3.0,246,898.063662
2.0,197,901.981988
11.0,497,908.623561
2.0,202,912.548442
5.0,331,918.495554
3.0,289,923.077069
3.0,249,927.086945
2.0,196,929.764697
2.0,198,933.580633
2.0,197,935.841328
3.0,246,939.885348
2.0,223,943.65954
4.0,281,948.365667
6.0,339,954.23198
3.0,244,958.325596
2.0,197,960.598628
2.0,195,964.308575
4.0,274,968.448103
6.0,372,974.720122
2.0,195,977.069203
5.0,302,982.786358
5.0,316,987.220584
6.0,383,993.088255
2.0,207,996.931196
6.0,355,1003.230435
4.0,273,1007.396461
6.0,334,1011.898333
5.0,304,1017.557009
4.0,273,1021.818599
4.0,272,1026.256647
3.0,231,1030.227172
3.0,225,1034.44923
3.0,245,1038.422978
4.0,258,1042.459365
7.0,385,1048.879917
3.0,227,1051.501748
4.0,259,1055.701159
3.0,233,1059.863895
4.0,266,1064.125346
6.0,325,1069.74589
2.0,193,1072.22562
4.0,263,1076.120341
4.0,263,1080.551383
6.0,326,1086.446774
5.0,333,1092.345201
3.0,218,1094.90597
3.0,214,1098.709531
2.0,181,1101.08237
6.0,335,1107.035502
4.0,277,1111.326402
2.0,180,1115.01588
6.0,327,1119.483795
2.0,185,1123.209933
3.0,212,1125.719824
2.0,198,1129.390417
3.0,262,1133.310202
4.0,263,1137.45133
7.0,358,1143.354636
7.0,252,1147.662029
11.0,273,1151.826714
7.0,254,1156.008302
7.0,257,1160.272316
2.0,184,1162.507653
2.0,191,1166.206854
3.0,213,1168.579445
1.0,157,1172.021843
11.0,282,1176.291424
7.0,251,1180.402309
3.0,215,1183.004864
3.0,214,1186.873848
6.0,325,1192.603902
5.0,302,1196.826877
7.0,251,1201.052224
7.0,245,1205.056682
3.0,219,1209.104695
3.0,213,1211.673995
1.0,152,1213.776897
7.0,261,1217.827134
7.0,262,1221.925346
5.0,295,1227.65895
3.0,210,1230.039122
3.0,210,1233.97138
3.0,219,1237.778757
7.0,365,1243.803849
2.0,184,1246.693125
1.0,165,1249.272237
11.0,302,26039.414103
3.0,251,26045.586233
11.0,269,26051.567455
2.0,215,26054.848549
11.0,271,26061.336552
2.0,188,26063.861796
2.0,187,26067.057786
1.0,167,26071.204967
3.0,221,26075.960974
6.0,331,26081.665905
2.0,193,26086.197416
11.0,291,26092.05768
7.0,271,26097.983987
3.0,239,26103.411671
11.0,283,26108.516634
3.0,225,26113.615266
8.0,308,26119.686286
3.0,225,26124.414504
6.0,343,26132.57759
