#{"t_start": 1764133606.4654696, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,180,2.575515
0.0,134,4.614085
0.0,134,7.047359
2.0,203,11.15585
1.0,178,13.541298
0.0,140,15.654483
2.0,207,19.592087
0.0,130,21.547945
0.0,121,23.702083
2.0,199,26.073692
3.0,268,30.185423
2.0,196,34.041103
0.0,124,35.974339
2.0,207,38.274568
2.0,210,42.167089
2.0,207,46.418817
3.0,230,49.389487
3.0,228,53.533962
2.0,203,57.446576
0.0,126,59.568945
0.0,128,61.652672
2.0,201,64.144043
3.0,244,68.590849
2.0,203,72.777075
2.0,203,75.433518
3.0,246,79.765341
2.0,201,83.645512
2.0,196,86.152574
4.0,298,91.869969
2.0,197,94.2167
2.0,195,98.101987
0.0,125,100.544153
2.0,196,103.164313
2.0,196,106.879513
3.0,244,111.166363
3.0,246,115.220752
3.0,243,119.292936
3.0,246,123.484581
2.0,201,126.045299
2.0,197,129.770483
3.0,253,133.846645
2.0,201,136.182436
2.0,198,139.909586
3.0,245,143.892005
3.0,251,147.888958
3.0,244,151.820508
2.0,195,154.300034
2.0,195,157.994719
5.0,347,162.458589
3.0,249,166.548154
2.0,199,170.166127
3.0,245,174.360199
3.0,247,178.635978
2.0,197,180.901062
2.0,195,184.738797
3.0,248,188.833956
2.0,196,191.202357
3.0,246,195.356884
2.0,203,199.311421
2.0,197,201.980948
2.0,195,205.727783
4.0,297,209.949627
4.0,293,214.139933
2.0,200,217.898895
4.0,298,222.030326
2.0,197,225.796634
0.0,122,227.755221
4.0,293,232.011723
5.0,347,238.005697
2.0,197,240.547815
3.0,248,244.769858
3.0,244,248.846746
3.0,246,252.899697
3.0,245,256.868666
2.0,196,259.210177
2.0,200,262.848398
3.0,250,266.890817
5.0,328,272.616823
4.0,300,277.048729
3.0,244,281.056854
3.0,254,285.068705
2.0,206,287.536543
2.0,195,291.183081
3.0,246,295.33807
2.0,198,297.686327
2.0,195,301.335688
2.0,195,303.754298
3.0,269,309.031851
4.0,295,313.508285
3.0,245,317.739024
5.0,324,322.211858
2.0,201,326.02626
2.0,195,328.428193
3.0,244,332.257731
3.0,245,336.627488
3.0,245,340.746528
2.0,196,344.543094
2.0,199,347.437361
3.0,248,351.900592
3.0,245,355.779173
4.0,319,361.36299
2.0,195,363.871068
2.0,195,367.423633
3.0,248,371.553484
3.0,249,374.329743
2.0,197,377.883905
3.0,243,381.871279
4.0,296,386.090491
3.0,247,389.881397
4.0,298,395.438939
2.0,195,397.794841
2.0,201,401.985382
2.0,197,404.762216
3.0,244,408.767862
3.0,244,412.687301
2.0,195,415.038251
2.0,199,418.702785
2.0,199,422.40051
2.0,198,424.690844
2.0,195,428.481993
3.0,246,432.530525
3.0,249,436.731385
4.0,297,441.121
2.0,197,443.541521
2.0,199,447.241997
3.0,246,451.260081
4.0,297,455.6125
2.0,196,459.354615
3.0,244,463.558933
3.0,246,467.636868
2.0,197,470.111785
2.0,195,474.13573
3.0,243,476.667569
3.0,244,480.67513
2.0,198,484.38104
3.0,245,488.337948
3.0,245,492.505725
2.0,195,495.130579
2.0,196,498.893709
3.0,246,502.826122
2.0,195,505.258815
3.0,244,509.301638
2.0,197,513.18734
3.0,246,517.2193
3.0,244,521.289021
3.0,248,524.012466
3.0,245,527.841217
2.0,197,531.901151
2.0,202,535.744437
2.0,200,538.129876
4.0,294,542.448802
4.0,297,548.104663
3.0,246,552.021978
3.0,248,556.254665
3.0,245,558.975609
3.0,247,562.86248
2.0,207,566.780078
3.0,248,570.891866
3.0,253,574.905147
2.0,198,577.347279
4.0,294,582.987001
3.0,247,586.982592
3.0,248,591.314463
4.0,299,595.744589
3.0,244,599.873266
2.0,196,602.259299
3.0,244,606.317068
2.0,197,610.029956
