#{"t_start": 1764133606.4691052, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,131,2.314986
2.0,207,4.767077
1.0,172,7.365012
3.0,272,13.253242
2.0,241,16.069906
3.0,284,21.555965
0.0,126,23.739987
5.0,307,28.104388
1.0,175,30.295891
2.0,200,34.15341
0.0,135,36.148527
5.0,335,41.895647
2.0,215,44.610446
0.0,130,47.042018
3.0,247,51.532756
1.0,156,55.133302
2.0,197,57.601952
2.0,205,61.5111
3.0,249,65.76677
3.0,243,70.237823
3.0,243,73.148158
2.0,200,77.157438
2.0,198,81.297305
3.0,251,83.980832
2.0,196,87.909791
0.0,124,89.945517
3.0,244,93.931336
3.0,246,98.046832
3.0,243,102.735104
3.0,249,106.709629
2.0,215,109.449062
2.0,201,113.283384
4.0,294,117.652969
2.0,196,121.523613
2.0,199,124.09897
2.0,195,127.812047
2.0,197,130.254907
2.0,195,134.043171
3.0,245,138.000293
3.0,244,141.825293
2.0,197,144.230024
3.0,246,148.193687
2.0,195,151.917647
3.0,245,156.054296
3.0,245,159.862307
3.0,246,162.533369
3.0,244,166.603498
3.0,247,170.470762
2.0,200,174.448971
2.0,195,176.843662
4.0,293,182.54371
3.0,246,186.587539
2.0,201,189.160337
3.0,247,193.135442
3.0,249,197.335837
2.0,197,201.545503
4.0,298,205.841572
4.0,295,210.016498
3.0,244,213.956838
3.0,246,217.948534
2.0,198,221.545559
3.0,249,225.616691
2.0,195,227.938178
3.0,245,231.935212
3.0,247,236.157361
2.0,195,238.390088
3.0,244,242.774029
4.0,275,246.970112
2.0,195,250.661423
4.0,295,255.081372
2.0,197,258.79347
2.0,197,261.094377
3.0,247,265.083929
2.0,195,268.718464
3.0,231,272.647983
2.0,197,275.030387
2.0,198,278.859719
3.0,246,282.883679
4.0,297,287.230659
3.0,230,291.046197
2.0,195,293.543979
2.0,199,297.288601
3.0,254,301.241423
2.0,197,303.670131
3.0,248,307.562938
3.0,243,311.570915
2.0,202,315.463464
3.0,244,319.642781
0.0,121,321.761679
2.0,197,324.139433
2.0,200,327.949726
2.0,196,330.28275
3.0,243,334.281516
2.0,200,338.391277
2.0,201,340.827703
4.0,279,345.315653
2.0,224,349.690079
2.0,196,353.670052
2.0,197,355.893062
3.0,226,359.700424
3.0,249,363.800636
2.0,196,367.351198
3.0,244,370.169249
2.0,201,374.004364
2.0,196,377.5549
3.0,243,380.231415
3.0,243,384.134807
2.0,195,387.767367
4.0,294,391.851332
3.0,243,395.778675
2.0,196,399.651296
3.0,245,402.759427
3.0,252,406.930388
3.0,244,410.983748
2.0,197,414.703473
3.0,246,418.556488
2.0,196,420.977677
3.0,248,424.784018
2.0,197,428.616808
3.0,251,432.672843
3.0,249,436.862233
3.0,244,440.990807
3.0,246,445.080579
2.0,196,447.369201
2.0,196,451.117075
3.0,247,455.104136
3.0,243,457.907942
3.0,243,461.961724
3.0,244,465.979064
2.0,195,469.902103
0.0,123,471.958965
2.0,197,474.640016
2.0,195,478.281063
0.0,122,480.24266
2.0,196,482.590637
2.0,195,486.24533
0.0,122,488.24656
4.0,295,492.684698
3.0,244,496.930795
2.0,195,499.30991
4.0,296,504.897742
2.0,195,507.32198
2.0,195,511.065333
3.0,256,515.327448
5.0,347,521.303427
3.0,245,523.99732
2.0,195,527.594618
3.0,243,531.862599
3.0,248,535.975321
2.0,195,538.31111
4.0,300,543.972056
4.0,294,548.306926
2.0,196,551.951619
3.0,248,554.849373
3.0,243,558.90579
3.0,250,562.796609
3.0,248,566.953229
3.0,245,571.039104
3.0,253,575.048456
3.0,244,579.141705
3.0,243,583.09301
3.0,248,587.156004
3.0,248,591.425671
3.0,248,595.599511
2.0,198,598.022239
2.0,202,601.930061
3.0,247,606.000644
5.0,326,610.343621
2.0,201,614.044952
2.0,198,616.437589
2.0,204,620.093618
4.0,293,624.497514
3.0,244,628.845986
4.0,274,633.191612
3.0,246,637.074468
4.0,294,642.688379
5.0,345,647.843664
3.0,248,651.97458
3.0,246,656.03462
2.0,195,659.757352
5.0,325,664.131713
3.0,247,668.168866
3.0,245,672.21701
3.0,247,676.391206
4.0,295,680.949116
3.0,244,684.932065
3.0,251,688.825867
4.0,295,694.347935
5.0,350,699.136853
3.0,248,703.788391
4.0,295,708.085945
3.0,255,711.990764
3.0,244,715.922123
3.0,244,719.919587
3.0,248,723.916786
2.0,195,727.880653
3.0,248,732.105484
2.0,200,734.431583
4.0,296,740.298167
3.0,232,742.812924
3.0,249,746.637576
3.0,244,750.625852
2.0,203,754.482867
3.0,247,758.327564
3.0,247,762.268513
2.0,195,764.770069
2.0,195,768.611087
3.0,225,771.099519
4.0,277,776.457652
3.0,248,780.515684
2.0,199,782.944321
2.0,210,786.675942
2.0,195,789.173002
5.0,334,794.954334
5.0,353,800.918169
7.0,391,806.848323
3.0,247,810.713021
4.0,279,814.837275
3.0,245,818.850783
3.0,258,822.866894
2.0,214,825.493856
3.0,249,829.581851
2.0,210,833.259705
4.0,275,837.561859
4.0,294,842.18748
2.0,195,845.938752
6.0,354,851.759601
3.0,226,855.685845
2.0,196,858.095033
3.0,246,862.285545
5.0,331,867.920508
5.0,344,872.381486
5.0,349,878.221827
4.0,284,882.365895
4.0,315,888.020858
3.0,266,891.949784
4.0,275,896.015401
2.0,196,898.3203
2.0,195,902.222094
4.0,307,906.598967
3.0,249,910.718546
2.0,197,914.331314
5.0,326,919.001988
4.0,276,924.848191
4.0,294,929.357639
5.0,303,933.78127
5.0,309,939.417001
3.0,247,943.295305
2.0,197,946.168895
4.0,276,950.485477
4.0,297,955.953359
5.0,330,960.447607
5.0,346,966.235893
4.0,276,970.4625
2.0,203,974.380614
2.0,196,976.820861
2.0,196,980.655294
4.0,272,984.732467
4.0,274,988.898731
5.0,325,993.175156
2.0,195,996.964738
5.0,323,1001.574131
6.0,372,1007.780062
5.0,324,1013.651353
3.0,223,1017.473753
3.0,243,1021.534166
3.0,247,1024.35712
5.0,295,1030.167936
4.0,279,1034.677812
3.0,229,1038.561973
4.0,277,1042.720431
3.0,232,1046.717039
3.0,236,1050.939219
3.0,236,1053.776625
5.0,298,1059.488981
5.0,309,1064.063056
6.0,326,1069.692652
4.0,268,1073.824388
4.0,245,1077.841152
3.0,211,1080.523449
4.0,265,1084.706613
1.0,154,1088.462859
7.0,246,1092.358225
5.0,292,1096.664601
6.0,329,1101.168017
3.0,241,1105.031652
3.0,211,1109.132266
5.0,288,1113.397456
7.0,255,1117.513382
5.0,296,1121.754707
3.0,212,1125.694435
3.0,215,1129.464734
3.0,228,1133.203455
6.0,323,1137.664768
7.0,252,1141.652507
3.0,221,1145.476396
3.0,214,1149.637549
