#{"t_start": 1764133606.4662614, "env_id": "ALE/Breakout-v5"}
r,l,t
4.0,324,4.676624
1.0,179,7.331593
3.0,233,11.672462
2.0,225,15.58639
0.0,124,17.813627
0.0,131,19.791384
3.0,251,23.966998
3.0,246,27.928111
0.0,126,29.898782
3.0,250,34.027396
5.0,329,38.25147
3.0,255,42.359287
3.0,250,46.992567
2.0,198,51.273012
2.0,202,53.680554
2.0,201,57.564423
2.0,202,61.452557
2.0,200,64.003926
0.0,126,66.18573
0.0,123,68.44099
2.0,196,72.609576
2.0,199,75.26883
3.0,247,79.566963
2.0,201,83.44324
2.0,198,85.995371
3.0,246,90.059249
2.0,197,93.818119
2.0,197,96.253303
2.0,200,100.484512
2.0,205,103.184076
0.0,125,105.24245
2.0,200,109.131117
3.0,247,113.259919
3.0,244,117.327441
2.0,196,119.930517
2.0,197,123.746879
3.0,246,127.782424
2.0,196,130.226445
4.0,273,134.379746
2.0,203,138.15017
2.0,199,141.745908
2.0,199,144.168399
3.0,246,148.133003
2.0,197,151.854063
4.0,293,156.251118
3.0,249,160.157063
2.0,200,162.509384
2.0,195,166.303329
2.0,198,168.647069
3.0,245,172.710841
2.0,195,176.581969
2.0,196,179.126781
0.0,122,181.020523
3.0,254,185.135993
3.0,249,189.273602
2.0,195,192.941361
4.0,294,197.443957
2.0,210,201.715183
3.0,250,205.69954
2.0,195,208.099677
0.0,126,210.055447
3.0,246,214.005525
3.0,244,217.991956
2.0,199,221.600008
2.0,197,224.063877
5.0,343,229.8118
4.0,294,234.127998
2.0,198,237.95488
2.0,195,240.459411
2.0,196,244.464351
4.0,300,248.803015
3.0,253,252.911009
4.0,298,257.139018
2.0,197,260.821924
2.0,195,263.104622
0.0,126,265.180007
5.0,328,270.910187
4.0,293,275.16934
2.0,195,278.935306
2.0,197,281.387118
2.0,197,285.120049
2.0,195,287.523085
3.0,243,291.398458
2.0,198,295.322883
3.0,246,299.320686
3.0,249,303.214048
3.0,243,307.153034
