#{"t_start": 1764133606.4650848, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,129,2.300783
4.0,287,6.841268
1.0,156,9.222126
2.0,203,13.2072
1.0,171,15.51211
3.0,246,19.678937
1.0,175,22.013426
2.0,200,25.781772
2.0,199,28.264944
0.0,134,30.221726
4.0,279,35.772062
2.0,200,38.067883
2.0,199,41.849641
3.0,266,46.453014
2.0,201,49.251318
2.0,199,53.278337
5.0,344,59.28354
2.0,200,61.858449
2.0,201,65.799116
2.0,225,68.697635
4.0,297,74.897372
2.0,196,77.356133
2.0,195,81.468941
2.0,195,83.86558
3.0,247,88.085689
2.0,198,91.849588
2.0,196,94.192767
2.0,197,98.085532
2.0,196,100.953574
2.0,195,104.958417
3.0,244,109.021513
2.0,197,111.521579
3.0,244,115.558321
2.0,197,119.466322
3.0,247,123.638655
4.0,295,127.956438
2.0,202,131.823692
0.0,124,133.804097
3.0,246,137.776138
2.0,195,140.071731
2.0,197,143.823797
2.0,198,146.164822
3.0,225,150.102101
2.0,195,152.386585
2.0,204,156.323657
3.0,245,160.218492
2.0,195,162.538619
2.0,199,166.360721
3.0,247,170.258366
3.0,248,174.484092
0.0,129,176.553091
2.0,199,179.11207
3.0,251,183.089024
3.0,245,187.164044
2.0,196,190.956631
3.0,246,195.087979
3.0,247,199.293434
2.0,199,201.981438
2.0,196,205.741207
2.0,201,208.160662
2.0,196,211.901397
2.0,195,214.16273
3.0,244,218.129126
4.0,314,223.809546
2.0,195,226.081341
2.0,195,229.777458
0.0,122,231.759228
0.0,130,233.856225
3.0,247,237.968264
2.0,195,240.477958
2.0,202,244.503581
2.0,195,246.886889
4.0,298,252.545118
4.0,293,256.843663
2.0,195,259.181801
3.0,244,263.040298
2.0,198,266.827811
4.0,294,271.054063
3.0,246,275.008468
2.0,201,278.863905
3.0,248,282.904512
2.0,198,285.305767
3.0,246,289.338503
2.0,198,293.056712
2.0,199,295.563188
2.0,196,299.289638
3.0,250,303.18235
3.0,248,307.165215
2.0,196,309.397813
2.0,196,313.360032
4.0,277,317.798369
4.0,297,322.12358
4.0,295,326.400043
3.0,249,330.406783
3.0,246,334.450924
4.0,295,340.44529
2.0,198,342.697384
2.0,202,347.073865
2.0,195,349.75754
2.0,196,353.74255
2.0,195,355.959243
3.0,247,359.863269
2.0,197,363.697125
2.0,201,365.990642
2.0,196,369.884058
3.0,243,373.890048
3.0,246,377.697747
2.0,200,380.153845
3.0,223,383.968786
3.0,246,387.857132
4.0,295,391.947198
2.0,195,395.644603
2.0,197,397.983633
3.0,246,402.563642
2.0,196,406.490139
2.0,196,408.945194
3.0,250,412.888423
2.0,199,416.652947
4.0,293,420.836552
3.0,244,424.617771
3.0,244,428.723759
3.0,244,432.713569
2.0,202,435.225907
2.0,197,439.239299
3.0,247,443.147447
3.0,243,447.145927
2.0,195,449.64541
4.0,275,453.596364
2.0,196,457.626446
3.0,245,461.691154
2.0,195,464.063827
2.0,195,467.948294
3.0,244,472.05992
4.0,293,476.447238
2.0,195,480.181856
3.0,243,484.152063
3.0,243,486.701389
3.0,245,490.938578
4.0,297,496.769856
3.0,244,500.793427
2.0,200,503.08377
4.0,295,507.415453
2.0,195,511.169225
0.0,121,513.360493
2.0,195,515.693583
2.0,199,519.576169
2.0,195,523.288532
3.0,225,525.900758
2.0,195,529.635341
3.0,245,533.841144
4.0,295,538.10049
2.0,199,541.95531
3.0,243,544.459337
3.0,243,548.56497
2.0,204,552.317414
3.0,249,556.491616
3.0,244,560.507512
2.0,197,562.841956
2.0,195,566.687755
3.0,251,570.824185
2.0,195,573.130379
3.0,243,577.225663
3.0,245,581.270448
3.0,245,585.200399
3.0,247,589.329924
3.0,244,593.734787
2.0,203,597.375559
2.0,201,600.068062
2.0,195,603.870022
3.0,251,607.836441
2.0,198,610.194265
4.0,302,614.389407
3.0,245,618.301111
3.0,249,622.324729
3.0,246,626.521185
2.0,198,630.496728
3.0,252,634.740652
3.0,247,638.773956
3.0,257,642.759082
3.0,255,647.376156
2.0,207,650.086049
3.0,249,653.992862
3.0,245,658.092518
3.0,245,662.155115
3.0,250,666.009302
3.0,251,670.292373
3.0,246,674.314579
4.0,274,678.448692
3.0,247,682.751624
3.0,246,686.691611
2.0,197,688.99801
3.0,247,692.993996
2.0,195,696.713973
3.0,248,701.24494
3.0,248,705.577664
3.0,247,709.531024
4.0,274,713.660368
2.0,195,715.951553
2.0,196,719.718505
4.0,297,723.947378
3.0,247,728.162712
4.0,274,732.510375
2.0,200,736.403728
2.0,200,738.728487
3.0,256,742.877546
2.0,197,746.439783
3.0,244,750.421481
2.0,195,752.857822
3.0,244,756.776416
3.0,247,760.704581
6.0,362,766.75481
3.0,246,770.762757
5.0,324,776.398468
2.0,196,778.82164
2.0,197,782.483449
3.0,254,786.558004
2.0,198,789.071748
2.0,200,792.735762
5.0,328,797.337013
2.0,198,801.018346
5.0,328,805.284939
2.0,195,808.970038
3.0,246,812.873132
3.0,255,816.858127
2.0,202,819.356345
4.0,316,825.126858
5.0,328,829.625592
2.0,198,833.231463
4.0,304,837.69997
2.0,205,841.774871
2.0,195,844.208146
2.0,198,847.998767
4.0,274,852.030884
4.0,288,856.284455
2.0,206,860.213889
6.0,375,866.270903
3.0,245,870.215566
4.0,296,874.296994
3.0,249,878.327217
3.0,246,882.264395
4.0,281,886.375667
5.0,314,891.92349
3.0,253,895.893954
6.0,373,902.009919
2.0,197,904.294644
4.0,274,908.514734
3.0,259,912.724566
5.0,326,918.654068
6.0,366,924.96364
3.0,252,929.234632
3.0,260,933.468607
4.0,300,937.581828
2.0,199,941.37753
6.0,338,946.272902
4.0,279,950.65431
2.0,195,954.244821
3.0,246,958.352561
3.0,246,962.292922
3.0,247,966.162111
5.0,324,970.644038
6.0,376,976.880524
2.0,199,980.736815
4.0,274,984.851187
2.0,195,987.290417
2.0,195,990.98627
3.0,248,994.848001
3.0,271,999.029504
4.0,281,1003.540003
2.0,195,1007.26388
2.0,201,1009.805253
2.0,195,1013.5308
2.0,199,1015.970428
2.0,195,1019.730723
3.0,249,1023.849136
4.0,259,1028.070758
7.0,393,1034.633907
3.0,248,1038.635875
4.0,264,1042.701849
6.0,329,1047.323823
6.0,325,1053.376616
5.0,292,1057.677791
2.0,195,1061.734226
4.0,265,1065.928189
4.0,263,1069.845247
5.0,294,1074.100834
6.0,355,1080.306937
3.0,219,1084.258506
6.0,333,1088.994154
4.0,275,1092.92476
6.0,325,1098.785213
3.0,213,1102.630199
3.0,212,1105.063667
4.0,263,1109.393672
5.0,294,1115.128791
6.0,329,1119.598841
4.0,264,1123.713842
7.0,369,1129.699051
5.0,294,1133.818332
2.0,181,1137.514351
7.0,357,1143.401915
5.0,311,1148.082382
7.0,247,1152.125052
3.0,213,1156.022684
7.0,259,1160.292394
3.0,213,1162.676577
6.0,324,1168.292464
3.0,211,1172.057085
7.0,254,1176.156777
7.0,356,1180.860644
6.0,337,1186.816525
3.0,218,1190.529709
2.0,186,1192.948199
11.0,269,1196.997788
7.0,250,1201.225882
3.0,226,1205.176365
2.0,180,1207.515726
7.0,245,1211.73943
11.0,281,1215.888117
11.0,292,1221.455894
11.0,274,1225.51177
3.0,221,1229.517944
6.0,345,1234.213593
2.0,185,1237.766244
3.0,218,1240.354501
9.0,330,1246.67389
9.0,325,26035.850123
7.0,255,26042.465136
8.0,455,26051.918363
7.0,263,26057.08904
3.0,218,26061.578994
7.0,251,26066.526993
3.0,214,26070.926889
6.0,332,26076.467907
3.0,225,26081.507035
3.0,223,26086.184183
2.0,191,26089.170297
3.0,222,26095.203413
7.0,256,26100.706096
3.0,225,26105.870279
11.0,401,26113.51127
9.0,344,26119.834108
7.0,368,26127.536285
3.0,231,26132.945494
7.0,379,26140.968777
3.0,226,26146.114818
6.0,334,26152.138178
8.0,312,26160.713503
7.0,361,26169.685149
7.0,378,26178.946577
4.0,279,26185.363045
5.0,301,26191.773175
7.0,249,26196.797734
7.0,354,26204.721852
7.0,359,26212.507888
7.0,251,26217.428754
5.0,322,26222.924554
8.0,278,26227.946119
7.0,245,26232.659238
9.0,327,26240.223359
8.0,421,26247.209091
4.0,263,26251.846086
7.0,364,26258.479552
7.0,381,26265.708234
7.0,255,26270.552527
7.0,358,26277.541207
6.0,366,26284.805636
7.0,392,26292.213765
9.0,465,26300.345718
4.0,240,26305.031053
8.0,419,26312.480591
8.0,279,26319.435789
10.0,352,26324.768207
8.0,408,26333.593831
9.0,467,26341.014253
8.0,282,26346.321739
9.0,485,26355.699338
17.0,510,26365.152744
11.0,518,26374.07007
9.0,449,26383.880193
10.0,396,26391.540105
4.0,280,26396.423574
10.0,509,26406.187382
8.0,420,26414.838742
7.0,375,26422.494884
5.0,301,26429.73415
15.0,403,26437.064722
6.0,343,26442.208836
4.0,267,26447.247338
6.0,375,26454.293866
10.0,508,26463.52424
4.0,275,26469.842654
10.0,404,26476.762402
5.0,335,26482.238408
6.0,366,26489.028039
16.0,328,26495.573887
9.0,366,26503.216492
6.0,325,26508.679624
9.0,361,26515.805527
18.0,541,26526.126001
8.0,275,26531.375318
9.0,457,26540.958814
9.0,347,26548.276271
8.0,489,26556.214463
12.0,470,26565.560818
10.0,547,26575.750428
8.0,302,26582.728945
11.0,411,26589.589659
5.0,308,26595.025541
6.0,312,26601.930152
16.0,491,26610.781481
11.0,515,26620.482492
13.0,546,26629.912699
15.0,564,26640.77669
13.0,509,26650.520601
6.0,324,26657.793034
4.0,259,26662.388501
4.0,251,26666.758469
11.0,521,26675.550566
5.0,316,26680.170293
7.0,246,26684.704962
3.0,218,26688.798724
7.0,358,26694.941919
