#{"t_start": 1764127424.7115715, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,132,3.997625
1.0,194,6.824925
1.0,169,9.507083
4.0,300,15.990729
0.0,124,18.0416
4.0,295,22.957167
2.0,207,27.016833
5.0,340,32.011052
6.0,376,38.532146
2.0,200,42.765025
2.0,204,45.547517
2.0,196,50.180559
2.0,221,54.50929
5.0,349,59.28114
4.0,300,66.491838
2.0,215,69.014304
2.0,207,73.406973
2.0,204,77.905731
3.0,244,81.056621
3.0,246,86.296533
3.0,247,90.836148
3.0,244,95.106255
3.0,249,99.514549
4.0,275,104.517513
3.0,244,108.867212
3.0,243,113.453976
2.0,197,117.619739
2.0,196,120.208195
2.0,196,124.467916
2.0,195,126.962874
2.0,199,131.015366
1.0,150,133.339606
2.0,195,137.688454
2.0,196,140.185684
2.0,202,144.335688
2.0,196,147.096228
3.0,244,151.252465
3.0,248,155.695768
2.0,196,159.794498
3.0,246,162.533571
2.0,195,166.778895
5.0,328,172.984946
3.0,248,175.896351
2.0,196,179.765718
3.0,247,184.788103
3.0,245,189.610146
3.0,245,194.266992
2.0,200,196.896709
2.0,196,201.620332
2.0,195,204.334617
3.0,243,208.939576
3.0,269,213.173619
3.0,247,217.566446
3.0,248,222.020532
3.0,252,226.824759
2.0,199,231.364761
3.0,245,235.618073
3.0,245,239.921115
3.0,245,244.208641
5.0,347,248.955689
2.0,200,253.00287
2.0,195,255.407317
2.0,196,259.555141
2.0,195,262.276227
3.0,245,266.505197
3.0,243,270.792044
4.0,296,275.345924
3.0,245,279.828995
2.0,196,284.652037
2.0,201,287.744856
2.0,195,292.636684
4.0,296,297.392301
2.0,195,301.168355
3.0,245,305.62158
3.0,246,310.175024
2.0,198,312.85412
3.0,243,317.227902
3.0,244,321.682431
2.0,197,325.829042
2.0,198,329.001927
2.0,195,333.40436
4.0,318,338.360032
2.0,200,342.640351
2.0,199,345.405397
3.0,245,349.791788
2.0,219,354.014534
2.0,198,356.54439
2.0,196,361.015729
2.0,195,363.554771
3.0,245,367.771318
2.0,198,372.220987
2.0,196,374.766256
3.0,246,379.023978
2.0,196,383.054051
2.0,195,385.693193
3.0,254,390.030704
2.0,196,394.244956
3.0,227,398.492425
2.0,195,401.188897
3.0,244,405.749814
4.0,273,410.454692
2.0,198,414.587821
4.0,296,419.407582
2.0,196,423.364778
2.0,196,426.026665
3.0,247,430.412533
2.0,201,434.834982
2.0,198,437.621834
4.0,272,442.47782
2.0,198,446.46109
3.0,245,451.605923
3.0,245,455.970637
6.0,380,463.002545
2.0,197,465.968561
3.0,245,470.469606
3.0,245,475.729989
2.0,196,480.044578
3.0,252,484.258034
2.0,196,486.906543
3.0,245,491.119814
3.0,246,495.491787
3.0,244,499.677328
3.0,254,504.050403
3.0,243,508.40015
3.0,248,513.141357
2.0,197,515.506907
2.0,195,519.919471
3.0,249,524.278297
3.0,245,529.177972
3.0,244,533.771956
2.0,195,536.217568
3.0,244,540.718939
4.0,299,545.320756
2.0,195,549.502388
2.0,195,552.427206
2.0,200,556.839765
2.0,195,559.741623
4.0,295,565.717112
2.0,199,568.299901
4.0,273,573.026066
2.0,195,577.651826
3.0,246,582.426317
4.0,258,587.000865
2.0,195,589.551444
2.0,221,593.90335
2.0,197,598.152728
2.0,195,600.622633
2.0,195,604.744063
3.0,244,609.560495
2.0,198,612.159122
2.0,197,616.234211
2.0,195,618.738238
2.0,195,623.345701
3.0,230,627.627333
2.0,196,630.122551
1.0,169,632.763313
2.0,203,636.744914
5.0,328,643.938754
2.0,207,646.713023
5.0,335,653.350591
2.0,202,656.492069
3.0,252,661.206955
2.0,196,665.398925
3.0,254,670.080893
3.0,245,674.823248
3.0,267,679.392836
4.0,293,683.633753
4.0,294,687.781915
3.0,245,691.753772
4.0,273,695.815869
4.0,297,701.367081
3.0,245,705.247912
2.0,195,707.665376
3.0,246,711.467004
5.0,306,717.009716
3.0,266,721.260615
6.0,389,727.396214
2.0,208,729.911624
2.0,202,733.631212
5.0,336,738.073308
4.0,280,743.456391
5.0,347,747.786273
3.0,244,751.493229
2.0,196,755.282593
2.0,196,757.546677
3.0,245,761.438097
2.0,196,765.001342
3.0,245,768.750612
7.0,412,774.674654
2.0,200,778.262139
4.0,272,782.250106
3.0,228,784.620886
2.0,195,788.295379
3.0,232,791.947545
3.0,252,795.858242
3.0,249,800.020633
2.0,196,802.289829
2.0,195,805.852017
3.0,228,808.229218
2.0,199,811.881523
3.0,224,815.582142
4.0,274,819.561208
2.0,195,821.745792
3.0,244,825.849017
4.0,259,830.161577
3.0,237,833.933786
3.0,229,837.815143
2.0,195,841.633862
3.0,233,844.102244
4.0,260,848.175926
5.0,328,853.661936
9.0,330,859.482313
3.0,233,861.913233
2.0,183,865.63344
6.0,337,870.016625
6.0,349,875.621029
5.0,299,879.590078
4.0,291,885.701899
3.0,227,889.546611
5.0,329,894.06445
6.0,331,899.820819
6.0,343,904.132671
6.0,384,909.896636
9.0,446,917.278535
6.0,336,921.564522
7.0,355,927.703288
4.0,266,931.791293
9.0,435,939.586262
5.0,298,943.619587
7.0,360,949.416106
7.0,369,955.462427
2.0,179,957.670379
5.0,293,961.711582
9.0,443,969.008086
8.0,412,975.227462
13.0,474,982.709296
11.0,515,990.492699
9.0,446,997.827715
6.0,351,1006.029173
7.0,376,1013.835714
6.0,420,1022.277482
9.0,428,1031.447276
5.0,300,1036.232439
8.0,428,1043.315291
7.0,370,1050.289926
8.0,394,1057.105016
8.0,406,1064.003066
5.0,310,1070.941754
5.0,298,1075.518801
11.0,523,1084.37738
4.0,245,1088.615415
16.0,627,1100.043943
7.0,371,1106.488341
8.0,424,1113.337047
9.0,349,1119.460781
9.0,468,1128.6555
8.0,395,1135.586402
9.0,327,1140.599951
4.0,278,1146.335794
7.0,379,1151.387497
7.0,374,1158.401665
23.0,692,1172.175827
10.0,539,1181.356835
5.0,310,1186.647955
9.0,455,1195.521829
11.0,282,1200.117177
8.0,464,1208.682634
16.0,448,1216.008862
6.0,334,1222.192918
8.0,390,1229.102765
5.0,317,1234.077502
10.0,499,1243.81892
11.0,571,1255.423347
10.0,404,1262.196219
12.0,469,1271.573805
5.0,316,1276.636568
16.0,458,1285.371513
7.0,414,1292.398132
8.0,414,1299.579747
18.0,589,1310.67768
14.0,425,1317.558574
8.0,451,1326.369345
17.0,638,1337.685325
9.0,450,1345.063886
12.0,555,1355.214788
10.0,476,1363.570442
20.0,679,1376.129881
11.0,412,1384.745815
15.0,586,1394.590036
11.0,363,1401.438278
12.0,487,1410.10029
13.0,602,1421.225291
11.0,522,1431.534232
5.0,331,1436.397739
15.0,574,1447.165756
8.0,458,1454.796834
3.0,214,1459.143479
12.0,435,1465.941851
6.0,345,1472.511487
10.0,361,1478.701105
8.0,414,1486.076197
14.0,575,1497.20606
4.0,267,1501.855532
15.0,462,1510.065105
15.0,581,1521.577862
17.0,487,1530.941779
15.0,558,1540.647974
6.0,328,1547.333321
6.0,344,1552.557281
5.0,293,1559.071442
8.0,278,1564.203324
12.0,574,1573.851812
7.0,379,1580.499109
4.0,260,1584.891011
4.0,249,1589.78828
20.0,493,1598.958542
16.0,569,1608.685788
10.0,366,1615.537582
6.0,335,1621.942468
10.0,499,1629.9122
10.0,500,1638.173932
7.0,374,1643.981784
8.0,287,1648.120506
9.0,486,1655.870878
10.0,462,1662.222266
21.0,604,1671.970186
7.0,253,1675.819781
10.0,521,1683.795671
12.0,590,1693.310372
12.0,590,1701.742188
12.0,496,1709.521456
10.0,494,1717.436155
12.0,589,1727.750474
9.0,500,1735.861192
20.0,478,1742.350051
16.0,602,1752.211666
21.0,643,1763.218226
10.0,344,1768.894849
22.0,679,1779.001525
11.0,548,1787.592869
12.0,536,1795.646746
8.0,449,1803.333392
15.0,591,1812.835562
8.0,381,1818.835504
8.0,408,1824.890307
12.0,542,1833.057786
9.0,455,1840.608899
18.0,422,1846.704087
12.0,450,1852.997446
7.0,386,1858.981192
13.0,604,1869.496052
8.0,408,1875.560645
10.0,473,1883.344143
6.0,335,1889.03834
12.0,433,1895.468898
7.0,388,1901.339652
18.0,611,1911.382453
13.0,485,1919.319313
4.0,246,1921.912673
27.0,511,1929.849638
19.0,701,1941.483492
13.0,620,1951.12707
11.0,525,1959.419283
15.0,552,1967.653913
15.0,560,1977.15244
20.0,643,1987.018389
27.0,718,1997.40775
9.0,445,2004.959688
21.0,564,2013.048391
15.0,626,2023.088866
15.0,661,2033.601315
4.0,287,2037.571219
26.0,479,2045.316233
15.0,540,2053.749629
14.0,651,2063.777043
9.0,479,2071.403457
23.0,612,2081.080432
10.0,420,2088.255568
22.0,576,2097.998922
15.0,437,2104.153386
21.0,622,2113.77885
26.0,464,2121.675244
16.0,616,2130.070322
25.0,692,2141.831664
24.0,659,2152.03355
6.0,355,2157.752335
23.0,613,2167.670493
15.0,426,2173.819596
14.0,643,2183.66192
8.0,420,2189.575526
11.0,488,2197.487458
8.0,372,2203.259518
22.0,581,2211.487527
19.0,453,2219.224886
16.0,623,2229.774664
10.0,464,2238.197756
15.0,402,2244.222309
28.0,737,2254.774457
12.0,430,2262.357631
24.0,635,2272.575577
28.0,1084,2288.821766
22.0,421,2294.822695
10.0,365,2300.743691
20.0,639,2310.637742
15.0,427,2318.410399
13.0,578,2327.052777
7.0,376,2333.214254
18.0,570,2342.976464
23.0,675,2353.305695
4.0,261,2357.22829
16.0,468,2365.068535
12.0,407,2371.274038
15.0,462,2377.481686
8.0,426,2385.779438
10.0,375,2391.750907
5.0,315,2395.972921
12.0,604,2405.743549
28.0,697,2416.113981
21.0,694,2428.188379
14.0,388,2434.221477
11.0,426,2440.596214
11.0,501,2448.612975
12.0,530,2456.673167
7.0,371,2462.721124
3.0,211,2466.406645
8.0,397,2472.481824
14.0,405,2478.834345
24.0,517,2486.712058
25.0,584,2495.185012
10.0,403,2502.491583
11.0,382,2508.450096
14.0,525,2516.436307
12.0,319,2520.66615
9.0,472,2528.31715
18.0,552,2536.339782
9.0,475,2544.215842
9.0,347,2550.036437
7.0,360,2554.552365
13.0,468,2562.273036
17.0,629,2572.428131
6.0,336,2578.338276
7.0,266,2582.326491
15.0,392,2588.960892
5.0,289,2593.107559
14.0,381,2598.895924
6.0,347,2604.81148
14.0,411,2610.834562
10.0,370,2616.614222
19.0,648,2626.70654
13.0,357,2632.914956
13.0,444,2639.193853
13.0,353,2644.91081
4.0,263,2648.85176
9.0,360,2654.904629
12.0,446,2661.223597
23.0,590,2671.041023
21.0,766,2683.2275
22.0,463,2689.90925
25.0,561,2699.33141
17.0,476,2707.3757
9.0,440,2713.501779
18.0,670,2723.640003
13.0,579,2733.228764
23.0,449,2739.527281
10.0,457,2747.035898
21.0,627,2757.129623
8.0,415,2763.243849
8.0,420,2769.325301
9.0,477,2776.883347
16.0,592,2786.392157
13.0,604,2794.854304
22.0,507,2802.956612
19.0,469,2811.130301
15.0,442,2817.390318
18.0,565,2827.179034
10.0,471,2833.438203
26.0,579,2843.422792
14.0,664,2853.561157
15.0,525,2861.585677
19.0,415,2869.026149
11.0,556,2877.351875
18.0,568,2885.549282
15.0,414,2893.175084
16.0,577,2901.346642
16.0,453,2909.14992
17.0,378,2915.299245
7.0,362,2919.781969
24.0,624,2929.821799
22.0,453,2937.61295
14.0,632,2948.097857
16.0,466,2954.714741
