#{"t_start": 1764127424.2197225, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,168,4.736944
2.0,220,9.26595
0.0,145,11.939531
0.0,126,14.087606
3.0,238,18.40809
1.0,172,20.976297
0.0,140,23.405562
3.0,251,27.773729
3.0,246,32.114308
3.0,250,36.35808
4.0,306,41.25176
2.0,204,45.604176
0.0,143,48.138873
2.0,205,51.153045
3.0,255,55.603989
2.0,200,59.49725
2.0,200,64.374831
3.0,249,68.949648
3.0,244,72.130023
2.0,197,76.130052
4.0,273,81.267338
3.0,274,86.681449
2.0,196,90.952407
2.0,199,93.55495
4.0,273,97.92115
2.0,222,102.611036
3.0,247,107.115331
2.0,197,111.305293
3.0,245,115.882764
0.0,125,118.008466
3.0,244,120.918896
2.0,195,125.153803
2.0,195,129.005969
3.0,244,132.084737
4.0,295,138.358082
3.0,245,142.721737
5.0,323,147.616581
3.0,246,151.783192
2.0,197,155.948836
3.0,244,160.309516
5.0,324,165.083464
0.0,122,167.319111
3.0,243,171.691277
2.0,195,174.104608
2.0,196,178.170424
3.0,269,182.949049
2.0,196,187.667956
3.0,225,190.464065
3.0,245,195.134993
1.0,152,197.521311
2.0,195,202.247068
2.0,199,206.527597
5.0,324,211.422064
3.0,246,215.671288
3.0,268,220.158087
0.0,132,222.402643
4.0,294,227.523794
4.0,301,234.006656
3.0,245,238.382846
3.0,248,242.6951
4.0,295,247.227492
3.0,244,251.311659
0.0,126,253.533843
2.0,198,255.951914
3.0,249,260.477919
2.0,195,264.651318
3.0,243,268.755103
3.0,245,272.991934
2.0,196,275.638216
2.0,196,279.649788
2.0,195,282.981966
3.0,244,287.955218
2.0,198,292.877879
3.0,243,297.182105
2.0,195,299.779795
3.0,247,304.183425
4.0,276,308.67469
3.0,244,313.217063
3.0,248,317.640434
3.0,246,322.116249
2.0,195,324.764394
2.0,198,329.409212
2.0,198,333.839513
4.0,272,338.491897
4.0,296,343.407423
3.0,244,347.748097
3.0,245,352.235501
3.0,248,356.584078
2.0,195,359.344624
3.0,226,363.762351
2.0,196,367.624905
2.0,200,370.617827
3.0,243,374.979862
2.0,195,378.88396
2.0,195,381.578287
3.0,249,385.845841
4.0,295,390.420378
2.0,195,394.672207
2.0,198,397.253634
3.0,225,401.576669
3.0,245,406.186894
3.0,226,410.637387
2.0,196,413.376267
2.0,196,417.1805
2.0,196,420.105919
2.0,196,424.074392
3.0,229,428.284808
2.0,196,431.012966
2.0,196,435.409132
3.0,251,439.889883
2.0,199,442.934672
3.0,243,447.235314
3.0,246,452.32693
2.0,198,456.427126
3.0,228,461.21121
2.0,206,463.763572
2.0,201,468.388778
3.0,247,473.166472
2.0,195,476.258517
5.0,339,482.744337
3.0,243,487.010364
4.0,294,491.556337
3.0,246,495.927323
2.0,201,498.327889
2.0,196,502.588803
5.0,344,508.822605
2.0,197,511.595011
2.0,196,515.683326
4.0,296,520.624878
4.0,299,525.242368
3.0,264,530.40057
2.0,196,534.655429
4.0,294,538.95144
4.0,277,543.618288
8.0,370,550.401629
3.0,244,555.042515
5.0,325,562.016522
5.0,325,566.628335
2.0,199,570.538429
3.0,245,575.727458
3.0,247,580.155294
2.0,195,583.317861
4.0,296,589.401175
3.0,243,592.370614
3.0,246,596.997869
2.0,195,600.934999
3.0,243,605.32144
4.0,300,610.452311
3.0,245,614.829092
5.0,345,621.485381
3.0,230,625.957093
2.0,196,628.515045
3.0,251,632.954888
2.0,205,636.917432
3.0,268,641.920364
4.0,295,647.108712
4.0,290,651.830238
2.0,195,656.555729
2.0,195,659.364487
2.0,195,663.647293
5.0,329,668.66047
5.0,332,675.502936
