#{"t_start": 1764127424.602049, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,126,2.206485
4.0,312,9.208436
0.0,122,11.730515
0.0,137,13.993877
0.0,136,16.292849
0.0,127,18.375377
3.0,251,23.042161
2.0,197,25.563125
2.0,209,29.772046
2.0,199,33.851429
1.0,178,36.187468
2.0,199,40.515389
2.0,209,43.324825
3.0,253,48.014266
0.0,126,50.550012
4.0,278,55.157718
3.0,250,59.410911
6.0,249,64.467173
2.0,204,68.811554
0.0,126,71.23068
2.0,198,73.820237
2.0,197,78.333635
2.0,201,82.838853
2.0,197,86.143453
2.0,215,90.532936
2.0,195,93.118917
3.0,246,97.324804
2.0,200,101.814687
2.0,195,104.581541
3.0,245,108.937127
3.0,250,113.581987
4.0,297,118.314637
2.0,195,122.327328
3.0,247,126.838734
3.0,245,131.153305
2.0,197,133.727555
3.0,243,138.342644
3.0,248,142.811577
2.0,198,146.884493
3.0,223,149.530514
2.0,220,153.765941
3.0,247,158.049559
3.0,227,162.288426
2.0,195,164.971759
3.0,246,169.240296
3.0,246,173.616309
3.0,245,177.932205
3.0,245,182.596345
3.0,244,187.639538
3.0,245,191.940752
3.0,248,196.645828
2.0,200,199.642403
3.0,245,204.413567
3.0,244,209.030116
2.0,198,212.868913
3.0,245,217.258175
2.0,199,219.894464
2.0,198,224.158836
4.0,298,229.431236
3.0,246,233.856025
2.0,198,237.930876
2.0,197,240.405763
2.0,196,244.440897
2.0,195,247.05715
3.0,246,251.238139
2.0,198,255.078628
3.0,244,259.441107
3.0,243,262.524893
2.0,196,266.417863
3.0,246,270.676434
2.0,197,273.174684
2.0,195,277.323788
2.0,195,281.911512
3.0,225,285.047864
2.0,196,289.968744
3.0,244,294.766129
2.0,198,297.439255
0.0,120,299.460786
3.0,244,303.855658
3.0,252,308.186565
3.0,247,312.734363
2.0,195,316.908747
3.0,247,319.712431
2.0,218,324.128237
2.0,198,328.750603
3.0,269,333.620591
3.0,246,338.138435
2.0,197,341.066589
5.0,326,347.292992
2.0,200,350.056563
3.0,248,354.426759
3.0,245,358.898045
2.0,195,363.154929
3.0,247,367.306528
6.0,378,374.292667
2.0,197,376.7289
2.0,200,380.947805
2.0,196,383.393126
1.0,153,385.820008
2.0,195,389.653502
3.0,248,394.324249
4.0,295,398.943952
4.0,294,405.37198
2.0,199,408.341073
3.0,248,412.633615
3.0,257,416.873251
3.0,229,421.396765
2.0,198,423.946052
2.0,198,428.002069
2.0,198,430.742173
3.0,225,435.302024
4.0,301,442.031576
3.0,249,446.221784
5.0,327,451.857927
3.0,244,456.222129
2.0,199,460.865219
3.0,246,463.609393
3.0,251,468.52871
3.0,246,473.460251
2.0,198,478.051188
2.0,195,480.660811
3.0,247,484.99553
2.0,196,489.012361
3.0,253,493.205188
2.0,198,495.875132
4.0,305,502.010746
3.0,247,506.24105
5.0,324,511.212377
5.0,327,517.936728
5.0,326,522.719847
3.0,247,527.159298
5.0,327,534.12934
3.0,243,538.085722
3.0,244,542.665411
2.0,195,545.291461
3.0,247,549.811309
3.0,247,554.439303
3.0,249,559.511329
2.0,196,562.140726
2.0,197,566.01714
5.0,326,572.444847
2.0,195,575.590483
4.0,294,580.255202
2.0,195,584.885361
2.0,198,587.506584
7.0,390,595.853275
2.0,197,598.541876
2.0,196,602.45809
3.0,237,605.533069
2.0,202,609.962544
5.0,331,616.226927
7.0,389,623.364062
4.0,273,627.896375
3.0,245,632.287862
3.0,253,636.520693
4.0,286,641.63378
2.0,206,644.83366
3.0,226,649.291866
3.0,258,653.855599
2.0,197,658.602066
2.0,195,661.328965
2.0,199,665.545195
3.0,245,670.155482
2.0,216,672.900574
2.0,197,677.570661
2.0,196,681.321313
2.0,196,683.71214
2.0,195,687.387114
4.0,274,691.498794
3.0,243,695.40249
3.0,246,699.263882
2.0,209,701.727212
2.0,198,705.389553
3.0,245,709.361864
2.0,195,711.603417
3.0,245,715.584805
4.0,272,719.773248
10.0,552,729.436774
2.0,200,731.944635
2.0,195,735.720508
2.0,212,738.043915
4.0,264,742.070975
4.0,315,747.547378
3.0,251,751.276632
2.0,196,753.685589
5.0,331,759.438807
5.0,327,763.509434
3.0,247,767.337361
3.0,227,771.138451
2.0,198,774.632219
2.0,197,776.929564
3.0,223,780.594777
4.0,258,784.447845
4.0,293,788.633306
3.0,247,792.346865
5.0,326,798.149311
3.0,260,802.160238
5.0,286,806.160522
4.0,300,810.158614
2.0,196,813.850992
3.0,223,817.605699
4.0,273,821.428618
5.0,297,825.681665
4.0,254,830.042336
5.0,294,834.127595
4.0,256,838.136957
3.0,252,842.262804
4.0,260,846.282656
4.0,268,850.254893
7.0,395,857.71282
3.0,228,860.06151
6.0,327,865.824171
6.0,328,870.148613
6.0,333,875.662112
1.0,155,877.677495
5.0,296,883.492535
6.0,336,888.094551
5.0,292,892.357012
6.0,329,898.198044
6.0,340,903.827125
6.0,343,907.974735
6.0,352,913.752545
6.0,326,919.210673
8.0,440,925.590388
7.0,376,931.69343
7.0,398,938.008956
8.0,437,945.445559
8.0,428,951.57729
7.0,402,957.721371
8.0,404,963.566074
3.0,230,967.319551
3.0,225,971.180554
5.0,301,975.347978
12.0,419,981.33112
8.0,295,986.660885
6.0,349,990.954987
7.0,382,998.02535
5.0,294,1005.77829
8.0,411,1013.88109
4.0,258,1019.231266
4.0,244,1024.347454
11.0,395,1031.770421
10.0,514,1040.951978
5.0,312,1045.738306
6.0,339,1052.480725
6.0,324,1058.815625
11.0,526,1068.470846
3.0,232,1071.473264
9.0,311,1077.624124
8.0,403,1084.322565
11.0,565,1093.718093
8.0,402,1101.90388
2.0,180,1104.245585
7.0,252,1108.738416
7.0,375,1115.286342
9.0,455,1122.14079
9.0,447,1131.177218
9.0,442,1138.482082
8.0,427,1146.649223
7.0,370,1153.195762
11.0,434,1160.464074
7.0,426,1167.908943
6.0,380,1174.808502
4.0,278,1180.941704
10.0,406,1188.40822
4.0,263,1192.883377
4.0,269,1197.762472
11.0,548,1206.761425
15.0,428,1213.529052
10.0,493,1222.559335
17.0,530,1232.015913
13.0,634,1243.987932
13.0,509,1253.495787
5.0,316,1259.950953
8.0,428,1267.594531
10.0,469,1276.519517
9.0,470,1285.339701
8.0,411,1292.390028
11.0,400,1299.492079
10.0,468,1307.96993
13.0,365,1313.301243
9.0,484,1322.424652
17.0,678,1333.934013
14.0,516,1343.142593
9.0,312,1350.071839
13.0,480,1358.931888
14.0,417,1365.800212
10.0,507,1375.722676
3.0,218,1380.075381
7.0,435,1387.306177
5.0,321,1394.099446
15.0,562,1403.702429
14.0,408,1410.334009
15.0,596,1421.434533
10.0,501,1431.619488
7.0,255,1436.044137
11.0,395,1442.975443
8.0,303,1447.55055
10.0,378,1454.731941
6.0,351,1461.17468
16.0,450,1468.161767
7.0,383,1474.804917
5.0,312,1480.960667
