#{"t_start": 1764244998.1985552, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,157,3.814362
0.0,132,6.893691
2.0,216,11.820144
0.0,128,14.754127
1.0,167,18.509547
3.0,255,24.054993
0.0,140,27.393469
4.0,311,34.482549
3.0,241,39.806457
3.0,237,45.226546
3.0,231,50.435886
5.0,319,57.292143
1.0,156,61.040313
7.0,247,66.739731
2.0,188,71.100571
2.0,181,75.048933
2.0,186,79.342724
3.0,217,84.230393
3.0,216,89.156732
3.0,215,94.349486
3.0,214,99.063705
3.0,210,103.897693
1.0,162,107.416104
3.0,213,112.487854
0.0,128,115.527905
2.0,180,119.668237
3.0,211,124.617836
2.0,182,128.524493
11.0,269,135.145172
11.0,274,141.195487
1.0,165,145.022075
1.0,155,148.27765
5.0,324,155.807714
7.0,253,161.294755
2.0,183,165.724309
1.0,158,169.495943
0.0,123,172.248841
1.0,153,175.835774
3.0,224,181.359135
5.0,293,188.042382
2.0,187,192.43785
7.0,256,197.94313
3.0,215,202.987854
3.0,222,207.899172
7.0,253,214.220124
1.0,155,217.466316
2.0,186,222.014057
1.0,150,225.262984
1.0,151,229.242914
2.0,188,233.608981
7.0,255,239.043986
1.0,150,242.286098
7.0,247,248.24949
2.0,188,252.925407
4.0,263,258.523114
7.0,255,264.607696
3.0,215,269.618177
7.0,249,275.270167
1.0,161,279.177353
1.0,154,283.054539
2.0,184,286.95209
7.0,252,293.104356
2.0,197,297.531457
7.0,246,303.10458
7.0,257,309.124887
7.0,384,317.948684
3.0,214,322.943014
7.0,254,328.404851
3.0,228,333.687863
3.0,224,338.905162
3.0,220,344.179855
4.0,274,350.785517
2.0,188,355.403538
3.0,215,360.275088
2.0,181,364.371644
3.0,213,369.55494
1.0,162,373.360701
3.0,217,378.507136
1.0,155,381.966662
3.0,221,387.278726
3.0,216,392.179199
2.0,188,396.562212
3.0,232,402.039532
2.0,184,406.358299
2.0,180,410.454787
7.0,248,415.960984
2.0,181,420.500511
3.0,214,425.368899
5.0,301,432.347939
3.0,218,437.874833
7.0,255,443.670667
3.0,216,448.684064
3.0,224,454.253366
7.0,245,460.198675
3.0,213,464.984975
2.0,185,468.900741
1.0,154,472.785939
3.0,212,477.809724
3.0,210,482.297561
3.0,211,487.52982
11.0,277,494.594764
3.0,211,499.176084
3.0,211,504.336375
7.0,253,510.515257
7.0,249,516.366882
2.0,184,520.859388
12.0,334,528.823805
2.0,186,532.88841
7.0,251,538.942096
7.0,246,544.504847
7.0,244,550.360557
1.0,157,554.335358
2.0,187,558.729704
11.0,276,565.185794
3.0,223,570.240633
3.0,221,575.856931
2.0,188,580.655333
1.0,154,583.967689
4.0,262,590.163428
3.0,228,595.496811
3.0,219,600.542414
2.0,184,605.174239
3.0,215,610.232243
3.0,217,615.587269
3.0,223,620.649162
7.0,252,626.646186
3.0,223,631.727016
7.0,247,637.903325
3.0,211,642.44636
7.0,252,648.739766
11.0,282,655.425569
2.0,211,660.062566
3.0,219,665.061223
3.0,217,670.594195
3.0,224,675.74861
2.0,189,680.12569
7.0,256,685.823268
7.0,248,692.049073
7.0,253,697.834712
2.0,192,702.138387
2.0,193,706.625908
7.0,252,712.717297
2.0,182,716.589717
3.0,217,721.537467
1.0,156,725.273612
2.0,180,729.213822
2.0,179,733.674524
1.0,156,736.915299
3.0,213,742.019433
3.0,215,747.187294
3.0,226,752.983137
2.0,184,756.96421
3.0,221,762.770384
7.0,246,768.374389
2.0,184,772.238487
3.0,211,777.296003
2.0,186,781.852872
2.0,187,786.330558
3.0,215,791.375463
3.0,216,796.69184
7.0,245,802.168091
2.0,190,806.8211
7.0,260,813.003708
3.0,216,818.068476
2.0,188,822.505305
3.0,212,827.493933
7.0,246,834.104207
1.0,155,837.502246
11.0,287,844.309876
7.0,249,850.010277
2.0,184,854.737019
1.0,166,858.729812
2.0,179,862.749688
2.0,184,867.571116
7.0,254,873.645211
3.0,221,878.676386
2.0,190,883.364026
2.0,186,888.011884
2.0,194,892.530686
2.0,183,896.615074
3.0,222,902.085623
3.0,218,907.124999
4.0,274,913.168691
2.0,194,917.643754
11.0,270,923.686486
2.0,182,928.135799
2.0,185,932.527926
3.0,216,937.638672
3.0,217,942.739742
3.0,222,947.738078
3.0,212,952.743255
7.0,248,958.602456
2.0,179,963.163508
3.0,210,967.714325
2.0,182,972.050002
2.0,184,976.580283
5.0,293,983.441237
7.0,254,989.258933
2.0,187,993.824631
3.0,210,998.761885
7.0,259,1004.984501
5.0,298,1011.91461
2.0,187,1016.633776
7.0,282,1023.577318
3.0,216,1028.638628
3.0,222,1033.810471
7.0,252,1039.564313
3.0,217,1044.707127
3.0,220,1050.579582
7.0,253,1056.459469
2.0,185,1061.290126
7.0,252,1067.103294
2.0,189,1071.990087
7.0,248,1078.169899
8.0,285,1084.411582
3.0,216,1089.603899
2.0,202,1094.805881
7.0,246,1100.577698
7.0,246,1106.640612
7.0,246,1112.650351
3.0,228,1117.834055
7.0,243,1123.409692
3.0,216,1128.591858
3.0,218,1133.825171
3.0,212,1138.853495
7.0,252,1144.895001
2.0,184,1148.831732
3.0,216,1153.912788
3.0,241,1159.694864
3.0,222,1165.281599
1.0,158,1168.698814
1.0,156,1172.500309
3.0,218,1177.703627
2.0,179,1181.999217
3.0,214,1187.218654
2.0,192,1192.05441
3.0,231,1197.872383
2.0,182,1201.993495
4.0,241,1207.78442
3.0,227,1213.548186
7.0,249,1219.606071
2.0,183,1223.976274
3.0,258,1230.326511
3.0,217,1235.704774
4.0,257,1241.736896
3.0,217,1246.89434
1.0,155,1250.70423
2.0,185,1255.221582
2.0,184,1259.684073
1.0,164,1263.708479
2.0,186,1268.100858
3.0,214,1273.45188
3.0,217,1278.907594
1.0,151,1282.465211
3.0,229,1288.206924
3.0,219,1293.653976
3.0,217,1299.095215
3.0,223,1304.627657
2.0,188,1309.470805
2.0,187,1314.110315
7.0,251,1320.002598
2.0,186,1324.591547
3.0,214,1329.707501
3.0,216,1335.002373
4.0,260,1341.438601
7.0,252,1347.391553
3.0,228,1353.010752
7.0,245,1358.817378
11.0,279,1365.355904
2.0,187,1370.004164
2.0,187,1374.640535
7.0,255,1381.07931
3.0,238,1386.816659
2.0,202,1391.756124
3.0,217,1397.078753
3.0,218,1402.300005
3.0,213,1407.503428
4.0,261,1413.858826
11.0,269,1420.241851
1.0,149,1423.861572
3.0,215,1429.0
3.0,214,1434.306595
3.0,211,1439.687656
3.0,216,1444.723491
3.0,222,1449.931876
7.0,245,1455.731865
3.0,218,1461.430302
3.0,216,1466.759849
4.0,261,1472.745234
3.0,215,1477.969152
3.0,222,1483.858611
2.0,193,1488.547926
3.0,212,1493.291029
3.0,216,1498.562459
2.0,194,1503.798174
3.0,219,1508.977638
3.0,212,1514.311398
2.0,190,1518.596339
7.0,254,1524.956793
2.0,196,1529.505472
3.0,236,1535.192355
3.0,228,1540.998106
11.0,276,1547.548367
2.0,202,1552.272526
2.0,178,1556.693946
3.0,223,1561.848096
7.0,254,1568.112099
2.0,188,1572.793053
4.0,284,1579.258122
2.0,196,1584.427338
8.0,283,1590.80612
7.0,247,1596.95014
7.0,254,1602.872872
1.0,154,1606.886655
3.0,218,1612.326005
11.0,277,1618.61592
7.0,253,1624.832268
2.0,197,1629.414796
4.0,243,1635.335186
7.0,259,1641.748991
3.0,224,1647.131057
2.0,186,1652.01383
4.0,260,1658.243868
1.0,160,1662.110249
3.0,224,1667.369245
7.0,255,1673.362775
3.0,221,1679.136132
2.0,185,1683.291395
3.0,237,1689.117825
3.0,227,1694.960848
7.0,253,1700.826907
2.0,181,1705.604306
3.0,212,1710.915684
3.0,228,1716.201037
3.0,225,1721.735208
1.0,163,1725.44418
3.0,219,1730.758125
7.0,250,1737.020058
3.0,214,1742.374358
3.0,213,1747.444418
11.0,275,1753.957323
2.0,184,1758.788654
2.0,208,1763.553612
3.0,213,1768.729746
7.0,246,1775.326918
7.0,247,1781.209151
3.0,232,1786.935356
5.0,299,1793.943997
3.0,228,1799.432832
7.0,250,1805.926525
3.0,213,1811.063944
3.0,214,1816.535215
7.0,244,1822.510409
7.0,264,1828.932483
2.0,184,1833.56975
11.0,277,1840.488495
2.0,186,1844.994906
7.0,267,1851.626451
7.0,253,1857.416983
5.0,355,1866.296587
7.0,250,1872.523335
4.0,255,1878.573003
7.0,257,1884.941294
7.0,246,1890.899626
2.0,179,1895.473037
1.0,157,1899.20894
3.0,230,1904.989169
3.0,229,1910.391311
3.0,236,1916.425755
3.0,224,1922.185818
3.0,214,1927.010319
3.0,215,1932.355246
3.0,244,1938.636154
5.0,312,1946.384886
2.0,194,1951.073172
3.0,232,1956.413213
3.0,220,1961.989439
3.0,215,1966.675044
7.0,248,1972.966953
2.0,179,1977.04054
11.0,422,1987.270345
2.0,190,1991.874305
7.0,244,1997.910936
4.0,251,2003.86267
5.0,315,2012.040875
4.0,267,2018.30012
8.0,305,2025.251136
8.0,294,2032.872895
3.0,214,2038.23305
7.0,267,2044.563137
7.0,254,2051.02902
2.0,194,2055.876786
1.0,164,2060.253842
4.0,269,2067.018324
4.0,260,2073.585825
1.0,158,2077.722725
7.0,257,2083.786887
2.0,184,2088.29884
9.0,329,2096.453082
4.0,271,2103.161307
2.0,186,2107.722787
5.0,324,2115.364581
1.0,154,2119.470309
4.0,261,2125.946587
2.0,199,2130.523775
4.0,278,2137.324824
5.0,323,2144.903777
5.0,326,2152.978009
4.0,259,2158.865757
11.0,282,2166.149
4.0,269,2172.764261
3.0,215,2177.999018
3.0,213,2183.261285
7.0,253,2189.562242
3.0,232,2194.811378
6.0,321,2202.994128
3.0,221,2208.539078
2.0,194,2213.525338
7.0,350,2222.282161
7.0,354,2230.841099
10.0,361,2239.663281
3.0,218,2245.438746
6.0,364,2254.296726
5.0,284,2261.286405
7.0,262,2267.097563
5.0,303,2274.519233
2.0,184,2279.094232
4.0,265,2285.623751
2.0,186,2290.519394
7.0,392,2299.909244
2.0,182,2304.046023
3.0,239,2309.891146
9.0,326,2317.867344
4.0,248,2323.622985
2.0,189,2328.178713
2.0,190,2332.722081
4.0,252,2339.272346
7.0,244,2345.204195
2.0,180,2349.337796
5.0,295,2357.026443
4.0,273,2363.601501
4.0,259,2370.104407
9.0,345,2378.410112
3.0,211,2383.672472
8.0,442,2394.318032
9.0,313,2402.270634
8.0,292,2409.620703
3.0,224,2414.779764
9.0,321,2422.50687
4.0,264,2429.012228
3.0,213,2434.039057
7.0,246,2440.059503
4.0,274,2447.101115
8.0,279,2453.442147
3.0,228,2459.212585
3.0,234,2465.114988
3.0,233,2470.293822
4.0,268,2476.95227
7.0,251,2482.71509
4.0,263,2489.100861
10.0,381,2498.732761
6.0,360,2507.245345
5.0,309,2514.872072
2.0,199,2519.587039
12.0,488,2531.329047
4.0,258,2537.842515
1.0,155,2541.962449
3.0,237,2547.258411
5.0,289,2554.591446
4.0,243,2560.843303
5.0,312,2568.283809
6.0,377,2576.883732
4.0,278,2583.742359
4.0,284,2591.022461
7.0,245,2596.819278
5.0,329,2604.787961
3.0,232,2610.168733
6.0,348,3260.578848
4.0,288,3269.53677
11.0,400,3281.264352
5.0,310,3290.955514
8.0,295,3300.414422
7.0,264,3309.186035
7.0,370,3320.668907
15.0,456,3335.153539
2.0,204,3342.339325
5.0,313,3351.785482
8.0,288,3360.641892
4.0,269,3368.605528
8.0,285,3377.968941
4.0,265,3386.397028
