#{"t_start": 1764244997.9458017, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,176,4.564252
0.0,127,7.246396
2.0,203,12.08566
3.0,261,17.693607
4.0,292,24.746904
1.0,159,28.174522
2.0,232,33.63803
11.0,315,40.558532
3.0,247,46.002024
3.0,232,51.232043
2.0,195,55.508823
5.0,315,62.4265
2.0,187,67.02151
4.0,299,73.666846
4.0,260,79.638351
7.0,422,89.386872
2.0,185,93.823044
2.0,184,97.752517
7.0,248,103.634935
4.0,242,109.157357
1.0,154,112.715497
7.0,249,118.315867
1.0,151,121.965958
1.0,154,125.454137
2.0,184,129.762632
11.0,287,136.432116
3.0,212,141.390239
7.0,248,146.921166
3.0,216,151.760775
2.0,181,156.004012
2.0,187,159.906604
7.0,256,165.954505
1.0,149,169.286182
2.0,182,173.556713
2.0,186,178.281631
2.0,186,182.387507
7.0,247,188.264925
1.0,150,191.62097
2.0,194,195.926459
3.0,212,200.767279
3.0,215,205.917788
3.0,220,211.17597
1.0,152,214.520085
8.0,474,225.457749
1.0,153,229.030127
3.0,215,233.953172
3.0,216,238.779309
2.0,184,243.089868
7.0,248,248.59016
3.0,217,253.816412
7.0,245,259.775752
3.0,212,264.277548
2.0,182,268.826724
3.0,219,273.882038
2.0,188,278.285204
5.0,298,285.091947
7.0,251,291.135524
1.0,149,294.556923
11.0,449,305.059735
2.0,190,309.338648
7.0,247,314.838933
4.0,262,320.873903
7.0,254,326.477758
4.0,258,332.40669
3.0,214,337.485773
3.0,219,342.772092
3.0,219,347.838414
2.0,182,352.20525
1.0,153,355.732661
2.0,182,360.013771
3.0,215,365.119787
3.0,220,370.338139
3.0,222,375.541768
3.0,213,380.541636
3.0,231,386.337215
3.0,223,391.234081
7.0,243,396.784985
2.0,181,401.150109
7.0,246,406.652292
2.0,190,411.207129
3.0,218,416.124595
3.0,213,421.270154
2.0,191,425.595596
3.0,212,430.714187
1.0,149,434.207433
7.0,245,439.833222
3.0,217,445.020808
6.0,346,452.761817
1.0,149,456.716949
3.0,229,462.090383
7.0,253,467.993
7.0,252,473.720709
2.0,182,478.103166
1.0,151,481.451536
7.0,264,487.796021
3.0,222,493.124613
3.0,214,498.292282
7.0,246,504.50696
2.0,184,508.486294
7.0,251,514.978579
2.0,182,518.969564
2.0,185,523.455068
2.0,179,527.314541
2.0,184,531.831078
1.0,158,535.879654
5.0,294,542.591394
4.0,285,549.388072
2.0,184,553.543281
2.0,189,557.986044
1.0,158,561.818094
7.0,250,567.66806
7.0,250,573.972718
3.0,216,578.912123
11.0,274,585.400069
2.0,184,589.702007
11.0,275,596.47328
2.0,212,601.314737
3.0,222,606.558203
3.0,211,611.83724
2.0,202,616.844127
0.0,130,619.743851
2.0,204,624.690912
3.0,212,629.122329
5.0,296,636.508493
2.0,188,640.882174
11.0,269,647.193927
2.0,185,651.22988
3.0,252,657.355004
11.0,294,664.04698
3.0,232,669.609636
2.0,186,674.176363
4.0,241,679.806479
7.0,264,685.983499
7.0,249,691.70198
7.0,255,697.997606
2.0,186,701.85961
7.0,252,707.890394
7.0,252,713.563687
3.0,213,718.428714
7.0,257,724.469018
2.0,182,728.844221
3.0,223,733.915095
7.0,249,739.579714
2.0,188,744.054377
7.0,253,750.40271
3.0,220,755.463125
6.0,353,763.674661
3.0,211,768.692772
7.0,247,774.756694
2.0,189,778.83325
7.0,250,784.920402
3.0,215,789.99088
7.0,253,795.863889
3.0,221,801.288726
7.0,243,807.046715
3.0,221,812.038976
7.0,250,817.776849
4.0,263,824.268534
2.0,188,828.990407
3.0,215,834.419231
4.0,266,840.612137
1.0,187,845.093437
5.0,301,851.953846
4.0,292,859.46649
1.0,151,862.941393
2.0,191,867.784117
7.0,250,873.381719
2.0,190,877.858504
2.0,193,882.492286
7.0,246,888.804529
7.0,246,894.54023
7.0,261,900.744354
2.0,207,905.25014
2.0,182,909.535326
2.0,183,913.477841
7.0,249,919.448412
1.0,159,922.863916
7.0,247,928.902396
7.0,252,934.659981
1.0,150,938.437258
1.0,159,941.980895
2.0,198,946.421
2.0,205,951.358933
3.0,217,956.511295
3.0,220,961.874622
7.0,248,967.423213
3.0,215,972.373445
8.0,425,982.690118
2.0,185,987.112338
3.0,219,992.260837
4.0,256,998.447081
7.0,249,1004.194251
3.0,213,1009.272003
3.0,221,1014.600634
7.0,256,1021.043279
3.0,230,1026.225094
3.0,223,1031.74957
3.0,224,1037.00266
11.0,274,1043.312352
3.0,234,1049.274571
7.0,244,1055.034986
2.0,184,1059.716883
3.0,218,1065.031776
3.0,217,1070.276263
7.0,244,1076.284804
1.0,151,1080.026007
7.0,245,1085.76087
3.0,221,1090.934381
8.0,298,1097.895489
2.0,188,1102.59186
3.0,217,1108.055549
11.0,284,1114.640137
7.0,265,1120.803908
3.0,213,1125.844537
7.0,253,1132.136192
2.0,184,1136.25036
7.0,245,1141.905743
2.0,188,1146.36585
6.0,357,1154.75792
2.0,200,1159.37452
3.0,215,1164.473447
2.0,210,1169.490013
4.0,264,1175.701943
2.0,197,1180.463748
2.0,187,1185.211421
7.0,246,1191.032298
3.0,223,1197.0368
2.0,186,1201.006163
1.0,154,1205.029558
2.0,181,1209.205032
2.0,181,1213.823787
1.0,153,1217.27678
7.0,250,1223.635471
4.0,245,1229.331428
1.0,154,1232.927036
5.0,299,1240.658122
2.0,184,1245.21859
3.0,220,1250.363202
7.0,252,1256.148136
3.0,229,1262.123739
3.0,226,1267.2868
2.0,193,1272.06466
1.0,149,1275.736951
7.0,250,1282.110001
4.0,260,1288.471929
11.0,267,1295.087626
2.0,187,1299.918814
3.0,217,1305.360414
7.0,245,1311.520833
7.0,251,1317.272841
2.0,180,1322.098979
6.0,351,1330.046135
1.0,152,1334.077521
7.0,256,1340.097745
3.0,214,1345.337351
3.0,212,1350.509093
7.0,253,1356.832239
7.0,379,1365.60859
3.0,228,1371.291966
3.0,209,1376.626945
8.0,296,1383.739772
3.0,215,1388.788944
2.0,190,1393.693138
3.0,212,1398.9012
11.0,274,1405.334908
7.0,246,1411.17538
11.0,271,1418.220373
7.0,250,1424.071661
7.0,247,1429.849413
7.0,247,1436.213089
1.0,152,1439.955758
4.0,274,1446.250607
7.0,249,1452.521978
3.0,214,1457.734365
3.0,212,1462.902375
3.0,238,1468.233765
2.0,190,1472.997329
1.0,157,1476.92966
3.0,213,1482.459824
3.0,217,1487.627611
7.0,246,1493.49132
11.0,287,1500.491864
1.0,155,1504.678275
7.0,253,1510.509614
3.0,221,1515.886153
3.0,218,1521.277104
1.0,156,1525.181465
7.0,257,1531.405558
4.0,249,1537.145571
4.0,268,1543.773977
5.0,314,1551.29127
2.0,192,1555.926198
3.0,216,1561.047202
7.0,252,1567.273152
3.0,219,1572.520412
1.0,160,1575.900019
3.0,215,1581.21749
7.0,251,1587.590134
7.0,251,1593.336767
3.0,221,1598.858928
3.0,231,1604.23172
3.0,219,1609.484778
3.0,217,1614.904973
7.0,254,1621.057145
11.0,271,1627.40031
2.0,189,1632.059913
3.0,235,1637.83702
3.0,214,1643.101867
4.0,258,1649.894774
11.0,290,1656.724576
5.0,295,1663.697567
3.0,230,1669.243787
7.0,249,1675.377667
7.0,270,1681.766916
3.0,235,1687.618258
2.0,184,1692.325134
8.0,298,1699.331972
1.0,150,1702.761291
4.0,263,1709.507376
1.0,154,1713.448013
5.0,312,1720.880777
7.0,251,1726.879062
3.0,223,1732.188473
3.0,224,1738.032815
7.0,247,1743.89273
3.0,236,1749.538292
7.0,252,1755.554607
4.0,277,1762.594942
2.0,189,1767.185811
11.0,268,1773.941195
3.0,226,1779.265836
3.0,219,1784.52615
3.0,215,1789.743205
3.0,224,1795.497166
1.0,149,1799.08209
3.0,225,1804.377002
7.0,251,1810.729231
3.0,218,1816.149091
2.0,181,1820.547206
3.0,216,1825.716369
3.0,215,1831.029006
7.0,247,1837.505043
3.0,213,1842.967422
3.0,216,1848.286691
4.0,278,1854.735419
3.0,217,1859.957765
3.0,224,1865.839332
7.0,249,1871.614165
7.0,255,1878.099265
7.0,380,1887.142492
3.0,214,1892.408936
4.0,244,1898.37372
3.0,233,1904.089802
1.0,163,1908.139606
4.0,244,1914.072128
7.0,248,1920.161711
7.0,251,1926.670927
7.0,249,1932.58126
3.0,215,1937.839392
7.0,247,1944.313608
3.0,214,1949.151842
2.0,180,1953.647631
2.0,198,1958.319075
2.0,179,1962.825276
7.0,247,1968.583606
2.0,181,1972.726531
4.0,278,1979.568919
3.0,226,1984.752625
3.0,218,1990.440814
7.0,255,1996.466411
2.0,191,2001.086473
6.0,330,2009.26676
7.0,248,2015.221565
2.0,200,2020.222008
3.0,224,2025.436832
2.0,189,2030.363988
7.0,251,2036.212102
5.0,310,2043.695824
7.0,258,2050.703323
5.0,307,2058.640056
5.0,318,2066.648316
3.0,240,2072.702387
2.0,186,2077.4074
3.0,222,2082.821503
4.0,258,2089.119251
2.0,181,2093.293536
3.0,220,2098.654554
7.0,253,2105.243173
3.0,238,2110.9457
7.0,407,2121.00214
2.0,184,2125.103477
8.0,283,2132.081769
4.0,276,2138.79545
1.0,159,2142.167878
6.0,360,2151.09526
8.0,419,2161.527129
7.0,251,2167.645926
5.0,293,2175.181414
2.0,184,2179.468946
3.0,231,2185.141151
2.0,185,2189.779841
3.0,223,2194.993806
3.0,212,2200.112724
1.0,155,2203.827722
4.0,263,2210.728509
3.0,214,2216.033203
4.0,260,2222.568623
7.0,252,2228.728892
3.0,235,2234.677776
3.0,230,2240.435329
5.0,319,2248.025426
5.0,320,2255.796107
3.0,240,2261.642574
3.0,211,2266.749255
7.0,369,2275.427802
10.0,409,2285.831101
3.0,229,2291.469171
8.0,300,2298.976627
8.0,303,2306.002001
4.0,288,2313.052328
3.0,246,2318.771048
8.0,314,2326.597609
1.0,153,2330.021126
11.0,277,2336.567785
10.0,351,2345.501912
3.0,219,2350.730387
3.0,212,2356.256749
0.0,122,2359.005179
2.0,198,2363.906713
2.0,186,2368.722387
5.0,302,2376.12782
3.0,220,2381.440092
7.0,259,2387.968867
4.0,284,2394.595569
4.0,270,2401.753444
9.0,345,2409.9463
3.0,220,2415.0922
9.0,349,2423.983612
5.0,315,2431.508802
3.0,215,2436.748251
4.0,272,2443.228899
0.0,123,2446.202637
3.0,214,2451.38869
3.0,225,2456.959902
2.0,197,2461.755028
7.0,244,2467.652203
6.0,340,2475.57232
3.0,224,2481.198008
3.0,220,2486.507604
2.0,184,2490.641072
4.0,273,2497.899016
3.0,232,2503.097505
7.0,245,2509.249248
5.0,319,2516.87567
3.0,216,2522.225205
4.0,263,2528.647494
8.0,282,2535.564431
7.0,425,2545.847346
5.0,290,2552.978052
11.0,420,2563.405001
11.0,273,2569.79626
3.0,236,2575.449105
6.0,375,2584.576361
9.0,347,2592.975007
9.0,352,2601.620279
5.0,308,2609.203754
3.0,223,2614.529825
4.0,262,3263.122325
5.0,322,3272.713164
5.0,296,3282.195901
7.0,370,3293.574756
3.0,234,3300.699041
5.0,306,3311.048626
11.0,450,3324.464348
14.0,395,3337.820005
6.0,329,3347.835484
3.0,224,3355.062694
4.0,267,3363.229514
7.0,256,3371.113468
6.0,347,3381.986338
6.0,393,3394.582418
7.0,356,3406.164634
5.0,296,3416.562682
5.0,287,3426.724283
3.0,221,3434.272027
4.0,254,3442.755365
3.0,230,3450.704065
