#{"t_start": 1764222035.5136924, "env_id": "ALE/Breakout-v5"}
r,l,t
6.0,376,10.469853
2.0,215,16.084301
3.0,229,22.018795
3.0,246,28.089077
0.0,133,31.151567
3.0,244,37.534997
3.0,247,43.88798
2.0,231,49.877037
3.0,248,56.157896
3.0,251,62.624998
0.0,133,66.1516
2.0,229,71.769792
3.0,247,78.670179
0.0,149,82.286098
2.0,205,87.23559
2.0,198,92.49548
2.0,198,97.224428
4.0,296,104.505395
1.0,190,109.237371
3.0,250,116.055342
3.0,261,122.218429
3.0,253,128.957077
3.0,256,135.454549
2.0,197,140.10154
0.0,127,143.045019
3.0,254,149.701441
4.0,290,157.011977
3.0,248,163.678124
3.0,251,170.274525
2.0,206,175.310715
0.0,131,178.752789
3.0,230,185.284707
4.0,295,193.165547
2.0,197,198.139352
2.0,198,203.242819
2.0,197,208.211446
0.0,131,211.626621
0.0,142,215.291068
2.0,211,220.488661
2.0,215,225.876244
3.0,249,232.565954
2.0,200,237.842926
2.0,199,243.621988
2.0,211,249.010287
4.0,299,257.429359
2.0,200,262.551413
2.0,200,267.278588
2.0,196,272.086695
2.0,201,277.526564
3.0,254,284.059815
4.0,302,292.066022
2.0,201,297.014675
1.0,159,301.501913
3.0,246,307.762771
1.0,161,311.900758
2.0,201,316.792213
3.0,246,323.282376
2.0,197,328.217455
0.0,137,331.598483
0.0,128,335.034446
2.0,200,339.814295
4.0,295,346.878379
0.0,126,350.332118
3.0,225,355.918175
3.0,232,361.794076
2.0,204,366.558077
3.0,249,373.105955
2.0,210,378.298043
3.0,272,385.315959
2.0,205,390.29841
0.0,133,393.830566
1.0,165,398.331631
0.0,128,401.740621
2.0,202,406.572894
2.0,195,411.656417
0.0,133,414.784874
0.0,124,418.045435
2.0,223,424.064048
2.0,197,429.209716
4.0,294,436.570014
3.0,256,443.016333
2.0,204,448.038895
2.0,209,453.641453
0.0,125,456.557096
2.0,217,461.923908
2.0,198,466.828053
2.0,212,472.212251
2.0,230,478.027642
2.0,202,483.051305
2.0,210,488.460751
4.0,300,495.852274
2.0,198,501.256293
3.0,248,507.533914
3.0,247,514.044755
4.0,305,522.660925
3.0,245,528.532639
3.0,247,535.240351
4.0,294,542.49276
2.0,205,547.855923
3.0,245,554.436233
4.0,297,562.396132
3.0,249,569.0723
0.0,133,572.841767
2.0,197,577.827797
2.0,199,582.628615
2.0,200,588.075123
2.0,207,593.341082
0.0,124,596.402389
0.0,124,599.869897
2.0,198,604.571726
2.0,227,610.218184
3.0,256,616.801494
3.0,250,622.960037
2.0,199,628.09722
2.0,203,632.871944
0.0,129,636.54222
2.0,198,641.402812
2.0,195,646.138372
2.0,210,651.425256
3.0,245,657.530169
0.0,132,660.532404
2.0,196,666.170697
6.0,379,675.277658
3.0,253,682.105576
2.0,199,686.982106
0.0,130,690.564184
5.0,332,698.781498
3.0,272,705.88222
3.0,252,711.885983
3.0,246,717.973882
2.0,203,723.267432
4.0,296,730.741069
3.0,257,737.515768
3.0,249,743.794072
2.0,200,749.173836
2.0,201,754.375816
2.0,201,759.481042
2.0,202,765.074395
2.0,195,770.284573
2.0,202,775.203791
2.0,198,780.602688
0.0,130,783.481196
3.0,245,789.440244
2.0,203,794.810768
2.0,201,799.848136
2.0,200,804.853618
3.0,250,811.5876
2.0,201,816.80321
4.0,302,824.898982
3.0,249,830.934264
3.0,248,837.629464
4.0,298,844.863641
0.0,131,847.779159
3.0,253,854.564053
0.0,130,857.420326
2.0,205,862.944906
0.0,125,866.044288
2.0,196,870.954025
4.0,295,878.866916
3.0,250,885.016536
3.0,226,890.649345
2.0,203,896.370366
3.0,248,902.646008
2.0,205,907.904402
3.0,246,913.857282
3.0,244,920.226581
3.0,255,926.978063
2.0,202,931.71941
5.0,334,940.525114
2.0,210,945.859436
2.0,207,950.945284
3.0,244,957.927503
2.0,208,962.871436
4.0,296,970.778382
2.0,203,975.800729
3.0,246,982.193637
0.0,125,985.699476
3.0,248,992.662588
3.0,253,998.928287
3.0,245,1004.793971
0.0,124,1007.493754
2.0,202,1012.216089
2.0,200,1016.9465
2.0,195,1021.488309
1.0,182,1025.361265
3.0,249,1031.485732
3.0,246,1036.89554
2.0,202,1041.492935
3.0,245,1047.523582
4.0,295,1054.223612
2.0,210,1059.235167
2.0,198,1063.761485
2.0,198,1068.157894
2.0,198,1072.764725
2.0,204,1077.622915
3.0,245,1083.223495
3.0,246,1089.044352
2.0,201,1094.131454
3.0,249,1099.878656
2.0,206,1104.701889
2.0,196,1109.200706
2.0,205,1113.826659
2.0,200,1118.800379
2.0,209,1123.244347
