#{"t_start": 1764222035.101503, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,199,6.455342
0.0,148,10.220147
2.0,209,15.707887
1.0,158,19.393347
2.0,224,25.476539
2.0,207,30.204374
0.0,126,33.232826
4.0,295,40.780743
3.0,249,47.076296
0.0,125,50.387356
2.0,220,56.048121
0.0,129,59.964331
0.0,144,63.548688
2.0,232,69.595531
2.0,197,74.539073
2.0,202,79.797422
3.0,250,86.338908
0.0,131,89.376153
5.0,339,97.668722
0.0,126,100.799025
3.0,252,107.362037
0.0,130,110.219312
2.0,195,115.210283
4.0,300,123.180393
0.0,133,126.217337
4.0,297,133.900216
2.0,222,139.349447
5.0,329,147.642262
3.0,249,153.82769
2.0,196,158.836491
3.0,246,165.758563
2.0,212,170.80182
2.0,199,176.325484
1.0,158,179.867639
0.0,128,184.480403
2.0,202,189.280911
3.0,245,195.451288
0.0,129,199.313006
4.0,305,206.788307
2.0,217,212.149346
0.0,136,215.778913
3.0,227,221.978054
2.0,199,226.774584
3.0,247,233.030037
2.0,198,238.298227
4.0,299,247.027736
0.0,126,249.993141
3.0,271,257.335097
0.0,135,260.909995
2.0,209,266.421188
0.0,125,269.499473
3.0,247,275.702345
3.0,228,281.933761
2.0,200,287.080657
3.0,229,293.050888
2.0,197,298.068544
5.0,329,306.347663
3.0,250,312.87452
0.0,137,316.526822
2.0,202,321.46352
2.0,196,326.231321
3.0,246,332.56663
2.0,196,337.854332
3.0,249,343.738253
2.0,199,348.437672
1.0,154,352.599712
0.0,136,355.744674
2.0,206,361.089982
2.0,226,366.266521
0.0,121,369.278907
3.0,246,375.926116
0.0,142,379.754478
2.0,195,384.443878
3.0,248,390.668978
3.0,252,397.476966
0.0,133,400.904709
3.0,256,407.481364
2.0,202,412.184707
2.0,204,417.607136
0.0,122,420.782756
2.0,202,425.702606
4.0,279,433.191056
3.0,278,439.896723
1.0,169,444.100417
4.0,320,452.79594
2.0,206,457.59893
2.0,218,462.974128
2.0,199,468.320776
2.0,206,473.187979
2.0,207,478.461754
4.0,294,485.692858
4.0,321,494.35885
4.0,287,501.188051
2.0,198,506.618518
2.0,206,511.922995
3.0,244,518.366049
2.0,202,524.186028
2.0,209,529.490271
0.0,121,532.65882
2.0,198,537.558286
4.0,281,544.989285
2.0,195,550.189272
2.0,206,554.984566
3.0,247,562.132697
2.0,203,567.547651
2.0,204,573.209699
2.0,205,578.26356
3.0,252,585.067812
2.0,206,590.092578
1.0,175,594.402508
4.0,295,602.094057
0.0,128,605.017694
3.0,272,611.79765
3.0,254,618.388644
4.0,293,625.759895
4.0,302,633.227911
2.0,203,638.201677
2.0,199,643.68179
3.0,261,649.655578
2.0,197,654.872014
3.0,226,660.348114
2.0,217,666.028579
2.0,196,671.173616
2.0,199,676.191003
2.0,205,681.161584
3.0,252,688.025484
2.0,199,692.775899
3.0,247,699.153429
5.0,349,708.011612
5.0,337,716.49058
2.0,209,721.399587
2.0,200,726.694507
2.0,197,731.68171
3.0,244,737.967449
3.0,247,744.229543
0.0,131,747.748562
0.0,124,750.997946
3.0,244,757.286369
2.0,207,763.020897
3.0,247,769.453875
2.0,195,774.332545
0.0,121,777.35379
2.0,198,782.724075
2.0,203,787.503848
3.0,250,793.446652
2.0,199,798.816871
3.0,253,805.24524
2.0,199,810.703741
3.0,249,817.17818
4.0,306,825.291362
2.0,199,830.020677
2.0,195,834.955159
3.0,263,841.707521
3.0,248,847.602622
2.0,202,853.044566
2.0,202,857.814984
2.0,208,863.376289
3.0,254,869.92973
2.0,212,875.036989
4.0,305,882.879473
2.0,207,888.349474
2.0,203,893.411743
4.0,293,901.28863
3.0,244,907.664852
2.0,202,912.559603
