#{"t_start": 1764060175.0585854, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,131,0.556866
1.0,154,0.670498
2.0,182,0.814735
0.0,132,0.932852
3.0,225,1.105616
3.0,266,1.303585
0.0,128,1.419899
1.0,175,1.538896
3.0,240,1.731643
0.0,124,1.817254
1.0,184,1.939669
3.0,225,2.126744
4.0,298,2.342961
1.0,173,2.459988
0.0,132,2.555009
2.0,194,2.687039
3.0,242,2.893574
1.0,172,3.010283
2.0,198,3.14146
0.0,143,3.238212
3.0,253,3.408191
1.0,174,3.557549
0.0,133,3.668361
3.0,250,3.83198
0.0,136,3.926967
1.0,160,4.033631
2.0,214,4.185445
0.0,136,4.308562
0.0,127,4.408716
0.0,134,4.50067
1.0,177,4.617115
1.0,172,4.7318
1.0,171,4.849764
2.0,228,5.038368
0.0,127,5.137137
3.0,228,5.287377
1.0,161,5.400383
0.0,139,5.494486
2.0,203,5.639852
1.0,171,5.782615
0.0,129,5.880399
0.0,128,5.967266
3.0,226,6.117048
0.0,131,6.206542
0.0,136,6.301786
0.0,127,6.408694
2.0,226,6.589582
0.0,135,6.680264
1.0,179,6.804183
0.0,133,6.894961
2.0,200,7.026714
3.0,230,7.216324
0.0,136,7.320258
0.0,135,7.41284
1.0,174,7.526546
0.0,130,7.614512
0.0,128,7.704557
2.0,204,7.86244
1.0,162,8.00183
0.0,131,8.092535
3.0,215,8.239946
3.0,260,8.41403
0.0,132,8.504371
1.0,158,8.647246
4.0,276,8.842658
1.0,155,8.94743
1.0,171,9.06282
0.0,140,9.15842
0.0,135,9.259711
0.0,141,9.359832
1.0,158,9.48203
0.0,128,9.56951
5.0,324,9.782812
0.0,140,9.879362
1.0,156,10.003772
1.0,154,10.140028
1.0,156,10.249666
1.0,171,10.364405
0.0,129,10.452226
2.0,190,10.58067
1.0,184,10.722451
0.0,132,10.836477
0.0,139,10.938401
0.0,134,11.028638
0.0,136,11.124162
0.0,139,11.217488
4.0,270,11.402528
0.0,128,11.518682
1.0,166,11.638376
1.0,167,11.749784
0.0,129,11.836663
0.0,131,11.926818
0.0,127,12.018691
0.0,132,12.106528
1.0,163,12.24952
1.0,194,12.394971
2.0,210,12.536455
0.0,143,12.63221
1.0,177,12.747793
2.0,223,12.914207
1.0,158,13.050466
1.0,183,13.171488
1.0,156,13.274832
0.0,136,13.36645
2.0,200,13.502425
0.0,132,13.608063
0.0,126,13.723033
1.0,182,13.850098
0.0,124,13.938323
3.0,245,14.098167
0.0,132,14.187888
0.0,126,14.275678
1.0,180,14.432481
0.0,138,14.535511
1.0,159,14.640343
2.0,205,14.775023
1.0,155,14.883275
3.0,231,15.051461
1.0,162,15.196574
2.0,205,15.335077
1.0,174,15.456933
2.0,201,15.593648
1.0,153,15.699116
2.0,204,15.872859
0.0,140,15.984888
2.0,202,16.116791
0.0,146,16.213533
1.0,178,16.329849
1.0,167,16.448407
0.0,130,16.556899
0.0,146,16.674816
1.0,157,16.779206
4.0,266,16.958797
0.0,123,17.042402
1.0,174,17.158941
2.0,204,17.335235
0.0,132,17.432981
2.0,223,17.58089
1.0,183,17.702571
0.0,133,17.794336
2.0,238,17.973222
4.0,274,18.18282
2.0,202,18.318269
0.0,137,18.411609
0.0,144,18.510372
2.0,228,18.683236
