#{"t_start": 1764221648.2089295, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,181,1.100876
4.0,280,1.283881
2.0,209,1.417192
0.0,124,1.500516
1.0,181,1.617173
1.0,175,1.742206
0.0,127,1.830269
2.0,203,1.964148
2.0,216,2.09444
0.0,131,2.19443
1.0,182,2.311101
1.0,174,2.427757
1.0,173,2.54442
2.0,200,2.677789
1.0,172,2.78142
2.0,218,2.9115
2.0,200,3.044899
1.0,157,3.165275
3.0,264,3.329979
3.0,232,3.477774
0.0,126,3.550446
1.0,174,3.667119
1.0,187,3.799381
3.0,257,3.965092
1.0,165,4.075311
1.0,178,4.195614
0.0,126,4.277737
0.0,142,4.367088
6.0,370,4.608703
0.0,125,4.694363
1.0,169,4.794379
2.0,196,4.927737
3.0,255,5.081072
1.0,168,5.194892
0.0,134,5.291806
2.0,205,5.417066
1.0,172,5.533804
1.0,174,5.650446
2.0,207,5.787153
2.0,181,5.909207
0.0,120,5.991584
0.0,129,6.06105
1.0,164,6.184155
4.0,262,6.350574
2.0,197,6.484141
1.0,165,6.600817
1.0,176,6.711172
0.0,129,6.800481
0.0,141,6.898356
1.0,156,7.000982
3.0,232,7.150381
0.0,122,7.235765
2.0,195,7.344333
2.0,197,7.478074
0.0,127,7.561659
0.0,141,7.683763
0.0,124,7.777638
1.0,162,7.877635
1.0,150,7.981002
0.0,141,8.077623
1.0,174,8.193305
5.0,349,8.415102
1.0,190,8.533678
1.0,162,8.639732
2.0,192,8.767207
4.0,322,8.970874
0.0,133,9.06101
2.0,225,9.206174
1.0,149,9.306142
0.0,135,9.394746
0.0,129,9.480629
1.0,191,9.600311
3.0,260,9.772212
5.0,349,9.992315
0.0,150,10.090572
0.0,125,10.163626
0.0,135,10.262933
2.0,204,10.393318
1.0,155,10.494422
1.0,186,10.614757
5.0,341,10.834128
0.0,131,10.913612
3.0,254,11.083579
2.0,189,11.202237
1.0,174,11.315996
2.0,203,11.44429
2.0,202,11.563149
2.0,200,11.700233
2.0,202,11.827686
0.0,125,11.915201
1.0,170,12.024422
2.0,205,12.150609
4.0,277,12.327868
0.0,155,12.433578
2.0,203,12.561143
0.0,132,12.650273
2.0,225,12.801287
0.0,143,12.897194
0.0,124,12.978578
2.0,206,13.109142
3.0,282,13.285182
3.0,249,13.447219
2.0,179,13.563206
2.0,183,13.683815
2.0,202,13.814858
1.0,180,13.92922
2.0,212,14.073157
1.0,178,14.200213
0.0,159,14.300266
4.0,304,14.500195
2.0,199,14.628107
1.0,173,14.744198
0.0,134,14.834224
2.0,207,14.966783
1.0,181,15.091127
1.0,165,15.196189
0.0,139,15.283781
0.0,142,15.38823
1.0,171,15.51421
1.0,167,15.628423
1.0,170,15.740161
1.0,150,15.839257
2.0,228,15.985111
1.0,156,16.083437
3.0,261,16.254214
1.0,170,16.36951
1.0,213,16.500062
0.0,135,16.597258
2.0,202,16.72846
0.0,129,16.813335
1.0,172,16.925655
0.0,133,17.011377
3.0,244,17.163974
0.0,147,17.271694
0.0,130,17.382521
2.0,202,17.570901
1.0,186,17.731781
0.0,122,17.815856
0.0,146,17.922231
3.0,278,18.09703
1.0,169,18.214063
1.0,183,18.335144
0.0,122,18.417519
1.0,185,18.530307
0.0,127,18.624086
0.0,135,18.712672
0.0,128,18.796245
0.0,131,18.877636
0.0,127,18.963819
1.0,155,19.063753
2.0,220,19.211935
2.0,225,19.355893
3.0,292,19.527424
1.0,175,19.655513
1.0,161,19.758946
1.0,174,19.870132
0.0,137,19.961778
1.0,157,20.064296
2.0,205,20.193947
2.0,201,20.336647
2.0,204,20.466682
0.0,123,20.550005
0.0,129,20.62897
2.0,218,20.788214
1.0,171,20.91401
2.0,212,21.050299
0.0,129,21.14396
0.0,137,21.227254
2.0,206,21.377252
2.0,201,21.512607
1.0,173,21.627254
1.0,156,21.730287
3.0,248,21.877283
2.0,229,22.027248
1.0,156,22.144957
0.0,136,22.227264
2.0,199,22.37118
1.0,159,22.481586
0.0,137,22.574866
0.0,123,22.655672
0.0,150,22.750127
1.0,173,22.860906
2.0,207,22.994058
3.0,234,23.146144
1.0,150,23.243944
2.0,206,23.394895
0.0,128,23.479297
0.0,133,23.57314
1.0,190,23.701396
1.0,153,23.803168
0.0,131,23.892255
0.0,126,23.960524
1.0,153,24.060623
2.0,222,24.226197
0.0,120,24.311734
2.0,217,24.456656
3.0,260,24.635272
0.0,123,24.714298
0.0,128,24.810956
4.0,304,25.010499
2.0,207,25.146905
3.0,257,25.310939
2.0,238,25.469106
