#{"t_start": 1764172218.6526144, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,122,0.922882
1.0,150,4.862883
2.0,237,7.71535
0.0,123,9.796808
1.0,165,13.470322
1.0,192,15.829591
1.0,156,17.96426
1.0,183,21.891498
1.0,162,24.191745
1.0,151,26.566891
1.0,155,30.363579
2.0,204,32.881813
1.0,193,36.751536
1.0,151,38.867393
2.0,198,41.229855
1.0,161,44.836296
0.0,132,46.962554
5.0,312,51.578918
2.0,199,55.55934
3.0,224,58.025263
3.0,234,62.058478
1.0,181,65.890637
2.0,188,68.464933
1.0,166,71.095908
3.0,246,75.200789
6.0,372,81.335043
4.0,259,85.500126
1.0,164,89.205266
2.0,186,91.575353
4.0,264,95.913211
1.0,149,98.100442
11.0,442,106.384766
1.0,182,108.733736
2.0,213,112.799124
7.0,385,119.426174
9.0,336,124.042585
3.0,218,127.948267
3.0,222,132.381278
2.0,190,135.245906
3.0,227,139.180022
3.0,230,143.337066
3.0,219,147.576713
7.0,258,151.768408
0.0,134,153.974253
7.0,245,158.239052
5.0,321,162.775639
3.0,214,167.007979
7.0,296,171.439036
2.0,185,173.792048
7.0,258,179.237551
2.0,182,181.869133
3.0,220,185.804479
2.0,183,188.788302
3.0,228,193.022683
3.0,215,197.084594
3.0,214,199.731239
3.0,231,203.922539
7.0,246,207.911618
2.0,181,210.332022
3.0,215,214.163327
3.0,218,218.472708
7.0,254,222.913589
3.0,227,225.491536
2.0,204,229.58998
7.0,255,233.775029
11.0,286,238.130032
7.0,260,242.42288
1.0,154,246.181129
4.0,257,250.499487
3.0,235,253.105293
2.0,185,257.073282
3.0,216,261.082244
3.0,227,263.767442
7.0,257,268.007797
5.0,309,274.18605
3.0,234,278.092592
2.0,183,280.611901
7.0,252,284.855889
11.0,277,289.151699
2.0,187,292.961591
3.0,223,295.74877
0.0,129,298.061408
11.0,273,302.59531
2.0,186,306.326893
3.0,216,310.272578
3.0,229,312.820675
2.0,181,316.718749
3.0,220,320.814448
3.0,232,323.356154
7.0,250,327.710993
7.0,254,331.908117
7.0,256,336.051521
7.0,247,340.336453
4.0,241,344.606399
3.0,230,348.71503
3.0,228,352.773881
2.0,187,355.213379
11.0,274,359.426562
7.0,261,363.830966
2.0,183,367.627066
2.0,191,369.931462
11.0,305,375.890003
3.0,240,378.679403
3.0,245,383.195868
2.0,193,386.887995
2.0,185,389.283824
11.0,279,395.128268
3.0,220,397.561654
6.0,347,403.935534
3.0,211,408.013173
3.0,226,410.612316
3.0,213,414.730283
2.0,188,418.679547
9.0,323,423.197568
3.0,215,427.128055
2.0,181,429.525577
7.0,274,434.241541
2.0,193,438.288697
7.0,247,442.850271
0.0,122,444.940106
2.0,197,447.567728
3.0,216,451.451922
2.0,188,453.912578
7.0,244,458.398873
3.0,216,462.766498
1.0,157,465.223197
1.0,159,467.499879
2.0,182,471.370998
3.0,210,473.973859
3.0,231,477.991443
7.0,249,482.238081
7.0,246,486.466081
3.0,219,491.198312
1.0,163,493.711497
1.0,158,495.874481
2.0,197,499.896721
7.0,248,503.968014
3.0,215,507.836067
0.0,128,510.218787
2.0,182,512.779869
7.0,247,516.987271
3.0,212,521.003954
11.0,271,525.493068
2.0,179,528.185024
3.0,213,532.183059
3.0,226,534.693097
7.0,247,538.849852
7.0,248,543.161993
3.0,217,547.238515
2.0,185,6755.942313
2.0,192,6762.524457
7.0,251,6767.567863
2.0,191,6770.576754
3.0,217,6775.939912
2.0,184,6780.875956
7.0,256,6786.703395
11.0,284,6792.0193
3.0,224,6797.265179
11.0,295,6802.451072
7.0,264,6807.728309
2.0,190,6810.36947
3.0,220,6815.271815
7.0,257,6820.604059
3.0,221,6825.963386
2.0,184,6828.647467
3.0,221,6833.623588
7.0,255,6838.793793
