#{"t_start": 1764172218.6592498, "env_id": "ALE/Breakout-v5"}
r,l,t
4.0,291,4.964422
1.0,173,7.399133
2.0,196,11.297499
0.0,132,13.430441
1.0,173,15.691626
0.0,124,17.674992
2.0,189,20.113448
1.0,153,23.814052
0.0,124,26.134941
1.0,157,28.505463
0.0,150,30.760426
3.0,216,34.7177
1.0,157,36.964458
2.0,191,39.270584
0.0,121,41.258487
1.0,160,44.859624
2.0,184,47.243516
3.0,218,51.379024
3.0,234,55.531984
0.0,139,57.593102
5.0,297,61.922091
3.0,233,66.060375
2.0,214,70.273377
4.0,305,74.843082
1.0,185,77.341794
2.0,210,81.142951
3.0,227,85.179265
3.0,246,89.328334
3.0,216,91.820738
2.0,193,95.781307
2.0,192,98.197265
2.0,198,102.080718
1.0,174,104.473734
3.0,221,108.669909
1.0,148,110.982767
3.0,215,114.997085
2.0,206,117.782313
2.0,192,121.596257
1.0,155,123.8961
4.0,270,128.056712
5.0,307,134.655804
2.0,207,137.235871
2.0,193,141.227354
11.0,279,145.525643
7.0,246,149.893121
7.0,263,154.167026
2.0,205,158.218425
7.0,255,162.336815
7.0,249,165.391791
2.0,189,169.347996
7.0,269,173.432085
7.0,391,179.721336
2.0,191,183.692758
2.0,181,186.03231
7.0,260,190.978108
7.0,270,195.37801
3.0,236,199.595087
2.0,196,203.482413
3.0,226,206.100598
7.0,253,210.277471
5.0,293,216.161205
3.0,222,218.92201
4.0,262,223.313802
3.0,224,227.460926
1.0,161,229.773424
7.0,244,233.897218
3.0,223,237.907836
1.0,156,240.293564
7.0,253,244.57715
7.0,255,248.745882
2.0,184,252.596764
6.0,361,257.454836
3.0,219,261.621035
11.0,310,267.532592
3.0,230,270.225535
1.0,157,274.098664
3.0,232,276.62912
7.0,250,280.853359
3.0,224,284.9768
11.0,311,290.932569
3.0,218,293.407396
2.0,182,297.559313
3.0,215,300.310508
2.0,190,304.258129
7.0,247,308.336566
3.0,220,310.855838
1.0,150,314.524688
7.0,243,318.594448
3.0,215,321.282961
7.0,266,325.591282
2.0,189,329.493056
3.0,240,333.630842
3.0,216,336.125893
3.0,216,340.211733
11.0,271,344.668129
7.0,251,348.883543
2.0,190,352.726967
6.0,347,357.404099
1.0,152,361.193508
0.0,129,363.326823
2.0,197,365.820431
3.0,220,369.644637
3.0,227,373.834897
1.0,170,376.090811
7.0,293,380.76389
2.0,186,384.726185
11.0,279,388.888801
11.0,279,393.2865
7.0,269,397.447527
4.0,267,401.950954
2.0,180,405.764367
2.0,202,408.385018
7.0,254,412.785608
2.0,185,416.501344
3.0,213,419.144559
2.0,193,422.962594
3.0,231,427.019525
7.0,260,431.228331
3.0,236,434.396888
3.0,221,438.54164
3.0,216,442.935923
7.0,245,447.207842
1.0,155,449.431538
7.0,253,453.630005
3.0,225,457.934746
5.0,349,463.063209
7.0,263,467.54313
7.0,253,471.79268
7.0,250,475.981978
3.0,222,479.925047
3.0,222,484.028997
7.0,247,488.85641
2.0,182,491.422138
3.0,220,495.610731
3.0,210,499.680226
7.0,256,503.80174
7.0,250,507.856633
7.0,247,510.810846
3.0,221,515.106639
1.0,155,517.319356
7.0,251,521.6296
2.0,180,525.599634
3.0,213,528.433895
3.0,215,532.480486
3.0,211,536.297433
7.0,255,540.574648
3.0,222,544.843062
3.0,229,547.392364
3.0,216,6758.492007
7.0,248,6765.05483
3.0,219,6769.9021
7.0,260,6775.609682
3.0,220,6778.914198
2.0,184,6784.107423
3.0,214,6787.488382
3.0,229,6792.367189
3.0,220,6797.580758
11.0,276,6802.663067
7.0,261,6807.958904
2.0,191,6812.216902
3.0,216,6815.520104
3.0,212,6820.524029
1.0,153,6823.627656
3.0,219,6828.337723
11.0,282,6833.72176
3.0,233,6838.748929
3.0,221,6844.038055
3.0,214,6847.603217
11.0,269,6853.190613
3.0,228,6858.181091
3.0,248,6863.008301
7.0,260,6868.186641
11.0,305,6874.921428
3.0,212,6877.671328
11.0,266,6882.868398
3.0,236,6887.615394
3.0,235,6892.379292
3.0,215,6896.919875
7.0,265,6901.915425
3.0,222,6904.777044
11.0,292,6912.23633
7.0,246,6917.025318
4.0,247,6922.040935
2.0,197,6925.149875
11.0,311,6931.819232
2.0,192,6934.831628
3.0,219,6939.252565
2.0,198,6942.067763
1.0,170,6946.832798
11.0,294,6952.060318
7.0,248,6956.703807
2.0,179,6959.534353
11.0,270,6964.499606
3.0,231,6969.407549
3.0,214,6974.047288
3.0,223,6978.693655
3.0,223,6982.111326
3.0,218,6986.896158
4.0,251,6991.992551
3.0,226,6996.859319
7.0,275,7002.227758
7.0,280,7007.471694
3.0,215,7012.362077
3.0,219,7017.255877
3.0,214,7020.155841
3.0,212,7025.305145
1.0,154,7028.011455
7.0,246,7033.493845
2.0,198,7038.207529
7.0,247,7041.51401
7.0,246,7046.460636
3.0,218,7051.580206
3.0,214,7056.094026
2.0,185,7058.788398
2.0,184,7063.486243
2.0,185,7066.235277
3.0,212,7071.352549
3.0,219,7074.52596
7.0,250,7079.800814
7.0,249,7084.748547
4.0,267,7090.806914
7.0,252,7095.509965
11.0,292,7102.633846
7.0,409,7110.168974
3.0,215,7115.421441
2.0,186,7118.412038
3.0,235,7123.347568
3.0,227,7128.335728
7.0,252,7133.208161
11.0,293,7138.436275
2.0,211,7143.283803
7.0,259,7148.329423
3.0,239,7151.496963
11.0,276,7158.798337
3.0,218,7162.053421
2.0,193,7166.742693
3.0,217,7169.629435
11.0,272,7176.582391
2.0,181,7179.749351
4.0,248,7184.626797
2.0,186,7187.561137
4.0,263,7192.397263
2.0,188,7196.854799
7.0,267,7201.676838
2.0,187,7204.370272
7.0,262,7211.145781
7.0,253,7216.295309
7.0,257,7221.299561
3.0,225,7224.241596
3.0,230,7228.683022
7.0,258,7233.845652
2.0,190,7238.433733
7.0,251,7243.381229
3.0,231,7246.495257
7.0,265,7251.46291
11.0,282,7258.296824
9.0,326,7263.620216
2.0,182,7268.241606
2.0,186,7271.289616
11.0,415,7278.760483
11.0,272,7283.684623
5.0,309,7290.642839
12.0,323,7296.361522
5.0,293,7303.942383
7.0,249,7308.783153
11.0,285,7314.059004
3.0,210,7317.35253
3.0,240,7322.112448
11.0,285,7329.014395
7.0,262,7334.453439
5.0,314,7340.218249
2.0,185,7342.84999
2.0,182,7347.477458
6.0,385,7355.027447
8.0,297,7360.043055
7.0,254,7365.261951
7.0,250,7370.344244
7.0,285,7375.860011
4.0,247,7380.350649
7.0,380,7387.558325
4.0,289,7393.810458
7.0,410,7400.590025
7.0,387,7407.013785
7.0,261,7411.311616
7.0,259,7415.817208
6.0,334,7420.529173
7.0,281,7426.352873
7.0,415,7432.880864
3.0,253,7436.965497
4.0,297,7441.428676
9.0,353,7447.742107
12.0,314,7452.73576
7.0,247,7456.856462
4.0,284,7462.799737
8.0,279,7467.369135
7.0,247,7471.389547
6.0,339,7476.004993
9.0,345,7481.977761
