#{"t_start": 1764172218.6527874, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,176,2.944093
1.0,150,5.144338
1.0,173,7.645171
1.0,171,11.364695
0.0,134,13.51021
1.0,160,15.685409
1.0,154,17.836262
1.0,158,20.103667
3.0,236,24.36203
2.0,202,28.526579
1.0,156,30.816843
2.0,202,34.69159
1.0,173,37.025939
2.0,196,40.750749
4.0,276,44.925539
4.0,270,49.234918
1.0,184,51.708651
2.0,193,55.657485
5.0,355,61.617398
2.0,195,64.011193
2.0,215,68.193721
3.0,234,72.565659
3.0,227,75.238226
4.0,264,79.329199
4.0,244,83.539503
8.0,295,89.293144
6.0,357,93.928961
1.0,155,97.659897
5.0,326,102.261207
7.0,253,106.713774
3.0,254,110.9637
2.0,209,114.944113
11.0,423,121.693637
3.0,234,125.810662
2.0,180,128.104058
6.0,379,135.217888
2.0,197,138.97492
6.0,350,145.250131
3.0,228,148.049712
3.0,244,152.32302
7.0,258,156.543342
2.0,183,160.337674
3.0,235,164.667524
3.0,216,167.333933
2.0,206,171.282991
2.0,190,173.603035
2.0,184,177.370999
2.0,184,179.770617
3.0,211,183.823371
3.0,217,188.356656
7.0,287,192.949543
1.0,151,195.235545
7.0,262,199.575613
11.0,279,204.018417
7.0,251,208.059673
9.0,366,214.123685
11.0,278,218.807831
7.0,257,223.200078
3.0,212,227.266765
1.0,155,229.546553
7.0,252,233.713829
1.0,151,235.966851
3.0,228,240.132717
11.0,280,244.53691
1.0,150,246.704272
5.0,292,252.566082
0.0,120,254.538608
2.0,191,257.187091
7.0,252,261.503769
2.0,185,263.870803
2.0,183,267.722477
3.0,232,271.987581
2.0,190,274.470067
7.0,261,278.578847
7.0,265,282.962268
7.0,261,287.197552
3.0,214,291.221138
2.0,180,293.493862
2.0,182,297.668206
1.0,149,299.993732
3.0,215,304.141393
7.0,252,308.25075
8.0,293,312.530353
3.0,218,316.600298
1.0,148,318.748742
7.0,254,323.012403
1.0,158,325.390613
3.0,218,329.429829
7.0,251,333.61678
3.0,212,336.095046
7.0,258,340.424752
8.0,279,346.359688
7.0,251,349.101075
2.0,191,353.012506
7.0,253,357.162045
3.0,226,361.39409
1.0,154,363.578933
2.0,183,365.998977
11.0,281,371.670055
11.0,321,376.209933
2.0,189,380.266707
3.0,224,383.10182
2.0,179,386.721486
3.0,237,390.87961
11.0,308,395.387745
7.0,254,399.446848
2.0,184,402.071564
2.0,193,406.072457
3.0,215,410.049322
6.0,361,414.932724
2.0,191,418.894371
2.0,183,421.207681
3.0,230,425.311337
3.0,222,429.306251
3.0,217,433.74561
