#{"t_start": 1764172218.6793768, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,125,0.930315
0.0,122,3.321271
1.0,178,7.096474
0.0,134,9.410354
2.0,204,11.77288
0.0,133,13.94966
4.0,312,19.734596
0.0,128,21.924297
1.0,157,24.19327
1.0,158,26.589623
1.0,162,30.447499
2.0,209,32.985593
1.0,167,36.698649
3.0,248,40.673684
1.0,157,42.927237
2.0,200,45.311375
2.0,186,49.160397
1.0,149,51.458921
3.0,222,55.560245
7.0,256,59.632052
2.0,208,62.084947
1.0,156,65.757275
5.0,321,70.727055
1.0,160,73.016867
4.0,275,77.376679
5.0,319,83.266227
3.0,221,87.087704
2.0,187,89.603571
3.0,219,93.475097
4.0,275,97.899028
7.0,270,102.160525
3.0,229,106.495163
2.0,212,110.433329
2.0,191,112.928664
7.0,392,119.600461
4.0,249,123.790333
2.0,208,127.654146
7.0,396,134.708966
3.0,223,137.362186
7.0,264,143.02986
11.0,274,147.6188
3.0,223,150.22597
7.0,248,154.403569
2.0,194,158.423028
3.0,221,162.369921
7.0,259,166.891074
11.0,274,171.226777
1.0,171,173.443795
7.0,254,177.570461
1.0,159,179.848687
1.0,150,183.550931
3.0,214,186.104123
3.0,226,190.881732
7.0,246,195.156568
2.0,181,197.514197
7.0,266,201.917162
3.0,224,205.955555
2.0,188,209.779848
3.0,217,212.275671
11.0,413,219.032562
2.0,182,223.019938
3.0,218,227.096203
7.0,251,231.352309
3.0,228,233.950301
7.0,256,238.150602
2.0,187,242.046689
4.0,249,246.299752
2.0,179,248.696267
7.0,255,252.935205
1.0,159,255.15759
3.0,246,259.445192
3.0,245,263.691201
2.0,184,267.574087
3.0,227,270.261843
2.0,186,274.268756
2.0,194,276.596467
7.0,263,280.894978
3.0,213,284.970316
7.0,247,289.092706
3.0,219,293.079261
2.0,186,295.637063
1.0,163,299.566964
3.0,218,302.406259
3.0,225,306.343535
2.0,193,308.760161
7.0,254,312.841122
7.0,261,317.118639
7.0,258,322.812439
3.0,211,325.464365
2.0,191,329.368665
3.0,235,332.026088
2.0,191,335.83113
7.0,259,340.156534
3.0,230,344.333766
3.0,232,348.505584
3.0,216,351.017401
1.0,154,354.791493
3.0,227,357.352565
3.0,227,361.662253
3.0,222,365.577926
1.0,151,367.749727
7.0,254,371.972068
7.0,280,376.242932
3.0,222,380.511136
7.0,259,384.882952
9.0,328,389.338527
7.0,254,393.565125
7.0,250,397.635811
7.0,272,403.621949
2.0,179,406.107676
3.0,215,410.07094
11.0,275,414.521102
2.0,193,416.89407
3.0,213,420.962948
3.0,219,424.976403
3.0,220,427.499188
7.0,258,431.937722
3.0,236,436.48626
7.0,270,440.966702
7.0,253,445.33556
0.0,137,447.654271
7.0,253,451.760849
2.0,193,455.643457
7.0,250,460.234274
7.0,250,464.860689
2.0,181,467.322045
2.0,212,471.329567
3.0,214,473.972051
3.0,215,477.896085
2.0,183,481.797593
7.0,250,485.890203
3.0,212,489.098775
3.0,230,493.605415
3.0,220,497.596729
3.0,226,500.231344
7.0,253,504.367633
1.0,164,507.977553
2.0,183,510.598306
7.0,254,515.056379
7.0,248,519.133499
11.0,269,523.647357
3.0,211,528.034535
1.0,161,530.255656
1.0,150,532.563484
3.0,215,536.416541
7.0,259,540.726693
2.0,181,543.186731
1.0,160,546.98118
3.0,224,6755.851194
11.0,275,6764.742218
3.0,216,6767.818061
2.0,192,6772.711427
11.0,280,6778.373013
7.0,255,6784.202457
7.0,266,6789.368993
3.0,214,6794.589438
3.0,254,6799.600986
3.0,220,6802.796828
3.0,230,6807.914523
3.0,216,6812.345205
3.0,229,6817.50228
7.0,262,6823.122012
3.0,220,6826.357291
2.0,189,6830.829511
2.0,190,6833.921258
7.0,254,6839.071607
7.0,247,6844.561589
7.0,269,6850.560045
7.0,261,6855.815726
2.0,187,6860.46351
2.0,185,6863.105546
7.0,262,6868.309138
11.0,275,6874.841733
3.0,218,6877.635535
11.0,275,6882.891032
3.0,235,6887.642415
3.0,225,6892.333423
11.0,285,6897.255602
11.0,273,6902.322508
1.0,151,6906.715308
11.0,281,6912.154295
3.0,219,6915.136769
2.0,190,6919.911117
3.0,230,6924.810833
7.0,256,6929.720118
2.0,187,6932.199674
3.0,225,6937.013216
3.0,225,6941.589067
7.0,250,6946.777037
7.0,273,6951.888269
2.0,185,6954.516147
1.0,161,6957.276672
3.0,215,6961.952796
2.0,195,6966.281275
3.0,214,6969.476229
3.0,217,6974.125748
2.0,184,6976.910455
11.0,270,6984.128468
3.0,226,6987.118855
1.0,157,6991.451263
3.0,244,6994.747625
7.0,253,6999.995694
7.0,268,7006.954464
3.0,227,7010.29944
3.0,219,7014.795198
7.0,250,7019.981334
3.0,217,7025.123118
3.0,218,7028.245802
3.0,215,7033.558446
3.0,219,7038.464949
7.0,256,7043.592659
7.0,264,7048.800148
3.0,216,7053.421308
2.0,179,7056.218195
3.0,219,7060.827365
3.0,229,7064.036834
7.0,247,7069.070351
3.0,214,7074.192048
2.0,184,7077.0444
7.0,255,7082.284152
3.0,227,7087.519668
1.0,155,7090.786217
3.0,234,7095.382989
3.0,210,7100.082266
3.0,226,7104.986172
2.0,183,7107.920724
3.0,233,7112.805479
15.0,423,7121.101828
3.0,230,7126.085306
3.0,241,7130.990727
7.0,269,7135.744272
7.0,246,7141.145514
11.0,271,7146.098045
7.0,252,7151.185172
7.0,265,7156.522896
3.0,210,7161.649267
4.0,265,7166.736186
6.0,323,7172.144828
2.0,190,7176.759989
4.0,273,7181.91825
3.0,218,7187.012738
4.0,263,7191.858122
3.0,253,7196.632209
7.0,266,7201.452222
9.0,326,7206.82167
11.0,274,7211.943376
2.0,193,7216.609841
11.0,285,7221.873176
11.0,271,7226.550642
11.0,275,7231.524317
2.0,184,7236.088655
7.0,245,7241.321628
11.0,280,7246.138737
4.0,264,7251.115378
4.0,294,7256.507241
11.0,278,7263.129848
11.0,279,7268.323849
4.0,262,7273.505877
3.0,216,7276.53383
7.0,246,7281.224214
3.0,216,7285.621341
3.0,230,7290.64014
7.0,250,7295.962556
2.0,180,7299.161746
2.0,184,7303.921739
4.0,294,7309.006063
3.0,221,7313.876346
2.0,182,7317.044425
7.0,270,7321.9959
5.0,308,7329.037525
4.0,252,7334.404911
6.0,343,7340.336156
3.0,231,7345.131065
4.0,246,7350.024164
11.0,268,7355.132814
9.0,318,7362.309291
4.0,267,7367.138366
6.0,357,7372.859568
8.0,304,7379.979707
7.0,250,7384.66785
6.0,365,7391.65293
11.0,284,7396.093573
5.0,296,7400.811543
7.0,417,7407.468041
3.0,215,7411.47717
8.0,349,7417.869712
3.0,218,7420.547226
7.0,366,7426.826467
3.0,233,7430.902817
3.0,215,7434.84977
8.0,277,7439.232032
8.0,425,7445.920551
7.0,414,7454.253927
12.0,329,7458.973142
9.0,325,7465.076516
3.0,220,7467.766104
8.0,304,7473.666883
13.0,319,7478.071867
4.0,284,7482.267869
9.0,334,7488.409666
5.0,329,7494.256193
3.0,221,7497.070071
6.0,362,7503.415791
10.0,352,7509.510014
7.0,393,7515.951804
7.0,254,7520.4537
7.0,259,7524.67339
8.0,295,7528.988611
4.0,256,7533.157554
8.0,295,7538.888538
7.0,377,7545.671711
6.0,370,7550.691132
13.0,378,7556.974817
4.0,265,7562.598456
8.0,284,7566.785288
12.0,438,7573.391466
11.0,431,7581.709257
3.0,243,7584.598529
10.0,532,7594.70441
6.0,366,7599.592629
3.0,224,7603.544482
6.0,360,7609.698517
4.0,249,7613.944488
6.0,348,7620.083635
9.0,422,7626.605981
14.0,547,7636.062421
9.0,331,7641.958964
7.0,368,7648.068386
10.0,374,7654.59983
6.0,343,7659.449894
3.0,238,7663.618836
8.0,305,7669.417802
4.0,286,7673.661401
7.0,256,7678.586658
8.0,303,7682.953622
5.0,312,7689.535028
7.0,260,7694.079906
7.0,380,7700.248417
6.0,328,7704.946763
8.0,298,7709.356135
15.0,403,7717.043686
12.0,438,7723.729855
14.0,389,7730.093807
15.0,448,7738.316371
12.0,439,7744.879438
5.0,315,7749.262626
12.0,489,7757.936005
7.0,351,7763.940957
12.0,438,7770.261095
8.0,441,7778.750102
13.0,480,7786.726291
9.0,434,7793.179105
6.0,342,7799.146522
9.0,349,7803.769279
7.0,375,7810.030446
3.0,214,7814.121545
11.0,273,7818.353758
3.0,229,7822.424387
12.0,455,7830.772218
13.0,470,7837.555476
12.0,322,7843.413386
10.0,339,7848.030896
8.0,428,7856.350786
11.0,281,7860.814038
11.0,492,7869.34873
7.0,245,7873.766577
8.0,306,7878.234923
7.0,362,7884.454619
19.0,598,7894.737965
11.0,278,7899.03246
9.0,475,7906.068357
6.0,356,7912.230391
12.0,417,7919.025332
7.0,252,7923.191318
11.0,270,7929.251619
7.0,375,7934.750717
10.0,483,7943.290939
7.0,408,7949.777428
15.0,652,7961.584816
7.0,365,7967.501759
11.0,391,7973.828301
7.0,387,7980.027785
15.0,594,7990.317372
4.0,264,7994.729158
14.0,515,8003.406648
12.0,570,8013.50111
11.0,493,8020.322987
13.0,476,8028.594358
11.0,374,8034.868771
5.0,302,8039.432734
14.0,361,8045.564927
11.0,527,8054.042294
12.0,425,8062.331691
24.0,623,8072.533422
5.0,315,8077.182778
7.0,366,8083.391487
15.0,708,8094.330231
27.0,592,8104.786322
13.0,348,8111.157977
15.0,464,8118.044502
3.0,216,8122.001616
4.0,260,8126.255176
25.0,522,8134.715016
18.0,518,8142.928079
23.0,499,8151.102793
11.0,503,8159.528004
8.0,425,8166.306437
12.0,508,8174.833324
17.0,471,8183.114214
26.0,440,8191.457974
7.0,397,8197.635505
17.0,640,8208.39434
11.0,552,8217.203217
14.0,537,8225.705122
11.0,534,8235.02317
5.0,325,8241.05357
14.0,517,8249.79789
16.0,548,8258.623899
13.0,577,8268.692966
25.0,430,8275.302346
10.0,478,8283.338905
6.0,361,8290.108336
5.0,300,8294.680236
13.0,483,8302.772339
15.0,427,8309.118058
20.0,477,8317.477403
16.0,617,8328.328237
21.0,475,8335.179273
9.0,328,8341.470682
17.0,647,8352.148745
11.0,515,8360.482159
6.0,335,8366.478414
9.0,436,8373.226468
15.0,543,8381.838857
25.0,539,8390.861295
12.0,552,8401.08115
6.0,356,8405.76386
7.0,407,8413.627513
21.0,693,8424.867108
17.0,485,8433.237249
9.0,452,8440.127456
18.0,483,8448.402765
19.0,440,8456.610072
27.0,518,8465.385111
29.0,447,8472.102436
19.0,584,8482.658972
11.0,430,8489.466571
27.0,664,8501.189915
13.0,614,8514.450476
8.0,450,8524.898271
19.0,445,8532.959367
20.0,439,8541.03354
14.0,549,8552.793964
10.0,485,8563.284872
17.0,490,8571.392307
27.0,468,8582.131555
13.0,456,8592.78252
13.0,326,8598.049917
32.0,564,8609.865603
8.0,399,8617.459236
6.0,300,8623.103692
6.0,364,8630.330863
16.0,603,8642.582165
8.0,431,8650.069513
14.0,540,8659.971606
5.0,319,8667.27692
7.0,400,8675.356297
30.0,552,8685.386658
9.0,425,8692.97273
9.0,509,8703.126413
10.0,459,8712.599641
26.0,588,8724.953263
21.0,401,8732.255088
24.0,557,8742.446037
19.0,472,8752.381882
13.0,597,8762.946911
27.0,602,8775.180616
16.0,628,8787.758341
31.0,678,8800.200273
26.0,563,8811.86799
26.0,463,8819.974442
26.0,690,8834.462321
26.0,450,8842.355583
22.0,608,8854.544389
19.0,559,8865.253068
23.0,474,8874.717501
23.0,637,8886.646331
21.0,554,8897.347766
4.0,299,8904.373893
32.0,645,8916.923711
28.0,391,8924.541385
8.0,425,8932.229426
20.0,475,8942.317645
24.0,492,8952.135324
17.0,545,8962.294884
9.0,492,8972.053168
20.0,525,8981.65362
22.0,442,8989.538778
27.0,605,9001.465774
9.0,320,9008.812899
5.0,325,9014.306734
24.0,532,9024.012708
23.0,469,9034.369726
34.0,589,9046.084625
22.0,414,9053.729504
26.0,607,9064.549195
28.0,489,9074.711479
15.0,659,9087.051566
6.0,320,9094.03952
12.0,442,9101.85219
27.0,597,9113.644794
18.0,392,9121.091564
3.0,224,9125.54687
31.0,728,9142.025391
18.0,511,9152.078841
11.0,406,9159.654932
13.0,497,9169.374117
17.0,615,9179.708367
12.0,420,9188.873488
29.0,439,9196.304554
25.0,542,9207.029043
6.0,359,9214.017413
15.0,560,9226.638808
8.0,460,9234.619948
15.0,444,9243.843844
8.0,275,9249.08119
4.0,255,9253.562613
