#{"t_start": 1764165674.2623155, "env_id": "ALE/Breakout-v5"}
r,l,t
3.0,251,3.764787
4.0,276,10.117799
3.0,216,13.282848
2.0,198,18.023464
2.0,192,20.755101
0.0,124,23.23182
2.0,214,27.949248
4.0,262,33.039672
0.0,127,35.530058
1.0,160,38.146045
3.0,242,42.774613
4.0,270,47.332129
4.0,250,52.256431
2.0,186,56.364051
7.0,255,61.835247
7.0,380,68.582
3.0,217,71.774753
7.0,249,76.887703
11.0,267,82.156276
3.0,217,86.728653
7.0,266,91.218802
3.0,220,95.563645
2.0,195,98.359234
3.0,238,103.36877
2.0,194,108.046383
9.0,328,113.186756
3.0,223,117.991909
2.0,180,121.10165
4.0,248,125.515108
4.0,244,130.415984
2.0,201,135.334889
1.0,156,137.931751
7.0,249,142.786549
3.0,223,147.414634
4.0,258,152.187811
1.0,154,154.500946
3.0,244,159.785199
3.0,256,164.416315
7.0,282,170.058355
3.0,266,175.266481
7.0,266,180.194292
7.0,263,185.381431
1.0,169,189.615631
7.0,261,194.589387
7.0,255,199.182126
3.0,216,202.308147
7.0,276,208.913842
11.0,273,214.731939
3.0,215,217.599225
2.0,199,222.176331
4.0,271,227.093601
2.0,202,231.574924
7.0,244,234.554723
2.0,203,238.818143
3.0,221,243.74494
7.0,245,248.711615
2.0,209,251.590598
3.0,223,256.043871
3.0,227,260.676864
7.0,266,265.959759
8.0,304,270.821825
0.0,121,273.044619
7.0,270,278.196397
3.0,215,282.612472
7.0,249,287.203946
7.0,256,291.73123
1.0,153,294.269449
3.0,218,298.91441
3.0,221,303.40038
7.0,248,308.076297
4.0,260,312.690949
3.0,228,315.509776
3.0,226,319.912097
7.0,253,324.830585
7.0,248,329.271916
7.0,251,333.868597
3.0,230,338.724
2.0,204,342.048178
9.0,361,349.448234
2.0,204,353.894419
2.0,207,356.763495
2.0,203,361.154506
7.0,253,366.795725
2.0,196,371.676687
7.0,264,376.931158
6.0,352,383.064505
2.0,196,387.834714
3.0,223,392.981458
3.0,232,396.603506
3.0,227,401.487766
3.0,219,405.988287
3.0,220,410.699731
7.0,259,415.832978
2.0,190,418.484961
2.0,181,423.149713
3.0,221,426.252954
3.0,212,431.149
3.0,227,436.253155
7.0,247,441.318027
7.0,259,446.292493
3.0,213,449.157183
3.0,219,453.481323
7.0,268,458.269233
11.0,272,463.686849
2.0,192,468.006335
3.0,216,471.131046
7.0,253,476.138933
2.0,193,480.83598
11.0,283,486.04292
7.0,249,490.968628
2.0,185,495.56447
7.0,248,498.582856
1.0,153,502.716052
7.0,252,507.498154
7.0,255,512.420816
2.0,184,515.064542
3.0,215,520.076423
3.0,225,524.874565
7.0,249,527.974465
2.0,179,532.301178
1.0,153,534.848946
2.0,185,537.683932
1.0,157,542.52268
3.0,215,545.555949
3.0,219,549.875885
2.0,182,554.653388
2.0,184,557.802573
7.0,254,562.605634
3.0,229,567.314341
3.0,223,570.687647
11.0,279,577.108476
3.0,222,580.190438
4.0,252,585.299669
3.0,228,590.385736
2.0,189,595.112672
11.0,285,600.109461
7.0,243,604.914552
3.0,238,609.93898
2.0,196,612.73988
2.0,210,617.583226
7.0,264,622.408559
11.0,287,627.830716
7.0,248,632.594349
3.0,247,637.70096
2.0,196,640.921878
11.0,279,647.634137
11.0,282,653.023329
7.0,250,657.933583
7.0,256,662.836995
1.0,152,665.517644
2.0,194,670.084605
3.0,217,673.075572
3.0,225,678.263515
7.0,258,683.269816
2.0,190,686.316878
3.0,213,690.915727
2.0,185,695.066493
1.0,154,697.852459
3.0,221,702.669644
3.0,215,705.577466
4.0,255,710.701901
2.0,185,714.834528
2.0,180,717.385638
5.0,298,722.287387
3.0,228,726.817976
7.0,264,731.732724
11.0,279,736.836674
2.0,188,740.925328
7.0,253,745.953257
3.0,216,750.751642
3.0,235,754.032971
3.0,222,759.011242
7.0,249,763.686254
3.0,229,768.308721
2.0,189,770.981538
11.0,291,778.352765
7.0,245,781.414995
7.0,251,786.317143
3.0,224,791.423276
7.0,260,796.456061
2.0,189,801.146665
7.0,257,805.726369
7.0,253,810.915635
7.0,250,816.571205
3.0,218,820.180597
1.0,153,825.114792
3.0,236,828.651909
3.0,216,833.609919
3.0,214,838.626069
7.0,252,843.559945
2.0,200,846.936413
7.0,257,851.79681
7.0,253,857.179079
2.0,190,861.978325
3.0,238,866.471787
1.0,155,869.488084
2.0,183,872.285071
3.0,218,876.93925
11.0,279,881.831566
2.0,201,886.008202
7.0,260,890.673763
2.0,182,893.569693
3.0,214,897.690025
7.0,276,902.423951
11.0,285,907.834245
1.0,153,910.219523
2.0,194,914.48561
2.0,184,917.118321
7.0,252,922.095325
11.0,300,928.890242
2.0,190,931.851768
7.0,266,937.107229
7.0,247,942.18443
3.0,234,946.732561
1.0,154,949.300323
4.0,279,954.756371
3.0,229,959.56678
11.0,274,964.560948
7.0,245,969.854937
11.0,286,975.139248
3.0,233,980.202745
11.0,275,984.954763
11.0,273,991.379004
9.0,336,996.810392
2.0,190,1001.021281
5.0,330,1006.1428
4.0,299,1012.699637
7.0,260,1017.260517
2.0,186,1019.769065
11.0,277,1024.905737
3.0,233,1029.506262
3.0,230,1034.767804
7.0,276,1039.600104
7.0,249,1044.362602
2.0,197,1046.972128
2.0,195,1051.576802
3.0,229,1056.006555
3.0,216,1058.924841
3.0,224,1063.883565
3.0,262,1068.723945
2.0,195,1073.198094
11.0,276,1078.311383
7.0,398,1085.861801
4.0,263,1090.844522
7.0,263,1095.713179
3.0,226,1100.683932
7.0,255,1106.040875
3.0,243,1111.119044
2.0,195,1113.875597
5.0,306,1120.564405
7.0,249,1125.632953
11.0,282,1130.772907
3.0,222,1135.378918
1.0,154,1138.258024
3.0,232,1143.653017
7.0,247,1148.294366
3.0,221,1151.208602
7.0,255,1155.85988
3.0,217,1160.4548
7.0,251,1165.389989
11.0,287,1170.678133
7.0,244,1175.366404
4.0,253,1179.921394
3.0,218,1184.727614
2.0,194,1187.464334
7.0,275,1192.270532
3.0,218,1196.828959
7.0,255,1201.957489
7.0,267,1207.30354
1.0,155,1209.738238
3.0,223,1215.070155
