#{"t_start": 1764165674.2270458, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,178,3.398426
0.0,132,5.811085
1.0,149,8.406437
1.0,173,10.88127
0.0,132,13.448944
1.0,153,17.86495
0.0,126,20.146135
0.0,128,22.565756
4.0,247,27.629695
2.0,180,30.781959
1.0,151,33.208858
0.0,130,35.701877
2.0,186,39.860749
2.0,213,42.91493
0.0,122,45.085466
3.0,226,49.777035
0.0,132,52.156279
2.0,183,54.803235
2.0,194,59.441621
3.0,214,64.275301
3.0,219,66.946382
2.0,210,71.557959
0.0,131,74.188098
2.0,184,77.098178
2.0,190,81.844024
0.0,131,84.104004
10.0,389,91.147454
8.0,288,95.88343
7.0,256,100.648052
5.0,298,107.916017
3.0,226,111.025895
7.0,248,115.79013
3.0,228,120.711057
4.0,243,125.231845
7.0,261,130.196552
2.0,197,135.014012
2.0,181,137.82342
2.0,203,142.446155
2.0,187,145.201913
2.0,195,149.48721
3.0,232,152.600525
11.0,287,159.565688
2.0,210,162.409787
2.0,201,166.934725
7.0,254,172.169078
7.0,282,177.690299
7.0,263,182.565875
1.0,152,185.344492
7.0,252,190.251124
3.0,262,195.121443
11.0,301,201.697687
7.0,261,206.289927
2.0,195,209.551136
7.0,260,215.205072
11.0,270,220.248845
2.0,183,224.589509
3.0,220,227.438928
7.0,253,232.2487
3.0,232,236.779603
3.0,217,241.001442
2.0,186,244.284966
7.0,256,249.337807
7.0,263,254.027273
2.0,182,258.114339
1.0,152,260.904958
3.0,213,265.830622
3.0,220,268.574345
1.0,156,272.559405
3.0,223,275.884724
7.0,250,280.421304
1.0,166,284.610092
4.0,283,289.260054
7.0,275,294.156966
3.0,223,298.760104
7.0,276,303.682858
7.0,250,308.356891
7.0,256,312.952594
3.0,228,317.359619
11.0,283,322.313688
1.0,148,324.781782
2.0,187,327.3483
1.0,160,331.390093
11.0,294,336.265152
7.0,270,341.871063
3.0,215,346.560627
11.0,283,351.7472
7.0,280,356.608878
4.0,282,361.516053
7.0,258,367.18525
7.0,245,372.442409
3.0,223,377.568995
7.0,267,382.948481
5.0,302,390.026026
7.0,252,393.756061
7.0,252,399.005583
3.0,219,403.950813
3.0,224,408.580041
3.0,217,413.20932
3.0,218,416.427952
7.0,259,421.099053
3.0,224,426.148732
7.0,260,431.434968
7.0,256,436.720408
3.0,224,441.563487
2.0,197,444.518112
3.0,221,449.063306
3.0,233,453.440738
11.0,278,458.304154
7.0,250,463.588931
7.0,253,468.327525
3.0,218,473.372165
2.0,186,476.003245
3.0,223,480.898701
2.0,184,483.759576
5.0,290,490.606901
3.0,215,493.879915
3.0,214,498.242921
3.0,215,502.790187
3.0,215,505.539979
2.0,186,510.343604
2.0,182,512.947242
3.0,221,517.676271
3.0,213,522.585125
3.0,217,525.576321
3.0,212,530.142842
2.0,186,532.7698
3.0,221,537.468138
7.0,254,542.939766
2.0,190,547.410203
3.0,228,550.192566
7.0,251,555.409081
7.0,265,560.773418
4.0,245,565.589906
3.0,238,570.53554
2.0,183,574.709365
3.0,230,577.879317
2.0,180,582.170263
3.0,222,587.11039
3.0,222,590.551993
7.0,247,595.710144
7.0,270,600.605172
7.0,276,607.463533
1.0,161,610.202603
11.0,283,615.293991
3.0,223,619.824069
11.0,275,625.26081
7.0,266,630.290817
3.0,210,634.618392
1.0,161,637.66277
11.0,275,643.108674
7.0,246,647.95282
1.0,151,650.996053
2.0,188,655.138163
7.0,262,660.242158
2.0,186,663.111159
2.0,181,665.994256
3.0,221,670.717979
3.0,226,675.473853
3.0,221,680.660911
3.0,225,683.686087
11.0,274,690.430238
2.0,189,693.256368
7.0,273,698.263432
3.0,216,703.085912
4.0,306,708.262192
7.0,253,713.05697
2.0,183,717.148814
3.0,252,721.804795
2.0,194,724.396043
3.0,217,729.052071
3.0,214,733.73306
7.0,259,738.56835
2.0,182,741.094837
3.0,224,745.910006
2.0,182,748.536774
7.0,251,753.910306
7.0,252,759.06826
2.0,182,763.251621
7.0,265,768.150012
3.0,216,770.997718
7.0,252,776.286098
3.0,226,781.057267
11.0,294,786.194921
2.0,192,791.163959
3.0,213,793.951929
7.0,247,799.346725
3.0,224,803.868453
3.0,232,808.653654
7.0,245,814.171175
7.0,261,819.824902
3.0,215,825.198418
3.0,234,828.723535
3.0,228,833.782339
3.0,213,838.802494
1.0,157,841.655907
3.0,217,846.426181
3.0,214,849.559711
7.0,245,854.772054
4.0,245,859.61996
3.0,216,864.626052
1.0,161,867.156094
1.0,150,870.099363
11.0,287,876.741755
2.0,185,879.574631
3.0,217,883.898848
3.0,241,888.360771
3.0,220,891.290743
1.0,154,895.392086
2.0,194,897.974783
7.0,255,902.616479
7.0,244,907.711576
11.0,295,912.645181
3.0,229,916.984287
2.0,183,921.397179
3.0,232,924.560598
3.0,238,929.386189
7.0,263,934.405602
3.0,219,939.782288
2.0,187,942.458623
7.0,247,947.08566
7.0,253,952.226634
7.0,253,957.404967
3.0,219,962.09373
2.0,194,966.612105
1.0,166,969.54972
3.0,235,974.606926
3.0,210,977.633949
3.0,248,982.453915
7.0,284,987.533705
7.0,259,993.784927
4.0,283,998.766045
11.0,274,1003.544523
