#{"t_start": 1764165674.2068388, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,164,3.324342
1.0,159,5.914004
0.0,129,8.384418
1.0,176,10.866695
1.0,158,15.532206
3.0,246,20.082375
2.0,189,23.030995
1.0,162,25.9956
3.0,232,30.897798
1.0,150,33.327181
2.0,194,37.831521
5.0,311,42.879586
2.0,197,46.939212
2.0,210,50.146475
1.0,159,54.164582
3.0,222,57.025172
3.0,251,62.402946
3.0,217,66.730785
5.0,353,74.008275
4.0,260,79.461991
2.0,181,82.116483
3.0,222,86.720274
11.0,277,91.274007
7.0,258,95.823294
7.0,251,100.544173
2.0,191,105.63482
2.0,183,108.297082
3.0,213,112.694176
3.0,234,117.605199
3.0,215,120.884467
7.0,256,125.421777
2.0,181,129.854513
7.0,252,135.076969
7.0,266,140.153941
3.0,210,143.020724
3.0,211,147.606701
2.0,206,152.02211
3.0,227,154.789796
3.0,244,160.07165
3.0,228,164.561501
3.0,229,169.852351
7.0,271,175.142274
7.0,267,180.020078
2.0,183,182.870085
7.0,255,187.953336
11.0,275,194.572934
7.0,276,199.30189
3.0,227,203.91475
4.0,244,207.070683
5.0,295,214.842038
3.0,217,217.745095
3.0,224,222.487419
5.0,294,227.48141
2.0,200,231.99244
3.0,225,236.493115
3.0,217,239.175269
3.0,220,244.13581
7.0,261,249.236515
7.0,394,256.282538
7.0,256,261.159293
2.0,181,265.875569
3.0,233,270.304097
3.0,219,273.113307
7.0,260,278.195592
7.0,276,283.000033
7.0,381,289.806973
11.0,271,296.234451
7.0,249,301.151261
3.0,231,304.061495
7.0,265,308.729249
3.0,216,313.128538
11.0,279,317.830827
7.0,250,322.611138
11.0,280,327.283088
1.0,151,331.255068
7.0,261,335.904474
3.0,230,339.382472
2.0,198,344.106853
3.0,236,349.131482
7.0,253,353.903023
7.0,269,358.820863
3.0,231,363.69785
3.0,224,367.203324
3.0,231,372.373326
7.0,270,377.819408
2.0,199,382.72285
3.0,219,387.649874
3.0,215,390.788116
3.0,237,396.363497
3.0,236,401.351169
3.0,218,405.83066
2.0,185,408.739053
3.0,226,413.51655
7.0,258,418.378354
3.0,212,423.217624
3.0,217,426.283943
1.0,150,428.717597
3.0,213,434.149601
3.0,218,438.908584
2.0,208,441.989041
3.0,216,446.701604
7.0,253,451.341118
2.0,186,455.62757
2.0,179,458.148386
11.0,285,463.670139
7.0,252,468.407038
11.0,273,473.788347
7.0,382,481.155118
3.0,219,485.972926
7.0,247,490.841765
2.0,192,493.938416
5.0,314,500.614866
2.0,183,503.210701
7.0,249,508.093487
3.0,211,512.701808
1.0,152,515.107744
7.0,259,520.42087
3.0,222,525.185498
2.0,186,527.860759
2.0,184,532.213259
7.0,252,537.012193
3.0,213,540.369591
5.0,303,547.476402
2.0,186,549.975945
2.0,181,554.751424
7.0,253,560.014142
7.0,263,565.026922
11.0,279,570.19997
7.0,260,574.865006
2.0,181,577.694179
7.0,250,582.461209
11.0,287,587.941055
3.0,222,592.827741
5.0,296,598.253817
2.0,194,602.655303
7.0,257,607.866145
3.0,230,612.479244
11.0,306,617.910539
7.0,265,622.810086
3.0,214,627.735446
3.0,224,632.376816
3.0,217,635.327427
7.0,263,640.932365
3.0,215,645.602567
2.0,184,650.393802
7.0,252,655.099349
2.0,181,658.119251
3.0,213,662.696964
7.0,257,667.732511
7.0,262,672.615341
2.0,187,675.57969
3.0,223,680.804496
2.0,190,683.607945
7.0,258,688.764881
3.0,229,693.312821
2.0,189,697.764187
2.0,192,700.603361
2.0,191,705.201019
7.0,270,710.35858
1.0,163,712.874805
6.0,352,719.390545
1.0,157,722.081595
2.0,189,724.594068
