#{"t_start": 1764165674.3006327, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,132,3.036179
0.0,142,5.423744
3.0,254,10.093393
2.0,197,13.143448
2.0,226,18.056544
3.0,234,22.618238
2.0,206,25.960782
6.0,345,33.025769
3.0,236,37.845987
7.0,246,42.46133
1.0,171,44.95176
5.0,313,51.688655
5.0,307,56.5949
4.0,272,62.163584
2.0,186,66.268455
4.0,257,71.127323
3.0,239,74.516775
3.0,220,79.647316
2.0,186,83.730393
3.0,237,86.987062
3.0,236,91.365485
2.0,180,95.423984
1.0,162,97.940362
3.0,213,102.696884
3.0,216,106.207467
2.0,190,110.553433
3.0,222,115.149925
5.0,297,120.433588
2.0,195,123.26024
6.0,355,130.259955
3.0,219,135.313697
7.0,258,140.31403
2.0,187,142.967816
4.0,253,147.796982
2.0,188,152.16247
3.0,233,156.810623
3.0,237,160.144442
1.0,164,164.191808
2.0,185,167.246853
3.0,223,172.265183
7.0,247,177.535334
7.0,258,182.357298
3.0,225,187.285871
2.0,234,190.417356
7.0,285,197.020622
3.0,230,201.536407
4.0,244,204.489257
2.0,184,209.150766
7.0,261,214.908342
3.0,226,219.698315
2.0,201,222.431091
4.0,261,227.235909
11.0,276,232.16441
1.0,152,236.224842
2.0,184,238.746858
7.0,249,243.858618
3.0,229,248.749372
3.0,229,253.307725
7.0,256,257.795939
7.0,257,263.03337
2.0,191,266.013482
3.0,219,270.417171
7.0,276,275.38445
4.0,246,279.94717
2.0,195,282.844395
5.0,311,289.147167
3.0,230,293.715301
3.0,221,296.830812
3.0,229,301.513516
2.0,198,305.796081
7.0,254,310.441358
7.0,274,315.015583
3.0,214,317.899403
7.0,246,322.656447
7.0,254,327.17327
3.0,213,331.548477
3.0,216,335.935634
7.0,259,341.504765
7.0,253,346.39919
3.0,228,351.271809
2.0,201,354.024008
7.0,252,358.875003
11.0,294,364.207344
11.0,276,371.608309
2.0,186,374.684302
2.0,186,377.791594
4.0,263,383.130868
11.0,283,390.130261
7.0,253,395.755164
7.0,278,401.119282
