#{"t_start": 1764165674.2418513, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,176,3.362
0.0,129,5.756582
2.0,221,10.125458
0.0,124,12.756318
2.0,185,15.851866
1.0,157,18.3825
1.0,154,20.866641
2.0,186,25.624604
2.0,189,28.371054
5.0,320,35.386635
3.0,232,39.910907
4.0,277,44.799523
1.0,151,47.186423
1.0,151,49.954359
2.0,192,54.187313
1.0,154,56.58148
3.0,215,61.792822
0.0,125,64.19331
2.0,198,66.761118
4.0,264,71.673723
1.0,153,74.504476
2.0,184,79.400882
7.0,246,83.898363
2.0,202,86.920454
2.0,187,90.893139
2.0,185,93.620224
7.0,263,98.254981
2.0,180,102.780115
1.0,167,105.955939
3.0,232,110.573556
2.0,184,113.123092
5.0,327,120.379001
4.0,259,125.062846
2.0,181,128.05324
2.0,180,132.560506
2.0,187,135.542416
7.0,250,140.50121
4.0,286,145.396797
3.0,218,149.937519
11.0,283,154.644547
3.0,237,159.896783
3.0,226,164.301585
11.0,290,170.042462
2.0,185,174.77511
9.0,345,180.174401
4.0,258,185.328879
11.0,308,192.106746
11.0,289,197.243457
11.0,276,202.071903
1.0,165,204.494184
3.0,232,209.522899
3.0,214,214.899938
3.0,222,219.691168
3.0,219,222.528144
2.0,199,226.938538
11.0,272,231.892154
3.0,215,236.307537
3.0,216,239.023187
7.0,261,244.236754
3.0,223,249.07381
11.0,292,253.964988
3.0,221,258.326027
4.0,311,265.639047
9.0,330,270.703312
7.0,249,275.563594
3.0,260,280.203572
2.0,214,284.680973
2.0,183,287.358485
3.0,220,291.660714
7.0,250,296.500258
3.0,216,301.158526
5.0,320,306.176195
3.0,222,310.611557
11.0,282,315.248664
7.0,257,319.801685
7.0,266,324.818024
3.0,226,329.11025
7.0,277,333.875662
1.0,178,336.567703
2.0,187,341.643453
7.0,258,346.609829
3.0,211,351.348586
11.0,278,356.008472
7.0,270,360.964419
7.0,258,366.622932
7.0,262,372.019107
3.0,213,376.898327
3.0,227,380.327963
1.0,164,384.865029
1.0,165,387.854678
6.0,358,395.838673
1.0,155,398.606522
3.0,216,403.487768
2.0,186,406.104532
2.0,187,408.956888
3.0,231,413.848943
1.0,171,418.099435
1.0,162,420.661725
2.0,179,423.840446
3.0,223,428.369759
3.0,223,433.882306
3.0,229,438.647691
7.0,254,443.798537
11.0,291,448.786968
11.0,270,453.393466
7.0,265,458.17567
2.0,180,461.208539
7.0,254,466.269556
3.0,221,470.825259
3.0,226,475.690634
3.0,229,480.667489
7.0,248,485.574307
7.0,249,490.501213
3.0,211,493.756537
7.0,252,498.367404
3.0,211,502.864279
2.0,196,505.502144
3.0,212,510.467305
7.0,257,515.030092
7.0,256,520.339151
7.0,244,525.237906
3.0,220,529.824497
2.0,186,532.514007
1.0,160,535.153253
2.0,204,540.036386
2.0,187,543.106592
3.0,218,547.76519
7.0,251,552.336765
3.0,216,557.60019
2.0,185,560.535843
7.0,250,565.416114
7.0,243,570.391666
7.0,253,575.033768
2.0,188,577.9045
3.0,226,582.484123
7.0,257,587.779117
11.0,287,595.051069
7.0,251,598.219919
3.0,237,602.860047
2.0,205,607.776026
1.0,150,610.412294
11.0,302,615.717573
3.0,219,620.14187
3.0,218,625.222538
3.0,219,629.957591
7.0,258,634.589999
7.0,247,640.141218
7.0,249,643.4643
11.0,278,650.517893
7.0,249,655.136462
1.0,150,657.904382
1.0,149,660.489196
11.0,414,668.269106
0.0,125,670.631931
5.0,294,675.815003
7.0,247,681.144562
7.0,258,686.268891
3.0,212,690.833642
8.0,279,695.624307
3.0,210,700.316534
2.0,191,703.439311
11.0,285,710.213553
11.0,284,715.047402
7.0,252,719.383391
3.0,240,723.954044
3.0,232,727.088362
7.0,262,732.052876
3.0,222,736.743019
7.0,248,741.221537
3.0,223,746.065637
7.0,251,751.098533
3.0,219,756.074105
3.0,212,759.166404
7.0,251,763.856026
3.0,223,768.419635
3.0,214,773.041919
7.0,259,778.422428
3.0,215,781.291382
2.0,191,785.773767
11.0,406,793.597878
2.0,192,796.703124
4.0,265,803.301912
3.0,227,806.355867
11.0,277,811.982813
11.0,280,819.555991
11.0,275,825.380339
7.0,250,831.044548
3.0,218,834.066549
3.0,222,839.08417
1.0,154,841.858851
7.0,276,848.793955
3.0,216,851.791809
3.0,238,857.084565
3.0,215,862.044991
7.0,254,866.696851
2.0,186,869.932359
7.0,250,874.511496
2.0,189,879.227254
2.0,191,881.881081
1.0,152,884.254751
3.0,211,888.656327
7.0,251,893.458503
11.0,445,900.574075
7.0,255,905.497906
3.0,217,909.959504
4.0,277,914.757334
7.0,250,919.695184
3.0,222,924.220008
7.0,266,929.235296
2.0,179,932.07441
7.0,263,939.316219
3.0,227,942.307193
3.0,228,946.805362
7.0,246,951.898783
3.0,217,956.871589
7.0,249,961.757964
7.0,247,966.59606
3.0,218,969.916543
7.0,248,974.984103
7.0,253,980.127278
7.0,272,984.888824
3.0,222,989.596765
7.0,245,994.209814
2.0,185,997.004262
3.0,228,1001.456406
3.0,222,1005.915391
7.0,267,1010.818029
1.0,154,1013.192482
3.0,236,1017.612846
3.0,215,1022.251947
3.0,226,1025.114779
2.0,191,1029.467289
3.0,226,1034.694118
2.0,181,1037.241398
7.0,251,1041.979995
7.0,251,1046.617299
3.0,229,1051.481601
8.0,287,1056.304747
7.0,259,1061.550263
3.0,221,1065.886928
3.0,272,1070.79613
7.0,257,1076.058104
7.0,249,1080.992295
8.0,318,1086.125875
7.0,253,1091.082036
7.0,245,1095.896463
3.0,233,1100.827067
9.0,331,1108.357131
3.0,245,1113.290591
3.0,213,1116.231521
2.0,187,1120.598074
3.0,215,1123.671698
11.0,280,1130.47525
7.0,256,1135.386121
7.0,256,1140.78158
2.0,191,1144.013885
2.0,193,1148.355134
7.0,260,1152.912303
7.0,246,1157.751059
3.0,217,1160.709084
11.0,273,1165.824925
7.0,244,1170.849102
3.0,224,1175.35184
3.0,223,1179.744735
2.0,193,1182.851983
7.0,251,1187.446926
7.0,264,1192.181935
2.0,188,1196.567707
3.0,216,1199.517574
3.0,210,1204.414561
1.0,163,1207.468484
7.0,270,1214.499527
2.0,182,1217.371703
2.0,183,1219.890088
7.0,254,1225.52816
7.0,249,1231.058517
7.0,252,1235.86838
2.0,193,1240.590216
3.0,217,1243.686192
3.0,215,1248.665778
7.0,256,1253.380588
2.0,187,1257.504723
7.0,258,1262.283906
2.0,188,1265.208367
7.0,249,1270.128149
7.0,264,1275.164496
7.0,258,1280.42008
3.0,232,1284.932209
7.0,258,1289.911053
3.0,220,1294.647732
2.0,202,1297.702794
2.0,189,1302.147961
2.0,196,1305.071711
7.0,251,1309.738704
3.0,225,1314.451938
2.0,199,1318.998828
3.0,220,1322.336168
3.0,212,1326.933067
4.0,268,1331.974015
11.0,269,1337.325341
2.0,181,1341.503281
3.0,219,1344.52016
7.0,248,1349.390245
7.0,268,1354.528337
3.0,216,1359.185584
7.0,258,1364.481275
11.0,282,1369.336594
2.0,188,1374.069273
3.0,215,1377.205916
1.0,166,1381.800776
7.0,248,1386.755458
3.0,226,1389.833473
7.0,262,1394.749367
7.0,256,1399.294034
3.0,237,1404.132421
7.0,260,1408.974243
2.0,184,1413.653362
7.0,250,1418.346198
3.0,221,1421.555052
3.0,216,1426.318903
2.0,198,1431.132315
2.0,185,1433.7128
2.0,187,1436.618279
11.0,271,1442.927679
3.0,226,1445.638878
3.0,237,1450.409089
3.0,219,1455.171579
2.0,183,1457.832579
11.0,276,1464.184628
7.0,248,1467.214978
7.0,258,1471.568622
2.0,195,1475.689844
11.0,268,1479.94326
2.0,188,1483.933152
6.0,350,1488.966506
2.0,188,1492.78598
3.0,215,1495.591443
3.0,212,1499.501269
7.0,256,1503.722875
3.0,238,1507.78966
3.0,214,1511.84524
7.0,251,1515.943156
7.0,263,1520.068541
7.0,247,1524.210046
