#{"t_start": 1764133606.481756, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,179,2.546568
1.0,169,4.812818
0.0,138,7.212235
2.0,201,11.365928
2.0,202,13.820413
0.0,143,17.54132
0.0,123,19.436047
4.0,324,24.035823
2.0,195,27.631204
0.0,126,29.693841
0.0,129,31.688504
2.0,226,34.35622
5.0,318,39.91959
3.0,247,43.990788
3.0,245,48.759019
3.0,251,53.098746
3.0,246,57.214627
3.0,248,59.999215
2.0,209,63.949981
3.0,247,68.366051
3.0,246,72.821433
3.0,254,77.116497
2.0,206,81.310567
3.0,246,83.951426
3.0,249,88.191274
3.0,245,92.215825
3.0,245,96.252605
2.0,196,100.421162
3.0,245,104.777222
2.0,196,107.061906
3.0,244,111.353534
3.0,258,115.455131
2.0,196,119.324762
3.0,258,123.584165
2.0,195,126.088053
2.0,196,129.807801
2.0,195,132.196632
3.0,246,136.144718
0.0,124,138.227446
3.0,248,142.094569
4.0,298,146.361465
0.0,125,148.342982
3.0,246,152.306397
3.0,250,156.47929
3.0,245,160.476689
2.0,196,164.116645
3.0,248,168.13283
3.0,226,170.581844
2.0,195,174.577399
2.0,201,178.530886
2.0,200,180.817796
2.0,197,184.663153
3.0,252,188.770852
2.0,196,191.144367
3.0,245,195.29267
3.0,246,199.463093
2.0,203,203.565228
4.0,295,207.79456
2.0,197,210.145411
3.0,247,214.092921
2.0,196,217.83143
2.0,195,220.106202
2.0,195,223.891257
3.0,244,227.790009
2.0,195,230.099889
2.0,196,233.921736
2.0,195,236.457786
3.0,246,240.556949
3.0,243,244.734683
3.0,244,248.8137
2.0,195,252.514684
2.0,200,255.018512
5.0,349,260.807485
2.0,198,263.109462
4.0,273,268.562943
2.0,198,270.999008
2.0,195,274.621451
2.0,197,277.216997
5.0,346,283.059984
2.0,196,285.450878
3.0,244,289.493502
2.0,199,293.25498
2.0,198,295.704213
3.0,248,299.672989
4.0,295,305.252437
4.0,296,309.283103
4.0,293,313.787347
2.0,196,317.758532
3.0,245,321.856222
2.0,196,324.231117
3.0,247,328.232375
2.0,195,331.881066
2.0,195,334.353342
2.0,196,338.444863
2.0,199,340.86081
2.0,212,344.855986
2.0,197,349.162367
3.0,245,352.109461
2.0,196,355.701476
3.0,246,359.593192
2.0,200,362.073372
5.0,355,367.993116
2.0,195,371.669375
2.0,195,374.172104
3.0,247,377.98352
2.0,196,381.731209
3.0,245,385.719505
2.0,196,387.971837
3.0,245,391.816473
3.0,248,395.776706
3.0,243,399.956145
2.0,195,402.725837
3.0,246,406.875598
4.0,293,412.494783
3.0,246,416.478448
3.0,243,419.006117
2.0,202,422.686868
5.0,353,428.616431
3.0,248,432.645064
3.0,245,436.817132
4.0,293,441.205712
2.0,196,445.025451
2.0,196,447.312849
3.0,243,451.302856
3.0,244,455.331604
2.0,197,457.850046
3.0,244,461.905479
3.0,243,465.906695
2.0,195,469.831313
3.0,244,474.136299
2.0,195,476.419426
4.0,296,480.69307
2.0,195,484.384855
3.0,245,488.349919
3.0,247,492.519157
2.0,195,495.143723
2.0,196,498.910146
2.0,200,501.279493
3.0,245,505.300646
3.0,245,509.33702
4.0,296,515.145733
3.0,243,517.864271
2.0,198,521.610144
3.0,243,525.627893
3.0,245,529.630004
2.0,195,532.130301
5.0,359,538.16654
3.0,245,542.232083
2.0,195,545.855867
2.0,197,548.382701
3.0,246,552.374949
2.0,204,556.304459
2.0,197,558.782414
3.0,248,562.660991
5.0,356,568.695749
2.0,200,571.212082
2.0,207,574.992715
3.0,247,579.093596
3.0,250,583.098152
3.0,249,587.168282
2.0,197,589.554695
3.0,249,593.997469
3.0,248,598.045947
3.0,254,602.182301
3.0,247,606.248257
3.0,248,610.214631
4.0,296,615.830032
3.0,244,618.284027
2.0,198,622.059115
3.0,247,626.230301
2.0,195,628.91519
3.0,247,633.117595
4.0,294,638.676352
3.0,252,642.648055
3.0,245,647.164306
3.0,245,650.129828
2.0,196,653.781299
2.0,197,657.573601
4.0,293,661.918782
2.0,197,664.172324
3.0,249,668.242673
3.0,255,672.324978
3.0,246,676.481465
2.0,195,680.557228
3.0,251,684.494807
2.0,195,686.843562
2.0,202,690.658837
2.0,206,692.951693
3.0,249,697.013365
2.0,199,701.245931
2.0,196,703.959429
3.0,246,707.968094
3.0,245,711.793243
5.0,326,717.528233
4.0,302,721.779212
3.0,246,725.959572
3.0,245,729.953378
3.0,244,734.19009
5.0,330,738.739935
2.0,195,742.559507
4.0,296,746.625034
3.0,244,750.614172
3.0,244,754.696446
3.0,245,758.501786
4.0,298,762.700917
3.0,248,766.92537
2.0,196,770.633667
3.0,246,774.585521
5.0,366,780.537984
4.0,295,784.858292
3.0,246,788.847277
2.0,212,792.588688
2.0,211,795.090508
2.0,200,798.916897
5.0,328,803.22207
4.0,288,808.730218
3.0,248,811.207248
6.0,395,818.702958
2.0,198,821.035905
2.0,196,824.976621
3.0,244,828.860689
6.0,378,833.538594
3.0,260,839.162193
2.0,211,841.941809
3.0,257,846.051131
2.0,205,849.891108
2.0,202,852.19151
4.0,297,857.777059
4.0,277,862.193968
2.0,195,864.498993
4.0,299,870.081493
3.0,249,873.961166
3.0,256,877.969367
5.0,346,882.462671
3.0,228,886.293108
2.0,195,889.938462
4.0,273,894.057796
3.0,224,897.77686
3.0,246,900.554634
3.0,285,906.191926
3.0,243,910.090097
2.0,198,912.613189
2.0,201,916.362648
3.0,256,920.596997
2.0,196,923.289062
2.0,195,927.02336
6.0,337,931.822592
3.0,247,935.768284
2.0,204,939.60723
6.0,359,945.938137
4.0,295,950.29906
4.0,275,954.370993
2.0,197,958.225709
4.0,293,962.427121
3.0,245,966.290126
2.0,196,968.694759
4.0,276,974.413907
3.0,248,978.433301
5.0,312,982.87775
5.0,331,988.680398
4.0,281,992.758422
2.0,195,995.098246
5.0,313,1001.094065
6.0,374,1007.216232
3.0,245,1011.334618
4.0,273,1015.54574
4.0,298,1019.815135
4.0,275,1024.103864
2.0,199,1027.982967
4.0,266,1032.486039
5.0,293,1036.841302
3.0,242,1040.70012
4.0,278,1044.969827
2.0,196,1048.95487
4.0,253,1053.109187
3.0,227,1055.761101
6.0,323,1061.811494
2.0,195,1064.267935
2.0,187,1067.899272
2.0,178,1070.072569
5.0,310,1075.739376
3.0,214,1078.25955
3.0,213,1082.462193
7.0,358,1088.664531
7.0,356,1094.541286
7.0,358,1099.126442
3.0,221,1102.950418
7.0,246,1107.127058
7.0,247,1111.24264
6.0,337,1117.160078
6.0,328,1121.578782
3.0,216,1125.54539
7.0,245,1129.464661
7.0,262,1133.385409
7.0,244,1137.4107
3.0,218,1139.744488
3.0,213,1143.684435
6.0,330,1149.769742
2.0,199,1152.304145
7.0,256,1156.439991
7.0,248,1160.584741
6.0,326,1166.276744
2.0,191,1168.533684
3.0,222,1172.306208
7.0,365,1178.493774
7.0,250,1182.638024
2.0,179,1184.876476
2.0,193,1188.620314
7.0,365,1194.50339
7.0,365,1199.304232
7.0,248,1203.215357
3.0,236,1207.390369
7.0,370,1213.570833
4.0,306,1217.853302
3.0,231,1221.786232
11.0,266,1225.848932
2.0,187,1229.63882
7.0,246,1233.695488
7.0,252,1237.717802
1.0,153,1240.01128
6.0,339,1246.271498
7.0,266,26032.273378
3.0,239,26039.131875
7.0,262,26045.433963
6.0,324,26051.85481
3.0,220,26056.811348
7.0,251,26061.464871
5.0,316,26066.814792
11.0,278,26071.747726
11.0,280,26078.732109
3.0,231,26081.841566
2.0,201,26086.439531
7.0,273,26092.280066
7.0,259,26098.053092
7.0,369,26106.166265
6.0,328,26113.347465
8.0,282,26119.268832
5.0,304,26124.511297
13.0,492,26135.426649
7.0,378,26143.384797
7.0,257,26148.90605
4.0,244,26154.711584
6.0,353,26163.404172
4.0,267,26169.682744
8.0,305,26176.432104
8.0,299,26182.971352
7.0,381,26191.989893
3.0,217,26196.751498
6.0,326,26204.51012
7.0,377,26212.39294
11.0,392,26219.850223
7.0,360,26225.453683
7.0,252,26230.301742
3.0,212,26235.287049
3.0,212,26240.151514
8.0,409,26247.07402
9.0,456,26254.40824
8.0,302,26260.501431
4.0,267,26265.659474
11.0,405,26273.050641
8.0,414,26280.422171
8.0,429,26289.880922
4.0,282,26294.996523
7.0,388,26302.530976
4.0,267,26307.214079
9.0,351,26314.483271
14.0,516,26324.172902
8.0,407,26331.537524
10.0,379,26338.523628
8.0,467,26348.233511
3.0,218,26350.855135
14.0,503,26360.153234
3.0,221,26364.904461
12.0,576,26374.178906
12.0,305,26381.404261
6.0,380,26388.925722
11.0,423,26396.446833
10.0,509,26406.220536
13.0,372,26414.548408
7.0,343,26421.93496
8.0,431,26430.062087
13.0,467,26439.271782
9.0,462,26447.009851
5.0,323,26453.751615
7.0,247,26458.623505
3.0,233,26462.788166
7.0,363,26468.133742
9.0,474,26477.008036
8.0,281,26482.190077
7.0,362,26488.96263
9.0,475,26498.148601
18.0,378,26506.097545
12.0,459,26513.673251
10.0,368,26521.119179
7.0,429,26530.738021
5.0,309,26536.086128
8.0,388,26543.713708
5.0,296,26548.891951
8.0,408,26558.086507
15.0,538,26567.899915
13.0,492,26577.318511
7.0,360,26583.164321
15.0,616,26594.897342
6.0,376,26602.187919
9.0,442,26610.728749
7.0,367,26616.103737
12.0,507,26625.821475
5.0,337,26632.790139
22.0,579,26645.566337
8.0,413,26652.523876
3.0,220,26657.526223
3.0,209,26660.34865
16.0,327,26666.678229
2.0,191,26669.19006
17.0,391,26675.763355
6.0,380,26682.501505
13.0,382,26688.929275
7.0,389,26695.212328
6.0,322,26701.221005
14.0,506,26709.72313
7.0,384,26716.040449
11.0,283,26720.461842
2.0,179,26722.852986
10.0,350,26728.910261
5.0,332,26735.006351
6.0,346,26739.614005
10.0,505,26748.321163
7.0,393,26754.828557
8.0,411,26762.449167
5.0,310,26766.609305
11.0,415,26773.129061
11.0,580,26783.283942
3.0,216,26785.970993
7.0,362,26792.047677
8.0,400,26798.185191
7.0,376,26804.938696
6.0,322,26810.658347
17.0,620,26821.022149
6.0,346,26825.307181
7.0,396,26833.05596
7.0,374,26837.767308
10.0,372,26843.842698
8.0,433,26851.340469
8.0,427,26857.718291
8.0,280,26861.9841
7.0,253,26866.176132
5.0,297,26871.869984
4.0,265,26875.977731
11.0,514,26884.055646
8.0,398,26890.123767
10.0,460,26896.561722
7.0,375,26902.610266
7.0,374,26908.77149
12.0,453,26916.370753
7.0,356,26922.248663
14.0,613,26930.705398
9.0,349,26936.469188
8.0,412,26942.519165
11.0,536,26950.63096
11.0,286,26956.140092
15.0,553,26964.601058
12.0,576,26973.259717
20.0,353,26979.118279
9.0,445,26986.638308
11.0,572,26994.916139
16.0,670,27005.019631
10.0,507,27013.006629
3.0,212,27016.770485
12.0,579,27026.5774
18.0,569,27035.044235
11.0,536,27043.409822
4.0,265,27048.138808
7.0,359,27053.962619
8.0,426,27060.33371
4.0,262,27064.456686
6.0,351,27070.200644
9.0,315,27075.963985
7.0,354,27080.577713
12.0,450,27088.665814
10.0,518,27096.550555
9.0,345,27102.866128
12.0,582,27111.468434
10.0,519,27119.424264
11.0,269,27123.442289
12.0,315,27129.417419
8.0,415,27135.619041
13.0,665,27146.093876
13.0,447,27153.960262
9.0,413,27160.302563
17.0,632,27170.375857
5.0,308,27174.695609
15.0,436,27182.395979
14.0,350,27186.957182
14.0,418,27194.653431
15.0,572,27203.407199
9.0,340,27209.414841
13.0,454,27215.750107
17.0,487,27223.931036
8.0,299,27229.583993
16.0,473,27236.314717
10.0,506,27245.467366
7.0,366,27251.393383
8.0,307,27255.778766
17.0,641,27265.900078
8.0,424,27273.443818
10.0,374,27279.58677
10.0,519,27287.613238
5.0,333,27291.888932
9.0,326,27297.578504
15.0,426,27303.780069
14.0,529,27311.758549
11.0,528,27319.781255
12.0,413,27327.551751
8.0,435,27333.959908
12.0,460,27341.840027
9.0,315,27346.591179
15.0,549,27354.929369
16.0,482,27363.09753
10.0,388,27369.305113
7.0,374,27375.311174
12.0,463,27382.856994
13.0,638,27393.190409
21.0,491,27401.612731
6.0,328,27406.22917
15.0,559,27415.86499
17.0,489,27422.507093
13.0,472,27430.390108
14.0,617,27440.678797
19.0,585,27449.328853
6.0,361,27455.313468
12.0,559,27464.961228
12.0,510,27473.277654
5.0,309,27477.536267
15.0,641,27487.478787
9.0,346,27493.773702
5.0,296,27498.088229
28.0,672,27508.605443
16.0,479,27516.720963
20.0,574,27526.815174
13.0,462,27533.578652
17.0,627,27543.492333
10.0,456,27551.185214
12.0,519,27559.356899
11.0,408,27566.007446
24.0,636,27576.003913
13.0,547,27584.244752
26.0,827,27597.806953
9.0,469,27604.138092
5.0,290,27608.222019
11.0,377,27614.233463
7.0,394,27621.713945
7.0,361,27626.49544
12.0,430,27634.240194
2.0,182,27636.595363
16.0,450,27644.539418
17.0,610,27653.865873
4.0,245,27657.818139
10.0,380,27663.888238
14.0,509,27672.048132
19.0,436,27679.953267
15.0,435,27686.318689
21.0,602,27696.110288
22.0,594,27705.126562
16.0,671,27716.894498
11.0,507,27725.300561
6.0,361,27729.980081
10.0,530,27739.843923
12.0,337,27744.174157
14.0,498,27752.164328
12.0,548,27760.555561
5.0,290,27766.728944
8.0,413,27773.129529
9.0,437,27779.426276
15.0,693,27791.369256
21.0,627,27801.988136
14.0,497,27808.528319
8.0,286,27813.938024
13.0,508,27822.411675
6.0,363,27828.472353
14.0,482,27835.068718
16.0,586,27844.758687
14.0,479,27852.74515
11.0,526,27861.213953
9.0,455,27867.885776
14.0,576,27877.950536
6.0,342,27882.644987
17.0,615,27892.854918
15.0,420,27900.668207
3.0,216,27903.160217
9.0,456,27910.900757
15.0,397,27917.274498
9.0,450,27923.776109
16.0,443,27931.420201
14.0,618,27941.259847
5.0,290,27946.085299
8.0,420,27952.571858
10.0,469,27960.498667
10.0,363,27966.594207
8.0,441,27972.856118
14.0,489,27980.88552
18.0,750,27993.367719
18.0,652,28004.625796
27.0,607,28014.475054
15.0,666,28024.916385
20.0,580,28033.570321
14.0,647,28044.108918
8.0,393,28051.88343
17.0,481,28058.642203
20.0,625,28068.460619
18.0,565,28078.323848
21.0,712,28089.4455
11.0,511,28097.580158
18.0,541,28105.853346
8.0,390,28112.396957
16.0,333,28118.243663
16.0,582,28128.182534
15.0,663,28138.544618
21.0,528,28146.968596
9.0,449,28153.449636
15.0,539,28163.11129
18.0,374,28169.255023
13.0,480,28175.679575
23.0,567,28185.435513
14.0,578,28193.754608
12.0,520,28202.121835
10.0,408,28208.526111
14.0,521,28218.198551
13.0,486,28224.755064
17.0,478,28232.925579
19.0,589,28243.08223
9.0,463,28250.125098
11.0,488,28258.209486
11.0,396,28264.211744
13.0,481,28271.840261
17.0,476,28279.547177
10.0,511,28287.877176
14.0,613,28296.348946
8.0,282,28302.384834
22.0,563,28311.11837
20.0,724,28323.418381
14.0,499,28331.567575
5.0,310,28335.969167
19.0,588,28345.989845
13.0,450,28352.44338
23.0,611,28362.367249
22.0,795,28374.786384
18.0,632,28385.216492
17.0,665,28395.883229
15.0,579,28405.904701
15.0,636,28416.021403
14.0,387,28422.226252
12.0,498,28430.162495
22.0,509,28438.070056
16.0,577,28446.497866
19.0,752,28458.834907
13.0,591,28468.640196
10.0,491,28475.353102
16.0,452,28483.314425
20.0,577,28493.152348
10.0,494,28500.059564
16.0,484,28507.957283
15.0,457,28515.983557
22.0,632,28526.098553
32.0,745,28536.73838
22.0,693,28549.323037
8.0,391,28555.520041
10.0,478,28563.521809
15.0,655,28573.719427
12.0,532,28582.048926
21.0,586,28592.253465
13.0,451,28598.950527
14.0,524,28607.664386
