#{"t_start": 1764133606.4651616, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,125,0.998598
2.0,204,4.707538
1.0,154,7.20973
0.0,149,9.519962
0.0,140,13.182585
2.0,198,15.671137
3.0,252,19.827076
2.0,201,23.672513
0.0,132,25.708472
3.0,226,28.353468
2.0,207,32.01346
3.0,255,36.11451
2.0,207,39.792311
0.0,131,41.87228
4.0,300,46.660175
0.0,144,49.120703
4.0,301,53.70138
4.0,281,59.417228
0.0,125,61.493413
3.0,249,65.750262
2.0,196,68.461837
3.0,247,72.899838
5.0,325,79.057715
4.0,294,83.60211
0.0,120,85.74307
2.0,202,88.187622
3.0,246,92.220056
2.0,200,95.941503
3.0,244,100.471661
2.0,196,103.126224
2.0,201,106.861575
4.0,294,111.414789
3.0,227,115.357811
3.0,246,119.556986
3.0,244,123.699682
3.0,244,127.733231
2.0,199,130.190428
2.0,199,133.994737
2.0,195,136.261909
2.0,195,139.966531
2.0,195,142.289456
2.0,202,146.070269
2.0,202,149.901905
4.0,296,154.140104
4.0,297,158.352192
2.0,197,162.113255
2.0,201,164.477847
2.0,198,168.25837
2.0,198,170.550492
4.0,294,176.43927
0.0,127,178.650894
0.0,125,180.565774
3.0,245,184.630165
2.0,197,187.041377
3.0,250,191.102988
2.0,203,195.004456
2.0,200,197.494802
2.0,198,201.689658
3.0,226,205.521643
2.0,197,207.943954
3.0,247,211.975891
3.0,245,215.835473
4.0,294,220.009967
2.0,197,223.792635
3.0,225,226.225772
3.0,244,230.159805
3.0,246,234.237953
3.0,246,238.295686
2.0,195,242.452549
4.0,296,246.73886
0.0,124,248.77192
2.0,199,252.493509
2.0,195,254.986468
3.0,246,258.934178
4.0,293,263.015147
3.0,246,267.040228
5.0,331,272.792609
3.0,246,276.928596
2.0,196,279.236273
3.0,244,283.241355
3.0,247,287.350599
2.0,196,290.994503
2.0,196,293.498874
3.0,244,297.464419
2.0,198,301.145917
3.0,247,305.180934
3.0,244,307.685901
5.0,327,313.633919
3.0,246,317.863635
2.0,196,320.203802
3.0,246,324.346128
3.0,244,328.3298
3.0,243,332.185031
3.0,245,336.537504
2.0,196,340.45665
0.0,123,342.338629
3.0,246,346.880388
2.0,198,349.618831
3.0,244,353.842872
2.0,199,357.486393
2.0,195,359.732834
0.0,124,361.74512
3.0,247,365.73676
3.0,244,369.851509
3.0,244,373.849605
4.0,280,377.840528
3.0,248,381.850253
3.0,267,385.939332
3.0,245,389.698951
3.0,247,393.576917
3.0,245,397.630574
4.0,299,402.404153
3.0,245,406.642498
4.0,298,410.967149
2.0,195,414.673558
3.0,245,418.523674
4.0,294,422.690646
3.0,250,426.713764
2.0,197,430.547215
2.0,203,432.896093
3.0,244,437.063418
3.0,245,441.207876
3.0,245,445.288946
3.0,225,449.235637
2.0,195,451.453724
3.0,246,455.529595
4.0,294,459.750764
2.0,196,463.764594
3.0,244,467.845123
2.0,196,470.279472
2.0,195,474.344996
2.0,195,476.59808
4.0,298,482.231408
3.0,245,486.140509
3.0,247,490.435122
3.0,244,492.94242
2.0,195,496.956076
2.0,195,500.712667
3.0,247,503.253731
2.0,198,507.129241
3.0,249,511.126747
2.0,196,513.773967
2.0,196,517.529073
3.0,244,521.54787
4.0,294,525.833249
3.0,243,529.843253
2.0,197,533.772568
4.0,294,538.029583
4.0,300,542.387905
4.0,299,548.046781
2.0,195,550.384214
4.0,297,554.840584
3.0,244,558.908901
3.0,245,562.7744
2.0,197,566.626193
4.0,295,571.008634
3.0,245,574.973713
2.0,196,578.768007
3.0,244,581.465322
3.0,251,585.393375
2.0,200,589.297661
2.0,199,593.486744
2.0,200,595.8428
3.0,253,600.056323
2.0,196,603.868821
4.0,316,608.142456
2.0,202,611.876891
2.0,195,614.210425
2.0,195,617.877938
3.0,245,621.888112
2.0,205,624.397448
2.0,196,628.51791
3.0,247,632.748714
2.0,195,635.013452
3.0,253,639.108079
4.0,296,644.854664
