#{"t_start": 1764133606.4664779, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,176,2.537391
4.0,316,7.261926
0.0,124,9.426599
1.0,192,13.423461
2.0,226,17.571968
0.0,125,19.476794
0.0,135,21.458551
4.0,286,25.846476
2.0,196,28.321143
2.0,216,32.039744
1.0,152,34.310837
2.0,206,37.930035
3.0,248,41.982053
4.0,299,46.786818
3.0,244,51.366895
3.0,268,55.505275
2.0,197,59.403501
0.0,123,61.470827
3.0,249,65.728098
2.0,195,68.424276
2.0,195,72.587054
3.0,245,76.882481
3.0,244,79.806887
4.0,296,85.690579
3.0,244,89.754345
2.0,202,92.16052
3.0,247,96.18981
2.0,195,100.355821
2.0,195,103.052887
3.0,256,107.05943
3.0,243,111.347689
3.0,244,115.38677
2.0,199,119.211999
3.0,245,122.01756
3.0,244,126.24945
2.0,196,129.983436
3.0,244,134.009102
3.0,250,137.990938
2.0,196,140.235838
2.0,199,144.010355
2.0,198,146.360493
2.0,195,150.142894
2.0,195,152.430867
3.0,248,156.56801
2.0,198,160.262731
4.0,298,164.465276
2.0,198,168.247153
3.0,247,172.224227
2.0,197,174.846316
2.0,196,178.747659
4.0,294,182.881716
3.0,246,186.994908
2.0,200,190.827995
2.0,197,193.203038
2.0,195,197.056348
5.0,333,202.008554
2.0,199,205.797503
3.0,250,209.765701
2.0,195,212.17838
3.0,246,216.039463
2.0,195,219.73317
3.0,249,223.763137
3.0,249,227.680379
2.0,197,230.012672
2.0,196,233.812411
2.0,199,236.393487
2.0,195,240.042511
0.0,122,242.427909
2.0,198,244.811202
2.0,195,248.628756
4.0,293,252.955586
3.0,245,256.904974
2.0,201,260.619116
4.0,296,264.8521
3.0,270,268.846895
2.0,204,272.635745
3.0,247,276.756124
4.0,296,281.073313
2.0,197,283.356866
3.0,246,287.454175
2.0,198,291.121721
3.0,244,295.234223
2.0,195,297.600344
3.0,244,301.485198
2.0,197,305.288481
3.0,244,309.079544
4.0,278,313.451853
5.0,353,319.575063
3.0,244,322.310126
2.0,218,326.202985
2.0,201,329.967948
2.0,198,332.23711
3.0,247,336.612618
2.0,195,340.504462
3.0,247,344.544038
3.0,247,349.231278
3.0,250,353.541605
2.0,195,355.777598
3.0,245,359.666869
3.0,244,363.742433
3.0,247,367.610812
2.0,196,370.130082
3.0,248,374.200505
2.0,195,377.744388
2.0,196,380.181057
2.0,195,383.824688
