#{"t_start": 1764127424.820416, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,164,4.101849
2.0,216,7.045487
1.0,170,11.43678
0.0,126,13.627271
1.0,165,16.118754
1.0,181,18.507668
3.0,247,23.152014
2.0,204,27.267245
3.0,246,31.648158
3.0,258,35.874135
2.0,201,40.216115
2.0,218,43.05459
0.0,126,45.325289
2.0,202,49.999726
2.0,199,52.656171
3.0,228,56.83282
3.0,250,61.458223
3.0,253,66.631299
2.0,199,70.770691
3.0,245,75.199879
3.0,263,80.206219
2.0,221,83.319987
2.0,199,87.962476
3.0,247,92.434575
5.0,328,97.217552
3.0,246,102.056881
2.0,195,106.268841
2.0,197,108.826231
2.0,195,113.158762
4.0,272,117.750867
2.0,200,121.744459
3.0,244,124.854146
2.0,195,128.746374
5.0,348,135.223291
2.0,195,138.073665
2.0,195,142.192567
3.0,243,146.540492
2.0,199,149.105025
4.0,316,155.364393
2.0,197,157.881475
3.0,247,162.212238
2.0,195,166.442204
2.0,195,168.88718
2.0,195,173.005845
2.0,196,175.580994
2.0,195,179.424759
3.0,245,184.454524
3.0,244,189.261447
4.0,293,194.234061
2.0,196,196.851104
2.0,199,201.59138
2.0,195,204.326036
2.0,197,208.636796
3.0,243,212.749763
3.0,246,217.119448
3.0,245,221.415
2.0,196,224.252785
2.0,198,228.935289
4.0,297,233.692412
2.0,197,237.765117
2.0,197,240.241616
2.0,197,244.275527
2.0,197,246.900963
2.0,196,250.692667
3.0,244,254.899928
2.0,196,257.634343
2.0,199,261.715469
3.0,245,266.018379
3.0,245,270.247008
3.0,246,274.594306
4.0,293,279.184448
3.0,246,284.420057
2.0,197,287.497854
2.0,195,292.395783
2.0,199,295.019604
3.0,244,299.325148
2.0,197,303.411241
2.0,195,305.931263
2.0,195,310.208772
3.0,245,314.715175
3.0,247,318.986439
2.0,196,321.724684
2.0,195,325.922298
4.0,295,331.07763
3.0,243,335.710395
2.0,217,340.317153
2.0,195,342.987852
5.0,345,349.453645
2.0,195,352.104708
3.0,245,356.365937
3.0,245,361.149757
2.0,195,365.019841
3.0,245,369.659619
4.0,293,374.313876
2.0,197,378.223314
2.0,197,380.940053
5.0,329,387.080505
3.0,244,391.711345
2.0,221,394.341115
2.0,196,398.436071
3.0,253,403.095942
3.0,246,407.856917
2.0,195,410.282751
2.0,198,414.416258
2.0,199,416.857172
2.0,205,421.271462
4.0,273,425.78218
4.0,300,430.477286
2.0,200,434.896673
3.0,245,439.346572
2.0,195,442.368824
4.0,295,448.969578
3.0,244,453.721105
2.0,196,456.130736
2.0,197,460.754322
2.0,197,463.233512
3.0,230,468.025303
3.0,247,472.858652
3.0,248,477.833322
4.0,276,482.313324
3.0,246,486.636641
5.0,328,492.703794
3.0,247,495.707317
3.0,247,499.904267
2.0,196,503.983701
2.0,195,506.658955
2.0,201,510.822206
2.0,195,514.905798
2.0,195,517.934199
3.0,246,522.171326
2.0,196,526.152535
3.0,247,529.761826
2.0,197,534.022699
3.0,244,538.006181
2.0,199,540.988435
3.0,254,545.339409
2.0,195,549.491652
3.0,245,554.0897
4.0,277,559.34904
2.0,195,563.48435
3.0,245,566.117849
3.0,227,570.183194
2.0,196,575.079515
2.0,197,577.821482
2.0,195,582.264938
2.0,196,585.123285
3.0,245,589.333031
2.0,201,593.530438
2.0,196,596.3767
4.0,275,602.196518
2.0,196,604.951925
3.0,244,609.70579
2.0,202,613.847346
6.0,354,618.692372
3.0,265,623.72098
3.0,246,628.045918
3.0,255,632.555783
2.0,197,636.471664
5.0,325,641.771101
3.0,247,646.710315
2.0,207,650.937873
3.0,228,655.846797
3.0,253,660.643715
3.0,246,665.034007
3.0,243,668.086969
2.0,200,672.293558
3.0,254,677.352067
3.0,248,681.392824
2.0,199,685.161213
2.0,197,687.443017
5.0,327,693.131464
2.0,208,695.554693
5.0,328,701.270552
2.0,195,703.582249
3.0,254,707.610069
3.0,224,711.295043
2.0,200,715.057439
2.0,201,717.308234
4.0,273,721.657583
2.0,196,725.379936
2.0,200,727.758343
5.0,322,733.57415
3.0,253,737.596056
2.0,202,739.8807
3.0,243,743.81109
3.0,243,747.612487
2.0,197,751.096483
2.0,196,753.505228
3.0,247,757.380941
3.0,223,761.173801
3.0,244,764.98393
4.0,275,768.86952
3.0,243,772.681079
2.0,198,776.262804
2.0,196,778.49808
3.0,244,782.368446
4.0,295,786.354984
4.0,294,791.728128
5.0,325,796.043517
2.0,201,799.935078
3.0,244,803.682582
3.0,226,806.191057
3.0,225,809.779141
2.0,195,813.468015
3.0,223,815.872669
4.0,274,821.055957
3.0,223,823.501284
2.0,204,827.529291
4.0,274,831.786176
