#{"t_start": 1764127424.6376624, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,126,2.170888
1.0,170,6.694438
0.0,133,9.109122
1.0,178,11.994222
1.0,155,14.396746
1.0,161,18.142079
3.0,254,22.8141
3.0,249,27.130215
3.0,248,31.511233
3.0,248,35.753008
5.0,338,40.814828
4.0,291,45.676908
2.0,203,50.354824
2.0,219,54.672228
2.0,197,57.11867
2.0,205,61.468811
4.0,298,66.916989
2.0,200,71.081392
4.0,303,75.816169
2.0,200,80.498677
3.0,245,85.628418
2.0,196,88.400233
2.0,209,92.592448
3.0,243,96.918082
2.0,197,99.614712
3.0,226,104.27489
2.0,197,108.430258
3.0,248,111.523963
2.0,200,115.758694
2.0,196,119.765814
3.0,243,122.672019
3.0,243,127.097942
2.0,196,131.156363
3.0,245,135.484018
2.0,195,138.332114
2.0,198,142.520204
2.0,195,144.940338
2.0,195,149.089907
4.0,294,153.703448
3.0,244,157.94749
2.0,197,162.055426
2.0,196,164.747005
2.0,197,168.761385
3.0,245,173.131866
2.0,195,175.695336
3.0,244,179.890834
2.0,196,184.559443
2.0,195,187.666686
3.0,243,191.978822
2.0,197,196.309711
2.0,196,199.253951
3.0,246,204.059039
3.0,246,208.750788
3.0,245,212.862773
2.0,197,215.492776
2.0,199,219.619203
4.0,293,224.390082
4.0,305,231.329599
2.0,198,233.887221
3.0,244,238.205765
2.0,195,242.239639
2.0,198,244.715765
2.0,195,248.649244
2.0,196,251.278571
3.0,250,255.349766
2.0,200,259.503605
2.0,199,262.239064
3.0,249,266.518474
3.0,246,270.817692
2.0,195,274.849
3.0,243,279.04464
3.0,244,282.762677
2.0,198,287.397384
3.0,244,292.620605
2.0,196,295.230634
3.0,244,299.535984
3.0,246,303.940965
2.0,199,307.936965
2.0,199,310.706506
2.0,195,314.963975
3.0,246,319.22666
3.0,243,323.674189
2.0,199,326.467764
0.0,125,329.166076
4.0,297,335.532869
4.0,297,340.687747
2.0,201,343.405186
3.0,224,347.515024
3.0,247,352.060639
2.0,195,356.072807
3.0,244,360.726924
3.0,246,363.627818
2.0,195,367.52283
4.0,316,372.747263
1.0,167,376.387735
0.0,120,378.596411
3.0,245,382.926345
2.0,199,385.537417
2.0,197,389.412221
2.0,195,392.38791
4.0,279,396.835946
2.0,197,400.955371
2.0,196,403.920274
3.0,244,408.52223
3.0,248,412.905136
2.0,198,416.730234
4.0,277,421.563241
2.0,221,425.766327
4.0,295,430.427433
2.0,195,434.821749
3.0,249,439.297071
5.0,323,444.471833
3.0,247,449.40913
3.0,245,454.118325
2.0,197,456.5872
2.0,199,461.170156
2.0,201,465.476177
2.0,196,468.285522
3.0,247,473.139972
2.0,195,477.796893
3.0,244,480.679644
3.0,225,484.87755
3.0,259,489.263063
2.0,202,493.156213
2.0,195,495.814575
