#{"t_start": 1764127424.5805547, "env_id": "ALE/Breakout-v5"}
r,l,t
3.0,246,5.009411
3.0,261,9.740684
2.0,221,14.197717
2.0,228,18.369036
0.0,132,20.72585
2.0,203,24.838437
3.0,256,29.454078
0.0,142,31.650651
2.0,199,34.227988
3.0,251,38.680363
0.0,143,41.00006
3.0,244,45.594345
2.0,198,50.239679
0.0,127,52.485604
3.0,249,56.799979
0.0,128,58.904941
1.0,174,61.71257
4.0,297,67.113331
3.0,271,73.221266
2.0,198,75.828697
2.0,196,80.471218
2.0,197,83.413935
3.0,248,88.400506
3.0,244,92.893232
2.0,198,96.874208
3.0,244,99.874496
2.0,195,104.314368
2.0,196,106.992329
2.0,195,111.167174
3.0,244,115.747229
4.0,275,120.22243
3.0,245,124.763215
3.0,244,128.897824
3.0,244,133.343811
3.0,243,137.95607
2.0,196,140.441331
2.0,200,144.588517
3.0,244,148.984094
2.0,199,151.528054
1.0,172,155.542659
2.0,197,158.036043
2.0,195,162.125694
2.0,195,164.8041
2.0,196,168.806121
3.0,244,173.170959
4.0,294,177.701697
4.0,294,182.687704
4.0,298,189.462664
2.0,195,192.086041
2.0,198,196.417985
3.0,245,201.47157
2.0,197,204.163749
3.0,247,208.856297
3.0,244,212.972377
2.0,197,215.602022
3.0,250,219.995242
3.0,244,224.509965
2.0,195,229.150847
2.0,197,231.900607
4.0,296,237.987592
2.0,199,240.480525
2.0,200,244.536599
0.0,124,246.698517
3.0,246,250.765619
3.0,244,255.016299
2.0,198,257.734445
0.0,126,259.923111
2.0,197,264.152676
2.0,195,266.552578
3.0,244,270.828011
2.0,196,274.868207
3.0,246,279.089675
2.0,197,282.449002
2.0,197,287.154249
2.0,196,290.24859
3.0,244,295.007831
2.0,196,299.046585
3.0,248,303.385863
3.0,246,306.228225
4.0,278,312.488003
3.0,244,316.913231
3.0,244,319.699153
3.0,247,324.301939
2.0,196,328.909158
2.0,195,331.636894
2.0,195,335.887269
3.0,246,340.710228
3.0,227,345.122356
3.0,244,349.384831
2.0,195,352.052018
3.0,243,356.35297
2.0,197,359.156464
3.0,243,363.617209
3.0,245,367.815947
2.0,195,372.240584
3.0,249,376.434711
2.0,195,379.063286
1.0,150,381.475928
2.0,215,385.555943
3.0,245,389.734922
3.0,250,394.414809
3.0,226,398.65853
4.0,295,403.595406
3.0,244,408.292626
3.0,244,412.471286
4.0,276,416.917127
2.0,204,421.260856
5.0,325,426.118375
3.0,247,430.514667
3.0,244,435.184521
3.0,245,439.635588
4.0,298,444.675008
3.0,244,449.61514
2.0,196,454.027013
3.0,247,458.55401
4.0,295,463.273986
4.0,300,468.457716
2.0,196,472.971099
2.0,195,476.102341
3.0,245,480.575041
3.0,245,484.882206
3.0,245,489.188134
5.0,348,495.484063
2.0,197,497.871949
2.0,198,502.12451
4.0,303,506.747859
3.0,247,511.191303
2.0,195,515.275152
2.0,195,518.331357
3.0,247,522.578217
2.0,197,526.578139
