#{"t_start": 1764127424.7455816, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,199,4.460616
2.0,220,8.933451
3.0,255,13.680183
2.0,215,16.489139
2.0,195,20.531545
2.0,224,24.76903
2.0,208,27.640531
3.0,255,32.043421
0.0,132,34.152572
0.0,130,36.259068
5.0,329,42.896278
0.0,135,45.26339
2.0,202,49.942946
3.0,227,52.760751
4.0,276,58.595065
0.0,124,59.372865
2.0,201,64.152125
2.0,202,68.487212
2.0,218,71.477145
2.0,197,75.522579
4.0,296,80.798105
2.0,223,85.85702
3.0,248,90.477859
0.0,120,92.546717
4.0,296,97.121976
2.0,215,101.708845
2.0,196,104.482874
3.0,243,108.820558
2.0,200,113.18706
0.0,122,115.457404
2.0,196,118.027774
2.0,196,122.025821
3.0,245,126.554629
3.0,246,130.825242
2.0,195,133.431187
5.0,367,140.138321
2.0,195,144.256238
2.0,196,146.998829
4.0,274,151.343163
3.0,248,155.783261
3.0,244,160.204604
4.0,296,164.782347
2.0,197,168.795582
2.0,196,171.535203
3.0,244,175.777344
3.0,245,179.961492
2.0,195,184.64227
2.0,196,187.708015
3.0,244,192.082629
2.0,195,196.39032
3.0,243,201.424857
3.0,245,206.020456
2.0,197,208.785496
3.0,245,212.906455
3.0,246,217.281332
2.0,195,219.899699
4.0,296,226.404179
2.0,196,229.436936
0.0,127,231.694467
0.0,121,233.852456
3.0,228,238.07435
2.0,196,242.113031
3.0,248,244.929292
2.0,197,248.799099
2.0,202,252.85262
2.0,196,255.262679
3.0,249,259.738914
2.0,197,263.971947
2.0,195,266.368884
2.0,199,270.369696
3.0,245,274.721336
2.0,195,277.289725
3.0,251,282.322598
2.0,195,287.010433
3.0,243,292.23498
2.0,198,294.872563
2.0,196,298.911676
3.0,245,303.232025
3.0,246,306.074249
2.0,198,310.350015
2.0,195,314.593214
2.0,197,317.126779
2.0,198,321.334871
2.0,195,323.939613
2.0,195,328.549625
3.0,246,333.295521
2.0,199,335.893043
3.0,244,340.724628
4.0,295,345.430808
3.0,226,349.692111
3.0,246,354.079648
2.0,204,358.357429
3.0,244,362.852443
4.0,294,367.267226
8.0,327,372.56628
3.0,252,376.72202
3.0,247,381.165409
3.0,249,385.464263
3.0,246,389.653702
2.0,196,394.002603
3.0,246,398.361276
2.0,195,400.980839
2.0,197,405.326895
3.0,244,409.901688
3.0,247,412.944685
3.0,246,416.996899
3.0,244,421.649614
2.0,195,425.708654
3.0,245,430.026487
5.0,329,435.233718
3.0,244,439.692416
3.0,256,444.478054
6.0,376,451.78904
3.0,246,456.166497
5.0,323,462.880406
4.0,299,468.053521
2.0,196,470.628306
3.0,248,476.018045
7.0,421,484.294453
3.0,246,488.706125
2.0,197,491.1658
2.0,196,495.234544
2.0,196,497.634552
3.0,253,502.23182
3.0,244,506.474285
3.0,246,510.922576
2.0,197,515.02199
2.0,201,518.091679
3.0,251,522.365377
3.0,244,526.740609
3.0,245,531.818679
3.0,246,536.035912
2.0,196,538.495331
3.0,248,542.98849
7.0,426,551.801329
2.0,196,554.440964
2.0,199,559.220842
4.0,294,563.888279
5.0,327,569.799784
5.0,306,575.343766
3.0,244,579.754508
2.0,195,582.932336
3.0,243,587.258663
3.0,245,591.621786
5.0,324,598.177544
5.0,333,602.840731
4.0,300,609.586293
3.0,249,613.996751
4.0,301,618.484902
3.0,242,623.401574
2.0,195,625.985526
3.0,257,630.312011
2.0,199,634.509918
2.0,195,637.079729
3.0,247,641.898463
2.0,196,646.486646
4.0,293,651.243897
3.0,251,656.320843
4.0,298,662.834556
4.0,295,667.588613
3.0,244,672.12168
