#{"t_start": 1764127424.5835907, "env_id": "ALE/Breakout-v5"}
r,l,t
3.0,256,5.068254
2.0,205,9.392577
0.0,145,12.035334
0.0,124,14.210982
1.0,173,18.083143
0.0,132,20.434667
2.0,208,23.230008
0.0,131,25.365502
4.0,314,31.636456
2.0,212,34.292437
0.0,127,36.383732
2.0,203,40.710923
3.0,250,45.321133
2.0,202,48.249504
2.0,201,52.657755
5.0,349,58.931115
0.0,126,61.410452
2.0,197,64.46431
4.0,294,70.97151
3.0,257,75.484474
3.0,245,78.827761
3.0,247,83.67052
2.0,195,88.28558
0.0,125,90.688406
4.0,295,95.220185
2.0,215,99.403604
3.0,243,104.171356
3.0,243,108.626476
3.0,244,113.213448
2.0,195,115.9055
2.0,198,119.929193
3.0,245,124.485052
2.0,195,126.991331
2.0,196,131.001355
2.0,197,133.620206
3.0,244,138.225996
3.0,247,142.701434
3.0,248,147.059897
2.0,198,150.965297
3.0,245,153.972018
0.0,123,156.156683
2.0,213,160.344979
5.0,367,166.862812
5.0,323,171.680863
4.0,296,177.589616
3.0,247,182.301624
2.0,198,185.208831
3.0,243,189.929557
3.0,245,194.599472
2.0,196,198.84515
4.0,293,204.014399
3.0,244,208.680877
3.0,266,212.929631
2.0,200,215.5764
2.0,196,219.686254
0.0,125,221.824107
2.0,195,224.623697
2.0,200,229.333411
3.0,245,233.760566
2.0,200,236.394749
3.0,245,240.59356
2.0,207,244.691968
2.0,198,248.637428
2.0,200,251.235678
2.0,197,255.074768
4.0,293,259.775866
3.0,244,264.29986
2.0,196,266.714652
2.0,198,270.681956
2.0,197,273.180321
3.0,243,277.600759
2.0,196,282.277965
2.0,195,285.182534
4.0,295,292.548018
3.0,243,296.856206
4.0,299,301.371622
3.0,245,305.839148
2.0,198,308.525473
3.0,246,313.085092
3.0,244,317.440001
0.0,121,319.53671
3.0,226,323.93049
2.0,197,326.689979
2.0,196,331.237867
3.0,247,335.916535
2.0,201,340.397727
2.0,195,343.083002
2.0,195,347.150381
3.0,243,350.147969
