#{"t_start": 1764244998.222781, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,154,3.768477
0.0,163,7.475988
1.0,169,11.30489
3.0,218,16.267611
2.0,226,21.383369
2.0,210,26.262398
1.0,169,30.062848
2.0,230,35.424599
3.0,225,40.268954
2.0,218,45.183517
5.0,325,52.472128
2.0,221,57.221354
3.0,213,62.069607
4.0,264,68.447625
2.0,185,72.302258
3.0,226,77.660829
3.0,223,82.461028
3.0,216,87.484024
3.0,218,92.488693
2.0,181,96.888883
1.0,152,100.181908
5.0,290,106.855443
1.0,155,110.605015
1.0,154,113.965342
2.0,183,118.527852
3.0,212,123.014166
5.0,292,129.993727
3.0,214,135.09568
3.0,214,139.488378
3.0,232,145.033606
1.0,151,148.253462
2.0,206,153.068255
2.0,189,157.488775
3.0,217,162.306717
1.0,165,166.189471
2.0,190,170.580396
0.0,130,173.325917
7.0,259,179.733621
7.0,259,185.857053
7.0,251,191.410779
2.0,196,195.709699
1.0,156,199.429667
0.0,129,202.237239
3.0,211,207.287235
3.0,216,212.546811
5.0,322,219.709589
1.0,150,223.542586
7.0,249,229.266032
3.0,223,234.222552
3.0,245,240.003573
7.0,251,245.58335
3.0,215,250.75189
3.0,215,255.756495
7.0,249,261.295348
3.0,213,266.320561
2.0,180,270.643469
7.0,249,276.29017
7.0,244,281.884631
2.0,182,286.349184
11.0,271,292.589574
11.0,280,299.143163
7.0,252,304.880913
3.0,224,310.247037
7.0,256,315.714613
7.0,253,321.762192
3.0,215,326.671124
11.0,297,333.154255
7.0,248,338.914496
1.0,162,343.034498
3.0,215,348.071596
3.0,213,353.019625
1.0,153,356.545638
1.0,148,360.251853
3.0,224,365.45586
7.0,251,371.202223
7.0,245,377.327741
1.0,154,380.782
3.0,222,386.127456
7.0,251,392.049302
3.0,213,397.026835
3.0,216,401.962433
2.0,184,405.885365
5.0,314,413.152749
1.0,153,416.938318
2.0,186,421.090612
2.0,200,425.948691
2.0,183,429.891238
7.0,249,436.086704
3.0,213,441.172509
4.0,270,447.460035
7.0,244,453.001718
3.0,214,458.139853
2.0,183,462.786971
5.0,291,469.461137
3.0,224,474.510746
11.0,284,481.143586
11.0,269,487.520767
7.0,251,493.937855
7.0,249,499.694013
1.0,151,503.107512
2.0,187,507.65787
3.0,213,512.782693
4.0,264,519.190002
3.0,214,524.240138
11.0,270,530.422404
3.0,220,535.676139
2.0,194,540.258441
3.0,217,545.089428
2.0,181,549.642988
3.0,221,554.85579
3.0,223,559.885632
3.0,215,565.193547
7.0,247,571.343247
7.0,246,576.945822
3.0,216,582.321972
2.0,188,586.674446
7.0,264,593.035387
3.0,228,598.339403
3.0,216,603.516927
1.0,189,607.990091
11.0,282,615.0164
3.0,218,620.028402
2.0,212,625.012678
0.0,131,627.799312
3.0,234,633.363515
3.0,221,638.510744
2.0,189,642.965488
2.0,200,647.624895
5.0,292,654.835586
7.0,292,661.583098
7.0,389,670.635219
4.0,266,676.803428
3.0,223,681.946667
2.0,186,686.321442
3.0,211,691.400163
7.0,264,697.757834
3.0,250,703.269425
3.0,211,708.157264
7.0,254,714.248605
7.0,246,719.777172
7.0,250,725.302796
7.0,246,731.247043
2.0,186,735.288086
5.0,291,742.028058
3.0,220,747.722151
2.0,180,751.915897
7.0,244,757.477136
7.0,254,763.86876
7.0,249,769.547549
3.0,213,774.554585
3.0,214,779.585661
3.0,216,784.674595
3.0,236,790.267819
3.0,215,795.519021
3.0,216,800.463212
3.0,213,805.497939
3.0,218,810.674345
1.0,155,814.220326
7.0,248,820.320023
3.0,217,825.712437
7.0,253,831.912895
3.0,213,836.955454
2.0,184,841.412113
3.0,213,846.55583
7.0,255,852.383013
1.0,156,856.342793
3.0,212,861.511533
7.0,251,867.529808
7.0,254,873.603245
2.0,185,877.600853
2.0,192,882.228677
3.0,219,887.518678
7.0,268,894.236581
1.0,167,898.300218
2.0,184,902.156614
1.0,162,906.048321
7.0,246,911.528288
7.0,252,917.56332
7.0,251,923.124071
2.0,183,927.562304
2.0,191,931.939192
3.0,219,937.061318
2.0,189,941.649184
4.0,251,947.203988
2.0,205,952.190708
3.0,212,957.267589
7.0,247,963.190218
2.0,183,967.584959
1.0,153,970.936814
4.0,246,976.634826
2.0,184,981.320915
7.0,246,986.869434
3.0,224,992.102521
3.0,213,997.197281
3.0,230,1002.731853
7.0,252,1008.469103
7.0,250,1014.817504
1.0,163,1018.927641
3.0,226,1024.324368
3.0,221,1029.347857
3.0,218,1034.437143
3.0,223,1040.026582
3.0,221,1045.145945
3.0,215,1050.576127
2.0,182,1054.75906
2.0,194,1059.508832
3.0,215,1064.804359
7.0,255,1071.369555
6.0,341,1079.300772
7.0,243,1084.90528
6.0,361,1093.710901
3.0,220,1099.271885
3.0,231,1104.601281
2.0,181,1109.358925
3.0,214,1114.291292
3.0,217,1119.379954
4.0,244,1124.98
2.0,181,1129.134139
3.0,219,1134.419887
3.0,213,1139.403488
3.0,220,1144.847588
7.0,260,1150.61427
9.0,334,1158.527218
2.0,189,1163.023112
3.0,230,1168.608741
3.0,221,1173.796839
3.0,235,1179.510235
3.0,234,1184.979846
