#{"t_start": 1764244998.009257, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,137,3.470997
2.0,211,8.273815
2.0,242,13.681731
2.0,184,18.061535
3.0,239,23.644887
0.0,132,26.509421
5.0,350,34.601232
0.0,135,37.366865
2.0,191,41.559979
3.0,225,46.893157
4.0,252,52.238372
7.0,263,58.080947
2.0,187,62.328541
4.0,278,69.16472
2.0,198,73.517623
3.0,232,78.477497
1.0,149,82.050179
3.0,219,87.074771
2.0,184,91.157237
3.0,215,96.161455
8.0,277,102.505562
1.0,151,105.955091
3.0,214,110.918222
7.0,253,117.021096
3.0,213,121.874255
2.0,183,125.905266
2.0,181,130.228864
1.0,166,134.247176
1.0,158,137.453072
1.0,152,141.312101
7.0,265,147.331209
5.0,329,154.372158
3.0,214,159.294224
3.0,213,164.323572
3.0,233,169.713974
2.0,184,174.02479
3.0,221,179.331478
3.0,228,184.441348
1.0,162,188.272933
2.0,199,192.717258
3.0,217,197.606405
3.0,216,202.467199
2.0,189,206.988295
3.0,215,212.222675
2.0,183,216.52563
0.0,125,219.208785
3.0,223,224.362794
5.0,331,232.310565
2.0,199,236.509989
2.0,180,240.784407
11.0,267,246.839153
2.0,192,251.522529
2.0,189,255.953549
3.0,223,260.96165
7.0,262,267.070989
7.0,252,273.232921
1.0,157,276.516567
3.0,222,281.591134
1.0,169,285.570728
2.0,201,290.484054
5.0,329,297.80008
7.0,268,304.432885
7.0,255,309.908046
3.0,230,315.294802
3.0,220,320.315043
7.0,247,325.885178
7.0,268,331.855271
3.0,219,337.360525
2.0,193,341.963532
7.0,248,347.730625
2.0,184,352.101255
4.0,263,358.301012
11.0,273,364.534528
2.0,188,369.19327
2.0,182,373.084713
2.0,188,377.628116
2.0,191,382.137282
3.0,222,387.455157
7.0,250,393.331949
1.0,151,396.720411
2.0,180,401.074147
7.0,257,406.701297
3.0,216,411.717963
1.0,148,415.468005
2.0,186,419.455379
2.0,183,423.947242
3.0,231,429.409952
7.0,257,435.282883
1.0,156,439.15148
11.0,276,445.540647
7.0,246,451.107613
5.0,304,458.371738
3.0,219,463.590055
2.0,197,468.019135
2.0,200,472.991057
1.0,152,476.377948
3.0,240,481.924753
3.0,228,487.65013
11.0,275,494.249661
7.0,248,499.980015
3.0,215,505.099265
3.0,213,510.155395
2.0,183,514.9452
2.0,179,518.922847
2.0,187,523.418119
2.0,190,527.733818
3.0,216,533.010008
1.0,152,536.495214
3.0,214,541.528541
11.0,269,548.222186
1.0,153,551.798039
3.0,229,556.791967
2.0,182,561.184439
4.0,257,567.504092
2.0,190,572.070956
3.0,240,577.768576
11.0,289,584.687519
3.0,214,589.60023
3.0,217,595.060483
3.0,217,600.066072
1.0,157,603.716466
7.0,249,609.760801
2.0,196,614.670197
2.0,180,618.555005
7.0,251,624.664948
6.0,348,632.515226
3.0,219,637.652036
7.0,384,646.550816
2.0,191,651.145483
3.0,272,657.771582
2.0,191,662.316704
3.0,212,666.810823
3.0,235,672.480324
3.0,224,678.134248
3.0,219,683.146541
7.0,274,689.427047
7.0,256,695.7445
3.0,210,700.665481
2.0,194,705.120858
2.0,194,709.384107
3.0,224,714.508057
4.0,264,720.530818
7.0,260,726.548998
2.0,184,730.880905
2.0,186,734.949901
2.0,187,739.486178
2.0,188,743.961367
3.0,210,749.037174
2.0,180,753.235698
2.0,181,757.607098
3.0,222,763.016239
2.0,183,767.475425
2.0,184,771.343624
3.0,222,776.454267
3.0,233,782.073354
3.0,216,787.095887
2.0,183,791.580873
7.0,251,797.511778
7.0,252,803.430277
3.0,222,808.672541
7.0,245,814.421484
2.0,188,818.876177
1.0,152,822.27213
1.0,150,826.460474
7.0,248,832.657543
7.0,261,838.802017
3.0,214,843.933223
2.0,201,848.566214
7.0,254,854.878565
2.0,191,859.421603
7.0,250,865.391713
3.0,225,870.64914
3.0,214,875.656757
2.0,194,880.12594
3.0,218,885.938301
2.0,186,889.893425
3.0,219,895.142003
3.0,218,900.652071
4.0,261,906.320039
11.0,272,912.803874
5.0,321,919.947758
7.0,267,926.056934
4.0,244,931.651884
3.0,218,936.797277
3.0,227,942.425066
1.0,154,945.765046
3.0,232,951.312831
1.0,153,954.59445
3.0,213,959.961507
3.0,221,965.096429
2.0,180,969.567271
2.0,197,974.016047
4.0,244,979.897139
1.0,152,983.612206
3.0,231,988.766786
3.0,222,994.482799
7.0,246,999.984452
2.0,182,1004.17977
3.0,214,1009.27452
7.0,267,1015.650425
3.0,220,1021.50028
1.0,157,1025.086709
7.0,260,1031.190289
3.0,218,1036.356208
3.0,219,1041.569287
7.0,262,1048.025834
2.0,189,1052.67525
1.0,151,1056.109223
8.0,294,1063.734665
1.0,149,1067.21918
7.0,247,1073.208201
2.0,184,1077.841809
7.0,251,1083.520392
7.0,390,1092.780851
3.0,210,1097.795254
7.0,250,1104.153434
2.0,183,1108.52133
2.0,195,1112.941139
3.0,235,1118.55607
7.0,252,1124.598462
3.0,231,1129.923581
7.0,258,1136.153151
3.0,215,1141.268258
3.0,222,1146.282411
2.0,185,1150.750939
7.0,256,1156.925922
3.0,222,1162.064595
2.0,183,1166.10594
3.0,216,1171.118725
3.0,226,1176.697305
2.0,180,1180.934072
7.0,246,1187.328919
2.0,183,1191.657667
2.0,192,1196.329149
3.0,227,1202.095733
2.0,189,1206.636336
6.0,342,1214.862275
2.0,190,1219.724226
11.0,272,1225.94793
11.0,275,1232.746147
4.0,258,1238.872035
2.0,182,1243.529262
3.0,219,1248.698583
5.0,319,1256.106107
2.0,188,1260.95673
7.0,263,1267.206853
7.0,253,1273.615756
7.0,418,1283.76008
2.0,181,1288.38431
3.0,228,1293.909224
3.0,220,1299.350624
2.0,185,1304.129915
7.0,255,1310.88068
11.0,278,1317.186709
3.0,242,1323.170599
3.0,221,1328.216687
3.0,214,1333.531755
2.0,184,1338.179852
3.0,212,1343.490615
2.0,183,1347.631285
2.0,190,1352.165897
2.0,184,1356.81613
11.0,415,1366.813325
2.0,192,1371.329202
3.0,231,1377.190727
11.0,273,1383.731313
3.0,217,1388.799831
7.0,251,1395.416221
3.0,227,1400.793476
1.0,150,1404.639095
3.0,213,1409.407835
3.0,213,1414.728418
7.0,249,1420.956588
3.0,220,1426.183919
2.0,184,1430.845662
2.0,186,1435.058055
1.0,152,1439.102324
5.0,334,1447.242519
3.0,252,1453.009829
2.0,191,1457.704806
2.0,191,1462.296638
9.0,317,1469.988904
3.0,229,1475.763944
2.0,181,1479.981511
4.0,265,1486.496311
7.0,249,1492.822664
6.0,347,1500.971858
2.0,180,1505.715291
2.0,184,1509.856528
3.0,218,1515.212814
3.0,221,1521.101575
7.0,265,1527.472885
4.0,306,1534.308542
1.0,155,1538.179515
2.0,184,1542.509179
6.0,344,1551.176757
7.0,253,1556.967017
7.0,251,1563.099294
7.0,257,1569.399704
7.0,261,1575.303439
7.0,246,1581.625104
4.0,246,1587.526881
11.0,278,1593.825447
3.0,226,1599.409302
3.0,217,1604.730129
3.0,225,1610.05099
3.0,214,1615.375153
3.0,242,1621.053833
2.0,182,1625.632923
1.0,156,1629.057306
3.0,227,1634.83971
3.0,233,1640.820397
3.0,221,1646.017329
6.0,336,1654.447474
2.0,193,1658.986213
7.0,250,1664.794485
2.0,185,1669.244478
2.0,183,1673.998557
0.0,132,1677.018484
2.0,189,1681.665091
2.0,199,1686.332095
7.0,245,1692.373665
3.0,228,1698.115134
4.0,262,1704.608585
0.0,133,1707.559725
3.0,223,1713.397626
1.0,152,1716.911007
3.0,234,1722.670024
7.0,258,1729.161973
3.0,236,1734.416611
7.0,254,1740.89261
11.0,283,1747.650413
2.0,184,1751.825201
3.0,219,1757.681117
4.0,267,1764.252815
3.0,246,1770.117145
1.0,150,1773.910562
7.0,245,1779.786257
4.0,266,1786.124142
3.0,214,1791.312168
3.0,212,1796.650697
4.0,251,1803.071008
11.0,270,1809.553308
7.0,256,1816.027194
7.0,247,1822.086196
7.0,266,1828.469502
2.0,187,1833.132592
7.0,373,1842.43775
2.0,204,1847.577971
1.0,158,1851.231755
7.0,253,1857.520425
2.0,181,1861.646795
7.0,255,1868.070364
2.0,190,1872.755506
7.0,248,1878.762176
8.0,276,1885.852231
7.0,251,1891.744189
4.0,269,1898.323226
3.0,210,1903.46023
2.0,184,1908.062962
4.0,265,1914.688909
2.0,194,1919.452148
3.0,223,1924.819095
11.0,269,1931.887513
0.0,130,1934.654028
7.0,243,1940.652296
2.0,195,1945.443174
3.0,231,1951.28544
2.0,185,1955.967929
2.0,193,1960.465441
3.0,221,1965.60588
3.0,221,1970.786178
2.0,182,1975.414681
3.0,232,1980.671826
7.0,245,1986.383521
7.0,245,1992.59988
7.0,246,1998.636566
3.0,216,2003.984328
2.0,187,2008.64729
2.0,181,2012.879375
2.0,179,2017.323049
3.0,239,2022.975562
4.0,260,2029.204034
2.0,182,2033.724509
3.0,211,2039.028682
7.0,261,2045.476118
3.0,231,2051.242252
3.0,225,2057.295685
3.0,239,2063.559336
2.0,210,2068.573661
2.0,187,2073.233357
3.0,218,2078.556021
11.0,268,2085.091957
4.0,267,2091.907542
1.0,179,2096.119962
9.0,342,2104.558987
1.0,150,2108.453308
3.0,215,2113.674673
8.0,301,2120.978109
4.0,266,2127.395169
5.0,323,2135.27598
8.0,295,2142.036867
8.0,394,2151.572517
1.0,166,2155.703773
3.0,227,2161.434397
7.0,263,2168.096312
10.0,371,2176.879597
7.0,251,2183.365716
2.0,185,2187.410554
4.0,265,2193.764408
2.0,184,2198.426632
4.0,271,2204.903875
3.0,228,2211.221617
3.0,232,2216.602344
11.0,272,2223.851222
7.0,249,2229.882828
4.0,269,2236.355038
4.0,246,2242.665039
8.0,300,2249.803504
3.0,236,2255.68099
5.0,291,2262.703666
9.0,326,2270.765031
9.0,324,2278.10649
3.0,223,2283.523333
7.0,249,2290.039069
7.0,245,2296.069864
4.0,268,2302.443664
5.0,309,2310.023736
3.0,218,2315.266088
8.0,279,2322.057863
2.0,181,2326.050272
4.0,272,2332.791281
11.0,284,2339.573275
4.0,273,2346.559806
7.0,258,2353.035725
4.0,263,2359.468503
4.0,248,2365.616245
5.0,322,2373.33289
6.0,340,2381.453668
4.0,276,2388.559987
8.0,292,2395.7828
3.0,226,2401.660224
5.0,294,2408.68428
3.0,212,2413.738917
5.0,301,2421.003523
7.0,245,2426.887616
3.0,211,2432.02085
3.0,214,2437.247085
4.0,270,2443.782308
4.0,261,2450.127187
7.0,247,2456.325839
11.0,276,2462.950248
3.0,219,2468.164062
3.0,223,2473.188345
9.0,347,2481.784843
2.0,181,2485.806813
3.0,222,2491.681979
5.0,273,2498.410797
3.0,218,2503.609623
5.0,312,2511.065601
10.0,441,2522.105656
3.0,214,2526.919022
9.0,476,2538.65018
5.0,290,2545.796618
3.0,232,2551.73818
7.0,260,2558.117556
8.0,305,2565.541909
9.0,334,2573.182105
5.0,305,2580.572968
6.0,334,2588.803638
9.0,332,2597.019904
4.0,267,2603.26859
7.0,250,2609.247452
4.0,259,3255.93176
4.0,282,3265.04558
8.0,314,3274.854442
9.0,351,3285.602775
4.0,271,3294.283173
7.0,249,3301.486116
5.0,298,3311.740222
10.0,416,3324.366437
4.0,264,3332.936363
11.0,541,3350.546316
7.0,262,3358.617853
