#{"t_start": 1764244997.9496539, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,125,3.460355
1.0,168,7.17024
5.0,338,14.985742
1.0,187,19.238418
2.0,221,24.224539
0.0,151,27.607638
4.0,310,34.694683
8.0,435,44.439197
2.0,189,48.607667
3.0,210,53.279757
4.0,256,58.695045
7.0,270,65.119861
2.0,195,69.762666
6.0,329,76.910383
4.0,260,82.770388
4.0,260,88.888918
7.0,245,94.653729
1.0,152,98.22368
1.0,148,101.509865
2.0,182,105.310566
3.0,210,110.421473
6.0,354,118.85455
3.0,212,123.736979
3.0,214,128.672478
3.0,216,133.609942
3.0,213,138.45199
2.0,183,142.624278
2.0,185,146.891431
1.0,168,150.546687
1.0,153,153.89653
4.0,254,159.839836
4.0,256,165.883418
4.0,273,171.939458
1.0,153,175.413985
7.0,258,181.677273
9.0,350,189.874599
7.0,251,195.407617
7.0,252,201.325986
1.0,153,204.830921
3.0,242,210.557526
3.0,211,215.551831
2.0,184,219.338186
3.0,217,224.862054
2.0,189,229.044028
4.0,260,235.010055
3.0,216,239.82753
3.0,217,244.880095
3.0,212,249.862811
3.0,214,254.983154
2.0,185,259.214566
3.0,224,264.235935
0.0,122,267.148793
1.0,150,270.449385
3.0,214,275.498347
3.0,231,281.062224
2.0,194,285.58414
2.0,188,289.95835
2.0,190,294.518799
1.0,166,298.29905
1.0,153,301.721876
2.0,191,306.246659
2.0,182,310.517627
3.0,218,315.326829
3.0,218,320.336616
3.0,233,325.412809
2.0,180,329.75103
3.0,214,334.637584
7.0,249,340.456756
5.0,296,347.735397
2.0,180,351.662954
1.0,151,355.094268
3.0,217,360.090696
7.0,253,366.427767
3.0,212,371.402825
2.0,186,375.973326
2.0,185,379.894094
0.0,129,383.189404
2.0,179,387.47202
3.0,220,392.399235
2.0,180,396.726089
1.0,156,400.127836
7.0,250,406.074923
2.0,187,410.190256
1.0,157,413.920009
3.0,212,418.942326
2.0,187,423.407115
2.0,183,427.41576
3.0,239,433.124395
7.0,250,439.193135
7.0,255,445.047211
3.0,225,450.490864
2.0,192,455.057969
3.0,211,459.911171
4.0,260,465.934764
7.0,249,471.937768
2.0,187,475.923605
2.0,191,480.220527
4.0,261,486.638733
0.0,122,489.560785
7.0,264,496.014753
3.0,214,501.153632
1.0,152,505.059553
1.0,150,508.437009
1.0,152,511.969538
2.0,183,516.559621
2.0,192,521.108206
2.0,179,525.180761
2.0,180,529.607564
2.0,187,534.182937
2.0,189,538.180947
3.0,217,543.194852
3.0,216,548.407311
7.0,255,554.613668
2.0,186,559.00567
7.0,244,564.787752
2.0,184,569.313919
3.0,211,574.062651
8.0,454,584.845778
7.0,252,591.145852
5.0,297,598.068471
2.0,182,602.599282
3.0,222,607.646249
7.0,254,614.165616
5.0,296,620.841661
3.0,229,626.325109
3.0,227,631.415801
2.0,181,635.861004
7.0,248,641.460266
7.0,257,647.776862
3.0,226,652.821954
7.0,268,659.165081
4.0,272,665.721887
3.0,217,670.853126
3.0,216,675.951928
3.0,213,680.465358
7.0,260,686.622094
3.0,211,691.711432
4.0,248,697.550189
2.0,181,701.796337
3.0,216,706.822036
2.0,188,711.231834
2.0,183,715.142749
2.0,182,719.488658
6.0,342,727.20624
3.0,210,732.079958
2.0,179,736.130473
2.0,180,740.63373
2.0,182,745.233081
3.0,214,749.787637
7.0,250,756.076088
7.0,250,761.845546
2.0,180,766.379977
11.0,274,772.449485
3.0,226,778.005718
3.0,223,783.173223
3.0,212,788.171872
2.0,191,792.737401
11.0,276,799.204008
2.0,180,803.472136
7.0,248,809.247872
3.0,227,814.52622
11.0,283,821.224512
3.0,220,826.63563
3.0,214,832.212273
1.0,161,836.183417
1.0,164,840.012257
7.0,249,845.778304
2.0,197,850.275533
1.0,150,854.2199
1.0,151,857.742596
2.0,183,862.325644
3.0,213,867.722486
7.0,255,873.349596
2.0,186,877.802346
1.0,166,881.886277
2.0,183,886.106428
11.0,279,892.839126
3.0,217,898.0094
1.0,163,901.815511
1.0,166,905.771151
6.0,352,913.473989
3.0,218,918.88304
7.0,244,924.424095
3.0,221,929.466544
4.0,267,935.701117
8.0,304,943.001598
1.0,161,946.429098
3.0,239,951.962032
3.0,218,957.106954
11.0,279,964.035664
3.0,230,969.581869
2.0,192,974.006502
3.0,216,979.349877
2.0,189,983.651259
2.0,187,987.73519
3.0,211,992.940878
3.0,214,997.965379
1.0,158,1001.857349
7.0,247,1007.553072
2.0,197,1012.176587
7.0,256,1018.494653
8.0,302,1025.699366
3.0,213,1030.750518
3.0,220,1035.900694
11.0,275,1042.649155
3.0,228,1048.134735
2.0,195,1053.272888
7.0,252,1059.104762
7.0,243,1065.042603
3.0,212,1070.250654
1.0,159,1074.312257
3.0,225,1079.540058
7.0,249,1085.190275
3.0,215,1090.414871
2.0,207,1095.615106
3.0,226,1100.862872
4.0,246,1107.359253
7.0,249,1112.954439
3.0,215,1118.053515
3.0,223,1123.113795
7.0,254,1129.325356
3.0,220,1134.62295
3.0,215,1139.618184
2.0,187,1144.023984
2.0,181,1147.999353
2.0,182,1152.474696
2.0,188,1157.008909
4.0,258,1162.777046
4.0,274,1169.438723
2.0,192,1174.053144
3.0,211,1179.203479
4.0,300,1186.263276
7.0,250,1192.810964
3.0,210,1197.629225
3.0,216,1202.796825
2.0,184,1207.378776
3.0,211,1212.476974
11.0,275,1219.115654
3.0,217,1224.296005
