#{"t_start": 1764244998.0705786, "env_id": "ALE/Breakout-v5"}
r,l,t
6.0,364,8.738115
6.0,357,16.902557
5.0,345,24.667177
2.0,213,29.524379
1.0,170,33.501189
7.0,282,39.849796
2.0,206,44.336915
7.0,399,53.178102
9.0,346,60.710212
2.0,187,65.052881
4.0,262,71.264922
2.0,185,75.616272
3.0,222,80.486376
7.0,275,86.513708
1.0,152,90.407437
3.0,221,95.523938
3.0,211,100.282769
2.0,180,104.090289
1.0,156,107.9837
3.0,214,113.052036
7.0,247,118.720929
3.0,212,123.603346
2.0,185,127.449166
11.0,277,134.231227
3.0,232,139.49876
3.0,211,144.108014
2.0,205,148.874736
1.0,155,152.210029
2.0,189,156.524458
1.0,168,160.298096
2.0,194,164.830317
1.0,151,168.473804
1.0,155,171.854351
2.0,184,176.572066
7.0,251,182.262951
2.0,192,186.604337
3.0,218,191.593287
3.0,228,196.893682
0.0,126,199.616483
1.0,151,203.156314
4.0,258,209.263279
2.0,185,213.763002
0.0,120,216.480529
1.0,156,219.836547
9.0,327,227.71249
3.0,223,232.795023
7.0,254,238.599027
1.0,153,241.833592
3.0,210,246.777832
1.0,156,250.360367
2.0,182,254.873224
2.0,181,259.070646
2.0,181,263.064018
1.0,163,266.988428
3.0,215,272.110995
3.0,223,277.017457
7.0,260,283.249177
2.0,192,287.630223
1.0,172,291.668537
7.0,262,297.687341
2.0,185,302.107826
3.0,219,307.163598
2.0,191,311.646603
3.0,234,316.846027
7.0,247,322.506344
3.0,216,327.382416
7.0,248,332.804911
3.0,222,338.38174
3.0,216,343.684554
11.0,270,349.80029
3.0,212,354.871047
7.0,246,360.444476
1.0,150,363.948754
2.0,181,368.526692
3.0,213,373.452136
3.0,212,378.125932
1.0,149,381.986349
5.0,294,388.924963
7.0,259,394.979127
3.0,216,399.91322
3.0,211,404.424374
2.0,186,408.958196
2.0,185,413.229104
3.0,213,418.196802
7.0,251,423.924458
7.0,244,429.462374
2.0,180,434.095146
3.0,216,439.111437
3.0,217,444.297416
2.0,194,448.772663
3.0,230,454.393585
7.0,252,460.382511
2.0,193,464.556279
2.0,184,468.961104
2.0,187,473.501685
7.0,249,479.029479
11.0,274,485.282632
11.0,271,492.377492
7.0,248,498.121528
3.0,216,503.217988
2.0,192,507.791575
7.0,248,513.517729
7.0,252,519.854793
3.0,213,524.982088
2.0,184,529.023127
2.0,184,533.532421
2.0,181,537.950038
7.0,249,543.554708
2.0,195,548.232024
0.0,128,551.25897
11.0,273,557.785706
7.0,244,563.462769
3.0,217,568.662437
3.0,212,573.861096
4.0,258,580.183083
7.0,259,585.83935
2.0,186,590.344197
1.0,152,593.953739
9.0,336,601.952543
3.0,230,607.508571
2.0,185,612.19111
7.0,253,617.92412
1.0,167,621.881054
3.0,216,626.815249
3.0,214,631.838452
3.0,221,636.982804
2.0,194,641.419218
2.0,185,645.87349
7.0,251,652.123471
2.0,217,657.1853
7.0,261,663.306548
2.0,181,667.260232
7.0,247,673.034029
3.0,217,678.192961
3.0,212,683.161018
2.0,195,687.615236
3.0,215,692.851324
7.0,245,699.026849
2.0,190,702.83631
7.0,253,708.818219
2.0,194,713.394417
3.0,225,718.328854
1.0,151,722.133048
2.0,201,726.523798
2.0,191,730.889588
1.0,154,734.391832
1.0,155,738.109912
1.0,149,741.600916
3.0,215,746.75803
2.0,180,751.470767
2.0,184,755.418621
7.0,255,761.671099
2.0,193,766.288707
3.0,214,771.236498
3.0,230,776.381887
7.0,247,782.482246
3.0,223,787.555682
2.0,181,792.065772
7.0,252,797.973077
2.0,183,802.257404
3.0,219,807.492815
2.0,189,811.879916
8.0,303,818.85807
3.0,218,824.168814
3.0,216,829.507425
3.0,215,834.888415
2.0,188,839.37535
1.0,161,843.344898
7.0,249,849.059612
4.0,252,855.361478
7.0,245,861.181632
3.0,219,866.502476
3.0,216,871.599828
2.0,182,876.044709
2.0,184,880.043351
7.0,257,886.519385
2.0,226,891.496255
2.0,198,896.675099
5.0,294,903.318904
4.0,262,909.423709
3.0,222,914.400753
3.0,220,919.38183
7.0,256,925.424532
2.0,182,929.830103
7.0,247,935.546556
