#{"t_start": 1764244997.9973984, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,171,4.478725
2.0,210,8.91986
3.0,254,14.972917
1.0,157,18.165272
6.0,356,26.542139
2.0,190,30.852815
0.0,130,34.075612
2.0,187,37.926638
3.0,249,43.791882
1.0,178,47.480972
2.0,184,51.686618
4.0,267,57.47752
2.0,198,61.848986
1.0,185,66.432891
9.0,332,74.07074
2.0,196,78.42832
3.0,217,83.367754
3.0,215,88.24236
4.0,267,94.573125
1.0,151,97.723367
1.0,153,101.44273
2.0,185,105.275089
7.0,247,111.55321
1.0,155,114.740175
2.0,186,119.325871
7.0,245,124.863758
2.0,184,129.170539
2.0,185,133.535621
3.0,217,138.417485
5.0,302,145.272318
3.0,227,150.460974
0.0,130,153.304488
2.0,192,157.742749
3.0,218,162.566133
3.0,231,167.972286
3.0,214,172.95441
1.0,148,176.658243
7.0,260,182.792323
7.0,258,188.340528
5.0,292,195.294594
3.0,219,200.173972
3.0,211,205.314703
2.0,185,209.352483
1.0,164,213.341863
3.0,210,218.127345
0.0,136,221.182648
3.0,214,226.180326
2.0,181,230.534554
1.0,156,233.924326
3.0,215,238.746613
3.0,211,243.610194
3.0,221,248.56744
3.0,213,253.752406
1.0,150,257.543546
3.0,224,262.543547
1.0,152,265.940554
3.0,215,270.931294
3.0,223,276.0204
7.0,254,282.080143
3.0,235,287.661442
1.0,155,291.148702
7.0,254,297.131303
3.0,250,302.760541
7.0,254,308.798755
1.0,154,312.283672
3.0,219,317.030545
3.0,227,322.561536
2.0,192,326.9148
3.0,218,331.802785
3.0,217,336.877138
3.0,226,342.08552
5.0,299,349.336998
7.0,246,355.010725
3.0,212,359.9798
6.0,343,368.082147
2.0,180,372.445508
11.0,280,378.784764
2.0,182,383.191262
1.0,158,387.355245
3.0,220,392.273344
6.0,342,400.038057
3.0,222,405.030349
2.0,181,409.532102
2.0,179,413.355476
3.0,217,418.339761
3.0,215,423.448805
5.0,323,431.216664
2.0,189,435.75363
2.0,185,439.81674
2.0,202,444.916528
3.0,226,449.92343
2.0,181,454.482167
7.0,246,460.427384
3.0,213,465.218361
3.0,217,470.22109
7.0,253,475.854951
7.0,246,481.863593
3.0,215,487.055911
2.0,191,491.856884
3.0,224,497.116613
7.0,255,502.742638
3.0,225,508.389298
3.0,215,513.524545
2.0,181,517.83392
1.0,159,521.62696
3.0,212,526.650908
2.0,181,530.679115
7.0,253,536.994957
2.0,184,541.444238
2.0,182,545.271923
5.0,294,552.409427
12.0,319,560.018056
3.0,217,565.31851
7.0,246,570.905034
7.0,380,580.296184
3.0,229,585.371009
11.0,275,592.130901
3.0,232,597.509653
3.0,210,602.607421
3.0,218,607.638233
3.0,226,613.504045
1.0,153,616.853038
2.0,185,621.312787
11.0,268,627.427863
3.0,227,632.558376
3.0,217,637.682855
5.0,322,645.36555
7.0,265,651.668334
3.0,217,656.769558
7.0,251,662.435712
3.0,215,667.379424
3.0,212,672.492596
3.0,221,677.695081
1.0,149,681.560002
3.0,218,686.48763
7.0,254,692.337282
1.0,155,696.297629
11.0,274,702.321545
3.0,218,707.347764
3.0,218,712.431198
2.0,181,716.722265
0.0,129,719.493702
6.0,341,727.208524
11.0,269,733.837233
1.0,152,737.068205
4.0,258,743.244168
7.0,253,749.135116
7.0,248,755.386229
7.0,250,761.040619
7.0,390,770.319324
11.0,269,776.875111
3.0,212,781.569113
2.0,180,785.956028
2.0,182,790.01993
7.0,246,796.369381
7.0,253,801.871412
3.0,215,807.068674
11.0,281,813.830788
3.0,223,818.910224
3.0,212,824.180971
3.0,210,829.481553
1.0,155,833.233481
3.0,218,838.282807
2.0,180,842.831098
3.0,218,847.916572
1.0,163,851.764412
3.0,224,857.12956
2.0,179,861.316538
11.0,276,868.288516
3.0,216,873.275685
2.0,185,877.709924
1.0,169,881.821275
11.0,280,888.327621
2.0,202,893.32852
7.0,254,899.154656
3.0,215,904.026037
1.0,151,907.847007
2.0,185,911.774725
7.0,254,917.819637
3.0,232,923.271041
1.0,153,926.580564
7.0,246,932.225421
7.0,252,938.427278
5.0,321,945.72988
2.0,191,950.146682
3.0,238,955.759782
2.0,184,960.448121
8.0,287,967.235722
4.0,257,972.901614
2.0,185,977.43615
3.0,220,982.649617
2.0,191,987.110707
2.0,186,991.663889
2.0,181,995.692341
2.0,182,1000.025806
2.0,200,1004.725566
4.0,269,1011.509691
2.0,186,1015.637712
3.0,219,1021.075176
7.0,246,1027.213921
7.0,264,1033.454098
7.0,250,1039.206925
2.0,188,1043.783087
1.0,156,1047.387558
7.0,258,1053.877681
7.0,249,1060.335241
3.0,215,1065.473053
1.0,155,1068.986344
3.0,220,1074.341644
5.0,313,1081.925104
2.0,186,1086.394048
7.0,244,1092.172589
2.0,183,1096.618992
3.0,216,1101.914035
7.0,251,1107.986937
7.0,254,1113.988538
7.0,253,1119.694425
2.0,193,1124.159597
