#{"t_start": 1764244998.0801036, "env_id": "ALE/Breakout-v5"}
r,l,t
3.0,260,6.056561
2.0,224,11.428547
3.0,233,16.478947
3.0,227,22.019179
2.0,190,26.365543
1.0,180,30.240068
3.0,228,35.590793
3.0,261,41.396029
6.0,333,48.562187
3.0,229,53.755699
6.0,358,61.719981
2.0,180,65.826882
2.0,199,70.64056
2.0,180,74.599257
11.0,271,80.939404
4.0,263,86.524668
2.0,184,91.040993
3.0,217,96.057982
1.0,148,99.234077
7.0,379,108.036851
1.0,150,111.556587
2.0,187,115.729279
3.0,214,120.825924
7.0,247,126.420008
2.0,179,130.693105
7.0,247,136.348218
3.0,216,141.326703
7.0,258,147.298748
1.0,164,150.981665
3.0,231,155.980031
2.0,199,160.798316
1.0,157,164.266719
4.0,281,170.750183
4.0,251,176.641073
3.0,223,182.168947
2.0,199,186.551468
3.0,214,191.500735
2.0,188,195.761542
3.0,212,200.598902
2.0,180,204.719775
4.0,300,212.070782
3.0,229,217.037206
1.0,166,221.038377
7.0,252,226.67264
3.0,227,232.216411
7.0,255,238.03588
2.0,185,241.836912
3.0,218,246.817266
3.0,218,252.105338
3.0,214,257.034813
7.0,247,262.992614
3.0,219,268.065208
3.0,214,273.18488
7.0,248,278.711285
3.0,214,283.779258
1.0,167,287.597849
7.0,256,293.775186
3.0,244,299.271184
7.0,247,304.979902
2.0,197,309.291941
4.0,274,315.778439
5.0,326,323.116884
7.0,252,329.054862
1.0,149,332.243332
2.0,186,336.747961
3.0,219,341.928852
3.0,211,347.061922
3.0,212,351.582686
7.0,246,357.702455
7.0,250,363.395101
3.0,220,368.612486
2.0,181,372.936329
2.0,189,377.48865
7.0,248,383.122144
1.0,157,387.272537
2.0,184,391.138648
3.0,218,396.126057
3.0,211,401.067355
3.0,218,406.009722
2.0,190,410.559988
3.0,212,415.454224
2.0,182,419.840558
1.0,154,423.321755
2.0,189,427.773217
3.0,213,432.92632
2.0,185,436.851382
3.0,230,442.46544
3.0,218,447.624958
7.0,249,453.192381
2.0,186,457.750341
3.0,250,463.962841
4.0,261,469.695399
11.0,280,476.308095
3.0,222,481.355572
7.0,252,487.615412
4.0,258,494.100075
7.0,291,500.947118
7.0,244,506.729858
3.0,214,511.790209
3.0,215,517.174596
3.0,225,522.088702
2.0,190,526.614161
3.0,217,531.710223
2.0,190,536.377532
1.0,153,539.695872
3.0,223,545.112645
3.0,217,550.407053
3.0,229,555.538252
3.0,216,560.588452
3.0,232,566.322427
2.0,179,570.344976
3.0,213,575.518362
3.0,229,581.402314
7.0,251,586.88438
3.0,217,592.117406
7.0,251,598.425814
3.0,220,603.608423
2.0,188,608.080465
3.0,218,613.449102
7.0,256,619.545058
1.0,165,622.940293
2.0,182,627.359604
2.0,189,631.794421
1.0,154,635.246526
1.0,167,639.257167
7.0,262,645.33887
3.0,227,650.984236
1.0,157,654.512925
3.0,221,659.656579
2.0,182,663.877228
3.0,219,668.977385
2.0,191,673.53012
2.0,196,678.157912
11.0,277,684.785055
3.0,223,689.904975
3.0,213,695.075943
2.0,191,699.593208
2.0,185,703.879915
7.0,381,712.369304
7.0,254,718.25991
0.0,126,721.045645
3.0,219,725.989527
3.0,217,730.933136
2.0,181,735.383947
5.0,289,742.104573
3.0,218,747.290162
3.0,216,752.579223
3.0,217,757.597446
7.0,257,764.011439
3.0,210,769.084153
11.0,274,775.245569
3.0,217,780.328299
7.0,253,786.426709
2.0,200,790.94879
2.0,183,795.623237
3.0,220,800.584546
1.0,177,804.501983
4.0,258,810.832701
3.0,213,815.895597
2.0,183,820.017833
6.0,348,828.820364
2.0,182,833.183837
1.0,150,837.053207
6.0,341,844.960233
3.0,225,850.110255
4.0,259,856.531687
2.0,184,861.139857
7.0,248,867.048739
2.0,189,871.566771
7.0,258,877.642003
2.0,193,882.289591
4.0,245,888.192496
1.0,149,891.450916
