#{"t_start": 1764222035.4157093, "env_id": "ALE/Breakout-v5"}
r,l,t
3.0,278,8.177124
0.0,125,11.231589
3.0,243,17.351863
2.0,218,22.806566
3.0,255,29.323914
2.0,209,34.493544
3.0,253,40.549498
1.0,151,45.054408
3.0,246,51.135346
4.0,297,58.955193
3.0,255,65.696476
3.0,260,72.331807
1.0,183,76.6755
2.0,227,83.080716
3.0,243,89.043539
2.0,203,93.895978
3.0,248,100.40158
3.0,285,107.588626
2.0,198,112.486855
3.0,254,118.610536
2.0,199,124.061013
2.0,197,129.036269
5.0,343,137.30648
2.0,224,143.061081
4.0,296,150.374038
3.0,249,156.413916
2.0,203,162.279855
3.0,245,168.420489
1.0,158,172.654281
2.0,207,177.760556
1.0,153,182.078855
2.0,204,187.834669
0.0,128,190.94062
4.0,293,198.978685
2.0,233,204.744879
2.0,202,209.962214
3.0,237,216.032679
2.0,196,221.07308
2.0,203,225.943047
3.0,246,232.164388
2.0,198,237.876159
3.0,250,245.002528
3.0,229,250.989349
3.0,273,258.146413
3.0,254,264.926428
2.0,196,269.784961
3.0,247,275.999186
2.0,197,281.110665
2.0,195,286.134324
2.0,200,291.538981
3.0,247,297.800918
2.0,202,303.064167
2.0,224,309.11177
4.0,300,316.299426
0.0,125,319.202068
2.0,197,324.554667
4.0,298,332.208816
4.0,292,339.348779
0.0,132,342.708608
2.0,205,347.572432
1.0,174,352.260946
0.0,139,355.430726
3.0,249,361.889992
2.0,211,367.150923
0.0,122,370.043752
3.0,250,376.216759
3.0,250,382.433185
2.0,202,387.816077
2.0,200,392.794272
2.0,211,398.479068
3.0,249,404.765029
0.0,124,408.286763
2.0,198,413.074684
2.0,231,418.809589
4.0,322,427.427407
2.0,206,432.409373
2.0,198,437.74325
4.0,300,444.894952
2.0,206,450.407619
3.0,254,456.693547
2.0,196,461.455519
2.0,204,466.870418
3.0,257,473.427028
3.0,247,479.28883
2.0,201,484.277287
2.0,214,489.720149
3.0,250,496.507134
0.0,124,499.653952
2.0,214,505.149887
3.0,246,511.567257
2.0,208,517.362927
3.0,247,523.888773
2.0,200,528.649131
4.0,273,536.025775
2.0,195,540.926771
2.0,196,546.214034
2.0,198,551.114119
4.0,298,558.952583
2.0,218,565.187656
2.0,204,570.401249
3.0,249,577.11239
3.0,249,583.290872
2.0,227,589.058064
2.0,199,594.611403
2.0,198,599.452819
3.0,262,605.84347
0.0,130,609.100614
1.0,158,613.356933
2.0,200,618.10727
4.0,314,626.021338
5.0,344,634.717591
3.0,250,640.905323
2.0,198,645.689757
2.0,199,650.966431
4.0,295,658.235163
1.0,156,661.821255
0.0,131,665.664889
2.0,199,670.837013
3.0,250,677.14449
2.0,197,682.185259
3.0,246,688.340302
2.0,198,693.292197
2.0,200,698.730114
3.0,224,704.111162
0.0,138,707.683727
2.0,219,713.182662
