#{"t_start": 1764222035.4132116, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,202,6.170664
3.0,243,12.381213
2.0,204,17.8083
4.0,277,24.620639
2.0,202,29.377829
3.0,252,35.738447
3.0,256,42.511407
3.0,267,49.3843
0.0,126,52.348233
0.0,154,56.352219
2.0,207,62.116379
3.0,262,68.620764
2.0,197,73.715864
4.0,301,81.745821
3.0,246,87.853794
0.0,144,91.423874
3.0,249,97.390412
0.0,130,100.984699
1.0,173,105.328199
2.0,213,110.411027
2.0,226,116.239695
2.0,199,121.614524
0.0,148,125.239426
2.0,205,130.318742
2.0,199,135.524637
4.0,296,142.539227
2.0,203,147.398653
2.0,202,152.891804
2.0,195,157.884388
2.0,199,163.126069
3.0,243,169.149995
2.0,197,174.607354
0.0,131,177.73674
2.0,209,184.181532
2.0,202,188.981349
4.0,293,196.418797
3.0,247,203.285751
3.0,226,208.84897
3.0,249,214.922606
2.0,198,220.487427
2.0,197,225.230954
2.0,209,230.749063
3.0,248,237.19539
2.0,200,243.060506
2.0,203,248.491103
4.0,297,256.194027
2.0,199,261.285997
2.0,195,266.221224
3.0,235,272.156587
4.0,310,280.537693
3.0,247,286.83257
0.0,135,290.198123
3.0,251,297.014321
0.0,126,300.321072
3.0,261,307.208866
2.0,208,312.060332
0.0,121,315.111159
3.0,245,321.650269
4.0,294,328.932501
3.0,225,334.627505
0.0,127,338.141899
4.0,274,344.601132
5.0,335,352.945565
2.0,197,357.760315
2.0,209,363.074308
2.0,202,367.796284
4.0,293,374.974799
2.0,197,380.567096
2.0,197,385.446001
3.0,249,391.611418
2.0,199,397.165184
0.0,131,400.573111
4.0,297,407.828715
2.0,201,413.063922
3.0,260,419.88407
2.0,197,424.752607
3.0,249,431.257327
2.0,209,436.646552
2.0,203,441.422371
2.0,201,446.964856
2.0,204,451.828342
0.0,125,454.991807
1.0,176,459.593574
2.0,207,464.527655
3.0,279,471.652336
5.0,328,479.904014
5.0,347,488.590305
2.0,211,494.099529
2.0,199,499.053023
3.0,244,505.236151
3.0,249,512.124109
0.0,125,515.637913
3.0,244,522.185368
3.0,254,528.55985
3.0,254,534.805707
0.0,132,538.493878
2.0,197,543.451078
3.0,245,549.941988
0.0,128,553.376625
3.0,249,559.577622
2.0,201,565.25871
6.0,382,575.348584
2.0,202,580.760584
2.0,202,585.92573
2.0,203,591.133325
4.0,281,598.237868
2.0,202,603.522819
3.0,273,610.266391
3.0,251,616.397787
2.0,196,621.818821
0.0,124,624.786735
2.0,203,629.419214
1.0,176,634.157629
3.0,226,639.685663
1.0,166,643.971925
2.0,199,648.75333
1.0,177,653.343364
2.0,206,658.277926
3.0,270,665.009422
