#{"t_start": 1764222035.4028416, "env_id": "ALE/Breakout-v5"}
r,l,t
3.0,253,7.406252
2.0,214,12.980125
2.0,196,17.904854
3.0,226,23.984721
2.0,202,28.770074
4.0,299,35.810518
3.0,255,42.598536
2.0,196,47.347185
2.0,208,53.076202
2.0,199,58.22082
2.0,211,63.810334
6.0,386,73.69906
2.0,201,78.891759
2.0,199,84.282799
4.0,308,91.920647
3.0,248,97.892009
2.0,196,102.802276
0.0,129,106.018654
2.0,197,111.139866
3.0,248,117.466513
2.0,199,122.284738
3.0,246,128.332969
4.0,298,136.18801
0.0,121,139.022902
3.0,246,144.855988
3.0,244,151.173841
3.0,223,157.079781
2.0,196,162.309932
2.0,201,167.345614
3.0,251,173.885993
0.0,132,177.179753
2.0,201,183.606812
0.0,135,186.522634
0.0,126,189.62548
4.0,293,197.660899
2.0,204,202.747958
3.0,274,209.942382
0.0,142,213.112307
3.0,274,220.52941
3.0,253,226.548131
2.0,201,232.092774
2.0,197,237.230665
2.0,205,243.61745
4.0,298,251.048008
3.0,258,258.103966
1.0,161,261.978239
2.0,200,267.295985
2.0,217,272.671968
2.0,204,277.703793
3.0,248,284.750591
0.0,125,287.863691
2.0,199,292.827958
2.0,209,298.361176
4.0,302,306.022727
5.0,326,314.387015
4.0,287,321.706404
0.0,129,324.652493
3.0,245,331.560799
3.0,245,337.575045
3.0,252,343.471679
0.0,125,346.402645
0.0,124,349.834686
0.0,120,352.911212
0.0,136,356.065244
0.0,138,359.611562
3.0,251,365.359907
2.0,196,370.690694
2.0,196,375.650651
2.0,205,380.671137
4.0,299,388.378629
3.0,261,395.394205
4.0,273,402.412974
3.0,270,408.967059
2.0,205,414.220973
3.0,231,420.02104
3.0,247,426.720152
4.0,310,434.979599
0.0,128,437.809979
3.0,247,443.780954
5.0,335,452.575249
2.0,197,457.333582
2.0,224,463.2134
0.0,144,466.856896
2.0,201,471.694919
0.0,139,475.382544
3.0,253,481.865114
3.0,249,488.021454
2.0,201,493.041443
2.0,222,498.941452
2.0,197,503.860661
2.0,199,508.976264
3.0,255,516.203088
3.0,247,522.75372
2.0,202,527.501649
2.0,198,532.909507
2.0,201,537.966066
2.0,201,542.715406
3.0,226,549.11329
2.0,195,553.9895
4.0,301,561.972062
2.0,211,567.973978
2.0,209,573.527349
3.0,247,579.654346
2.0,203,585.332189
2.0,204,590.543997
2.0,215,595.908182
2.0,225,601.756216
2.0,204,606.507602
2.0,195,611.45749
2.0,199,616.408196
0.0,132,619.954323
3.0,271,626.586749
2.0,203,631.722287
2.0,222,637.303687
2.0,197,642.165529
2.0,202,647.573507
0.0,132,650.494109
2.0,201,655.318847
2.0,210,660.615955
2.0,196,665.77458
3.0,253,672.506644
2.0,199,677.239491
4.0,297,685.16783
5.0,323,693.256021
3.0,258,700.100551
2.0,201,704.9153
2.0,199,709.488518
2.0,198,714.959668
2.0,197,719.89665
0.0,130,722.858535
0.0,133,726.409961
1.0,166,730.782638
5.0,330,739.651537
4.0,294,746.842674
