#{"t_start": 1764222035.3774178, "env_id": "ALE/Breakout-v5"}
r,l,t
1.0,155,4.97757
1.0,173,9.393108
2.0,200,14.440696
2.0,210,19.772758
2.0,207,25.26444
0.0,126,28.258324
3.0,246,34.04116
4.0,271,41.164384
0.0,124,44.56015
0.0,126,47.34613
3.0,245,53.927406
0.0,138,57.675145
0.0,135,61.461506
0.0,125,64.387008
2.0,196,69.396361
2.0,226,75.041212
2.0,221,81.211639
2.0,198,86.111578
2.0,204,90.943593
2.0,195,96.211525
2.0,205,101.073869
0.0,127,104.083385
3.0,253,110.459421
3.0,252,116.923633
5.0,338,125.376045
2.0,200,130.860444
2.0,195,135.637514
1.0,172,139.638896
3.0,252,145.954971
0.0,128,149.247577
0.0,123,152.411963
3.0,245,158.541563
3.0,250,165.500725
2.0,201,170.469979
2.0,205,176.024524
0.0,125,178.910869
0.0,128,182.200545
2.0,210,188.425876
0.0,137,192.005012
2.0,195,197.112991
4.0,275,204.152981
3.0,245,210.118625
2.0,207,215.489981
0.0,130,218.926084
2.0,197,224.123822
3.0,245,230.260388
2.0,197,235.216325
3.0,248,242.374136
4.0,299,250.28503
3.0,250,257.042703
3.0,247,263.788886
3.0,252,269.869342
2.0,202,274.7207
4.0,300,282.995252
4.0,295,290.263538
2.0,201,295.870172
3.0,248,302.302461
1.0,174,306.758155
0.0,131,310.304831
0.0,127,313.144645
2.0,204,318.115074
2.0,197,323.440887
4.0,296,331.02052
3.0,253,337.567046
3.0,272,344.017283
3.0,262,350.489724
3.0,245,356.664177
2.0,201,361.439604
3.0,246,367.756897
2.0,199,372.716974
5.0,315,380.656333
2.0,224,386.134632
3.0,251,392.782664
3.0,252,399.292904
2.0,202,404.720891
0.0,139,408.339778
1.0,171,412.514602
2.0,207,417.444262
2.0,196,422.391521
2.0,198,428.012709
3.0,246,434.384541
6.0,384,443.760387
2.0,199,448.785742
2.0,202,454.338902
0.0,127,457.258338
0.0,133,460.839577
5.0,326,468.643896
3.0,243,474.762489
2.0,216,480.017794
3.0,244,486.11843
3.0,245,492.979702
2.0,197,497.836393
0.0,126,500.849795
2.0,197,505.848113
2.0,198,511.532939
2.0,208,516.851984
0.0,125,520.209465
3.0,247,526.900999
2.0,199,531.860912
5.0,325,540.351314
2.0,198,545.47371
4.0,303,552.955495
2.0,202,558.447943
2.0,209,564.606033
2.0,213,569.865091
1.0,177,574.678208
3.0,260,581.541089
3.0,251,587.691701
2.0,195,592.902369
1.0,172,597.106118
2.0,197,602.386552
3.0,255,608.562964
0.0,132,611.981679
4.0,299,619.379367
3.0,258,626.001837
0.0,134,628.879401
4.0,301,636.758357
0.0,129,639.783013
4.0,283,647.071137
2.0,207,652.128616
2.0,203,657.159348
3.0,260,663.598478
0.0,123,666.980184
3.0,244,673.156026
3.0,250,679.708639
4.0,295,687.10391
2.0,226,693.194285
4.0,296,700.736056
2.0,195,705.496888
0.0,130,708.396015
2.0,197,713.798355
3.0,253,719.956894
3.0,256,726.418585
0.0,133,729.682137
3.0,255,736.244893
2.0,200,741.65308
3.0,246,748.063787
3.0,228,753.936682
0.0,125,757.011123
0.0,126,760.782939
2.0,198,765.821564
2.0,205,771.166711
3.0,245,777.554793
2.0,203,782.49985
3.0,245,788.415465
6.0,388,798.05403
2.0,197,803.770056
2.0,207,808.801137
4.0,300,816.851522
2.0,211,822.137941
3.0,247,828.587577
2.0,201,833.534223
2.0,199,838.482171
2.0,197,843.838819
4.0,300,851.061419
2.0,195,855.870942
4.0,283,863.127831
2.0,200,867.939454
4.0,303,875.960747
2.0,197,880.905804
3.0,258,887.544768
0.0,126,890.760522
6.0,376,900.946303
3.0,262,907.432951
2.0,206,912.347988
2.0,204,917.897061
2.0,203,922.857002
3.0,247,929.50691
3.0,258,935.644488
3.0,246,942.438472
4.0,326,950.426082
2.0,196,955.54851
2.0,198,961.11486
2.0,207,966.124051
3.0,252,972.691118
2.0,199,977.929551
2.0,197,982.885849
0.0,131,986.536448
2.0,201,992.040684
2.0,209,997.769692
3.0,247,1003.342489
3.0,228,1008.714279
3.0,253,1014.443181
2.0,199,1018.873206
3.0,272,1025.427332
3.0,245,1031.131571
2.0,200,1035.522096
0.0,135,1038.839746
4.0,297,1045.551008
2.0,199,1050.519525
2.0,206,1054.938492
2.0,199,1059.482966
2.0,207,1064.484055
3.0,243,1069.992472
2.0,200,1075.021493
2.0,200,1079.577403
2.0,202,1084.139055
2.0,203,1089.08864
2.0,198,1093.786856
3.0,244,1099.453511
4.0,275,1105.981131
3.0,237,1111.484175
2.0,197,1116.091699
2.0,209,1120.644243
3.0,259,1126.884676
2.0,204,1131.849146
0.0,129,1134.671668
2.0,213,1139.789043
2.0,208,1144.770338
3.0,242,1150.26339
2.0,196,1154.613138
3.0,254,1160.191806
2.0,209,1165.214089
1.0,166,1169.212039
2.0,197,1173.605894
0.0,130,1176.890722
3.0,248,1182.562619
4.0,287,1189.091502
3.0,250,1194.844898
0.0,139,1198.091126
2.0,201,1202.800394
3.0,233,1207.868686
3.0,248,1213.914489
3.0,252,1219.594272
0.0,133,1223.021137
2.0,198,1227.553765
2.0,206,1232.513931
2.0,198,1236.837749
4.0,321,1244.087149
2.0,198,1248.463507
3.0,252,1254.608712
4.0,307,1261.980507
2.0,199,1266.346846
2.0,199,1270.865808
2.0,197,1275.555209
5.0,334,1283.530514
3.0,245,1289.548192
2.0,203,1293.842489
2.0,212,1298.821704
3.0,249,1304.318409
2.0,197,1308.860081
2.0,198,1313.717649
1.0,156,1316.991834
3.0,249,1322.858804
4.0,297,1329.76193
0.0,123,1332.498106
2.0,198,1336.984646
2.0,196,1341.919811
2.0,203,1346.31128
3.0,254,1352.404452
2.0,206,1356.75653
3.0,246,1362.428034
4.0,305,1369.638668
3.0,245,1375.157914
2.0,205,1380.205201
2.0,201,1384.696232
2.0,212,1389.667405
5.0,354,1397.889052
3.0,247,1403.754069
2.0,210,1408.652542
3.0,247,1414.207153
3.0,270,1420.166021
2.0,205,1425.256908
3.0,248,1430.886893
2.0,196,1435.425458
9.0,382,1444.550133
5.0,327,1452.332172
3.0,247,1458.007911
2.0,201,1463.032732
2.0,203,1467.462799
2.0,205,1472.276178
0.0,130,1475.238786
2.0,222,1480.223865
3.0,244,1485.669244
2.0,198,1490.617186
3.0,248,1497.204406
2.0,199,1502.935248
0.0,139,1506.822603
1.0,170,1511.121122
2.0,200,1516.743136
0.0,124,1520.077253
6.0,402,1530.364044
2.0,215,1536.129348
2.0,210,1541.75283
3.0,245,1548.616889
4.0,301,1556.954235
3.0,244,1563.627236
3.0,233,1569.9712
0.0,130,1573.364842
5.0,294,1581.132811
1.0,162,1585.749745
2.0,196,1590.822017
2.0,190,1596.246772
2.0,211,1601.966055
2.0,220,1608.000724
5.0,369,1619.071284
0.0,120,1622.268523
5.0,315,1630.434843
3.0,275,1637.933929
3.0,237,1644.6286
2.0,189,1649.723333
3.0,248,1656.582303
