#{"t_start": 1764222035.457722, "env_id": "ALE/Breakout-v5"}
r,l,t
3.0,295,8.655278
3.0,260,15.33821
4.0,316,23.364672
0.0,128,26.47325
3.0,248,32.308222
0.0,130,35.670544
2.0,206,40.523441
2.0,196,46.111088
0.0,124,49.339823
2.0,195,54.533685
3.0,246,60.819695
3.0,245,66.868649
2.0,206,72.330489
3.0,262,79.400762
3.0,291,86.641124
2.0,214,91.918489
3.0,245,97.874636
3.0,252,104.462368
0.0,130,107.602796
4.0,319,115.595411
3.0,252,122.162617
1.0,159,125.849401
3.0,256,132.463108
5.0,345,140.870935
2.0,199,145.906109
1.0,153,149.811855
2.0,200,154.644843
3.0,243,161.493241
3.0,274,168.397062
2.0,201,173.372783
2.0,208,178.870372
0.0,126,182.148065
2.0,204,188.326931
2.0,206,193.334033
2.0,199,198.970031
3.0,254,205.272163
2.0,222,211.102459
2.0,208,216.092018
3.0,247,222.400459
2.0,195,227.694611
2.0,204,232.674517
0.0,127,235.746255
2.0,199,242.179036
2.0,200,247.264408
4.0,305,255.494321
1.0,170,259.976092
3.0,253,266.157838
4.0,300,273.982808
3.0,245,280.470987
2.0,199,285.523529
3.0,246,292.068658
3.0,227,297.772457
2.0,215,303.527813
3.0,255,310.210761
2.0,202,315.021998
2.0,206,320.489707
2.0,202,325.219603
2.0,195,330.203404
3.0,253,336.800817
3.0,245,342.701559
0.0,124,345.681048
2.0,204,351.092836
4.0,304,358.298769
0.0,122,361.347268
2.0,205,366.555187
2.0,201,371.27849
3.0,248,378.232817
2.0,197,382.905613
0.0,124,385.990323
2.0,201,391.020679
3.0,255,397.753659
4.0,266,404.683707
3.0,250,410.63742
2.0,217,416.644918
2.0,199,421.572505
0.0,134,424.789304
3.0,276,432.293166
3.0,254,438.434956
2.0,229,444.247882
2.0,201,449.295098
4.0,300,457.158125
2.0,206,462.037459
3.0,255,468.564222
3.0,252,475.27909
3.0,247,481.247327
3.0,245,487.409739
2.0,199,492.293841
3.0,244,498.898817
4.0,294,506.27992
3.0,262,513.418559
2.0,202,518.583245
2.0,202,524.35767
2.0,196,529.159086
1.0,152,532.911449
3.0,250,539.115739
0.0,134,542.599549
3.0,268,549.909466
2.0,199,555.242446
3.0,248,561.821428
2.0,217,567.871717
0.0,134,571.006634
2.0,201,576.506487
3.0,247,582.658001
5.0,358,592.167955
5.0,329,600.548981
2.0,218,605.788898
1.0,171,610.221858
2.0,221,615.596029
3.0,248,622.331511
2.0,202,627.066565
2.0,204,631.76441
2.0,210,637.284977
2.0,219,642.843694
3.0,252,649.221831
1.0,180,653.423784
2.0,221,659.362746
2.0,198,664.093349
2.0,220,669.990501
3.0,243,675.930253
2.0,196,680.825363
4.0,280,688.274986
0.0,123,691.239315
2.0,205,696.841736
2.0,206,701.846794
4.0,305,709.360956
2.0,195,714.362597
2.0,202,719.206428
2.0,203,724.488092
2.0,209,730.114588
3.0,245,736.129633
3.0,248,742.661783
0.0,128,745.742022
3.0,249,752.622405
2.0,200,757.4941
2.0,203,763.303721
2.0,199,768.449397
2.0,198,773.322993
3.0,263,780.057908
2.0,197,784.701429
1.0,169,788.94567
2.0,198,794.128723
2.0,202,799.224316
3.0,244,805.432818
2.0,196,810.461824
2.0,199,816.159819
