#{"t_start": 1764222035.4813254, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,121,4.25717
0.0,124,7.279083
1.0,176,11.753415
2.0,216,17.231201
2.0,198,22.136955
3.0,253,28.668072
4.0,304,35.74991
3.0,257,42.558075
2.0,201,47.941455
3.0,236,53.853681
2.0,210,59.625598
0.0,133,63.138875
4.0,310,71.134286
0.0,124,74.172882
3.0,251,80.507918
2.0,217,86.068476
2.0,197,90.858158
2.0,197,96.135619
2.0,198,100.948157
0.0,127,103.953798
3.0,251,110.315598
2.0,204,115.545649
2.0,205,121.027192
2.0,231,126.386969
3.0,248,132.947125
2.0,198,137.866854
2.0,198,142.517421
2.0,196,147.330147
2.0,227,153.392551
2.0,198,158.402163
2.0,196,163.724049
2.0,205,168.989567
0.0,132,172.085553
3.0,248,178.76564
3.0,238,185.806319
3.0,249,191.943252
3.0,246,198.237961
3.0,246,204.704063
2.0,230,210.579531
2.0,202,215.463007
0.0,130,219.296351
0.0,133,222.35441
0.0,132,225.824656
3.0,255,232.111493
2.0,201,237.840703
4.0,305,246.609516
0.0,136,249.639045
3.0,228,256.062069
2.0,208,261.231461
2.0,203,266.667063
3.0,251,272.668322
0.0,151,276.982942
3.0,248,283.436838
2.0,202,288.419663
3.0,229,294.552062
2.0,201,299.681636
3.0,244,305.95689
0.0,126,309.617556
1.0,176,313.642689
2.0,205,319.003438
0.0,129,322.175563
3.0,253,328.361337
4.0,295,336.203468
2.0,199,340.958409
2.0,207,346.209192
2.0,206,351.152782
0.0,129,354.695769
3.0,248,360.723591
0.0,131,363.630213
2.0,199,368.80876
5.0,331,377.404729
2.0,203,382.305989
5.0,308,390.257437
4.0,296,397.756221
2.0,209,403.464066
0.0,127,406.56378
2.0,202,411.703707
5.0,350,420.463137
2.0,221,425.990392
5.0,338,435.001775
3.0,255,441.314454
2.0,209,446.914262
2.0,197,451.716277
2.0,216,457.153729
2.0,196,461.968536
5.0,330,470.435805
2.0,210,475.85504
2.0,206,480.669081
6.0,378,490.349294
4.0,300,497.818338
2.0,198,503.202259
0.0,133,506.335847
2.0,202,512.042445
0.0,128,515.588034
5.0,344,524.439475
3.0,252,530.98223
2.0,204,536.061396
2.0,205,541.427108
2.0,197,546.74421
0.0,123,549.886814
3.0,249,556.43562
3.0,243,563.070691
2.0,198,568.459569
2.0,218,574.045694
3.0,247,580.172612
4.0,301,588.145646
2.0,205,593.402592
0.0,132,596.939506
2.0,218,602.35107
0.0,151,605.833078
3.0,250,612.649554
2.0,209,617.444398
2.0,211,622.966924
2.0,196,627.656357
0.0,127,631.083874
3.0,252,637.262319
2.0,199,642.130046
3.0,244,648.617866
4.0,295,655.790523
4.0,294,662.92894
2.0,198,668.036638
2.0,200,673.571877
3.0,246,679.640125
2.0,209,685.114996
0.0,128,688.287504
5.0,330,696.85698
3.0,248,702.954768
4.0,275,709.895828
2.0,203,714.935061
0.0,127,717.986224
2.0,206,723.300788
2.0,199,728.387762
4.0,274,735.467074
3.0,251,742.087198
2.0,202,747.313568
2.0,207,752.648923
4.0,280,760.114879
3.0,250,766.488345
5.0,334,775.198995
3.0,249,781.768099
3.0,247,787.686319
3.0,249,793.618243
2.0,199,798.534886
0.0,124,802.293849
2.0,196,807.226999
2.0,199,812.268221
3.0,250,819.15247
3.0,246,825.563327
5.0,347,834.007641
3.0,245,840.036336
3.0,246,846.565179
3.0,238,852.625196
2.0,199,857.384195
4.0,311,865.288891
2.0,197,870.33307
2.0,203,875.787551
2.0,203,880.766767
2.0,197,885.662492
3.0,256,892.320866
3.0,247,898.892344
2.0,211,904.398245
2.0,210,909.686953
4.0,296,917.05548
2.0,200,922.123838
2.0,201,927.564957
2.0,205,932.390945
2.0,196,937.304338
2.0,204,942.943745
2.0,197,947.855715
2.0,207,953.5703
2.0,201,958.741314
3.0,250,965.294966
2.0,197,970.241183
2.0,200,975.113855
0.0,126,978.437763
3.0,246,985.067624
0.0,122,988.460285
2.0,197,993.992982
3.0,246,1000.057188
2.0,202,1004.808119
3.0,249,1010.485933
0.0,128,1013.293325
6.0,364,1021.607873
3.0,244,1027.553962
1.0,171,1031.536334
3.0,255,1036.981162
4.0,293,1044.296875
2.0,196,1048.618042
2.0,199,1053.171848
2.0,202,1057.693252
2.0,213,1062.748777
5.0,346,1070.916599
3.0,244,1076.601259
2.0,207,1081.624423
2.0,207,1086.19802
2.0,212,1091.496391
4.0,297,1098.24883
2.0,202,1103.177164
3.0,250,1108.757845
0.0,138,1112.14919
2.0,199,1116.5886
3.0,249,1122.590522
3.0,243,1128.347776
5.0,325,1135.871786
2.0,198,1140.908369
0.0,132,1143.636995
2.0,203,1148.125377
2.0,208,1152.978187
3.0,243,1158.443498
4.0,299,1165.594564
3.0,256,1171.304818
2.0,196,1176.253966
4.0,294,1182.955005
4.0,295,1189.54207
4.0,296,1196.299444
3.0,259,1202.203218
4.0,297,1209.471243
2.0,205,1213.885135
2.0,197,1218.447055
3.0,243,1224.121861
3.0,259,1230.259384
3.0,233,1235.626064
0.0,128,1238.50617
3.0,260,1244.576312
2.0,200,1248.987064
3.0,250,1255.174258
3.0,247,1260.802544
3.0,244,1266.296347
2.0,227,1271.957883
2.0,208,1276.501639
2.0,204,1281.619612
4.0,304,1288.846952
3.0,243,1294.260769
2.0,199,1298.753846
2.0,206,1303.566309
2.0,204,1308.101967
2.0,207,1313.05739
2.0,215,1317.940572
4.0,297,1324.645939
2.0,207,1329.610103
3.0,245,1335.10701
2.0,199,1339.518954
6.0,393,1348.933767
3.0,237,1353.986058
2.0,203,1358.99567
0.0,124,1361.64374
2.0,200,1366.130866
0.0,126,1369.476811
3.0,248,1375.010705
2.0,200,1379.605688
3.0,248,1385.592269
5.0,347,1393.452796
2.0,211,1398.502965
2.0,207,1403.547379
2.0,201,1408.0324
2.0,246,1413.581705
2.0,195,1417.891107
3.0,252,1423.931813
4.0,303,1430.807599
2.0,199,1435.763492
3.0,241,1441.534296
2.0,204,1446.017494
2.0,199,1451.103762
3.0,246,1456.75863
2.0,205,1461.40698
4.0,309,1468.467036
3.0,269,1474.571388
4.0,295,1481.678412
3.0,226,1486.633977
2.0,199,1491.200426
3.0,244,1498.538239
4.0,316,1507.252276
0.0,124,1510.423779
1.0,154,1514.271142
1.0,169,1518.818517
3.0,240,1525.343582
2.0,199,1530.842712
2.0,201,1535.973557
2.0,219,1541.651121
2.0,195,1547.129796
3.0,244,1553.604619
2.0,204,1559.626655
5.0,366,1569.167308
8.0,468,1582.356697
3.0,235,1588.703154
11.0,447,1600.668095
2.0,200,1605.931863
2.0,205,1611.931371
5.0,311,1620.870541
0.0,143,1624.58292
3.0,259,1631.614981
2.0,197,1637.067584
2.0,197,1642.500897
3.0,232,1649.019889
2.0,200,1654.241472
4.0,274,1662.36265
2.0,243,1668.727938
3.0,256,1675.338302
4.0,273,1683.043684
2.0,189,1688.132554
4.0,251,1694.449872
3.0,219,1700.283876
3.0,210,1706.428467
3.0,210,1712.551574
6.0,342,1721.867094
7.0,378,1732.050646
4.0,254,1738.966145
2.0,194,1744.227728
4.0,266,1751.112119
4.0,271,1758.608468
2.0,180,1763.096632
7.0,251,1769.964558
3.0,223,1775.82531
7.0,248,1782.359018
1.0,158,1786.788334
2.0,190,1791.906929
1.0,155,1795.86918
8.0,293,1803.23806
1.0,166,1807.436894
5.0,321,1815.83751
7.0,416,1826.869964
1.0,156,1831.181441
5.0,292,1838.771738
7.0,250,1845.033591
2.0,183,1850.29933
3.0,234,1857.311466
3.0,226,1863.538443
4.0,275,1871.056286
2.0,188,1876.476084
2.0,193,1881.925771
5.0,318,1890.891789
4.0,286,1898.504024
7.0,253,1905.750354
3.0,222,1911.363264
3.0,236,1917.977049
3.0,244,1924.602968
3.0,237,1930.953742
7.0,386,1941.754379
3.0,240,1947.939155
2.0,185,1953.024625
7.0,246,1959.576274
3.0,215,1965.651066
2.0,193,1970.79917
3.0,213,1976.555053
2.0,181,1981.70162
3.0,213,1987.249299
4.0,258,1993.893294
5.0,355,2003.489542
3.0,241,2009.820229
2.0,203,2015.240939
2.0,199,2020.006799
4.0,260,2026.922188
4.0,283,2033.877167
4.0,263,2040.871715
5.0,301,2049.157326
